"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,8.08,0.7,78.31,18.76,28.69,19.42,19.58,23.21,87.84,1.34,16.2905546395487
2020-01-02,23.43,0.48,77.38,18.76,29.35,19.25,17.18,23.47,87.78,1.03,16.3376572182472
2020-01-03,14.83,0.9,86.56,19.26,24.69,19.28,19.74,21.69,87.87,1.79,16.5010488564995
2020-01-04,12.55,0.64,89.88,19.32,24.61,18.6,8.62,21.12,87.98,1.3,16.5775279211189
2020-01-05,11.17,0.92,79.06,18.08,26.26,18.37,20.6,22.2,87.97,1.73,15.5212132297768
2020-01-06,8.1,0.89,83.75,18.71,26.63,18.21,20.88,21.8,87.86,1.83,16.0671446055055
2020-01-07,50.5,0.98,88.44,19.32,26.23,17.61,13.39,21.49,87.84,2.02,16.6655461664948
2020-01-08,24.22,0.66,86.69,18.58,23.67,19.09,18.14,20.97,88.04,1.27,15.8504666149535
2020-01-09,5.67,0.4,83.69,18.63,25.95,17.62,19.57,21.65,87.99,0.85,15.917094658975
2020-01-10,8.21,1.02,92.12,19.02,23.48,18.43,9.33,20.37,87.9,2.05,16.2647709619336
2020-01-11,11.35,1.16,89.25,17.15,22.47,16.53,11.03,19.02,88.01,2.34,14.5575260486522
2020-01-12,1.59,0.84,79.56,16.94,26.91,15.6,26.95,21,88.03,1.78,14.5721928036852
2020-01-13,0.29,0.66,74.38,17.36,28.03,16.18,24.2,22.61,87.84,1.43,14.9505825829901
2020-01-14,0.37,0.61,77.69,18.38,27.3,18.73,18.97,22.76,87.71,1.29,15.7508047171969
2020-01-15,0.82,0.58,79.31,18.94,27.54,18.85,26.61,23,87.83,1.3,16.3017278437714
2020-01-16,0.11,0.55,77,19.04,27.83,18.72,27.05,23.57,87.85,1.23,16.3503171097803
2020-01-17,0.27,0.62,76.38,19.38,28.76,19.47,22.97,24.09,87.82,1.27,16.7051819299497
2020-01-18,0.41,0.73,81.94,19.12,26.08,19.74,16.4,22.49,87.85,1.57,16.3570967755719
2020-01-19,0.13,0.58,72.75,18.19,29.37,19.37,27.53,23.92,87.82,1.3,15.7584612088261
2020-01-20,0.06,0.7,73.69,17.99,27.47,19.5,18.24,23.17,87.84,1.5,15.2944869233393
2020-01-21,0.18,0.45,75.12,18.92,27.98,19.93,17.5,23.8,87.88,0.95,16.1612482201085
2020-01-22,1.05,0.6,86.38,19.56,25.62,19.65,20.06,22.03,87.84,1.38,16.7930468411458
2020-01-23,0.62,0.71,78.25,18.4,27.58,18.47,19.94,22.73,87.84,1.57,15.8370826357089
2020-01-24,0.77,0.6,79.56,18.43,26.3,18.35,24.15,22.4,87.9,1.24,15.8000859511115
2020-01-25,0.95,0.46,79.31,19.05,28.12,18.68,19.61,23.15,87.89,0.98,16.4421287693798
2020-01-26,2.5,0.73,88.06,19.6,25.63,19.34,15.45,21.8,87.91,1.54,16.8940030323679
2020-01-27,10.94,1.02,91.75,18.91,22.06,18.23,16.55,20.33,87.94,2.11,16.1616473746005
2020-01-28,2.56,0.65,83.25,18.71,27.5,17.26,19.45,21.97,87.92,1.42,16.1286603916966
2020-01-29,1.31,1.3,80.31,17.87,26.43,18.27,12.38,21.65,87.99,2.56,15.2742486803953
2020-01-30,2.62,0.41,87.75,18.9,24.1,18.76,18.84,21.08,88.07,0.85,16.1471279870378
2020-01-31,7.42,0.8,84.75,18.41,25.92,18.21,16.45,21.33,88.05,1.7,15.822900472567
2020-02-01,20.53,1.13,85.94,17.89,24.91,17.67,15.41,20.51,88.04,2.31,15.2981006648142
2020-02-02,1.6,0.85,82.81,17.37,25.2,17.83,12.78,20.64,88.01,1.8,14.8530682699098
2020-02-03,0.29,0.77,72.44,16.55,26.35,17.55,16.24,22.08,87.94,1.67,14.1236216957158
2020-02-04,1.57,0.82,81.38,17.9,26.62,17.56,22.82,21.52,88,1.7,15.3618147776341
2020-02-05,0.6,0.85,79.25,18.08,26.68,17.85,18.34,22.14,87.95,1.69,15.5048605939631
2020-02-06,0.05,0.85,74.12,18.14,28.55,18.54,24.48,23.32,87.88,1.83,15.5160536865319
2020-02-07,1.94,0.9,78.56,18.48,26.45,19.51,18.36,22.56,87.96,1.94,15.7455277916232
2020-02-08,6.64,0.56,93.06,19.79,23.48,19.37,20.67,20.97,87.98,1.19,17.0151623392268
2020-02-09,3.37,1.08,83.5,18.52,25.7,19,8.92,21.65,88.01,2.23,15.8809583465696
2020-02-10,5.76,0.73,76.38,18.07,28.65,17.5,15.8,22.93,87.99,1.45,15.6367252099702
2020-02-11,10.88,0.94,86.88,18.8,24.26,18.82,15.38,21.18,88.1,1.86,16.0800997796646
2020-02-12,8.05,0.59,79.25,18.39,28.28,16.95,20.94,22.56,87.94,1.34,15.8838222694264
2020-02-13,5.22,0.42,73.12,19.03,29.15,19.55,21.79,24.48,87.82,0.78,16.3493713572526
2020-02-14,9.4,0.36,80.69,19.75,28.47,18.93,16.2,23.58,87.72,0.83,17.1436189540083
2020-02-15,4.46,1.15,82.94,18.9,26.71,18.94,16.94,22.18,87.78,2.27,16.2642064067857
2020-02-16,6.05,1.05,86.06,18.47,24.69,17.76,16.42,21.01,87.92,2.15,15.7718921427889
2020-02-17,0.84,0.83,76,17.78,28.45,17.26,18.87,22.7,87.94,1.78,15.3552703120446
2020-02-18,1.5,0.6,79.56,18.47,27.66,18.01,22.82,22.47,87.97,1.38,15.8637608413516
2020-02-19,8.65,0.51,80.25,18.91,27.34,18.14,14.2,22.79,87.92,1.02,16.2978111798855
2020-02-20,13.68,0.73,85.44,19.56,26.58,19.17,19.08,22.26,87.88,1.43,16.8317648814705
2020-02-21,7.59,0.36,75.5,18.61,30.04,18.9,22.81,23.82,87.85,0.85,16.2614790881916
2020-02-22,24.5,0.63,83.81,20.31,28.43,18.7,15.06,23.46,87.84,1.37,17.685174517723
2020-02-23,39.78,0.95,90.44,20.55,25.93,19.69,13.07,22.3,87.9,1.91,17.8578137454198
2020-02-24,65.1,0.59,86,19.27,26.12,18.33,16.22,21.87,87.97,1.15,16.5656014069064
2020-02-25,5.3,0.42,85.56,19.81,26.76,19.87,22.74,22.49,87.86,0.91,17.0797315123008
2020-02-26,2.26,0.62,89.19,19.62,25.01,18.62,17.87,21.56,87.85,1.38,16.875089740255
2020-02-27,3.14,1.08,92.12,19.86,24.08,19.26,15.95,21.24,87.89,2.24,17.1093839169178
2020-02-28,2.6,0.8,87.25,19.37,26.19,18.32,20.97,21.77,87.91,1.72,16.7096342040494
2020-02-29,1.52,0.87,86.88,19.32,26.34,18.38,23.54,21.8,87.99,1.84,16.6676241591202
