"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,3.8,38,5.4,32.14,13.69,20.43,21.83,97.37,5.44,7.3028047143511
2020-01-02,0,4.49,39.88,4.41,29.19,12.24,21.94,19.52,97.51,6.33,6.69920375389
2020-01-03,0,3.87,42.31,5,29.18,11.12,21.57,19.39,97.54,5.44,7.05327527185306
2020-01-04,0,3.32,46.69,8.31,31.01,13.62,16.95,21.22,97.47,4.72,8.66164851584222
2020-01-05,0,2.17,50.88,11.56,32.32,15.45,16.92,23.4,97.32,3.15,10.6997822043481
2020-01-06,0,1.38,56.5,14.28,33.39,18.51,16.35,24.67,97.24,2.2,12.7695782651034
2020-01-07,0,1.65,54.88,14.17,33.78,18.1,15.14,25.16,97.22,2.57,12.7507873366673
2020-01-08,0,1.33,57.88,16.37,34.33,20.76,15.85,26.34,97.34,2.11,14.3665416356309
2020-01-09,0,2.21,51.19,13.01,34.88,19.1,18.2,25.6,97.32,3.37,12.1910306597856
2020-01-10,0,1.92,59,15.33,33.25,18.64,17.84,25.17,97.37,3.02,13.7157396442223
2020-01-11,0.01,1.09,69.25,19.33,33.68,19.83,14.9,26.51,97.4,1.77,17.352298199318
2020-01-12,0,1.04,64.62,19.29,34.92,21.55,18.08,27.56,97.32,1.76,17.1629938784301
2020-01-13,0,1.58,54.81,15.99,35.34,22.05,17.67,27.19,97.18,2.34,14.2625672403517
2020-01-14,0,2.69,44.88,10.9,34.87,17.99,20.58,25.33,97.16,4.06,10.5275340808398
2020-01-15,0,2.92,42.94,10.52,36.45,17.15,22,25.69,97.18,4.3,10.2779886242738
2020-01-16,0,3.12,43.06,9.37,35.01,17.9,19.78,24.86,97.38,4.59,9.83690650794152
2020-01-17,0,3.02,42.56,8.11,34.13,15.66,20.79,23.65,97.47,4.48,9.07852340246785
2020-01-18,0,3,39.62,7.28,34.01,15.3,21.18,23.67,97.48,4.37,8.46101400717948
2020-01-19,0,3,44.38,9.15,31.87,16.35,16.94,23.04,97.36,4.36,9.14295505151646
2020-01-20,0,1.56,48.19,12.21,34.56,17.33,17.82,25.26,97.21,2.45,11.259580064946
2020-01-21,0,2.02,47.5,13.29,34.87,20.47,16.67,26.41,97.33,2.97,11.8361856921595
2020-01-22,0,2.94,40.88,9.76,36.72,18.87,17.25,26.34,97.32,4.38,10.1469285083724
2020-01-23,0,2.96,39.5,7.76,34.62,18.25,18.95,24.83,97.35,4.42,9.0083830287539
2020-01-24,0,3.88,33.19,3.58,34.71,15.56,21.27,23.66,97.42,5.62,7.08382840375322
2020-01-25,0,3.8,31.5,2.08,33.83,14.05,23.12,22.67,97.42,5.51,6.35341597974254
