"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,3.81,23.69,-2.06,30.75,13.12,21.35,20.79,97.98,5.45,4.28639185460343
2020-01-02,0,4.13,24.88,-2.72,27.69,11.9,20.86,18.56,98.14,5.84,3.94929573053965
2020-01-03,0,3.67,26.44,-3.28,26.58,10.1,19.89,17.23,98.21,5.23,3.87741509171266
2020-01-04,0,3.23,28.75,-0.9,28.1,10.77,18.25,18.3,98.11,4.65,4.49379158357644
2020-01-05,0,2.36,32.75,2.88,30.68,12.44,20.17,20.78,97.91,3.48,5.92223120539189
2020-01-06,0,2.28,37,5.59,31.23,13.87,18.54,21.84,97.8,3.45,7.11473142244355
2020-01-07,0,2.17,37.19,6.96,32.51,16.08,17.46,23.3,97.74,3.32,7.77635998003773
2020-01-08,0,1.94,36.88,8.2,33.98,17.08,18.17,24.83,97.83,3.02,8.4108649645682
2020-01-09,0,2.26,38.31,8.3,32.14,18.01,18.9,24.14,97.84,3.52,8.40262987684747
2020-01-10,0,1.84,36.31,7.81,33.51,19.1,19.77,24.54,97.86,2.84,8.14637618890939
2020-01-11,0,3.16,33.75,6.83,34.08,17.67,20.47,24.73,97.93,4.59,7.65372872826138
2020-01-12,0,2.77,33.44,7.61,35.7,18.55,20.97,25.94,97.85,4.02,8.11689600834125
2020-01-13,0,3.66,28,3.73,32.99,17.42,20.07,24.43,97.78,5.15,6.24301827045219
2020-01-14,0,3.05,25.06,1.34,33.97,15.2,22.13,23.59,97.75,4.38,5.32734928595469
2020-01-15,0,2.84,26.56,3.23,35.24,16.09,21.54,24.82,97.77,4.16,6.05386675150054
2020-01-16,0,2.91,29.19,5.12,35.15,17.77,21.27,25.4,97.9,4.25,6.87409491987964
2020-01-17,0,3.36,27.94,3.27,33.3,16.69,20.97,23.94,98.02,4.79,6.05899404473648
2020-01-18,0,3.44,23.25,-0.56,32.51,15.51,21.96,22.99,98.05,4.91,4.77617463643953
2020-01-19,0,2.62,29.31,2.31,31.65,13.94,18.12,21.94,97.9,3.96,5.66863492984464
2020-01-20,0,1.91,32.25,5.09,33.28,14.73,17.66,23.72,97.72,2.9,6.90674129842492
2020-01-21,0,1.76,33.56,8.2,35.42,18.47,17.09,26.52,97.81,2.7,8.41397043160048
2020-01-22,0,2.61,33.12,7.6,34.54,19.3,16.76,26.08,97.85,3.94,8.10237656222602
2020-01-23,0,3.73,22.25,1.05,35.17,18.62,15.06,25.98,97.86,5.31,5.41283846858704
