"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,2.24,58.62,14.4,32.05,16.34,20.22,23.76,94.26,3.67,12.5828019965725
2020-01-02,0.01,2.09,63.38,15.23,29.51,18.26,17.8,23.19,94.3,3.44,13.1696664208526
2020-01-03,0,2.59,62.88,15.16,30.99,17.2,19.14,23.42,94.35,4.08,13.2384051869738
2020-01-04,0.18,2.91,64,14.09,29.08,16.41,19.61,22.07,94.41,4.48,12.4708880498107
2020-01-05,0,2.19,64.31,14.01,30.11,15.8,21.82,22.31,94.42,3.49,12.7056247943097
2020-01-06,0,2.25,61.06,14.32,31.3,16.39,21.67,23.14,94.33,3.54,12.6514043396704
2020-01-07,0,2.89,59.25,13.79,31.9,17.18,22.56,23.4,94.33,4.46,12.4599468476341
2020-01-08,0,2.96,59.12,13.99,32.51,15.99,22.76,23.5,94.32,4.62,12.5036843316046
2020-01-09,0,2.97,57.75,12.72,30.57,15.89,23.34,22.52,94.37,4.55,11.5480972624026
2020-01-10,0,2.51,57.19,12.54,32.21,15.8,23.15,22.71,94.43,3.95,11.561467888223
2020-01-11,0,2.52,53.44,10.47,31.46,13.83,22.89,21.67,94.47,3.94,10.1755702131902
2020-01-12,0,2.71,49.94,8.72,30.69,13.38,24.58,21.01,94.5,4.28,9.15231575192749
2020-01-13,0,2.48,51.06,9.11,31.39,12.33,23.98,21.15,94.34,3.98,9.43395313815415
2020-01-14,0,2.22,51.38,11.64,32.85,14.59,22.84,23.33,94.23,3.54,10.761870865088
2020-01-15,0,2.09,50,12.9,34.26,16.42,23.35,25.06,94.17,3.33,11.5517733215207
2020-01-16,0,1.82,48.81,12.93,34.85,16.77,23.77,25.59,94.19,2.91,11.6177114616375
2020-01-17,0,1.52,47.5,12.8,34.02,17.11,23.03,25.73,94.28,2.39,11.3949626207885
2020-01-18,0,2.64,50.75,12.5,33.82,16.37,22.63,24.51,94.33,4.05,11.3667857936849
2020-01-19,0,2.38,53.12,12,32.51,15.76,21.31,23.53,94.37,3.71,11.2539243311489
2020-01-20,0,3.13,49.88,10.8,32.72,15.47,23.66,23.1,94.38,4.73,10.3113505575385
2020-01-21,0,3.09,47.94,9.91,32.82,14.82,24.29,23.08,94.37,4.66,9.8989836510138
2020-01-22,0,3.12,42.31,7.67,32.24,14.71,23.06,22.34,94.37,4.7,8.37355291834507
2020-01-23,0,3.33,42.06,6.29,31.22,12.8,22.71,21,94.43,5.02,7.70370072050026
2020-01-24,0,3.59,40.5,5.73,31.48,11.94,22.95,21.01,94.46,5.36,7.42228249805894
2020-01-25,0,3.64,39.75,6.04,32,13.02,21.79,21.66,94.5,5.43,7.5644683704781
2020-01-26,0,3.03,47.25,10.34,33.21,14.22,22.37,23.17,94.42,4.53,9.80681920379675
2020-01-27,0,2.69,42.38,8.86,33.51,14.27,24.28,23.61,94.39,3.97,9.01956581336794
2020-01-28,0,2.2,39.88,8.1,33.96,13.73,24.76,24.04,94.34,3.31,8.6975053337335
2020-01-29,0,2.41,41,8.19,34.55,14.95,22.84,23.88,94.35,3.84,8.8608994499758
2020-01-30,0,2.48,35.06,5.83,33.33,14.03,21.39,23.64,94.42,3.66,7.47443395731876
2020-01-31,0,2.1,39.75,7.96,34.34,15.91,22.82,23.94,94.41,3.38,8.62007921539997
2020-02-01,0,2.15,37.12,7.51,33.95,14.42,22.47,24.51,94.4,3.22,8.31399189480954
2020-02-02,0,1.71,40.5,9.42,33.62,15.33,23.4,25.12,94.4,2.56,9.38859165015879
2020-02-03,0,1.59,41,9.88,34.47,16.12,23.82,25.48,94.37,2.55,9.69874923056199
2020-02-04,0,1.87,40.19,10.34,35.11,17.15,18.42,26.15,94.35,2.91,9.87047211035585
2020-02-05,0,1.8,42.31,10.95,34.54,17.09,23.47,25.95,94.3,2.8,10.2756570447063
2020-02-06,0,1.59,44.31,12.21,34.69,20.44,23.01,26.4,94.33,2.62,11.0351413923598
2020-02-07,0,2.55,40.69,10.75,36.9,19.6,23.62,27.28,94.25,4.08,10.6411825744813
2020-02-08,0,3.13,40.56,11.41,37.75,19.47,23.38,27.9,94.23,4.8,10.9766418657018
2020-02-09,0,4.22,34.44,9.07,37.44,19.02,16.94,27.34,94.26,6.15,9.03664850395534
2020-02-10,0,4.31,33.5,8.54,36.41,18.89,22.24,26.73,94.34,6.24,8.49762308125316
2020-02-11,0,3.8,33.62,7.39,35.59,18.37,25,25.68,94.27,5.57,8.04267379373398
2020-02-12,0,3.09,34.38,7.54,35.07,16.36,23.24,25.51,94.32,4.48,8.14645857871093
2020-02-13,0,2.22,43.25,11.27,35.76,17.41,24.71,26.26,94.24,3.42,10.6874033949763
2020-02-14,0,3.11,37.69,9.55,36.99,17.89,25.92,26.81,94.14,4.66,9.60305602614346
2020-02-15,0,2.5,37.81,10.01,38.26,18.19,24.95,27.78,94.07,3.89,10.1649622016822
2020-02-16,0,3.01,41.06,12.46,38.23,19.69,24.47,28.4,94.07,4.5,11.4217032630683
2020-02-17,0,1.11,43.38,14.7,37.73,20.55,21.35,29.72,94.06,1.73,12.9690196578088
2020-02-18,0,1.19,49.31,16.67,34.94,24.14,19.34,28.89,94.17,1.74,14.0897914367668
2020-02-19,0,1.77,50.75,16.26,37.81,21.98,20.96,29.36,94.09,2.69,14.8780760563491
2020-02-20,0,2.28,43.19,14.19,37.14,23.37,22.14,29.2,94.01,3.47,12.5517895664071
2020-02-21,0,3.08,36.25,11.08,38.44,20.27,25.14,28.97,94.02,4.61,10.4034347178049
2020-02-22,0,3.41,35.06,10.88,39.44,20.31,25.45,29.35,93.99,5.08,10.2727331431022
2020-02-23,0,3.48,30.88,8.25,38.52,20.66,24.18,28.99,94.05,5.2,8.8719817617189
2020-02-24,0,2.27,33.75,9.19,38.53,20.01,22.97,28.82,94.04,3.55,9.60684130543194
2020-02-25,0,3,31.38,8.53,38.05,21.86,16.97,28.94,94.07,4.64,8.99103357971978
2020-02-26,0,3.3,30.12,7.24,38.53,20.35,19.33,28.31,94.12,5.03,8.33721452659343
2020-02-27,0,2.99,30.69,7.87,39.19,19.54,23.56,28.63,94.13,4.56,8.64542143965063
2020-02-28,0,2.97,28,7.06,40.47,19.24,23.92,29.33,94.08,4.51,8.19518583284114
2020-02-29,0,2.73,31.12,9.12,39.93,20.23,20.89,29.47,94.01,4.16,9.17808548601873
2020-03-01,0.03,1.86,37.38,11.27,39.16,21.31,21.65,29.87,94.11,2.85,11.2666446084159
2020-03-02,1.1,1.54,51.88,15.26,37.24,23.17,21.22,29.08,94.28,2.26,14.9788401261255
2020-03-03,0.44,1.02,52.06,16.66,37.55,21.94,22.29,29.19,94.32,1.74,15.1213194792872
2020-03-04,0.12,1.34,38.06,11.31,38.98,22.01,24.83,29.59,94.27,2.18,11.2984048338696
2020-03-05,0.04,1.59,46.38,15.24,39.03,21.91,20.79,29.98,94.16,2.39,14.0629944458136
2020-03-06,0.14,1.74,51.44,17.2,38.55,22.22,22.34,29.97,94.03,2.67,15.5887931760576
2020-03-07,1.69,1.96,59,19.47,35.23,23.2,23,28.89,94.06,2.87,16.8586026114224
2020-03-08,7.95,1.91,70,20.99,32.19,23.4,18.71,27.3,94.15,2.82,18.3265619354487
2020-03-09,0,1.24,57.62,17.38,37.59,20.98,23.17,28.63,94,2.05,16.2316449446943
2020-03-10,0,1.65,50.5,17.42,38.04,21.81,23.79,29.8,93.91,2.49,15.1633880863574
2020-03-11,0,2.15,53.38,19.01,37.62,23.53,18.8,30.42,93.91,3.1,16.5756730117379
2020-03-12,0,3.3,65.94,20.71,31.62,24.46,13.43,27.85,94.06,4.66,17.7960637491274
2020-03-13,0,2.1,63.88,18.81,33.54,22.58,19.06,27.22,94.19,3.05,16.650389963602
2020-03-14,0,1.05,43.31,12.08,36.25,21.01,18.69,28.32,94.16,1.84,11.994791430196
2020-03-15,0,1.32,43,15.56,37.67,24.36,17.55,30.15,93.99,2.09,13.1588135323898
2020-03-16,0,0.62,44.44,16.15,37.85,24.19,18.9,30.87,93.97,1.02,14.1387771831756
2020-03-17,0,1.44,43.31,15.36,38.12,24.76,20.79,30.48,93.99,2.21,13.4923898130622
2020-03-18,0,1.94,60.25,19.56,34.81,23.23,19.44,28.62,94.14,2.84,16.9632235207171
2020-03-19,0.02,1.9,50.38,17.58,38.24,23.43,18.57,30.28,94.06,2.87,15.5261125194922
2020-03-20,0.81,2.66,51.56,17.96,37.82,23.67,19.15,29.97,94.06,3.84,15.6251589455196
2020-03-21,0.19,2.14,52.5,17.71,38.62,23.39,19.91,30.27,94.04,3.05,16.1707021107382
2020-03-22,0.02,2.38,56.06,18.76,37.41,23.66,24.97,29.84,94.1,3.35,16.8694597026773
2020-03-23,4.74,2.49,59.62,19.29,34.47,23.59,23.59,28.49,94.15,3.6,16.6666513795039
2020-03-24,6.13,2.49,70.19,20.69,31.67,23.07,21.28,26.9,94.12,3.59,17.9733552806342
2020-03-25,1.95,1.91,68.62,20.35,33.11,22.02,25.08,27.27,94.04,2.78,17.9354597580074
2020-03-26,1.71,2.2,60.88,19.5,35.77,22.06,20.71,28.62,93.99,3.16,17.140598306079
2020-03-27,14.04,2.77,77.06,21.81,31.1,23.21,22.85,26.4,94.15,3.95,19.191333687548
2020-03-28,29.37,2.23,83.31,22.65,30.44,22.48,21.72,25.9,94.27,3.28,20.1766570054452
2020-03-29,31.03,1.93,86.19,22.49,28.4,22.38,16.15,25.05,94.22,2.88,19.901738092646
2020-03-30,18.16,1.58,85.25,22.2,29.25,21.72,20.12,25.02,94.2,2.43,19.6514597764066
2020-03-31,0.87,1.52,83.19,22.37,29.69,22.24,24.15,25.6,94.17,2.42,19.8119132757875
2020-04-01,0.4,1.91,81.25,22.48,31.19,21.78,21.37,26.21,94.16,2.87,20.0215567572539
2020-04-02,0.04,1.45,77.56,21.9,31.91,21.8,23.5,26.55,94.09,2.28,19.4779000380116
2020-04-03,0.23,1.8,78.19,22.25,30.74,22.43,20.41,26.55,94.06,2.7,19.63611402749
2020-04-04,15.07,2,88.06,22.91,28.48,22.8,19.83,25.1,94.2,3.02,20.3908466677253
2020-04-05,11.2,1.74,86.81,22.52,28.73,22.23,20.64,25,94.3,2.7,19.9885347735346
2020-04-06,1.11,1.94,84.5,22.23,29.54,21.97,21.38,25.22,94.29,2.96,19.6990487254745
