"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.01,1.92,57.88,13.12,30.37,15.4,17.86,22.67,98.45,3.06,11.6741497430952
2020-01-02,0,2.27,58,11.55,29.55,13.86,21.84,21.16,98.52,3.68,10.7224227244813
2020-01-03,0,2.62,56.38,10.69,28.74,13.7,21.57,20.68,98.6,4.09,10.1360904400342
2020-01-04,0,2.44,53.19,10.41,28.74,13.65,20.49,21.23,98.57,3.64,9.87321427535674
2020-01-05,0,1.95,56.38,11.98,29.79,14.72,19.17,21.86,98.46,2.97,10.8538343851448
2020-01-06,0,1.47,55.06,12.47,30.42,14.15,20.52,22.87,98.39,2.3,11.2333831752158
2020-01-07,0,1.24,56.12,13.89,31.23,15.46,19.07,23.91,98.35,1.97,12.1493148187696
2020-01-08,0,1.04,56.81,15.74,31.69,17.68,17.76,25.46,98.41,1.59,13.423605003497
2020-01-09,0,1.55,61.19,17.04,32.37,18.86,16.51,25.63,98.39,2.43,14.5970864969755
2020-01-10,0,1.12,65.31,18.08,32.23,19.11,17.7,25.55,98.44,1.84,15.510193403249
2020-01-11,0.25,1.13,64.69,18.1,31.16,19.72,15.68,25.7,98.53,1.65,15.4926807753386
2020-01-12,0.01,1.13,60.56,17.75,32.38,19.8,18.57,26.45,98.45,1.7,15.124181297642
2020-01-13,0,2.02,61,16.28,32.57,18.67,18.75,25.12,98.33,3.09,14.1408417446836
2020-01-14,0,2.38,57.38,14.32,32.15,16.52,20.02,24.2,98.3,3.56,12.6281819396997
2020-01-15,0,1.8,56.94,14.95,32.57,17.14,19.86,24.96,98.37,2.81,13.0812724269957
2020-01-16,0,1.77,56.19,15.46,33.8,17.53,20.83,25.84,98.44,2.73,13.5629167292873
2020-01-17,0,1.4,55.81,15.14,32.8,17.8,20.03,25.48,98.52,2.24,13.2021266965284
2020-01-18,0,1.71,57.69,15.11,32.78,17.94,20.11,24.91,98.53,2.68,13.2162820165187
2020-01-19,0,1.81,50.25,12.28,32.44,16.2,20.42,24.51,98.42,2.77,11.2547977563087
2020-01-20,0.02,1.33,62,16.54,32.19,16.87,18.2,24.63,98.29,2.24,13.9810127030926
2020-01-21,0.37,0.7,68.06,19.54,30.58,21.03,16.17,26.15,98.39,1.2,16.7152110433147
