"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,0.96,70.88,19.15,31.48,21.33,15.81,25.51,94.45,1.66,16.795258407767
2020-01-02,0,1.22,67.5,17.46,31.43,18.33,17.46,24.59,94.48,2.01,15.1869039293972
2020-01-03,0,1.62,63.5,15.15,30.9,17.59,20.39,23.51,94.59,2.84,13.4376946922333
2020-01-04,0,1.47,63.38,15.14,30.79,17.69,21.17,23.54,94.59,2.61,13.43524438403
2020-01-05,0,1.33,62.88,15.33,31.08,17.39,20.76,23.77,94.54,2.3,13.5048900694582
2020-01-06,0,0.98,63,16.79,31.21,19.47,17.3,24.81,94.47,1.53,14.3516011581068
2020-01-07,0,1.45,66.12,17.73,32.42,18.74,18.63,25.23,94.43,2.4,15.4228842415564
2020-01-08,0,0.9,63,17.57,32.78,20.51,18.57,25.93,94.52,1.42,15.2834493297648
2020-01-09,0,0.86,66.81,18.14,32.62,20.58,16.75,25.65,94.55,1.39,15.9556338979631
2020-01-10,0,0.92,76.19,19.83,29.32,21.33,17.18,24.78,94.66,1.6,17.3269741538569
2020-01-11,0,0.97,74.88,19.69,31.12,20.56,17.01,25.2,94.64,1.66,17.4367647291201
2020-01-12,0,1.18,71.06,19.33,32.08,21.13,20.26,25.82,94.57,1.98,17.1329880837985
2020-01-13,0,1.02,65.81,18.19,32.45,18.96,18.43,25.76,94.41,1.54,15.8139693272305
2020-01-14,0,0.79,66,18.51,32.57,21.16,20.02,26.19,94.36,1.17,16.2455205415834
2020-01-15,0,0.77,70.88,19.35,31.39,21.05,16.96,25.79,94.41,1.39,17.0609122125188
2020-01-16,0,0.73,75,19.55,30.73,21.54,19.17,25.19,94.49,1.42,17.4548881613607
2020-01-17,0,1.07,63.81,16.8,33.21,20.85,20.67,26.05,94.56,1.8,15.5841429090014
2020-01-18,0,0.98,74.5,19.71,31.4,20.6,17.85,25.24,94.63,1.73,17.3873428024993
2020-01-19,0,0.65,69,19.31,32.48,21.47,17.38,26.34,94.5,1.06,17.1266650459318
2020-01-20,0,0.88,64.62,18.11,33.15,21.24,18.46,26.49,94.45,1.44,16.1741145122789
2020-01-21,0,1.04,62,17.65,33.98,21.65,19.77,26.99,94.49,1.64,15.955657514391
2020-01-22,0,1.3,56.38,14.63,33.92,20.78,20.27,26.09,94.52,2.23,13.8003394472534
2020-01-23,0,1.43,51.12,11.78,33.44,16.73,19.73,24.37,94.51,2.47,11.3593330570136
2020-01-24,0,1.66,49.62,10.3,32.82,15.9,22.05,23.52,94.56,2.93,10.5064319957798
2020-01-25,0,1.8,50.62,10.4,32.73,14.71,22.33,23.01,94.58,3.23,10.41061192745
2020-01-26,0,1.6,49.94,11.3,33.87,14.77,23.37,24.13,94.59,2.71,10.947257981902
2020-01-27,0,0.95,51.25,13.07,33.46,17.73,22.2,25.19,94.58,1.53,11.9275069102631
2020-01-28,0.14,0.8,67,17.65,33.2,19.14,20.22,25.44,94.57,1.47,15.8136311312344
2020-01-29,0.15,0.91,63.81,17.41,33.4,20.53,17.64,26.23,94.52,1.48,15.741565478399
2020-01-30,0.41,0.86,63,16.77,34.24,20.09,14.19,26.18,94.62,1.56,15.4984343948144
2020-01-31,0.04,0.64,68.94,19.08,33.27,21.54,16.97,26.46,94.64,1.2,17.2265854597384
2020-02-01,0,0.77,64.06,18.08,33.05,22.14,18.94,26.63,94.6,1.18,16.1593762936754
2020-02-02,0,0.79,66.88,18.09,33.36,20.64,19.35,26.13,94.61,1.41,16.4070757888966
2020-02-03,0,1.31,69.94,19.24,32.79,21.05,16.24,26.12,94.68,2.15,17.1481794667255
2020-02-04,0,1.32,68.75,19.26,33.21,20.8,17.19,26.36,94.65,2.12,17.0836488579467
2020-02-05,0,1.55,72.19,19.98,31.69,21.8,17,25.94,94.57,2.42,17.522689080208
2020-02-06,0,0.89,64.62,18.73,33.4,22.17,12.7,27.02,94.53,1.34,16.6576093039843
2020-02-07,0,1.27,53.25,15.33,35.44,21.48,20.95,27.58,94.47,2.02,14.1587669924055
2020-02-08,0,1.2,58.94,17.01,36,20.56,19,27.5,94.45,1.97,15.6025865501269
2020-02-09,0,1.33,69.88,20.21,33.6,22.32,18.15,27.01,94.57,2.12,18.0035327107911
2020-02-10,0,1.38,62.38,18.05,34.89,21.98,19.81,27.38,94.55,2.14,16.4040321816429
2020-02-11,0,1.48,56.19,15.32,35.76,20.69,20.5,27.28,94.5,2.41,14.6947173472624
2020-02-12,0,0.85,65.25,18.71,32.93,22.11,16.57,26.73,94.54,1.38,16.5513404791573
2020-02-13,0,1.04,62.06,17.4,34.61,21.23,19.11,27,94.46,1.73,15.979960682903
2020-02-14,0,1.01,59.31,17.13,34.92,21.95,19.33,27.51,94.35,1.59,15.709211112489
2020-02-15,0,0.96,59.5,17.19,35.85,21.52,19.42,27.6,94.32,1.63,15.8380767774112
2020-02-16,0,1.24,64.38,18.54,36.08,21.97,17.59,27.88,94.38,2.01,17.4037950392295
2020-02-17,0,1.64,67.56,19.82,34.62,22.58,14.79,27.58,94.45,2.57,17.9636863475477
2020-02-18,0,1.54,67.56,19.87,33.87,22.84,17.18,27.33,94.48,2.39,17.7171390438056
2020-02-19,0,0.96,59,17.31,34.65,22.53,17.86,27.76,94.4,1.45,15.8442652416144
2020-02-20,0.09,0.86,58.19,17.43,35.93,21.27,17.64,27.98,94.23,1.45,15.8173389034796
2020-02-21,0.54,1.18,62.56,19.32,35.57,23.44,14.6,28.53,94.23,1.79,17.5269254194878
2020-02-22,1.38,1.4,59.19,18.26,37.69,23.17,17.44,29.22,94.23,2.15,17.2204530082524
2020-02-23,2.03,1.98,72.06,20.63,34.24,22.66,19.37,27.27,94.38,3.02,18.834585108744
2020-02-24,1.31,1.26,70.19,19.97,34.58,22.94,21.28,27.37,94.36,2.05,18.4476165711605
2020-02-25,0.06,1.52,70.81,20.53,33.58,22.69,16.56,27.26,94.37,2.38,18.4976250338631
2020-02-26,0.01,0.99,67.88,19.94,34.38,22.92,14.08,27.48,94.38,1.58,17.9493316095373
2020-02-27,0.01,0.91,68.69,20.33,33.39,22.83,17.71,27.38,94.43,1.48,18.0633691977725
2020-02-28,0.06,1.28,66.31,20.31,35.02,23.33,17.03,28.19,94.4,2.02,18.2339822128184
2020-02-29,0.09,1.72,65.62,19.84,35.83,23.47,17.98,28.39,94.36,2.65,18.2435684725684
2020-03-01,0.04,1.89,69.75,20.69,32.81,23.45,16.14,27.35,94.45,2.88,18.3117029805417
2020-03-02,0.26,1.59,74.56,21.12,30.9,23.49,15.81,26.44,94.58,2.45,18.6101542755656
2020-03-03,0.24,1.2,71.69,20.79,32.81,22.68,18.92,27.02,94.65,1.91,18.4800992108114
2020-03-04,1.07,1.59,78.12,21.29,29.98,23.03,11.59,25.7,94.66,2.47,18.7090465631389
2020-03-05,0.33,1.3,69.75,20.24,34.15,21.84,19.51,27.26,94.5,2.05,18.2207223006913
2020-03-06,1.11,1.52,80.56,21.9,29.62,23.44,14.8,25.76,94.42,2.39,19.3583554019403
2020-03-07,8.5,1.21,82,21.21,28.57,21.43,10.21,24.83,94.49,2.04,18.7009470470334
2020-03-08,1.29,1.34,75.31,20.23,33.15,19.81,18.51,25.75,94.45,2.23,18.0866623985549
2020-03-09,7.5,1.45,79.06,21.78,32.51,21.98,18.9,26.3,94.37,2.27,19.5799627032502
2020-03-10,10.37,1.74,84.56,22.41,29.83,22.6,17.46,25.48,94.32,2.75,20.0030789008859
2020-03-11,7.35,1.53,89.56,22.82,27.96,22.63,16.53,24.76,94.37,2.49,20.344579093671
2020-03-12,9.12,1.35,86.06,22.21,28.72,22.35,15.93,24.91,94.41,2.19,19.7156046167724
2020-03-13,2.68,0.67,81.69,21.87,30.65,22.05,17.11,25.64,94.42,1.22,19.4983591272735
2020-03-14,1.63,0.8,77.75,21.19,32.15,22.37,15.26,26.12,94.43,1.37,19.0630676799816
2020-03-15,1.75,1.01,76.88,20.61,32.05,21.62,19.58,25.8,94.37,1.64,18.515483447221
2020-03-16,7.14,1.55,80.94,21.99,31.29,22.31,17.61,25.97,94.35,2.46,19.6795627570127
2020-03-17,4.25,1.38,79.81,21.92,31.8,22.51,15.97,26.18,94.37,2.21,19.6338103023831
2020-03-18,4.19,1.2,83,22.31,30.43,22.48,16.81,25.74,94.41,1.94,19.9223534883616
2020-03-19,33.24,1.34,89.69,22.69,27.58,22.66,14.6,24.6,94.45,2.17,20.190863473787
2020-03-20,79.75,1,92.5,22.44,26.37,22.13,5.68,23.77,94.5,1.71,19.8664492911082
2020-03-21,11.75,1.13,88.94,22.18,27.74,21.67,21.52,24.23,94.44,1.85,19.6072080619355
2020-03-22,7.98,1.06,90.94,22.44,27.59,21.87,17.31,24.08,94.45,1.75,19.8783413167366
2020-03-23,5.3,0.84,90.5,21.48,25.72,21,18.94,23.16,94.48,1.41,18.7727032217378
2020-03-24,12.41,1.65,90.81,21.86,27.06,21.13,6.3,23.52,94.47,2.65,19.2279139366538
2020-03-25,2.79,1.34,89.19,21.21,27.15,20.36,17.62,23.21,94.48,2.17,18.5538828795983
2020-03-26,1.5,0.93,87.12,21.65,28.19,20.79,16.83,24.12,94.4,1.61,19.0865922293908
2020-03-27,4.88,0.91,87.94,22.11,27.63,21.43,19.93,24.33,94.44,1.5,19.4968752456604
2020-03-28,10.34,0.6,85.19,22.18,28.6,21.53,19.18,24.95,94.49,0.97,19.5603413537228
2020-03-29,11.71,0.6,89.12,22.8,27.79,22.15,12.9,24.79,94.45,1.1,20.2789268376014
2020-03-30,11.97,0.52,85.62,22.42,29.19,21.8,20.12,25.22,94.34,1.03,19.9601485429009
2020-03-31,20.2,0.66,85.5,22.31,27.94,22.3,20.08,24.99,94.36,1.05,19.67581260777
2020-04-01,13.93,0.57,92.06,22.43,26.19,22.08,12.83,23.82,94.48,1.06,19.8282352961446
2020-04-02,1.53,0.58,87.44,22.39,28.67,21.62,23.13,24.76,94.41,1.09,19.8629968283899
2020-04-03,17.58,1.04,92.69,22.81,26.88,22.14,16.17,24.11,94.39,1.8,20.2953761755027
2020-04-04,3.12,0.85,87.88,22.42,29.12,21.28,12.42,24.75,94.44,1.5,19.9516849967832
2020-04-05,2.67,0.73,85.62,22.86,29.46,22.12,21.77,25.61,94.51,1.29,20.4020597093789
2020-04-06,11.82,0.89,89.5,22.8,27.71,22.62,15.58,24.7,94.6,1.59,20.2622102572216
2020-04-07,4.24,0.52,85.38,22.48,29.18,22.14,22.37,25.31,94.47,0.97,20.005153936987
2020-04-08,11.67,1.05,94.25,22.96,26.14,22.3,9.95,23.94,94.42,1.82,20.4388041773949
2020-04-09,15.59,0.84,91.12,22.13,26.46,21.69,15.15,23.71,94.45,1.47,19.5033903949311
2020-04-10,3.07,0.51,82.38,21.32,29.48,20.82,20.02,24.82,94.5,0.88,18.7770159257761
2020-04-11,13.71,1.07,91.62,22.41,27.19,21.65,9.1,23.92,94.53,1.79,19.8459136213422
2020-04-12,0.15,1.41,83.19,19.61,25.69,20.48,22.19,22.83,94.63,2.38,16.9336501132021
2020-04-13,0.1,0.98,78.75,20.5,29.77,19.21,18.33,24.62,94.51,1.55,17.7481121613177
2020-04-14,1.49,0.63,83.25,22.11,29.08,21.23,18.79,25.3,94.45,1.08,19.4951208088735
2020-04-15,2.7,1.27,83.19,22.01,29.29,22.41,17.52,25.23,94.46,2.11,19.4045635217041
2020-04-16,1.93,0.56,80.5,21.01,29.47,19.76,15.49,24.78,94.39,1.02,18.3071455490941
2020-04-17,3.25,0.97,92.88,22.58,26.41,22.11,18.29,23.84,94.36,1.75,20.0276040070173
2020-04-18,6.37,0.93,88.81,22.72,28.81,21.69,20.1,24.83,94.47,1.67,20.2540378932565
2020-04-19,3.89,1.45,91.19,22.05,26.26,21.62,18.57,23.63,94.65,2.38,19.4297133193973
2020-04-20,5.32,1.49,89,21,26.71,20.44,14.59,23.01,94.67,2.37,18.3039206152321
2020-04-21,0.02,0.82,84.88,20.94,28.3,20.43,21.22,23.85,94.58,1.41,18.312978232809
2020-04-22,0,1.12,87,21.5,28.06,20.63,15.5,23.97,94.49,1.9,18.8987554564618
2020-04-23,0,0.66,85.25,22.26,28.83,21.45,21.7,25.07,94.42,1.09,19.7068654185515
2020-04-24,0,0.66,87.44,22.47,27.85,22.54,20.56,24.79,94.4,1.15,19.8966490426376
2020-04-25,0,0.74,86.38,22.55,29.32,21.89,19.5,25.17,94.38,1.4,20.0807727197952
2020-04-26,10.39,1.27,90.69,22.72,27.55,22.33,18.04,24.4,94.49,2.12,20.186395065093
2020-04-27,2.45,0.6,85.19,21.58,28.47,21.34,14.97,24.44,94.64,1.05,19.0051320253179
2020-04-28,4.62,0.55,85.12,21.87,28.47,21.19,17.92,24.68,94.65,0.98,19.2488578612342
2020-04-29,4.66,0.7,85.25,22.23,29.19,21.48,20.31,25.04,94.65,1.2,19.6736058722103
2020-04-30,9.65,0.73,87.81,22.85,29.52,21.77,14.63,25.18,94.68,1.38,20.4246912667352
2020-05-01,21.19,0.8,89.56,22.92,28.22,22.35,18.92,24.86,94.69,1.46,20.4596689932941
2020-05-02,10.75,1.02,91.88,22.53,27.18,22.05,16.37,23.99,94.67,1.78,19.9814988997028
2020-05-03,3.52,0.84,86.94,22.22,28.47,21.61,18.99,24.69,94.55,1.48,19.6715332725171
2020-05-04,1.09,0.61,81.75,21.43,29.17,21.17,16.65,25,94.56,1.02,18.82343874826
2020-05-05,3.09,0.67,83.56,21.94,28.73,21.36,22.96,25.08,94.54,1.11,19.3270728986373
2020-05-06,5.72,0.69,89.5,22.56,27.1,22.1,17.39,24.44,94.49,1.16,19.9666547278548
2020-05-07,9,0.6,86.38,22.33,27.87,22.11,16.4,24.85,94.44,0.98,19.722084420064
2020-05-08,11.49,0.52,85.94,22.09,27.9,22.19,10.49,24.69,94.52,0.83,19.4452676494148
2020-05-09,8.75,0.69,86.31,22.58,28.87,22.01,15.76,25.15,94.54,1.13,20.0419362481361
