"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,1.99,0.29,86.69,22.38,28.81,21.58,21.32,24.88,95.56,0.87,19.8263730616705
2020-01-02,4.73,0.23,92.06,22.87,27.46,21.9,15.59,24.3,95.55,0.81,20.3756628315796
2020-01-03,10.34,0.29,90.44,22.63,27.61,22.41,10.3,24.41,95.66,0.82,20.1421430132451
2020-01-04,1.96,0.27,93.75,22.68,26.2,21.9,13.65,23.75,95.68,0.87,20.1120265636717
2020-01-05,1.64,0.25,89.5,21.37,26,21.07,9.85,23.27,95.72,0.91,18.6822656200898
2020-01-06,0.22,0.26,85.19,21.67,27.94,21.65,19.12,24.44,95.6,0.71,19.0051320253179
2020-01-07,4.52,0.3,84.5,21.85,27.61,21.8,14.62,24.73,95.62,0.7,19.1626689640914
2020-01-08,7.96,0.29,90,22.4,27.27,21.05,16.86,24.19,95.68,0.72,19.795963419033
2020-01-09,9.86,0.31,93.12,22.59,26.28,21.74,10.34,23.8,95.69,0.79,20.0337517872271
2020-01-10,5.41,0.23,92.44,22.57,27.12,21.44,13.8,23.94,95.75,0.85,20.0462923942534
2020-01-11,1.48,0.25,85.06,20.82,26.12,20.61,14.05,23.58,95.85,0.64,18.0720811529056
2020-01-12,0.65,0.26,80,20.8,27.99,21.23,21.45,24.58,95.82,0.45,17.9891252486946
2020-01-13,0.12,0.36,76,20.76,28.94,22,24.46,25.41,95.62,0.68,17.9076621819141
2020-01-14,0.44,0.37,80.44,21.9,29.99,20.76,24.57,25.74,95.49,0.89,19.3078808988411
2020-01-15,5.69,0.33,85.81,22.98,28.57,22,11.1,25.64,95.54,0.84,20.4817504800017
2020-01-16,0.21,0.34,81.44,22.83,30.18,23.21,24.27,26.41,95.54,0.79,20.2934518477782
2020-01-17,1.49,0.29,89.25,23.37,28.31,22.4,18.42,25.34,95.62,0.94,20.9472026771431
2020-01-18,11.84,0.28,93,22.94,26.4,22.36,10.87,24.19,95.75,1.02,20.4558288663341
2020-01-19,0.05,0.26,84.62,21.73,28.36,21.65,21.72,24.69,95.71,0.8,19.1465970269197
2020-01-20,0.15,0.33,81.25,22.02,29.61,22.48,20.33,25.65,95.62,0.91,19.4042097621539
2020-01-21,0.04,0.35,83.06,22.9,30.05,23.25,20.18,26.18,95.58,1,20.4333327116394
2020-01-22,0.52,0.27,84.25,22.81,28.76,23.19,17.89,25.77,95.58,0.88,20.2563927475267
2020-01-23,0.52,0.34,81.69,22.51,30.06,22.95,22.46,26.1,95.59,1.08,20.0067330276815
2020-01-24,0.03,0.38,80.62,22.2,29.92,22.67,21.82,26.03,95.63,1.1,19.6676105411237
2020-01-25,0,0.34,78.69,22.02,30.87,22.21,18.58,26.33,95.65,1.13,19.5209577143919
2020-01-26,1.85,0.29,79.12,21.93,30.63,22.11,21.95,26.13,95.66,1.01,19.4098061665296
2020-01-27,0.55,0.33,76.19,20.63,29.88,22.01,18.67,25.54,95.65,0.94,18.0838915579121
2020-01-28,0.3,0.35,70.19,19.99,30.74,21.67,17.05,26.12,95.64,0.96,17.2094755042817
2020-01-29,4.69,0.28,75,21.15,30.1,22.87,11.75,26.06,95.7,0.7,18.3272835352512
2020-01-30,4.66,0.25,80.88,21.95,30.39,22.11,8.89,25.77,95.76,0.93,19.4461370376256
2020-01-31,10.02,0.23,82,22.07,30.35,21.7,14.01,25.65,95.73,0.84,19.5833255445738
2020-02-01,10.3,0.32,82.19,20.73,27.21,22.34,17.86,24.19,95.83,0.84,18.0781137045592
2020-02-02,0.12,0.34,69.19,19.06,30.28,19.8,18.07,25.5,95.81,0.81,16.3856105373457
2020-02-03,0.19,0.36,72.94,20.32,30.58,21.58,20.6,25.81,95.74,0.8,17.5764257508335
2020-02-04,8.85,0.3,82.25,21.8,29.73,21.79,7.7,25.29,95.73,0.97,19.2501234081538
2020-02-05,0.46,0.29,78.5,20.11,28.93,20.84,19.98,24.44,95.79,0.85,17.5126524708001
2020-02-06,0.65,0.31,75.06,20.57,31.26,20.12,22.45,25.76,95.64,0.98,18.0367199164553
2020-02-07,2.23,0.32,76.88,22.18,31.3,22.16,20.92,26.87,95.61,0.93,19.6536820864651
2020-02-08,5.67,0.19,82.81,22.97,29.76,22.9,17.99,26.26,95.66,0.65,20.4629797719766
2020-02-09,1.13,0.16,76,22.29,32.12,22.83,19.51,27.31,95.58,0.63,19.9084248800493
2020-02-10,9.25,0.29,85.5,23.26,29.93,23.28,14.05,26.01,95.65,0.88,20.8348066636228
2020-02-11,6.21,0.27,81.81,21.8,30.22,22.41,23.71,25.47,95.63,0.77,19.3416948129648
2020-02-12,1.79,0.19,74.81,21.3,31.99,21.14,22.68,26.53,95.57,0.68,18.7663784494143
2020-02-13,9.26,0.22,84.56,22.98,29.27,23.49,13.55,25.9,95.55,0.75,20.4793916262207
2020-02-14,3.35,0.27,77.44,20.66,29.15,21.55,19.25,25.26,95.56,0.8,18.0938344102391
2020-02-15,0.35,0.23,69.56,20.19,31.94,21.77,22.26,26.6,95.45,0.75,17.517509996284
2020-02-16,9.72,0.27,81.88,22.44,30.05,22.08,18.34,25.91,95.55,0.8,19.8414244550311
2020-02-17,8.94,0.34,81.88,22.65,30.66,22.32,13.29,26.24,95.57,0.97,20.2106058754253
2020-02-18,3.53,0.27,84.38,22.77,29.91,22.64,17.58,25.82,95.58,0.88,20.3445192022364
2020-02-19,17.18,0.35,90,22.09,25.81,22.22,15.16,23.89,95.63,0.98,19.4618089132921
2020-02-20,4.16,0.3,80.75,21.93,30.7,21.68,24.51,25.76,95.47,0.73,19.4040119005298
2020-02-21,3.69,0.3,79.56,22.44,29.88,22.29,23.89,26.49,95.39,0.77,19.9135337449228
2020-02-22,5.61,0.34,87.25,23.72,29.34,23.22,21.82,26.07,95.37,1,21.3326550193016
2020-02-23,7.61,0.29,88.5,23.92,28.8,23.59,15.34,26.05,95.46,0.75,21.6141145188313
2020-02-24,9.35,0.26,83.38,23.06,29.83,23.03,20.73,26.25,95.54,0.63,20.5923397385327
2020-02-25,0.25,0.42,83.06,22.44,28.02,23,21.1,25.58,95.52,0.98,19.7587820624342
2020-02-26,0.61,0.38,77.12,22.29,30.7,23.08,18.48,26.8,95.51,0.86,19.6385345484082
2020-02-27,0.35,0.29,78.94,22.06,29.28,23.5,6.42,26.12,95.58,0.7,19.3548368187491
2020-02-28,0.07,0.25,74.19,21.92,31.95,22.15,21.59,27.32,95.57,0.66,19.4450476087537
2020-02-29,0.35,0.3,76,22.48,32.26,23.55,23.26,27.42,95.54,0.9,20.0299348334694
2020-03-01,1.27,0.25,76.31,22.55,31.94,22.83,18.69,27.46,95.6,0.84,20.1561604323143
2020-03-02,0.08,0.34,72.56,20.25,29.56,22.77,24.39,25.91,95.81,1.03,17.5829721355283
2020-03-03,0,0.34,71.06,19.98,31.4,20.95,11.99,26.19,95.78,1.04,17.4910104497715
2020-03-04,0,0.31,65.06,19.35,33.76,22.01,25.39,27.4,95.73,1.04,17.12772528906
2020-03-05,0,0.23,63.56,19.9,34.34,21.44,23.12,28.16,95.63,0.81,17.4489822761924
2020-03-06,0,0.2,64.81,20.99,34.29,22.87,19.98,28.81,95.53,0.67,18.4378915891028
2020-03-07,0.87,0.23,62.62,21.3,35.1,24.74,20.62,29.77,95.42,0.69,18.7719912248184
2020-03-08,11.42,0.19,86.5,23.87,29.74,24.23,16.17,26.41,95.5,0.63,21.5543171025641
2020-03-09,1.8,0.3,82.75,22.26,29.22,23.27,19.11,25.68,95.52,0.96,19.7956947183667
2020-03-10,2.26,0.2,78.75,22.05,31.51,22.72,21.17,26.39,95.45,0.59,19.6012915194025
