"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,2.77,0.25,81.31,22.62,30.89,21.87,14.93,26.33,96.84,0.94,20.170912082313
2020-01-02,1.98,0.2,82.75,22.73,30.23,22.69,18.28,26.11,96.85,0.71,20.2776605285862
2020-01-03,0.3,0.16,81.19,20.74,28.78,21.26,19.17,24.56,96.97,0.97,18.2360894895679
2020-01-04,0.04,0.23,78.88,19.26,28.14,19.09,20.96,23.55,97.03,1.01,16.7304502879089
2020-01-05,0.05,0.2,78.81,20.62,29.94,20.49,18.36,24.87,96.98,0.85,18.0140237710366
2020-01-06,0.43,0.18,84.19,21.98,30.09,20.69,19.62,25.13,96.86,0.98,19.5276657535538
2020-01-07,0.33,0.21,81.38,21.85,30.05,21.25,20.02,25.61,96.87,0.86,19.3917264558427
2020-01-08,1.36,0.23,82.88,22.2,29.45,22.8,21.18,25.51,96.96,0.77,19.6386994474567
2020-01-09,9.54,0.18,90.38,22.36,27.26,21.5,10.94,24.11,97,0.8,19.7895792290639
2020-01-10,8.34,0.18,88.44,21.56,26.77,21.84,12.25,23.69,97.12,0.53,18.9082329850989
2020-01-11,0.17,0.2,86.38,21.37,28.08,20.51,22.01,23.96,97.12,0.82,18.7534235306158
2020-01-12,0,0.27,81.38,21.39,30.9,19.79,23.32,25.12,97.05,1.09,18.8652737898746
2020-01-13,0.01,0.3,79.44,21.67,31.19,20.7,23.6,25.87,96.88,1.1,19.2071261760921
2020-01-14,0.03,0.31,79.38,22.33,31.82,21.57,22.65,26.54,96.76,1.06,19.9238690053098
2020-01-15,0.03,0.31,76.5,22.3,32.53,21.73,23.28,27.19,96.77,1.05,19.9067030448258
2020-01-16,0.59,0.31,74.62,22.48,32.3,22.9,17.35,27.67,96.81,0.69,19.9397147828229
2020-01-17,2.58,0.24,74.31,22.42,31.94,23.08,17.37,27.63,96.89,0.66,19.813084230477
2020-01-18,0.31,0.16,83.88,22.69,29.15,22.37,19.74,25.76,97.02,0.81,20.1561426404512
2020-01-19,0.52,0.21,78.94,22.5,31.33,22.78,18.97,26.78,96.91,0.7,20.0796706378595
2020-01-20,0.11,0.2,77.06,22.19,31.83,22.01,20.21,26.89,96.84,0.73,19.7215851149804
2020-01-21,0.72,0.23,75.81,22.57,32.01,22.77,20.24,27.48,96.87,0.75,20.0462408562025
2020-01-22,0,0.3,74.06,21.28,32.02,22.28,20.41,26.73,96.87,0.98,18.7860885193316
2020-01-23,0.01,0.29,74.06,19.47,31.2,19.19,21.79,24.94,96.88,1.13,16.9952197336074
2020-01-24,0.03,0.27,74.44,18.85,30.28,18.33,20.72,24.15,96.94,1.11,16.3363750230757
2020-01-25,0.02,0.23,73.69,18.79,30.67,18.51,22.87,24.31,96.99,0.97,16.3190651385138
2020-01-26,0,0.22,68.75,18.76,31.01,19.25,21.84,25.36,96.98,0.9,16.1539398236082
2020-01-27,0.09,0.28,69.5,19.28,31.39,20.1,22.06,25.73,96.94,0.92,16.6726295188379
2020-01-28,0.04,0.31,66.81,19.57,31.82,20.6,22.5,26.58,96.93,0.75,16.8062546806226
2020-01-29,0.1,0.27,67.19,19.33,31.83,20.18,21.37,26.44,96.93,0.79,16.7706044229514
2020-01-30,0.82,0.33,78.94,21.3,29.44,22.08,18.35,25.37,97.03,0.84,18.5586690093688
2020-01-31,0.45,0.23,85.81,22.29,29.52,21.63,13.23,25.05,97.06,0.97,19.813994033298
2020-02-01,0.93,0.27,79.06,21.72,30.92,21.01,20.93,25.94,97.02,0.84,19.190245168046
2020-02-02,0.17,0.23,76.81,21.8,31.22,21.79,19.83,26.48,97.01,0.7,19.2145166851799
2020-02-03,3.16,0.27,75.62,21.76,31.67,21.77,20.96,26.73,97.01,0.75,19.1817987284885
2020-02-04,10.61,0.14,88.75,22.32,27.95,22.4,9.22,24.43,97.11,0.84,19.7881382679512
2020-02-05,1.23,0.15,81.06,22.05,31.27,20.99,19.58,25.91,96.97,0.77,19.6427194226285
2020-02-06,0.78,0.17,77.19,22.05,31.4,22.11,23.33,26.73,96.9,0.7,19.5800455415502
2020-02-07,4.12,0.2,77.62,22.58,31.65,23.3,21.78,27.08,96.87,0.63,20.0754025970462
2020-02-08,7.95,0.11,91.31,23.62,28.62,22.94,13.58,25.21,96.95,0.79,21.274661604515
2020-02-09,4.19,0.14,82.56,23.08,31.43,22.51,19.17,26.61,96.91,0.66,20.8029115801436
2020-02-10,1.91,0.2,82.12,23.34,31.29,23.08,22.72,26.87,96.9,0.8,20.9932410632221
2020-02-11,1.85,0.17,85.5,23.15,29.34,23.48,7.23,25.9,96.89,0.72,20.7070480610439
2020-02-12,3.59,0.2,80.31,22.59,31.37,22.19,19.53,26.57,96.89,0.8,20.190980111393
2020-02-13,2.47,0.22,82.69,22.17,29.73,22.68,19.27,25.58,96.86,0.85,19.6707643720526
2020-02-14,0.31,0.3,73.5,20.58,31.58,21.18,21.59,26.15,96.74,0.95,18.0512490696978
2020-02-15,0.06,0.33,71.38,20.85,32.34,21.83,22.28,26.87,96.68,0.89,18.2476564429225
2020-02-16,0.81,0.2,79.56,21.87,31.41,20.98,20.13,25.98,96.76,0.91,19.354850721833
2020-02-17,5.62,0.13,86.12,22.91,30.23,22.94,17.62,25.62,96.86,0.89,20.5327107904412
2020-02-18,3.28,0.14,88.12,22.05,27.81,22.52,16.26,24.3,96.98,0.73,19.5036216458701
2020-02-19,0.43,0.2,81.88,21.92,30.65,21.77,14.47,25.58,96.89,0.99,19.4780769958116
2020-02-20,0.23,0.17,79.81,22.57,32.33,21.98,25.14,26.74,96.67,0.71,20.2558916658963
2020-02-21,2.64,0.13,86.38,23.68,29.07,23.57,19.94,26.19,96.68,0.59,21.2619403694239
2020-02-22,1.64,0.17,85.75,23.82,31.37,23.18,17.32,26.61,96.65,0.83,21.6067062499674
2020-02-23,4.17,0.12,84.44,23.92,31.43,23.01,16.02,27,96.71,0.87,21.7426342259802
2020-02-24,6.15,0.13,86.44,24.3,31.03,23.94,19.69,26.94,96.78,0.8,22.1836448233454
2020-02-25,2.97,0.09,85.56,23.92,30.1,23.99,20.7,26.69,96.76,0.48,21.6549734421596
2020-02-26,10.48,0.2,89,24.19,29.24,23.55,10.07,26.21,96.79,0.68,21.9313052479458
2020-02-27,4.93,0.15,89.06,23.94,29.09,23.47,20.27,25.99,96.88,0.63,21.6780658165164
2020-02-28,3.77,0.2,83.06,23.69,31.97,22.45,20.02,27.1,96.79,0.7,21.5062178361863
2020-02-29,11.58,0.18,92.38,24.38,28.9,23.94,9.43,25.77,96.83,0.97,22.2111045936678
2020-03-01,21.95,0.18,91.31,23.96,28.49,23.03,18.7,25.55,96.91,0.75,21.6848225333128
2020-03-02,30.01,0.24,91.31,23.12,27.91,22.31,8.18,24.73,97.08,0.97,20.707021338594
2020-03-03,0.34,0.3,81.94,21.96,29.76,21.89,19.81,25.54,97.13,0.85,19.4486687787809
2020-03-04,0.46,0.11,78.69,22.45,31.57,21.71,24.63,26.71,97.02,0.53,19.9383561957402
2020-03-05,4.49,0.17,84.94,23.54,30.59,22.78,22.91,26.43,96.97,0.86,21.1891911098811
2020-03-06,7.87,0.16,85.88,23.72,30.99,22.49,22.4,26.52,96.8,0.8,21.5313403058954
2020-03-07,20.77,0.09,94.56,23.88,27.04,23.01,14.54,24.83,96.85,0.63,21.5653847898473
2020-03-08,6.61,0.17,83.94,23.32,31.02,22.01,18.85,26.49,96.87,0.73,21.0098293432481
2020-03-09,6.26,0.2,90.31,23.78,28.53,23.3,19.1,25.56,96.81,0.92,21.4593697119778
2020-03-10,5.79,0.14,87.88,23.17,29.6,22.2,16.58,25.49,96.73,0.8,20.8001105503446
2020-03-11,15.95,0.16,89,23.8,30.48,22.12,22.1,25.9,96.71,0.84,21.5547049992153
2020-03-12,24.75,0.18,93.19,23.82,26.92,23.33,9.4,25.02,96.86,0.84,21.4817540945845
2020-03-13,0.41,0.19,83.5,22.95,30.65,22.72,24.19,26.26,96.84,0.61,20.6334840111103
2020-03-14,0.09,0.17,80.56,23.3,31.7,23.25,24.35,27.2,96.85,0.49,20.9748040261511
