"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,3.28,5.78,83.31,25.51,28.83,28.45,18.32,28.62,100.68,6.67,23.4557037595177
2020-01-02,4.32,5.46,83.5,25.61,28.9,28.4,19.26,28.66,100.77,6.29,23.5607704434884
2020-01-03,16,4.14,81.19,24.95,28.9,27.78,21.36,28.47,100.95,4.66,22.6716173457763
2020-01-04,2,2.73,79.38,24.74,28.82,28.44,25.19,28.65,100.88,2.99,22.385985305437
2020-01-05,0.16,3,79.31,24.62,28.67,28.37,21.75,28.54,100.67,3.31,22.2318220732066
2020-01-06,0.31,2.65,77.69,24.37,28.81,28.41,24.4,28.63,100.66,2.9,21.8853956222371
2020-01-07,1.59,3.28,79.31,24.83,29.02,28.4,25.94,28.76,100.8,3.64,22.5013666089064
2020-01-08,3.78,2.16,79.81,24.56,28.58,28.11,25.89,28.37,100.85,2.33,22.1643038641198
2020-01-09,0.66,1.39,81.88,24.48,28.3,27.65,21.22,27.84,100.79,1.48,22.0858176255758
2020-01-10,3.07,1.06,80.06,24.13,28.08,27.68,9.82,27.87,100.76,1.12,21.6306348406353
2020-01-11,2.3,1.66,78.5,23.63,28.29,27.28,21.31,27.7,100.79,1.77,21.0112706317205
2020-01-12,3.16,1.7,73.81,23.14,28.75,27.74,18.4,28.25,100.75,1.84,20.3633762588376
2020-01-13,2.83,3.73,82.94,24.7,28.04,27.55,23.36,27.84,100.68,4.1,22.3717356358727
2020-01-14,7.27,3.48,83.38,24.98,28.41,27.6,18.42,28.05,100.73,3.82,22.7520389795663
2020-01-15,5.39,2.84,81.12,24.35,28.24,27.53,23.42,27.87,100.8,3.09,21.9170259589349
2020-01-16,10.4,4.8,83.62,24.69,28.36,26.86,21.67,27.7,100.75,5.38,22.381687264006
2020-01-17,15.54,5.3,82.81,25.14,28.72,27.98,14.09,28.32,100.63,6.04,22.9343957131038
2020-01-18,4.76,6.66,80.25,25.39,29.48,28.71,20.41,29.12,100.57,7.77,23.2205029609605
2020-01-19,2.8,7.15,80.25,25.37,29.21,28.91,15.58,29.1,100.54,8.39,23.195165558847
2020-01-20,8.35,7.93,83.56,25.8,29.08,28.18,20.11,28.84,100.47,9.39,23.8111529394905
2020-01-21,8.1,8.55,84,25.87,28.97,28.18,18.51,28.83,100.34,10.17,23.9234446023388
2020-01-22,35.48,8.75,84.88,25.63,28.73,28.06,2.36,28.4,100.37,10.42,23.6111586207803
2020-01-23,16.01,5.7,82.38,24.84,28.51,27.44,7.15,28.11,100.67,6.55,22.5534937336164
2020-01-24,18.79,2.75,77.06,23.22,27.94,26.61,9.23,27.58,100.84,3.01,20.4896635574604
2020-01-25,26.99,2.2,81.75,23.84,27.6,26.42,15.56,27.22,100.97,2.38,21.3082244759622
2020-01-26,33.29,2.35,79.94,23.56,27.93,26.47,20.52,27.33,101.02,2.55,20.9637077436623
2020-01-27,0.56,2.83,78.19,23.98,28.57,27.51,23.96,28.13,100.9,3.1,21.4299410669005
2020-01-28,8.07,3.96,81.19,24.73,28.5,27.88,25.49,28.24,100.8,4.43,22.3871333965456
2020-01-29,0.91,3.94,78.06,24.12,28.37,28.16,24.45,28.29,100.9,4.41,21.583282029441
2020-01-30,4.93,3.52,79.56,24.6,28.76,28.09,21.35,28.45,100.91,3.92,22.1920920664302
2020-01-31,11.71,3.09,83.62,24.93,28.42,27.59,14.91,27.95,100.81,3.42,22.6922622846758
2020-02-01,3.37,1.74,82.44,24.45,27.94,27.55,23.45,27.7,100.79,1.89,22.0658490557839
2020-02-02,12.88,2.7,82.44,24.44,28.01,27.48,24.62,27.7,100.94,2.95,22.0658490557839
2020-02-03,0.85,1.93,77.25,23.73,28.26,27.67,14.34,28.07,100.93,2.1,21.1025463237771
2020-02-04,1.15,1.93,78.44,23.92,28.19,27.74,25.5,28,100.85,2.09,21.3452302708549
2020-02-05,0.99,1.69,76.25,23.77,28.47,28,24.7,28.33,100.83,1.81,21.1291903093011
2020-02-06,2.07,2.62,77.94,24.28,28.69,28.35,23.61,28.48,100.91,2.84,21.776023725553
2020-02-07,0.79,2.57,79.62,24.42,28.55,28,24.98,28.26,100.98,2.79,21.9783644451314
2020-02-08,1.56,2.24,80.56,24.39,28.18,27.92,25.89,28.02,101.03,2.41,21.9462762005075
2020-02-09,0.83,1.83,79.62,24.17,28.15,27.83,26.5,28,100.98,1.95,21.6663339388764
2020-02-10,0.75,1.8,78.31,24.12,28.64,27.72,25.55,28.24,100.87,1.91,21.5930091918153
2020-02-11,0.53,1.48,77.31,24.01,28.56,28.13,26.88,28.33,100.7,1.57,21.4229206926173
2020-02-12,0.8,1.6,77.56,23.97,28.44,28.01,24.99,28.24,100.66,1.7,21.3862060135001
2020-02-13,8.5,4.04,77.5,23.95,28.58,27.89,15.49,28.28,100.81,4.51,21.4166766106139
2020-02-14,8,2.38,72.94,23.11,28.9,28.01,14.94,28.43,100.88,2.59,20.3232269552703
2020-02-15,0.66,1.55,76.69,23.74,28.43,27.93,25.41,28.22,100.86,1.64,21.1230856091523
2020-02-16,1.96,2.99,83.25,25.16,28.73,27.8,24.91,28.26,100.82,3.27,22.9803923644459
2020-02-17,1.51,3.28,82,25.37,29.01,28.28,25.06,28.72,100.8,3.61,23.213671873496
2020-02-18,0.99,2.09,78.25,24.68,29.05,28.5,24.37,28.83,100.84,2.25,22.2858278587263
2020-02-19,2.1,1.64,77.06,24.4,28.95,28.65,18.28,28.81,100.83,1.74,21.9229119866728
2020-02-20,1.4,2.02,77.75,24.58,29.01,28.66,24.65,28.84,100.69,2.17,22.1555426166274
2020-02-21,5.98,2.5,81.94,25.1,28.74,28.01,19.18,28.47,100.73,2.7,22.881048470414
2020-02-22,53.06,3.36,82.5,25.06,28.75,27.8,14.74,28.32,100.78,3.7,22.8485405908835
2020-02-23,3.93,4.1,82.06,25.62,29.26,28.74,17.51,28.98,100.69,4.59,23.5633787312754
2020-02-24,0.4,4.36,83.38,26.12,29.35,29.02,24.85,29.2,100.62,4.95,24.2317252615657
2020-02-25,2.5,4.83,84,26.09,29.45,28.62,7.74,29.05,100.54,5.51,24.2128573196446
2020-02-26,4.87,5.09,80,25.47,29.49,28.98,15.17,29.27,100.6,5.82,23.3383619595884
2020-02-27,2.44,4.51,80.5,25.54,29.43,29,18.09,29.23,100.69,5.12,23.4330586064644
2020-02-28,2.25,3.21,78.25,24.94,29.34,28.58,24.92,29.08,100.69,3.55,22.5924101748134
2020-02-29,11.2,4.74,84.81,25.48,29.08,27.56,21.36,28.27,100.51,5.37,23.4238813296465
2020-03-01,7.71,5.85,81.62,25.79,29.58,28.85,13.24,29.24,100.42,6.74,23.7720446409946
2020-03-02,2.29,4.05,76.94,24.51,29.29,28.69,21.16,28.94,100.59,4.52,22.0449370179617
2020-03-03,6.31,4.82,78.81,24.88,29.08,28.61,21.61,28.9,100.84,5.46,22.5314089000977
2020-03-04,1.28,5.27,79.31,24.61,28.94,28.23,24.42,28.53,100.89,5.98,22.2196364293411
2020-03-05,0.68,4.77,77.06,24.37,29.12,28.33,23.78,28.77,100.8,5.38,21.8749789827203
2020-03-06,2.75,4.22,82.38,25.04,28.48,28.14,20.16,28.3,100.67,4.71,22.7902595161487
2020-03-07,13.99,2.53,83.44,24.61,28.36,26.76,9.25,27.65,100.64,2.75,22.2719679416765
2020-03-08,2.82,3.45,82,25.32,29.12,28.25,21.51,28.69,100.6,3.8,23.1755705321403
2020-03-09,2.35,4.11,81.25,25.62,29.39,28.65,19.79,29.14,100.49,4.63,23.535532282868
2020-03-10,2.04,2.66,81,25.45,29.25,28.77,24.16,29.03,100.5,2.92,23.3226222533896
2020-03-11,2.57,1.35,79.5,25.01,29.19,28.62,24.05,28.9,100.54,1.44,22.7286766597864
2020-03-12,5.46,1.31,79.31,24.98,29.31,28.38,20.4,28.9,100.57,1.41,22.674356552046
2020-03-13,10.02,4.79,84.75,26.04,29.08,28.56,15.09,28.83,100.65,5.42,24.1370467862882
2020-03-14,15.75,4.75,85.56,25.76,28.55,28.05,18.75,28.39,100.71,5.37,23.7872556920596
2020-03-15,11.5,3.73,83.5,25.62,28.93,28.06,18.99,28.67,100.58,4.15,23.5736788353392
2020-03-16,6.8,2.97,82.31,25.44,28.87,28.55,22.76,28.73,100.47,3.26,23.3141913673235
2020-03-17,2,2.33,74.56,23.9,28.99,28.71,21.71,28.87,100.67,2.52,21.2814143678095
2020-03-18,2.51,1.83,72.56,23.24,28.98,28.39,20.18,28.65,100.78,1.95,20.4626743986207
2020-03-19,0.17,1.8,68.88,22.58,29.05,28.65,25.26,28.85,100.85,1.93,19.6386975372071
2020-03-20,2.51,1.66,70.19,23.15,29.49,28.56,24.4,29.12,100.86,1.77,20.3096212190632
2020-03-21,1.8,2.88,74.06,24.04,29.4,28.66,23.99,29.12,100.86,3.14,21.429413698302
2020-03-22,2.93,4.71,79.44,25.08,29.52,28.25,23.82,28.97,100.91,5.3,22.7985890753772
2020-03-23,2.61,4.75,77.5,25.01,29.58,28.96,23.56,29.34,100.96,5.38,22.6954681820546
2020-03-24,3.89,3.11,74.75,24.19,29.23,29.01,23.39,29.12,100.84,3.44,21.629066620957
2020-03-25,0.15,2.62,76.56,24.01,29.07,28.21,24.62,28.51,100.58,2.84,21.4256817640089
2020-03-26,0.25,1.3,72.69,23.28,29.15,28.09,23.87,28.65,100.5,1.37,20.4993357502169
2020-03-27,2.61,1.45,71.12,23.69,29.78,29.06,24.55,29.45,100.69,1.55,20.9522837980308
2020-03-28,1.7,2.25,75.94,24.42,29.53,28.67,23.03,29.09,100.81,2.43,21.9374391223116
2020-03-29,72.4,4.37,80.5,25.27,29.4,28.38,9.5,28.94,100.68,4.93,23.064952299791
2020-03-30,29.34,5.26,79.19,24.94,29.09,28.69,21.88,28.88,100.65,5.98,22.6153038567357
2020-03-31,3.42,5.2,78.06,24.46,28.98,28.37,24.3,28.63,100.75,5.89,21.9896252062277
2020-04-01,0.96,4.84,74.12,23.44,28.72,28.19,21.41,28.49,100.82,5.45,20.7200972869646
