"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,6.44,73.5,17.85,23.56,22.15,9.77,22.81,101.52,7.53,14.9440814854262
2020-01-02,0,6.31,73.69,17.45,23.26,21.74,9.32,22.37,101.57,7.36,14.60912998566
2020-01-03,0,6.2,74.94,17.6,23.1,21.6,16.54,22.27,101.64,7.22,14.7717505090412
2020-01-04,0,6.6,74.25,17.36,22.88,21.55,16.18,22.14,101.66,7.73,14.5266359508108
2020-01-05,0,7.94,66.75,15.49,22.78,21.26,15.41,21.96,101.71,9.35,12.9245336930689
2020-01-06,0,9.09,65.31,15.09,22.57,21.26,18.27,21.88,101.8,10.8,12.5874876515166
2020-01-07,0,9.23,68.62,15.32,21.86,20.67,15.79,21.3,101.79,10.95,12.7891583339235
2020-01-08,0,8.75,65.5,14.48,21.97,20.55,18.71,21.19,101.79,10.34,12.1300389486933
2020-01-09,0,9.2,64.69,13.98,21.62,20.12,19.78,20.87,101.92,10.9,11.7594037219053
2020-01-10,0,9.26,66.25,14.33,21.75,19.89,18.98,20.83,101.92,10.98,12.0149929525833
2020-01-11,0,8.03,66.62,14.69,21.8,20.31,16.61,21.12,101.86,9.44,12.2874378071311
2020-01-12,0,7.2,69.75,15.8,22.19,20.64,19.35,21.54,101.76,8.41,13.181706395154
2020-01-13,0,7,71.75,16.28,22.23,21.05,15.17,21.58,101.63,8.17,13.5910890883571
2020-01-14,0.03,5.8,71.19,16.05,22.01,20.94,10.58,21.48,101.53,6.7,13.4072105683874
2020-01-15,0.01,5.91,74.88,17.12,22.4,21.16,16.27,21.75,101.58,6.85,14.3240444099562
2020-01-16,0,6.91,71.19,16.52,22.79,21.36,20.34,21.99,101.75,8.1,13.8080984294228
2020-01-17,0,6.72,73.5,16.93,22.65,21.22,17.77,21.87,101.78,7.86,14.1578105047398
2020-01-18,0,5.87,76.75,17.51,22.78,21.01,17.65,21.77,101.68,6.84,14.6987326665994
2020-01-19,0,4.7,79.44,18.26,23.06,21.12,16.74,22.01,101.46,5.49,15.4260546243009
2020-01-20,0,4.36,76.38,17.36,23.16,20.8,20.22,21.77,101.26,5.01,14.6278723267083
2020-01-21,0.01,4.14,81.56,18.26,22.82,20.62,21.59,21.58,101.31,4.73,15.4493271922844
2020-01-22,0,4.7,78.38,17.58,22.48,20.73,20.19,21.5,101.45,5.39,14.7784006529268
2020-01-23,0,5.46,80.19,18.18,22.48,20.94,18.08,21.73,101.44,6.34,15.3220993656002
2020-01-24,0,7.15,80,18.31,22.47,21.49,18.09,21.9,101.56,8.41,15.436560433249
2020-01-25,3.44,8.16,78.5,17.93,22.58,20.98,5.51,21.82,101.74,9.66,15.0773505463067
2020-01-26,0,7.03,78.06,18.06,22.51,21.6,16.2,22.05,101.7,8.27,15.1930665090848
2020-01-27,0,7.12,79.62,18.03,22.35,21.06,21.12,21.69,101.61,8.37,15.1780673515999
