"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,2.53,2.94,78.25,18.97,29.75,19.19,20.62,23.52,94.53,3.76,16.5684865713375
2020-01-02,0.73,4.72,78.5,18.69,28.84,19.56,20.52,23.07,94.62,5.99,16.1999599273614
2020-01-03,1.28,4.92,78.88,18.77,28.64,19.87,20.59,23.04,94.71,6.25,16.2504798211721
2020-01-04,1.36,4.86,78.44,18.32,28.06,19.35,20.34,22.63,94.58,6.17,15.7847558749325
2020-01-05,0.49,3.12,74.62,17.94,30,18.97,20.28,23.36,94.44,3.97,15.6564122077046
2020-01-06,0.09,1.85,71.69,18.62,31.99,19.39,16.12,24.91,94.5,2.38,16.4235614103697
2020-01-07,0,3.13,75.56,19.64,30.94,20.79,17.61,24.8,94.62,3.93,17.2031017275203
2020-01-08,0,4.27,75.19,18.48,29.42,20.27,19.13,23.61,94.59,5.37,16.0023868217823
2020-01-09,0,3.73,75.88,18.27,29.63,19.45,19.85,23.31,94.53,4.72,15.8754247004559
2020-01-10,0,2.22,71.25,17.69,31.05,19.35,18.72,24.15,94.41,2.86,15.6363073669283
2020-01-11,0.57,4.54,72.62,18.16,30.48,19.23,11.34,23.86,94.48,5.74,15.6767723959491
2020-01-12,0.01,4.53,65.31,14.13,27.49,18,8.93,21.49,94.74,5.77,12.306951833263
2020-01-13,0.28,3.27,74.62,16.79,27.87,17.7,10.91,21.97,94.7,4.09,14.4567043655063
2020-01-14,0.15,2.64,72.19,17.08,29.94,18.74,17.18,23.17,94.64,3.33,14.983159329568
2020-01-15,0.62,4.65,77.12,17.37,27.52,18.89,12.52,21.91,94.72,5.84,14.8894319957089
2020-01-16,0.01,5.81,69.12,14.47,26.45,17.85,21.33,20.83,94.78,7.39,12.5354915152084
2020-01-17,0,5.83,71.5,14.14,25.47,16.46,20.37,19.85,94.73,7.45,12.245799934345
2020-01-18,0,4.43,71.31,14.73,27.13,16.56,22.83,20.73,94.68,5.66,12.8576148727739
2020-01-19,0,3.31,70,15.01,28.97,16.59,22.24,21.63,94.64,4.24,13.2979935601207
2020-01-20,0,2.22,67.5,15.32,30.71,17.47,21.35,22.95,94.69,2.85,13.8346134857945
2020-01-21,0.04,2.22,68,16.02,30.6,17.72,20.8,23.33,94.55,2.8,14.2430365672632
2020-01-22,0.19,3.38,72.56,17.33,29.4,19.08,20.01,23.17,94.5,4.2,15.0599534693649
2020-01-23,0.53,2.71,70.81,17.51,29.61,19.23,14.69,23.71,94.57,3.35,15.1562233742875
2020-01-24,0.66,3.16,70.44,17.48,29.81,19.46,12.03,23.68,94.71,3.91,15.0513146141374
2020-01-25,0.16,4.39,69.31,16.75,29.77,19.01,11.42,23.21,94.82,5.48,14.418316205684
2020-01-26,0.17,4.55,67.31,15.87,29.23,18.62,8.96,22.83,94.79,5.68,13.7012139574424
2020-01-27,0.19,4.24,73.38,16.71,27.39,18.69,10.25,22.05,94.8,5.29,14.2821831980098
2020-01-28,0.03,6.14,70.56,15.68,27.21,18.48,15.87,21.75,94.69,7.77,13.4976572324587
2020-01-29,0.01,6.15,68.75,14.84,26.99,18.19,20.1,21.3,94.72,7.77,12.8133872844249
2020-01-30,0.04,5.22,71.88,15.73,28.13,17.55,18.67,21.56,94.72,6.57,13.5999714152879
2020-01-31,0.01,5.52,73.69,16.08,27.73,17.78,19.36,21.5,94.63,6.94,13.8941100295251
2020-02-01,0.02,4.37,71.19,16.56,29.39,18.62,21.41,22.76,94.63,5.45,14.4330002293377
2020-02-02,0.02,4.21,72.94,17.38,29.92,18.66,18.65,23.11,94.66,5.23,15.0870073588069
2020-02-03,0.01,5.32,74.38,17.43,28.49,19.4,14.75,22.64,94.69,6.65,14.9763368845618
2020-02-04,0.01,6.05,74.62,16.81,27.27,18.73,20.17,21.99,94.61,7.64,14.4733853743999
2020-02-05,0,5.62,75.31,17.47,28.31,19.12,20.66,22.55,94.62,7.06,15.0854787966295
2020-02-06,0,5.02,73.19,17.11,28.73,19.02,21.63,22.72,94.76,6.3,14.804495607836
2020-02-07,0,4.8,71.5,16.74,30.34,18.69,21.48,23.05,94.75,6.02,14.7385133815756
2020-02-08,0,4.8,70.56,16.5,30.73,18.68,23.34,23.15,94.77,6.02,14.6281251540467
2020-02-09,0,3.09,65.5,15.72,33.11,17.45,23.68,24.06,94.7,3.88,14.3012405552567
2020-02-10,0.04,2.75,65.19,17.32,33.83,19.08,21.68,25.37,94.55,3.38,15.3260657806024
2020-02-11,0.41,4.58,66.12,17.02,32.36,19.74,14.82,24.59,94.46,5.7,14.8764161157296
2020-02-12,1.98,4.31,69.56,16.35,28.12,18.91,10.89,22.48,94.74,5.36,13.8777929748675
2020-02-13,1.62,5.55,73.75,17.49,28.4,19.55,14.17,22.78,94.86,6.95,14.9691594008297
2020-02-14,0.16,6.22,70.12,15.71,27.6,18.84,19.59,21.95,94.82,7.84,13.5692254651329
2020-02-15,0.04,6.12,71.19,15.77,28.01,18.48,23.03,21.93,94.7,7.73,13.76040328971
2020-02-16,0,6.19,72.88,16.31,28.9,17.8,22.88,22.21,94.58,7.82,14.3161814636764
2020-02-17,0,6.41,73.5,16.89,29.03,18.89,22.04,22.6,94.47,8.09,14.7652254011624
2020-02-18,0,5.59,69.94,16.41,29.83,19.26,22.72,23.15,94.54,7.03,14.4995900407316
2020-02-19,0,4.84,69.06,16.23,31.62,18.58,24.36,23.53,94.45,6.08,14.6309490645547
2020-02-20,0.02,2.28,62.12,15.06,34.51,18.3,24.36,25.12,94.42,2.93,14.4004768717991
2020-02-21,0.03,2.75,65.19,17.66,34.07,19.96,21.1,25.83,94.45,3.41,15.72649629048
2020-02-22,0.04,4.52,67.38,17.3,32.56,20.43,19.81,25.05,94.59,5.62,15.5584071549192
2020-02-23,0.04,5.29,69.31,16.14,29.83,18.94,23.65,23.08,94.6,6.62,14.3116094462196
2020-02-24,0.02,5.95,72.12,16.26,29.17,18.33,24.1,22.33,94.49,7.5,14.2650316294617
2020-02-25,0,4.6,68.62,17.26,32.19,18.73,24.9,24.39,94.47,5.74,15.2652635432104
2020-02-26,0,3.49,65.31,17.75,34.19,19.64,20.31,25.83,94.6,4.33,15.7554452021974
2020-02-27,0,3.33,60.12,15.98,34.15,19.84,18.04,25.7,94.6,4.11,14.3982063412175
2020-02-28,0,3.78,60.06,14.26,32.44,19.13,20.63,24.5,94.5,4.73,13.4443989576392
2020-02-29,0,4.57,62.94,14.5,32.45,18.7,21.25,23.99,94.34,5.73,13.6878051888038
2020-03-01,0,3.06,57.31,13.73,35.15,18.23,23.32,25.47,94.33,3.84,13.5493525208533
2020-03-02,0,2.74,60.81,16.15,35.9,18.35,22.17,25.97,94.46,3.45,14.7852015227816
2020-03-03,0,3.71,63.69,17.21,34.09,20.62,20.54,25.69,94.55,4.56,15.244645912436
2020-03-04,0,5.09,65.44,16.52,32.51,19.98,23.5,24.66,94.53,6.36,14.7817595690507
2020-03-05,0,4.22,58.62,14.69,34.34,19.88,24.35,25.54,94.47,5.26,13.9136070760573
2020-03-06,0,4.6,59.31,14.9,33.91,19.58,24.87,25.48,94.38,5.74,14.0300687040154
2020-03-07,0.06,4.05,59.69,15.84,35.27,20.21,25.13,26.26,94.37,5.03,14.749852223032
2020-03-08,0.12,3.38,60.12,16.05,35.73,20.28,24.76,26.45,94.39,4.16,15.0142962287687
2020-03-09,0.11,4.71,66.06,16.98,32.16,20.08,21.1,24.77,94.32,5.83,15.0147556174054
2020-03-10,0.15,6.2,62.62,15.53,31.69,20.41,21.82,24.6,94.34,7.8,14.096910143032
2020-03-11,0.17,7.02,66.44,16.37,30.05,20.27,23.35,24.01,94.39,8.88,14.4653767285265
2020-03-12,1.07,7.9,69.25,16.41,29.31,19.7,24.13,23.15,94.38,10.05,14.3565428984939
2020-03-13,5.79,8.05,76.25,17.96,28,19.23,22.62,22.65,94.38,10.26,15.3616688046056
2020-03-14,4.48,5.12,75.38,18.95,29.8,20.02,22.89,24.01,94.43,6.41,16.4118015923589
2020-03-15,3.7,2.91,69.5,18.96,32.57,20.56,18.99,25.66,94.27,3.61,16.6073676118229
2020-03-16,1.96,2.7,68.31,19.45,32.17,21.69,16.76,26.24,94.25,3.28,16.8610953511273
2020-03-17,0.43,4.24,71.06,19.7,32.54,21.74,20.53,25.9,94.28,5.24,17.2098577218454
2020-03-18,0.64,5.64,73.81,20.05,32.19,21.75,20.57,25.62,94.33,7.09,17.5977633934332
2020-03-19,0.36,4.23,69.56,20.01,31.91,22.4,23.26,26.55,94.34,5.25,17.4688335049521
2020-03-20,0.13,3.35,65.25,18.87,33.2,21.97,20.54,26.65,94.33,4.12,16.4778795149551
2020-03-21,1.24,2.97,62.38,19.28,33.9,22.77,20.46,27.79,94.21,3.65,16.7796899908707
2020-03-22,0.59,2.8,67.12,20.1,33.11,22.74,17.07,27.4,94.27,3.45,17.6700418291071
2020-03-23,1.09,2.59,61.44,19.27,34.94,22.88,18.25,28.25,94.3,3.21,16.9506277922095
2020-03-24,0.02,2.48,56.69,17.86,35.89,21.37,22.18,28.32,94.11,3.09,15.7004092860265
2020-03-25,4.95,2.82,61.75,17.64,32.72,22.44,18.4,26.37,94.1,3.55,15.3527782809094
2020-03-26,0.45,3.39,66.5,18.69,34.99,22.08,25.24,27.14,94.13,4.26,17.2566509863643
2020-03-27,0.06,5.27,70.19,19.44,32.33,22.18,24.82,26.09,94.39,6.59,17.1806638134571
2020-03-28,0,5.86,72.56,19.89,32.14,21.8,24.16,25.87,94.38,7.35,17.5436691255947
2020-03-29,0,4.84,69.25,20.12,34.06,22.02,25.06,27.08,94.2,6.03,17.910611051861
2020-03-30,0,2.77,61.12,18.99,37.25,22.27,22.97,28.81,94.17,3.42,17.3881180979164
2020-03-31,0,3.65,63.06,19.41,35.67,22.65,24.78,28.24,94.3,4.46,17.38801123274
2020-04-01,0,5.34,66.75,19.9,34.62,23.06,24.6,27.6,94.37,6.66,17.7679264687764
2020-04-02,0,5.16,68.94,20.3,33.87,22.74,24.36,27.32,94.27,6.43,18.0690333218423
2020-04-03,0,5.12,65.56,19.05,34.77,22.15,24.67,27.29,94.27,6.39,17.1546371294049
2020-04-04,0,5.57,68.94,19.3,33.44,21.94,24.68,26.51,94.38,6.98,17.2746200413138
2020-04-05,0,6.23,70.69,19.83,33.21,22.33,26.55,26.48,94.48,7.84,17.6835592302482
2020-04-06,0,5.88,66.88,18.93,34.05,21.99,26.43,26.83,94.49,7.38,17.0593340036797
2020-04-07,0,5.53,59.88,16.61,35.21,22.07,27.07,27.37,94.42,6.97,15.7379011295212
2020-04-08,0,5.77,60.88,16.18,34.83,21.48,27.21,26.8,94.33,7.29,15.5030340159115
2020-04-09,0,5.88,65.25,18.29,34.8,21.51,26.95,26.98,94.23,7.41,16.7827294998947
2020-04-10,0,5.61,62.19,18.56,35.29,22.5,26.45,27.89,94.21,7.04,16.8210396289753
2020-04-11,1.26,4.23,62.44,19.41,36.01,22.98,25.03,28.5,94.23,5.25,17.4645522512555
2020-04-12,2.55,3.4,64,19.98,35.29,22.73,21.82,28.36,94.24,4.15,17.7639008883206
2020-04-13,1.08,2.98,59.75,19.26,36.11,22.94,21.02,29.05,94.2,3.65,17.2228360101043
2020-04-14,1.26,3.17,57.12,19,37.57,23.8,23,29.69,94.21,3.9,17.0489555474016
2020-04-15,3.78,2.89,68.69,20.44,30.05,23.79,14.3,26.87,94.35,3.58,17.5599820827171
2020-04-16,2.02,2.48,68.5,20.69,32.83,23.49,16.71,27.54,94.23,3.08,18.1734283690571
2020-04-17,0.68,3.69,74.62,21.26,30.21,23.91,17.9,26.36,94.15,4.59,18.542281858618
2020-04-18,0.79,4.23,74,21.08,30.88,23.17,23.27,26.45,94.21,5.28,18.4806706741332
2020-04-19,3.36,2.11,66.81,19.15,31.24,23.41,21.45,26.55,94.3,2.73,16.7782168842129
2020-04-20,1.23,3.38,55.62,16.78,35.06,21.19,22.07,27.76,94.22,4.26,14.9365768260778
2020-04-21,3.99,4.36,73.12,20.92,31.96,23.12,13.29,26.61,94.31,5.42,18.4242840932667
2020-04-22,0.23,3.57,70.5,19.38,31.13,21.67,25.63,25.58,94.36,4.46,16.7709383024514
2020-04-23,0.38,3.49,67.69,19.81,33.64,22.24,23.84,27.23,94.34,4.34,17.6532435289844
2020-04-24,0.29,3.77,65.81,19.76,34.27,22.95,22.88,27.73,94.3,4.66,17.6438496817537
2020-04-25,0.13,4.48,67.25,20.05,33.98,22.8,25.44,27.68,94.2,5.58,17.9802472021216
2020-04-26,1.79,4.02,73.69,21.59,32.78,23.61,24.15,27.23,94.23,5.01,19.2180161863032
2020-04-27,1.98,3.05,75.19,21.88,30.95,23.88,26.14,27.07,94.26,3.85,19.4361363918376
2020-04-28,10.07,1.97,78.5,22.4,31.23,23.37,20.65,26.82,94.3,2.53,20.0121722582815
2020-04-29,3.55,2.67,78.31,22.2,30.98,23.62,26.19,26.65,94.21,3.34,19.7759807634656
2020-04-30,5.95,3.01,77.38,22.18,31.73,23.03,20.81,26.88,94.2,3.8,19.7924892359192
2020-05-01,0.92,1.48,68.5,21.19,33.72,24.13,18.11,28.35,94.24,1.91,19.002489599003
2020-05-02,0.09,1.16,62.12,20.32,34.31,23.76,23.94,29.22,94.19,1.58,18.0728930710025
2020-05-03,0.25,1.12,62.62,20.65,33.15,24.88,22.59,28.9,94.2,1.51,17.9027639300104
2020-05-04,0.38,1.84,64.06,20.76,34.8,24.65,23.41,29.13,94.28,2.38,18.5460130723342
2020-05-05,0.41,2.82,68.06,20.82,33.8,24.5,25.41,28.21,94.36,3.51,18.7357842559104
2020-05-06,3.89,3.46,76.5,21.74,31.23,23.78,25.42,26.69,94.3,4.37,19.3619152445677
2020-05-07,1.03,3.57,77.56,22.05,31.45,23.47,24.95,26.71,94.25,4.5,19.6520384615785
2020-05-08,2.33,4.06,79.06,22.71,31.41,24.12,24.64,26.97,94.23,5.1,20.3234733783364
2020-05-09,0.76,3.3,75.62,21.82,30.8,23.54,26.79,26.85,94.26,4.21,19.3101163188431
2020-05-10,0.16,3.06,70.19,20.97,34.68,21.4,27.09,27.84,94.27,4,18.9326274931505
2020-05-11,0,2.28,60.19,18.79,37.6,22.46,26.84,29.3,94.29,3.11,17.5879411357021
2020-05-12,0,1.99,43.31,14.19,40.23,22.92,27.17,31.23,94.2,2.66,14.0487096844362
2020-05-13,0,1.88,35.5,13.55,39.72,26.01,25.08,32.12,94.14,2.48,12.0773502672596
2020-05-14,0,2.61,39.94,14.83,38.56,24.87,24.92,31.15,94.12,3.49,12.8999876409837
2020-05-15,0,3,44.88,15.9,40.14,23.15,24.81,31.36,94,3.88,14.6599542522853
2020-05-16,0.24,2.11,46.81,17.9,40.03,24.91,20.96,32.22,93.98,2.71,16.0102682063836
2020-05-17,2.91,1.84,47.19,18.59,38.33,27.51,23.86,32.17,94.12,2.34,16.0972553032153
2020-05-18,2.29,2.03,48.06,18.73,39.21,26.12,21.78,32.34,94.14,2.55,16.543272735496
2020-05-19,0.73,3.97,45.31,16.56,38.14,24.87,24.65,31.39,94.23,5.01,14.8242587905557
2020-05-20,0.05,3.53,36.19,14.55,39.62,25.27,24.6,32.37,94.12,4.52,12.4772903181197
2020-05-21,0.02,1.95,35.5,14.66,39.83,25.87,23.43,32.98,94.14,2.52,12.6426555783649
2020-05-22,0.03,2.19,38.75,16.8,38.81,27.03,24.21,33.33,94.19,2.77,14.0582218304513
2020-05-23,0,2.94,33.5,14.48,40.9,27.29,25.53,33.81,94.14,3.8,12.4654395870932
2020-05-24,0,2.81,28.38,11.29,41.86,26.34,25.69,33.76,94.02,3.57,10.5324828155935
2020-05-25,0,3.12,32.5,11.38,41.64,24.31,25.85,32.89,94.04,3.94,11.5191447201435
2020-05-26,0.01,2.52,43,16.87,40.56,25.55,24.58,32.81,94.07,3.09,15.1761433192373
2020-05-27,0.02,2.53,39,16.21,40.03,27.97,23.84,33.44,94.11,3.06,14.2314302870527
2020-05-28,0,1.97,35,14.56,39.92,26.75,22.64,33.59,94.08,2.48,12.8733678652966
2020-05-29,0,2.62,31.44,14.15,40.8,28.01,23.77,34.45,93.98,3.27,12.0991914427599
2020-05-30,0,3.92,39.88,14.98,40.78,25.27,25.34,32.77,93.91,4.88,14.0451293872551
2020-05-31,0,3.07,44.88,17.01,39.05,26.7,22.99,32.21,94.01,3.77,15.3419734519004
2020-06-01,0,3.24,42.38,15.62,38.3,25.36,24.37,31.5,94.11,3.96,13.9476844094469
2020-06-02,0,3.94,34.12,14,41.54,26.47,25.04,33.76,93.93,4.92,12.662731277944
2020-06-03,0,3.68,29.44,10.65,39.18,26.87,22.75,32.72,93.91,4.61,10.3408217228887
2020-06-04,0,1.52,37.12,13.51,37.13,26.19,16.93,31.15,94,1.92,11.9891722892668
2020-06-05,2,2.27,48.44,17.03,35.9,25.56,18.98,30.55,94.13,2.77,15.1477037506532
2020-06-06,4.18,1.8,46.44,18.12,36.86,27.53,25.19,31.73,94.09,2.27,15.4733350236394
2020-06-07,0.16,1.46,46.56,18.3,37.27,26.23,22.91,31.95,94,1.89,15.6969029256088
2020-06-08,0.04,2.79,38.38,16.52,40.09,27.3,24.7,33.51,93.86,3.55,14.0570702649369
2020-06-09,0.01,2.63,34.94,14.57,40.33,27.55,23.26,33.53,93.86,3.34,12.8106575259963
2020-06-10,0,2.82,29.12,12.26,41.73,27,24.61,34.19,93.81,3.59,11.0544681633789
2020-06-11,0,4.35,21.62,8.48,41.46,27.87,25.17,34.36,93.75,5.52,8.28092842987132
2020-06-12,0.01,4.95,23.62,8.78,41.6,27.63,24.25,33.63,93.7,6.24,8.70604210231354
2020-06-13,0.01,2.43,31.5,12.09,36.7,25.64,13.57,31.3,93.84,3.14,10.2563192161626
2020-06-14,4.17,1.7,31.31,12.52,39.08,27.3,17.39,32.54,93.96,2.17,10.8929291336492
2020-06-15,5.95,3.16,48.94,18.4,36.47,25.72,22.36,30.97,93.98,4,15.6545392436699
2020-06-16,0,2.91,43.44,17.28,38.63,26.4,23.8,32.08,93.86,3.72,14.7470779498594
2020-06-17,0.01,3.54,35.94,13.65,38.51,27.44,21.33,32.05,93.83,4.54,12.1814415941469
2020-06-18,0,4.12,31.25,12.18,40.39,25.34,24.64,32.29,93.79,5.34,10.7282927230532
2020-06-19,0,4.27,30.44,12.08,41.08,25.86,24.23,32.77,93.83,5.51,10.7205049786371
2020-06-20,0,4.86,35.5,13.6,40.01,24.99,21.52,32.27,93.85,6.1,12.1743559871937
2020-06-21,0,5.03,38.19,15.87,39.92,27.23,22.17,32.96,93.84,6.27,13.5862326806509
2020-06-22,0,5.13,31.56,12.37,39.42,27.19,23.67,32.45,93.77,6.45,10.9274464330589
2020-06-23,0.01,4.28,27.44,10.5,41.17,27.6,23.61,33.18,93.79,5.41,9.87633729724523
2020-06-24,0,1.73,28.62,10.98,38.54,26.6,21.91,32.51,93.81,2.36,9.94118348191976
2020-06-25,0,2.55,31.31,12.06,40.43,27.61,23.1,33.29,93.7,3.29,11.3350375389508
2020-06-26,0,4.06,27.75,9.81,41.19,25.94,24.4,32.99,93.66,5.16,9.88788022887231
2020-06-27,0,5.48,25.62,9.16,40.94,25.4,22.56,32.72,93.69,6.95,8.99904390422587
2020-06-28,0.02,3.84,33.69,13.11,37.51,26.73,18.67,31.94,93.86,4.86,11.3519365411644
2020-06-29,0.02,3.48,27.06,11.7,40.66,27.41,21.27,34,93.77,4.45,10.1703407252802
2020-06-30,0,4.43,25.62,11.41,41.86,29,24.86,34.79,93.68,5.53,10.0366037785649
2020-07-01,0,4.45,28.94,12.6,40.98,28.3,23.2,33.9,93.61,5.58,10.8198242091521
2020-07-02,0,5.13,31.88,14.01,40.86,28.89,24.7,33.88,93.63,6.37,11.9064578735539
2020-07-03,0,4.01,29.44,13.18,40.58,28.94,23.49,34.06,93.72,4.96,11.0998297677158
2020-07-04,0,4.57,36.31,15.72,39.84,28.58,17.55,33.25,93.74,5.71,13.1173793837168
2020-07-05,0.41,4.38,40.62,13.9,32.97,23.53,7.16,29.09,93.76,5.47,11.73424778968
2020-07-06,0,3.57,38.75,14.92,34.89,26.95,19.52,30.79,93.7,4.45,12.2754499085636
2020-07-07,0.01,3.95,39.19,15.45,37.71,25.87,24.54,31.76,93.79,4.92,13.0786885788502
2020-07-08,0.01,4.42,36,14.55,37.24,27.93,20.53,32.1,93.89,5.59,12.234388564615
2020-07-09,0,4.23,34.44,13.84,41.11,26.7,23.17,33.15,93.78,5.27,12.3761370473682
2020-07-10,0,5.8,22.56,8.51,41.78,26.44,23.23,33.82,93.72,7.26,8.39906070114794
2020-07-11,0,7.05,28,11.09,39.35,27.44,22.33,32.95,93.69,8.88,9.95582177243211
2020-07-12,0,5.16,28.88,12.76,41.4,27.93,24.22,33.96,93.66,6.4,10.831552046979
2020-07-13,0,4.73,32.06,14.13,40.57,28.83,23.57,33.67,93.59,5.84,11.84188525887
2020-07-14,0,3.95,33.31,14.39,41.21,27.56,23.5,33.93,93.68,4.88,12.473326754535
2020-07-15,20.27,3.3,46.62,18.94,35.74,29.33,17.03,32.01,93.85,4.22,15.7675874036043
2020-07-16,0.26,3.52,47.62,17.81,36.12,26.24,16.29,31.01,93.9,4.43,15.2651344047047
2020-07-17,0.09,4.55,47.12,16.12,32.73,25.73,18.24,28.74,93.92,5.69,13.3539819600608
2020-07-18,0.17,4.14,45.5,16.83,35.93,25.7,16.46,30.52,93.71,5.21,14.2053019274108
2020-07-19,0.01,4.17,46.25,16.8,35.52,26.46,22.88,30.12,93.72,5.31,14.1303946218654
2020-07-20,0.15,3.55,45.25,16.69,36.62,25.52,20.04,30.55,93.8,4.49,14.1501567860664
2020-07-21,0.69,4.3,63.69,19.89,29.8,25.69,11.04,27.44,93.8,5.34,16.8041842211215
2020-07-22,0.05,3.22,50.75,17.78,35.02,25,16.93,29.6,93.61,4.12,15.073725355388
2020-07-23,0,3.41,40.69,16.59,38.38,26.59,23.9,32.28,93.51,4.4,13.9616522595176
2020-07-24,1.22,4.3,45.5,18.01,38.2,27.03,21,32.04,93.6,5.32,15.4134595877621
2020-07-25,10.93,3.36,71.12,21.59,29.4,25.48,21.35,27.39,93.74,4.2,18.7127317994992
2020-07-26,3.67,2.96,75.56,20.86,27.65,24.19,18.34,25.59,93.92,3.65,17.9847219430718
2020-07-27,3.56,3.06,68.06,20.18,30.95,23.47,22.64,26.81,93.89,3.84,17.3410451880956
2020-07-28,9.42,1.8,68.56,20.51,31.72,23.52,16.19,27.19,93.89,2.33,17.8405694216112
2020-07-29,1.06,2.57,61.06,19.62,34.01,24.13,25.48,28.7,94.01,3.24,17.2667739056286
2020-07-30,1.21,3.48,65.56,20.37,30.98,25.15,21.46,27.7,94.14,4.31,17.5477567212178
2020-07-31,2.69,4.85,75.31,18.94,25.28,21.18,14.19,23.58,94.16,6.01,16.0005693819106
2020-08-01,0.22,2.81,59.44,17.98,33.19,21.56,19.54,27.22,94.02,3.54,15.4930992397699
2020-08-02,0.42,3.61,52.12,18.23,35.71,24.77,24.96,29.75,94.02,4.62,15.6073751123726
