"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,4,49.94,-3.16,15.19,1.37,15.71,7.24,96.54,5.46,3.92998695935806
2020-01-02,0,3.83,50.12,-3.49,16.65,2.39,15.56,8.14,96.58,5.29,4.18037897893826
2020-01-03,0,4.34,37.31,-5.93,17.9,1.96,14.5,8.58,96.5,5.95,3.20119783875274
2020-01-04,0,3.85,35.06,-6.29,18.81,2.36,14.54,9.62,96.25,5.35,3.21481528577199
2020-01-05,0,4.2,30.19,-7.22,19.54,4.22,15.93,10.33,95.97,5.8,2.8957935518442
2020-01-06,0,5.05,28.94,-8.94,17.85,2.8,14.89,9.15,95.85,6.84,2.57532407514418
2020-01-07,0,6.16,49.94,-1.43,16.73,3.94,11,9.38,95.88,8.31,4.50977724305528
2020-01-08,0,4.1,34.75,-5.97,20.19,3.01,15.06,10,95.82,5.67,3.26423862944331
2020-01-09,0,3.29,37.25,-5.59,18.84,3.19,16.22,9.56,95.66,4.58,3.40261033253655
2020-01-10,0,3.43,45.62,-3.46,16.58,2.1,15.8,8.48,95.72,4.79,3.88915195452248
2020-01-11,0,2.51,52.38,-1.69,15.29,2.76,14.42,8.18,95.77,3.77,4.38014535195014
2020-01-12,0,3.12,59.31,0.02,15.13,2.7,15.58,8.27,95.94,4.42,4.98845539542585
2020-01-13,0,3.2,60.81,0.62,16.74,2.82,16.48,8.74,95.97,4.61,5.27130016901945
2020-01-14,0,3.04,58.75,0.04,17.55,2.36,16.77,9.06,96.02,4.43,5.19809386641417
2020-01-15,0,4.18,54.94,0.06,17.2,2.65,9.96,9.65,96.08,5.68,5.04732826360565
2020-01-16,0.03,4,56.94,2.28,17.55,7.29,5.65,11.01,96.06,5.39,5.70099113554084
2020-01-17,0,4.73,56.88,1.14,19.77,4.69,15.74,10.87,96.24,6.41,5.64502176558044
2020-01-18,0,4.24,47.38,-1.85,21.12,3.3,16.28,10.7,96.33,5.82,4.65209242049634
2020-01-19,0,2.1,36.31,-5.02,22.76,3.19,17.74,11.44,95.51,3.32,3.73496054534618
2020-01-20,0,6.07,25.38,-6.65,22.17,6.15,11.78,13.63,94.73,8.48,2.99122629308121
