"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,5.26,2.55,77.69,22.12,31.62,23.56,15.28,26.69,98.63,3.2,19.6631005928165
2020-01-02,1.84,2.37,70,21.3,33.51,24.54,16.63,27.95,98.63,3.02,18.9961535509125
2020-01-03,0.03,2.34,57.31,18.87,34.14,25.39,18.92,28.87,98.67,2.98,16.3578038816948
2020-01-04,0.45,2.43,62.38,19.48,33.32,24.63,15.01,27.98,98.57,3.06,16.9562742876621
2020-01-05,34.98,3.34,80.81,21.86,29.13,23.33,8.79,25.51,98.62,4.26,19.1482058681102
2020-01-06,3.16,2.8,79.62,20.72,27.89,22.76,10.98,24.59,98.73,3.55,17.913796901609
2020-01-07,0.37,1.94,78,20.82,28.52,22.52,10.64,25.05,98.81,2.48,18.0106227082769
2020-01-08,0.38,2.8,77.81,21.85,31.22,23.31,11.03,26.31,98.68,3.54,19.2811378278781
2020-01-09,1.85,3.13,81.88,21.96,29.34,23.49,9.49,25.44,98.66,3.88,19.3256733884399
2020-01-10,0.78,4.22,78,20.15,27.39,22.61,8.58,24.36,98.64,5.3,17.3225075826271
2020-01-11,0.03,5.87,67.25,16.75,27,21.11,10.46,23.4,98.82,7.52,14.1423025401417
2020-01-12,0.3,3.82,66.19,16.11,27.36,20.18,16.29,22.98,99,4.85,13.5894273086406
2020-01-13,1.69,1.94,69.31,16.98,27.37,20.52,18.14,23.09,98.93,2.5,14.3197933493846
2020-01-14,0.17,1.91,69.19,17,27.64,20.66,20.86,23.23,98.91,2.5,14.4098018122347
2020-01-15,0.3,2.27,67.31,16.72,29.67,18.9,16.59,23.85,98.85,2.91,14.5222262588404
2020-01-16,0.14,3.8,62.94,17.73,32.43,21.19,19.04,26.11,98.63,5.04,15.4232743645827
2020-01-17,0,3.84,47.25,13.3,33.55,19.73,19.86,26.31,98.51,5.17,11.7084405907627
2020-01-18,0,2.41,51.81,14.35,31.63,21.24,19.63,25.93,98.67,3.11,12.568817615478
2020-01-19,0.01,1.65,69.25,18.62,30.12,21.9,14.1,25.06,98.78,2.16,15.9992060503062
2020-01-20,0.35,2.64,75.06,19.57,28.43,21.85,10.32,24.48,98.92,3.3,16.78314844195
2020-01-21,0.97,3.81,74.5,18.71,26.87,21.57,9.55,23.7,98.76,4.77,15.9369639156292
2020-01-22,0.43,3.86,70.81,17.53,26.55,21.19,9.58,23.34,98.71,4.85,14.8400739605439
2020-01-23,0.62,4.49,71.06,17.12,25.33,20.96,9.54,22.74,98.85,5.68,14.3901389914369
2020-01-24,0.17,4.07,69.69,16.56,25.62,20.23,9.95,22.55,98.99,5.12,13.9597266941589
2020-01-25,0.24,4.06,71.31,16.62,25.45,19.85,12.56,22.2,99.13,5.18,13.9997181307283
2020-01-26,0.26,3.7,69.31,16.23,26.73,19.82,16.88,22.36,99.09,4.72,13.7328928245425
2020-01-27,0.37,2.39,69.38,16.8,27.4,19.89,11.85,22.97,98.97,3.1,14.2362164707237
2020-01-28,0.34,3.06,69.25,18.77,31.69,20.69,15.74,25.5,98.65,4,16.3998197674692
2020-01-29,0.03,2.05,65.12,18.57,32.25,22.3,16.65,26.38,98.68,2.55,16.1996813445034
2020-01-30,2,2.12,69.81,19.22,30.81,22.52,11.7,25.65,98.76,2.7,16.6720970276426
2020-01-31,0.07,2.71,68.88,19.48,32.6,22.56,14.19,26.32,98.61,3.43,17.0778249361363
2020-02-01,0.37,2.73,75.5,20.26,28.99,22.3,15.62,25.15,98.73,3.48,17.531759781419
2020-02-02,2.2,2.88,79.62,20.56,27.51,22.04,8.61,24.46,98.83,3.56,17.7826215249085
2020-02-03,1.13,2.71,79.38,21,29.15,22.31,12.37,25.04,98.77,3.38,18.3189540661121
2020-02-04,0.06,3.09,68.25,19.84,33.7,22.95,18.75,27.18,98.55,3.99,17.7500666760005
2020-02-05,0.01,2.52,66.5,19.23,32.72,22.51,16.63,26.71,98.64,3.27,16.8496719661548
2020-02-06,0,2.79,67.75,19.71,33.43,22.6,18.73,26.95,98.82,3.59,17.396763344922
2020-02-07,0.01,2.28,66.81,19.62,33.33,23.05,19.8,27.05,98.83,2.96,17.250819301619
2020-02-08,0.07,2.39,73.25,20.75,31.56,22.83,19.47,26.43,98.9,3.04,18.2729956298422
2020-02-09,0.99,3.38,77.69,21.12,29.98,23.14,10.47,25.52,98.95,4.18,18.4192425929902
2020-02-10,0.34,4.66,68.38,18.16,28.95,22.26,12.22,24.62,98.86,5.84,15.4109956773448
