"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.97,0.01,63.19,19.99,34.31,23.51,18.17,28.33,95.65,0.59,17.5102103035375
2020-01-02,1.48,0,76.81,21.01,28.41,23.28,17.82,25.54,95.73,0.68,18.2310501452057
2020-01-03,5.05,0.06,74.62,20.53,31.98,21.76,12.52,26.07,95.77,0.88,18.2446156738141
2020-01-04,0.05,0.16,61,19.08,34.4,22.9,19.9,28.05,95.79,0.77,16.6451712371497
2020-01-05,0.03,0.11,60.19,19.39,34.51,23.08,15.67,28.58,95.74,0.72,16.9092252223084
2020-01-06,0.21,0.15,57,18.74,34.88,23.09,17.41,28.84,95.63,0.77,16.2426486064021
2020-01-07,0.15,0.13,56.12,18.13,34.49,23.39,18.94,28.55,95.65,1.09,15.7399323683759
2020-01-08,1.66,0.05,64.12,19.71,33.53,23.08,19.78,27.79,95.74,0.65,17.2477352070315
2020-01-09,9.16,0.04,75.25,21.06,32.9,22.8,10.64,26.59,95.82,0.55,18.9398985418089
2020-01-10,5.32,0.02,85.12,21.49,28.74,22.06,15.07,24.42,95.97,0.52,18.9680406842068
2020-01-11,0.07,0.02,68.88,18.96,32.46,21.04,22.16,26.1,95.92,0.72,16.8694304192276
2020-01-12,0.17,0.05,61.94,19.05,34.03,22.58,21.67,27.69,95.83,0.77,16.5696839564669
2020-01-13,0.1,0.05,62.38,19.65,34.11,23.43,20.29,28.17,95.66,0.89,17.1344576931805
2020-01-14,0.21,0.03,61.88,20.35,35.3,24.2,19.3,29.06,95.54,0.66,17.8465483757596
2020-01-15,0.52,0.01,68.31,21.23,32.37,24.61,20.16,27.91,95.62,0.61,18.4967355212829
2020-01-16,1.39,0,68.62,20.95,33.49,22.98,17.87,27.82,95.7,0.77,18.4887513585402
2020-01-17,3.3,0,75.19,21.08,32.12,23.3,8.37,26.23,95.8,0.8,18.5489470039308
2020-01-18,0.68,0.02,71.19,20.25,33.39,22.41,20.53,26.71,95.88,0.72,18.0380172521889
2020-01-19,0.93,0.01,69.31,20.06,32.71,22.2,20.07,26.76,95.75,0.39,17.610540868982
2020-01-20,1.93,0.02,73.12,21.29,33.31,22.54,19.21,27.24,95.69,0.57,19.0799248148413
2020-01-21,0.26,0.06,62.38,20.18,35.33,22.97,18.26,28.96,95.68,0.78,17.8927367420496
2020-01-22,0.17,0.12,59.31,20.01,35.8,24.01,19.22,29.56,95.66,0.84,17.5779228496035
2020-01-23,0.08,0.05,57.25,18.93,35.2,23.78,19.66,28.98,95.66,0.81,16.4392326634843
2020-01-24,0.12,0.12,59.88,18.87,33.99,23.84,18.24,28.15,95.72,0.7,16.429683842209
2020-01-25,0.06,0.1,55.44,17.5,35.47,22.48,18.87,28.37,95.76,0.95,15.3964290969403
2020-01-26,0.02,0.13,51.19,16.13,35.77,22.73,20.95,28.61,95.78,0.94,14.404510288884
2020-01-27,0.05,0.13,53.94,18.12,36.37,23.17,21.28,29.4,95.73,0.79,15.8477650294882
2020-01-28,0.23,0.02,56.94,19.24,34.8,24.94,18.41,29.23,95.73,0.8,16.5748864230072
2020-01-29,0.98,0.01,57.69,19.31,35.29,24.37,18.42,29.09,95.77,0.68,16.6654050956829
2020-01-30,1.5,0,66.25,20.37,33.1,23.97,17.29,27.76,95.86,0.53,17.7912300382535
2020-01-31,1.28,0,69.56,19.12,29.96,22.9,16.19,25.61,95.95,0.84,16.575184225466
2020-02-01,0.63,0.02,58.25,17.5,34.42,21.78,19.23,27.12,95.87,0.48,15.0990442699092
2020-02-02,1.53,0.01,71.56,20.01,31.14,22.56,16.15,25.98,95.92,0.63,17.4086616095321
2020-02-03,0.88,0,66.62,18.94,30.98,22.8,17.91,26.13,95.97,1.08,16.3432923004829
2020-02-04,0.22,0.03,59.88,17.83,35.35,21.66,21.18,27.69,95.9,0.34,16.0186095465489
2020-02-05,0.62,0.02,56.06,18.42,35.18,23.7,22.26,28.76,95.8,0.45,15.9050133916945
2020-02-06,2.91,0.02,76.88,21.46,30.38,23.3,17.76,26.12,95.75,0.52,18.8497574692859
