"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,2.35,56.94,11.42,31.09,14.55,19.57,21.96,99.32,3.7,11.0250628986269
2020-01-02,0,2.93,55.19,10.51,29.99,14.87,22.11,21.21,99.4,4.41,10.232580433623
2020-01-03,0,2.8,55.62,9.33,28.49,12.94,22.01,19.87,99.48,4.23,9.53720871557309
2020-01-04,0,2.31,56.88,10.7,29.35,13.37,20.15,20.62,99.43,3.49,10.1902973142763
2020-01-05,0,1.78,56.94,13.26,30.63,16.59,16.85,23.05,99.3,2.6,11.7372161111457
2020-01-06,0,1.52,58.81,14.7,31.75,17.19,17.85,24.13,99.2,2.3,12.8916348000732
2020-01-07,0,1.35,60.19,16.11,32.44,18.59,16.4,25.14,99.16,2.09,13.9687821461062
2020-01-08,0,0.91,61.94,18.12,32.87,20.88,15.32,26.58,99.24,1.42,15.5811916616938
2020-01-09,0,1.59,67.19,19.63,33.98,20.69,15.66,26.89,99.2,2.44,17.1956047738844
2020-01-10,0,1.16,72.94,20.9,30.81,22.69,16.83,26.45,99.28,1.79,18.2159475536658
2020-01-11,0.05,1.2,74.44,21.62,32.4,22.24,16.06,27.03,99.34,1.87,19.1996338415929
2020-01-12,0.01,1.46,71.69,21.69,33.62,22.56,18.68,27.83,99.25,2.13,19.3265728208273
2020-01-13,0,1.58,59.06,17.73,33.66,22.55,18.25,27.43,99.14,2.29,15.5739765473032
2020-01-14,0,2.45,56,15.33,32.76,19.75,18.87,25.78,99.14,3.55,13.4717311038187
2020-01-15,0,2.22,52.69,13.36,34.08,18.23,20.33,25.41,99.17,3.47,12.4151936890139
2020-01-16,0,2.34,55.56,14.82,34.28,18.07,19.59,25.44,99.28,3.55,13.1135126216625
2020-01-17,0.1,2.05,59.12,14.99,33.85,17.9,20.11,24.94,99.36,3.16,13.5668024662553
2020-01-18,0,2.29,58.44,13.99,33.42,17,19.6,24.15,99.4,3.5,12.8250638950637
2020-01-19,0,2.04,58.56,13.91,32.57,16.56,20.26,23.85,99.29,3.2,12.634401570609
2020-01-20,0.01,1.22,59.75,15.9,33.4,17.85,17.59,25.32,99.13,1.98,14.0077278822301
2020-01-21,0,1.15,53.38,16.52,33.1,21.5,18.07,27.39,99.24,1.62,14.0450734456871
2020-01-22,0,1.5,59.69,18.23,34.53,21.95,14.13,27.58,99.22,2.26,15.8711136483884
2020-01-23,0,1.38,61.88,18.63,34.85,21.76,17.03,27.36,99.19,2.13,16.254555076189
2020-01-24,0,2.35,58.62,14.85,33.16,18.32,15.93,25.06,99.28,3.46,13.5432990421509
2020-01-25,0,2.45,55.62,12.29,33.48,16.31,21.1,23.97,99.34,3.68,12.0821698676828
2020-01-26,0,1.43,50.69,11.79,33.43,16.03,19.69,24.26,99.39,2.17,11.1938400899528
2020-01-27,0,1.2,44.88,11.1,33.91,16.44,17.65,25.08,99.31,1.77,10.3805532753811
2020-01-28,0,1.2,47.88,12.84,33.33,17.98,14.8,25.62,99.31,1.73,11.4155386977046
2020-01-29,0,1.88,51.94,13.15,34.03,17.29,16.77,25.06,99.24,2.86,11.9999821263957
2020-01-30,0,1.86,50.81,12.01,34.73,16.84,19.68,25.05,99.36,2.84,11.7323043565071
2020-01-31,0,1.16,50.19,13.6,34.73,18.58,18.8,25.93,99.37,1.86,12.1758146327127
2020-02-01,0,1.88,53.44,13.18,35.14,17.91,18.4,25.53,99.34,2.98,12.6770073543035
2020-02-02,0,2.31,48.62,10.84,34.74,16.49,21.28,24.9,99.39,3.54,11.1321462300599
2020-02-03,0,2.22,42.81,8.5,33.57,15.26,23.92,24.12,99.41,3.31,9.37898316506221
2020-02-04,0,1.98,45.12,9.58,34.25,14.98,21.47,24.29,99.39,3.05,9.98076666204639
2020-02-05,0,1.94,50.5,11.92,34.32,15.92,19.97,24.45,99.3,3.05,11.2724762757178
2020-02-06,0,1.77,56.81,15.69,34.74,17.57,19.21,25.73,99.25,2.82,13.628375294463
2020-02-07,0,2.52,45.69,10.9,35.77,17.41,21.1,25.69,99.27,3.8,10.9362203130664
2020-02-08,0,2.37,43.06,10.01,36.2,16.52,21.52,25.86,99.25,3.6,10.4052894995183
2020-02-09,0,1.71,49,13.38,35.66,18.4,20.14,26.55,99.24,2.67,12.3055325149893
2020-02-10,0,2.06,57.06,16.69,32.58,21.75,14.97,26.37,99.39,2.97,14.1867130155253
2020-02-11,0,2.73,51.5,14.26,33.33,20.26,13.1,25.92,99.36,4.03,12.4866276489585
2020-02-12,0,2.91,47.38,11.74,33.3,18.76,14.4,25.3,99.3,4.22,11.0952411282213
2020-02-13,0,1.87,52.62,13.35,33.9,18.21,14.27,25.12,99.24,2.91,12.198214632873
2020-02-14,0,1.78,50.69,12.23,31.05,17.84,13.59,24.11,99.12,2.69,11.0990680584338
2020-02-15,0,2.21,43.5,10.22,35.82,17.37,16.62,25.85,99.09,3.31,10.5057332401288
2020-02-16,0,1.9,45.31,11.84,36.61,17.31,20.94,26.4,99.11,2.89,11.2841854319076
2020-02-17,0.07,0.75,41.56,12.08,35.94,19.33,19.21,27.97,99.14,1.12,11.2907158053431
2020-02-18,21.56,1.43,63.38,18.97,34.94,20.87,17.72,27.36,99.19,2.29,16.648573056381
2020-02-19,34.35,1.3,73.12,21.33,33.82,21.91,18.87,27.1,99.07,2.06,18.9325144254989
2020-02-20,0,1.12,65.69,20.46,34.48,21.97,19.1,28.01,98.95,1.7,17.8855208607037
2020-02-21,0,1.25,62.31,19.93,35.66,22.7,18.84,28.66,98.94,1.94,17.5816958842367
2020-02-22,0,0.69,56.81,18.87,35.22,23.16,17.78,29.13,98.99,1.1,16.4470652925275
2020-02-23,0,1.59,59,18.57,35.97,22.64,18.02,28.44,99.11,2.48,16.4481557693967
2020-02-24,0,1.95,61.5,17.69,34.01,21.01,19.15,26.74,99.1,2.89,15.6087875886809
2020-02-25,0,2.22,55,15.36,34.65,19.67,19.49,26.79,99.1,3.26,13.9979184236272
2020-02-26,0,1.62,51.31,14.83,36.04,20.33,21.03,27.55,99.03,2.55,13.6203484022958
2020-02-27,0.01,1.48,60.94,19.26,36.36,20.85,20,28.48,99.05,2.41,17.0263136494124
2020-02-28,0.01,1.22,55.19,18.03,37.67,23.82,18.97,29.69,99.09,1.84,16.4728966502293
2020-02-29,0.01,1.59,48.06,14.81,37.84,21.93,19.08,29.08,99,2.45,13.8759263003391
2020-03-01,0.01,1.22,43.75,13.7,38.27,21.8,20.98,29.39,99,2.05,12.8469069096357
2020-03-02,0.23,2.44,65.44,21.46,35.28,24.12,18.41,29.21,99.16,3.47,19.0284160442211
2020-03-03,0.52,1.7,67.44,22.19,35.62,24.77,14.43,29.54,99.25,2.46,19.9657037833672
2020-03-04,0.3,1.77,65,21.47,36.05,24.35,19.01,29.5,99.24,2.55,19.2014960702672
2020-03-05,0.38,1.7,64.38,21.33,35.94,24.85,18.1,29.48,99.13,2.5,18.9976508071
2020-03-06,0.19,2.75,63.62,21.18,36.71,24.38,20.85,29.64,99.06,3.8,18.9375089849264
2020-03-07,0.99,2.26,63.12,21.01,36.93,23.58,20.8,29.72,99.05,3.16,18.8705514246402
2020-03-08,0.77,2.07,61.56,21.09,38,23.95,20.8,30.5,99.06,2.95,19.1985544932997
2020-03-09,5.86,2.42,64.38,22.04,36.94,25.15,12.24,30.2,99.01,3.4,19.7549120415569
2020-03-10,4.21,2.34,70.25,22.4,34.76,25.23,20.36,29.08,99.02,3.38,20.2826430003916
2020-03-11,1.73,2.34,66.69,21.06,34.03,24.71,20.88,28.52,99.04,3.43,18.6737520695191
2020-03-12,0.18,2.35,57.5,17.44,36.14,21.89,22.47,28.3,98.96,3.48,15.9072580987928
2020-03-13,1.13,2.16,63.25,21.03,37.8,22.39,19.89,29.76,98.95,3.15,18.9505539327922
2020-03-14,34.29,1.42,81.38,24.04,31.87,24.95,15.64,27.73,99.09,2.02,21.8182113220044
2020-03-15,4.89,1.4,78,23.94,33.1,24.65,19.77,28.47,99.05,2.06,21.7808369623174
2020-03-16,0.09,1.87,73.44,23.23,34.43,23.42,20.75,28.9,98.95,2.74,20.9961511181725
2020-03-17,0.84,2.3,78.25,24.03,32.26,25.16,20.09,28.36,98.96,3.28,21.7191444454858
2020-03-18,1.73,2.43,75.38,23.7,33.91,24.4,19.01,28.87,99.02,3.48,21.5154642575842
2020-03-19,2.8,2.9,76.44,23.55,32.94,24.37,18.6,28.4,99.08,4.11,21.2633949690439
2020-03-20,1.26,2.45,74.62,23.49,33.04,24.37,18.54,28.74,99.07,3.46,21.1475834859876
2020-03-21,1.54,2.15,75.38,23.22,32.85,24,19.98,28.28,99.06,3.11,20.8308268762332
2020-03-22,2.77,2.52,79.5,23.62,31.77,24.25,20.18,27.66,99.05,3.62,21.2320112224188
2020-03-23,7.62,3.35,79.31,23.15,32.14,24.48,14.89,27.35,99.14,4.73,20.8215220557242
2020-03-24,7.17,2.29,81.88,22.83,30.23,23.75,7.5,26.4,99.25,3.29,20.391725958168
2020-03-25,1.32,1.61,77.81,22.4,31.96,23.06,20.11,27.01,99.15,2.39,20.0465781371874
2020-03-26,1.59,1.52,74.62,22.4,33.23,23.09,20.4,27.79,99.02,2.28,20.0721459942092
2020-03-27,4.52,1.84,72.06,21.18,33.59,23.37,22.51,27.54,99.11,2.81,19.1179160332008
2020-03-28,0.35,1.59,72.25,22.9,34.6,23.45,23.87,28.84,99.1,2.45,20.5882695054833
