"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,2.04,54.62,9.51,30.08,11.73,21.79,20.35,96.06,3.35,9.63248904538147
2020-01-02,0,2.21,55.44,9.36,28.87,12.28,23.15,19.8,96.12,3.59,9.46740660268607
2020-01-03,0,2.34,51.75,8.34,27.77,12.53,20.72,19.69,96.2,3.67,8.78041659444216
2020-01-04,0,2.15,50.88,7.18,28.68,10.5,21.15,18.94,96.18,3.42,8.25991536124674
2020-01-05,0,1.59,49.38,7.32,28.87,10.6,21.18,19.71,96.06,2.52,8.38814012571934
2020-01-06,0,1.41,52.12,9.2,29.14,11.75,20.66,20.49,96.01,2.19,9.26701641661371
2020-01-07,0,1,57.12,12.56,29.88,14.55,20.36,22.01,95.93,1.56,11.0918459232134
2020-01-08,0,0.62,64.62,16.18,30.25,17.39,19.64,23.66,96.01,0.94,13.792015409778
2020-01-09,0,1.23,62.25,15.75,31.3,18.3,19.01,24.23,96.05,1.91,13.7232820087192
2020-01-10,0,2.12,59.56,13.59,31.53,16.44,20.19,23.01,96.1,3.41,12.2492304701486
2020-01-11,0,2.23,57.75,12.4,31.24,15.32,20.95,22.26,96.15,3.66,11.3768073724827
2020-01-12,0,1.71,57.06,12.75,31.34,15.65,21.48,22.68,96.08,2.83,11.5153613179861
2020-01-13,0,1.96,50.44,10.31,31.63,14.92,21.16,22.44,96,3.23,10.040098787785
2020-01-14,0,2.11,51.88,10.49,31.31,13.37,22.28,22.05,95.93,3.26,10.0975696962762
2020-01-15,0,1.34,51.81,11.5,31.65,14.9,21.43,23.24,96.01,2.09,10.7963326101187
2020-01-16,0,1.45,51.75,11.96,31.58,16.4,20.15,23.5,96.09,2.25,10.9449537239603
2020-01-17,0,1.45,51.38,12.07,32.17,15.73,20.68,23.91,96.15,2.2,11.1231610012185
2020-01-18,0,1.63,50.75,11.94,32.19,15.62,21.05,23.93,96.11,2.51,10.999261385457
2020-01-19,0,1.77,50.75,11.2,31.93,14.98,20.85,23.29,95.99,2.74,10.6056759561436
2020-01-20,0,1.62,55.38,13.11,31.59,16.27,19.83,23.66,95.87,2.59,11.8198980717039
2020-01-21,0.01,1.57,73.44,17.82,29.4,18.1,19.38,23.34,95.98,2.49,15.3912587439958
2020-01-22,2.54,1.01,67.19,17.41,29.63,19.43,10.19,24.39,96.04,1.63,14.9471445273726
2020-01-23,0.06,1.98,59.19,14.53,29.53,19.82,15.83,23.76,96.01,3.25,12.7051526812884
2020-01-24,0,2.78,49.5,10.19,30.73,16.76,16.63,22.69,96.05,4.48,9.99539696115951
2020-01-25,0,2.07,49.62,10.25,32.46,15.27,20.3,22.87,96.07,3.38,10.1235102280096
2020-01-26,0,1.73,45.62,8.84,32.46,15.85,20.81,22.74,96.12,2.79,9.23836392892414
2020-01-27,0,1.96,44.56,8.14,32.99,14.45,18.96,22.83,96,3.33,9.07036241187988
2020-01-28,0,1.61,46.19,8.94,32.15,15.35,16.25,22.54,96.06,2.7,9.24709026918067
2020-01-29,0.08,1.6,42.12,7.97,32.39,15.22,19.83,23.54,96.07,2.58,8.92856569036516
2020-01-30,0,1.71,38.19,7.02,33.31,16.94,20.81,23.73,96.18,2.68,8.18352054015811
2020-01-31,0,1.96,40.56,7.86,33.68,16.3,18,23.69,96.1,3.12,8.67161838393952
2020-02-01,0,2,45.25,9.44,33.61,14.9,20.27,23.71,96.1,3.25,9.68534257430459
2020-02-02,0,1.58,49.19,10.82,33.12,15.48,21.03,23.9,96.15,2.55,10.6430043869674
2020-02-03,0,2.03,39.75,6.75,32.69,16.9,23.6,23.18,96.17,3.28,8.25489570296739
2020-02-04,0,1.97,35.44,4.58,33.15,13.01,24.83,22.81,96.12,3.16,7.20569044685042
2020-02-05,0,2.23,36.75,4.58,33.18,13.14,23.6,22.64,96.01,3.62,7.39957489254699
2020-02-06,0,1.6,37.88,5.93,33.16,13.36,23.08,23.06,96.04,2.62,7.81278621829095
2020-02-07,0,1.91,35.94,5.08,33.6,13.74,23.4,23.41,96.09,3.02,7.56229418402035
2020-02-08,0,1.69,33.69,3.92,33.73,12.65,24.16,23.32,96.06,2.64,7.052561369391
2020-02-09,0,1.28,31,4.51,34.15,15.61,23.19,24.73,96.03,1.85,7.03009157262527
2020-02-10,0,1.7,42.12,9.52,32.7,16.65,19.87,24.56,96.12,2.62,9.46057506220719
2020-02-11,0.19,2.8,52.69,11.82,31.15,16.2,13.53,23.24,96.24,4.28,10.9797098094413
2020-02-12,0,2.94,38.56,6.83,33.59,16.84,17.36,24.44,96.06,4.58,8.60239336654841
2020-02-13,0,3.12,30.62,3.22,34.26,15.98,21.08,23.8,96,4.79,6.58755884584293
2020-02-14,0,2.42,32.94,3.01,34.28,13.96,21.57,23.02,95.91,3.95,6.77838326157337
2020-02-15,0,2.21,32.19,2.94,34.82,13.98,22.73,23.3,95.92,3.66,6.73086925940884
2020-02-16,0,2.23,30.88,3.43,36.08,14.42,22.13,24.62,95.87,3.62,6.95951369576494
2020-02-17,0,1.36,32.75,5.61,35.92,15.86,23.46,25.45,95.93,2.18,7.73413773412392
2020-02-18,0,1.56,38.5,8,36.18,15.17,21.4,25.55,95.92,2.52,9.14320082720999
2020-02-19,0,1.26,49.44,13.26,35.49,16.67,21.94,26.12,95.79,2.09,12.1219043871162
2020-02-20,0,1.08,53.25,15.65,35.55,18.56,19.18,27.32,95.68,1.8,13.9567163386728
2020-02-21,0,1.71,64.81,19.44,33.68,21.45,16.73,27.32,95.75,2.55,16.986568749472
2020-02-22,0,1.76,66.69,19.88,33.43,22.67,19.54,27.41,95.86,2.59,17.5665515092141
2020-02-23,0,1.34,55.81,16.21,36.03,21.33,20.34,28.32,95.9,2.05,15.4566915197238
2020-02-24,0,1.86,59.06,16.88,35.92,21.14,18.08,27.62,95.91,2.76,15.7383247818814
2020-02-25,63.42,1.82,58.31,15.26,32.48,20.41,21.6,25.44,95.87,2.91,13.7625795710788
2020-02-26,0.06,2.33,45.62,10.97,35.37,17.55,24.09,25.66,95.81,3.71,10.9011238913865
2020-02-27,0,1.25,45.31,11.69,34.26,16.89,23.95,25.75,95.9,2.04,10.8817776295116
2020-02-28,131.38,0.95,62.19,16.45,32.15,17.55,22.63,24.74,95.96,1.73,14.1112334261923
2020-02-29,178.63,1.05,66.12,17.79,31.05,18.42,19.24,25.03,95.92,1.67,15.2502814351213
2020-03-01,0,0.86,53.19,14.6,31.98,19.4,21.4,25.62,95.87,1.27,12.6815476886155
2020-03-02,0,1.03,55.12,15.17,32.23,17.44,22.67,25.43,95.96,1.56,13.0023602775159
2020-03-03,0,1.23,56.31,15.31,32.57,17.26,23.43,25.54,96.04,1.9,13.3653226621083
2020-03-04,0,1.02,51.06,14.32,32.83,18.27,22.7,26.16,96.05,1.52,12.5470954548482
2020-03-05,0,1.14,48.88,13.66,33.69,17.42,22.04,26.15,95.95,1.76,12.0046946194126
2020-03-06,0.01,1.25,63.94,17.37,33.46,17.66,21.57,25.58,95.88,2.08,15.2104084405495
2020-03-07,0.31,1.85,66.19,18.35,33.48,19.41,22.41,26.12,95.82,2.8,16.2287389033824
2020-03-08,1.08,2.16,73.25,20.28,32.64,20.69,21.99,25.97,95.89,3.28,17.8098340987297
2020-03-09,0.76,1.78,77.19,20.95,30.64,20.87,18.88,25.51,95.89,2.71,18.2904344878039
2020-03-10,0.71,2.18,74.75,19.81,30.3,20.89,13.44,24.94,95.92,3.24,17.1535602901317
2020-03-11,0,1.03,55.25,15.79,32.46,19.48,16.16,26.31,95.85,1.69,13.6908220664473
2020-03-12,0,1.48,50.19,14.26,35.31,19.72,25.54,26.98,95.75,2.4,12.9091983693443
2020-03-13,0.02,1.42,54.25,14.53,34.75,18.33,25.58,26.12,95.8,2.39,13.3012401496977
2020-03-14,0,1.44,50.56,13.19,35.08,18.05,24.13,26.29,95.84,2.37,12.5146844414846
2020-03-15,0.06,1.82,54.88,14.27,34.55,18.58,22.02,25.81,95.83,2.91,13.2244892405503
2020-03-16,0.01,1.76,63.69,18.09,34.42,20.62,18.17,26.93,95.77,2.69,16.3360992935346
2020-03-17,0.04,2.39,63.44,18.65,34.43,20.25,20.66,27.07,95.75,3.55,16.3988361843088
2020-03-18,0.04,2.52,67.88,19.9,33.62,21.48,18.03,26.96,95.85,3.63,17.4398193649355
2020-03-19,0,2.75,66.75,19.58,34.04,21.41,20.37,27.03,95.88,3.98,17.2162219092736
2020-03-20,0,2.07,60.25,17.83,35.51,20.83,23.84,27.55,95.8,3.11,15.9934903768919
2020-03-21,0.02,2.21,61.31,18.48,35.84,21.1,19.32,27.88,95.8,3.27,16.5738843407139
2020-03-22,0.62,2.76,63.5,19.33,35.55,21.78,21.43,28.02,95.8,3.91,17.2987653765172
2020-03-23,3.36,3.94,76.44,20.33,29.9,22.39,18.01,25.06,95.99,5.55,17.6603510539409
2020-03-24,2.36,2.94,75.56,20.08,30.87,21.69,19.61,25.22,96,4.11,17.614912682803
2020-03-25,1.59,2.41,72.56,19.98,31.75,21.34,21.84,25.83,95.91,3.45,17.5044419517906
2020-03-26,0.83,1.84,70.12,20.04,32.26,21.12,19.09,26.43,95.81,2.64,17.49218366641
2020-03-27,4.89,1.81,77,20.77,30.09,22.37,21.08,25.49,95.88,2.63,18.2249489346442
2020-03-28,2.7,1.62,69.75,20.37,34.21,20.78,21.05,27.29,95.88,2.46,18.2510057928004
2020-03-29,6.79,1.84,72.38,21.26,33.18,22.14,20.32,27.18,95.91,2.67,18.8241732748559
2020-03-30,0.15,1.17,59.12,19.56,36.71,22.74,22.22,29.51,95.66,1.75,17.4740068260779
2020-03-31,0.04,1.79,59.5,18.69,37.08,21.96,24.18,28.94,95.69,2.75,17.0480082215847
2020-04-01,0.08,1.73,65.44,20.5,36.56,22.61,22.26,28.69,95.78,2.69,18.4952358002836
2020-04-02,0.03,1.56,64.75,20.71,36.36,23.1,19.32,29.09,95.79,2.37,18.704887847902
2020-04-03,0.09,2.05,63.44,20.1,36.32,22.28,20.78,28.77,95.71,3.02,18.0086772211754
2020-04-04,0.22,2.38,67.44,21.1,34.8,23.14,22.33,28.38,95.79,3.48,18.7392733165761
2020-04-05,0.15,1.83,68.19,21.44,34.68,22.68,20.1,28.43,95.9,2.73,18.9997374016985
