"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,1.97,0.91,83.06,22.32,29.87,22.78,16.43,25.56,97.71,1.52,19.7366321368273
2020-01-02,2.67,0.96,87.69,23.09,29.13,23.45,14.16,25.41,97.72,1.66,20.6621433780533
2020-01-03,1.18,0.68,83.38,22.51,29.33,23.08,16.41,25.72,97.79,1.2,19.9911562399757
2020-01-04,0.93,0.86,83.25,22.63,30.67,22.69,21.04,25.98,97.8,1.52,20.2525304498818
2020-01-05,3.02,1.01,84.81,22.88,30.59,23.09,15.98,25.94,97.76,1.76,20.5859434948392
2020-01-06,10.85,0.88,86.06,22.96,29.93,23.48,16.21,25.66,97.7,1.54,20.5644612471004
2020-01-07,5.65,1.09,85.5,23.05,30.47,22.75,17.18,25.92,97.67,1.96,20.7302264851642
2020-01-08,8.66,0.92,87,23.01,29.06,23.52,18.25,25.48,97.8,1.65,20.580272757534
2020-01-09,8.7,1.07,87.81,22.92,29.19,22.97,13.3,25.23,97.85,1.8,20.4822060685279
2020-01-10,2.94,1.2,84.31,21.75,28.76,21.56,18.2,24.79,97.96,2.02,19.1844291032111
2020-01-11,0.19,1.08,82.94,21.65,29.9,21.33,19.98,25.05,97.93,1.85,19.1512954798011
2020-01-12,0.08,0.88,82.62,22.38,29.82,23.25,21.22,25.74,97.84,1.52,19.8311427133547
2020-01-13,0.09,0.99,83.94,23.05,31.19,22.83,18.15,26.24,97.65,1.67,20.7190798385833
2020-01-14,0.12,0.91,84.88,23.18,29.94,23.51,20.1,26.12,97.59,1.65,20.8112306710847
2020-01-15,0.17,1.11,85.5,23.51,30.31,23.69,16.85,26.33,97.66,1.92,21.2103429226142
2020-01-16,6.11,1.4,92,24.08,27.68,24.24,15.81,25.51,97.75,2.4,21.7997146376209
2020-01-17,7.9,1.63,90.94,23.13,26.49,22.65,10.3,24.74,97.85,2.8,20.6347574815553
2020-01-18,0.11,0.77,84.31,22.22,29.63,22.3,19.85,25.26,97.92,1.35,19.6990079949284
2020-01-19,0.53,0.81,83.25,22.27,28.8,23.25,18.57,25.48,97.79,1.42,19.6931920352265
2020-01-20,0.6,0.75,82.31,22.33,30.97,22.29,18.06,25.8,97.7,1.23,19.8232237583346
2020-01-21,0.23,0.87,83.12,22.97,30.07,23.93,15.73,26.23,97.74,1.52,20.5052330757644
2020-01-22,0.09,0.84,83.06,22.9,31.04,22.97,16.56,26.32,97.74,1.51,20.5935560278089
2020-01-23,0.1,1,83.81,23.22,30.65,23.62,17.76,26.44,97.72,1.76,20.9189515804071
2020-01-24,0.22,1.02,82.81,23.04,30.52,24.02,17.27,26.51,97.74,1.74,20.7500911752422
2020-01-25,0.12,0.93,80.44,22.53,31.47,23.83,20.52,26.65,97.78,1.59,20.3138793591262
2020-01-26,0.08,1.07,79.19,22.12,32.02,23.62,21.54,26.64,97.81,1.79,19.9870908094229
2020-01-27,0.1,0.92,80.62,22.86,31.31,24.31,21.14,26.8,97.81,1.62,20.5298062148946
2020-01-28,0.11,0.96,83,23,30.38,23.74,18.56,26.38,97.82,1.79,20.6476282492903
2020-01-29,0.16,0.92,84.12,23.17,30.63,23.93,18.25,26.36,97.79,1.73,20.9029315189888
2020-01-30,0.18,1.05,85.81,23.31,29.85,23.71,14.86,26.08,97.89,1.89,20.9922986957915
2020-01-31,0.95,1.18,85.81,23.21,29.53,23.9,14.83,25.93,97.94,2.15,20.8170283648749
2020-02-01,0.55,1,81.94,22.86,30.45,23.94,16.29,26.41,97.87,1.75,20.4180432761167
2020-02-02,1.03,0.98,82.38,22.34,29.72,23.4,15.93,25.84,97.92,1.73,19.8845538380261
2020-02-03,1.32,1.04,83.5,21.6,27.83,23.11,16.13,24.76,98.04,1.85,18.9679807315937
2020-02-04,0.21,0.84,81.19,21.74,29.71,22.46,19.09,25.54,97.96,1.46,19.2706543586675
2020-02-05,0.39,1,82.94,22.44,30.18,23.17,20.77,25.9,97.87,1.81,20.0870475576957
2020-02-06,0.2,0.85,79.62,22.16,31.05,23.42,17.18,26.33,97.79,1.53,19.7516667075853
2020-02-07,0.89,1.06,83.31,22.98,31.02,23.35,18.01,26.27,97.76,1.78,20.5980208098337
2020-02-08,1.21,1.1,85.81,23.39,30.7,23.73,15.51,26.18,97.78,1.86,21.1098516733178
2020-02-09,0.89,1.4,85.88,22.75,29.24,23.13,16.73,25.44,97.88,2.38,20.2697707694092
2020-02-10,0.9,0.92,82.56,22.48,30.18,22.98,19.49,25.88,97.84,1.61,19.9726564191216
2020-02-11,1.39,1.05,84.56,23.1,30.15,23.6,19.31,26.12,97.82,1.84,20.7327717430127
2020-02-12,1.06,1,83.5,22.8,29.85,23.56,16.56,26.04,97.83,1.81,20.3815860351564
2020-02-13,0.94,0.9,82.25,22.52,30.19,23.5,13.08,25.98,97.74,1.52,20.0092568108442
2020-02-14,0.75,0.75,80.88,22.83,31.07,23.97,18.23,26.63,97.62,1.29,20.4022846492736
2020-02-15,0.98,0.93,81.94,23.12,32.14,23.32,19.71,26.83,97.57,1.71,20.9007450397954
2020-02-16,3.83,1.16,85.81,23.51,30.07,24.01,17.26,26.23,97.69,2.05,21.1688408353145
2020-02-17,4.77,1.27,89.5,23.73,28.58,24.23,13.36,25.68,97.79,2.16,21.4104492724328
2020-02-18,1.25,0.91,84.06,22.98,30.13,23.44,16.65,26.08,97.78,1.62,20.5641839921715
2020-02-19,1.3,0.83,82,22.61,30.75,23.08,18.66,26.19,97.7,1.41,20.1838285516643
2020-02-20,3.49,0.88,84.19,23.24,31.09,23.15,18.08,26.37,97.49,1.53,20.9319903395913
2020-02-21,6.6,1,88.06,23.91,30.12,24.13,12,26.17,97.51,1.66,21.6512774882095
2020-02-22,13.71,1.02,90.06,23.89,29.25,23.43,12.96,25.72,97.55,1.72,21.5927504314249
2020-02-23,3.84,1.09,88.38,23.74,29.15,23.86,17.76,25.93,97.69,1.91,21.4404960597558
2020-02-24,4,0.88,88.31,23.88,29.37,24.1,17.13,26.08,97.67,1.56,21.6038911295344
2020-02-25,6.31,0.76,85,23.62,30.49,24.06,17.36,26.55,97.63,1.37,21.3463319137569
2020-02-26,4.67,0.86,87.81,23.84,28.8,24.26,8.44,26.1,97.68,1.48,21.5055848593551
2020-02-27,3.45,0.83,84.5,23.75,31.1,23.86,20.8,26.8,97.66,1.46,21.5178445194566
2020-02-28,17.66,0.8,86.56,23.99,30.35,24.5,17.26,26.59,97.69,1.4,21.7865464156675
2020-02-29,26.95,0.98,91.62,23.97,27.83,23.91,17.6,25.48,97.71,1.68,21.6731562074168
2020-03-01,5.23,1.12,87.94,23.69,30.02,22.88,17.46,26,97.74,1.91,21.4174159120242
2020-03-02,1.47,0.69,88.75,23.87,28.23,24,15.93,25.92,97.85,1.21,21.5182175503897
2020-03-03,0.58,0.98,80.75,22.9,31.89,23.08,16.97,26.81,97.91,1.78,20.5743373338043
2020-03-04,2.3,0.76,90.19,23.58,27.1,23.61,15.47,25.33,97.95,1.38,21.155933572882
2020-03-05,0.92,1.05,79.44,21.98,31.51,22,19.69,26.17,97.78,1.78,19.5318814860704
2020-03-06,2.28,0.79,88.5,23.67,28.6,23.78,16.41,25.78,97.67,1.39,21.2901464765707
2020-03-07,22.41,0.76,89.06,22.61,26.67,22.41,5.19,24.58,97.8,1.38,20.0263936831093
2020-03-08,0.79,0.84,82.38,21.94,30.58,21.59,22.73,25.45,97.74,1.52,19.4546035583856
2020-03-09,4.45,0.88,81.81,22.73,30.98,23.04,21.35,26.31,97.65,1.52,20.2723285657205
