"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.01,1.62,73.5,17.22,29.08,16.92,20.21,22.62,98.66,2.79,14.7821791773824
2020-01-02,0.01,1.9,71.94,15.99,29.13,16.39,21.35,21.88,98.72,3.24,13.8653171283127
2020-01-03,0.01,2.15,70.06,14.9,28.23,14.95,21.66,21.1,98.78,3.56,12.9069196291741
2020-01-04,0,1.84,63.38,14.11,28.79,15.29,20.03,21.94,98.77,2.91,12.2578670028507
2020-01-05,0,1.32,63.75,14.71,28.82,15.48,20.61,22.4,98.68,2.17,12.6603252813393
2020-01-06,0,0.98,66.94,15.83,29.22,15.67,20.3,22.75,98.64,1.72,13.5635828103308
2020-01-07,0,1,79.38,19.29,29.93,17.41,19.67,23.47,98.61,1.81,16.7599280173748
2020-01-08,0,1.06,79.62,20.58,30.3,18.98,20.25,24.62,98.64,1.75,17.9441865432903
2020-01-09,0.02,1.11,79.56,21.36,30.67,19.7,18.91,25.4,98.67,1.82,18.7359709429813
2020-01-10,0.11,0.97,84.06,22.09,30.03,21.6,17.97,25.23,98.71,1.7,19.607496209093
2020-01-11,1.83,0.99,84.69,22.62,30.08,22.19,16.43,25.63,98.76,1.7,20.2030929143463
2020-01-12,0.56,1.3,81.81,22.3,31.04,21.54,18.82,25.95,98.68,2.06,19.8688608562379
2020-01-13,0.35,1.43,70.75,18.82,30.85,20.51,19.5,25.13,98.57,2.29,16.4102904390537
2020-01-14,0,1.77,70.12,17.36,30.89,17.87,21.39,23.69,98.52,3,14.9914664961006
2020-01-15,0,1.2,71.06,18.36,30.36,18.07,20.54,24.4,98.64,2.05,15.81701657653
2020-01-16,0,1.27,73.19,19.65,31.75,19.54,21.07,25.26,98.72,2.15,17.100823095111
2020-01-17,0.03,1.05,82.44,21.94,29.94,20.76,17.16,25.33,98.79,1.77,19.3380104640026
2020-01-18,0.04,1.13,77.56,21.26,31.5,20.55,18.36,25.8,98.73,1.84,18.6792520313015
2020-01-19,0.02,1.4,69.94,18.09,30.88,19.16,20.17,24.47,98.64,2.3,15.6294926767723
2020-01-20,0.05,0.62,70.56,18.41,29.08,18.92,18.98,24.35,98.57,1.06,15.661338625226
2020-01-21,0.05,0.55,80.38,21.66,29.73,22.01,16.25,25.49,98.63,0.95,19.0249531865805
2020-01-22,0.23,0.75,85.56,22.78,29.09,22.39,4.48,25.51,98.7,1.29,20.2737346129874
