"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.26,3.6,60.19,-2.42,9,0.64,13.41,5.08,95.52,4.75,4.11214972531133
2020-01-02,0.03,4.1,65.19,1.55,16.57,1.98,14.34,8.55,95.82,5.46,5.58254452885985
2020-01-03,0,3.59,62.56,1.21,16.84,3.63,15.35,9.3,96.02,4.81,5.62066738983639
2020-01-04,0.01,2.59,61.25,1.14,17.17,3.77,11.66,9.56,95.95,3.66,5.59489618437218
2020-01-05,0,2.34,50.5,-0.96,17.62,3.73,16.26,9.97,95.64,3.38,4.73469538929148
2020-01-06,0.02,4.07,50.5,-0.54,17.49,3.32,15.74,9.75,95.35,5.41,4.6690166437868
2020-01-07,0.01,2.79,55.75,-1.17,15.37,2.18,16.77,8.13,95.64,3.81,4.64696924806761
2020-01-08,0,1.9,54.69,-1.15,16.23,2.07,16.47,8.55,95.8,2.77,4.68337720943926
2020-01-09,0,2.12,54.19,-1.09,16.86,2.48,16.29,8.76,95.8,3.09,4.70347045343974
2020-01-10,0,2.68,63.5,1.46,16.15,2.5,15.3,8.9,95.62,3.73,5.56116941765379
2020-01-11,0,2.83,63.69,2.74,13.83,5.91,7.12,9.37,95.53,3.73,5.74779082519825
2020-01-12,0.49,2.08,77.31,8.12,18.19,7.57,13.9,12.2,95.37,2.85,8.33916486665874
2020-01-13,2.48,3.77,68.56,5.72,18.37,8.33,11.25,12.44,95.08,4.83,7.50663472097706
2020-01-14,0.08,3.93,58.19,1.11,17.51,4.99,14.36,10.01,95.19,5.08,5.46954095566202
2020-01-15,0.16,4.41,71.25,3.86,16.41,2.84,12.46,9.14,95.4,5.84,6.33637487333961
2020-01-16,0.27,4.47,70.19,5.9,17.95,7.34,13.54,11.76,95.62,5.86,7.36606503301488
2020-01-17,0.04,3.26,67.75,3.56,17.55,5.57,16.39,10.34,95.93,4.41,6.50262150499591
2020-01-18,0,2.33,58.69,1.01,18.64,4.28,17.43,10.44,95.95,3.33,5.66877195825813
2020-01-19,0,1.64,50,-0.77,18.4,3.87,17.67,10.3,95.77,2.59,4.78685504001563
2020-01-20,0,3.74,45.25,-2.6,18.07,3.05,17.43,9.81,95.87,5.19,4.19960300507675
2020-01-21,0,5.06,51.81,-0.03,18.07,4.05,17.25,10.21,96.06,6.69,4.93196541190493
2020-01-22,0,4.7,59.06,0.57,16.66,3.29,17.43,9.16,96.06,6.14,5.25901182862098
2020-01-23,0,2.95,53.81,-1.46,17.73,1.87,17.13,8.93,95.95,4.05,4.72159851931506
2020-01-24,0,2.73,47.12,-2.92,18.49,1.62,17.63,9.13,96.02,3.87,4.187780275072
2020-01-25,0,2.71,46.88,-1.72,19.59,2.93,15.56,10.44,96.09,3.89,4.52806320332495
2020-01-26,0,2.27,37.44,-4.53,22.61,3.51,17.48,11.55,95.83,3.48,3.87783171267726
2020-01-27,0,1.19,24.69,-6.32,27.13,6.66,17.32,15.33,95.46,1.83,3.22881369427429
2020-01-28,0,3.56,53.38,3.45,23.03,7.62,17.97,14.11,95.65,4.74,6.47963832239789
2020-01-29,0,1.92,49.19,1.65,22.33,6.19,17.6,13.51,95.69,2.84,5.75470579414506
2020-01-30,0,1.35,35.25,-0.8,24.73,8.98,18.49,15.51,95.62,1.94,4.66044425265507
2020-01-31,0,1.83,34.94,-1.81,22.95,7.73,18.53,14.4,95.64,2.73,4.31731144559415
