"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.86,2.86,59.31,8.82,25.11,11.04,27.62,18.19,77.37,4.08,9.21015007868564
2020-01-02,0.09,2.59,50.94,6.28,26.69,9.5,31.49,18.66,77.38,3.83,8.13390817495412
2020-01-03,0.25,2.81,52,7.69,26.61,10.99,27.6,18.95,77.51,4.23,8.4467232631199
2020-01-04,25.91,3.07,63.44,9.45,26.51,10.16,30.32,18.19,77.49,4.44,9.85149082771568
2020-01-05,2.74,2.43,64.06,9.6,24.69,8.9,32.19,17.3,77.33,3.52,9.43380119692253
2020-01-06,0.63,2.48,56.31,9.38,25.35,11.12,29.55,19.11,77.33,3.62,9.23358923926677
2020-01-07,3.53,1.66,72.88,10.53,20.9,12.63,12.06,15.8,77.42,2.37,9.80638815593026
2020-01-08,16.47,3.02,88.62,11.88,16.56,11.97,8.31,13.8,77.33,4.44,10.5543993073571
2020-01-09,2.4,1.85,72.38,11.25,23.04,11.31,27.18,16.89,77.35,2.64,10.4004042530945
2020-01-10,9.67,1.28,75.31,11.51,21.65,11.82,17.87,16.31,77.57,1.87,10.4504126124534
2020-01-11,1.18,1.83,76,11.17,20.66,10.5,19.71,15.71,77.67,2.66,10.170621212788
2020-01-12,1.81,1.32,72.19,10.7,22.55,10.97,19.07,16.44,77.61,1.88,10.096242596042
2020-01-13,1.21,1.8,71.5,10.09,21.83,9.96,23.39,16.01,77.5,2.8,9.74367455764478
2020-01-14,0.09,1.52,64,8.72,24.4,10.44,28.7,16.99,77.47,2.16,9.25159891405806
2020-01-15,0.01,1.83,55.5,6.49,26.01,10.91,32.76,17.48,77.62,2.79,8.26162390400348
2020-01-16,0,1.7,48.69,4.83,28.16,8.76,33.54,18.56,77.6,2.63,7.72874634726589
2020-01-17,0,0.95,42.56,5.18,28.21,10.93,33.05,19.59,77.31,1.38,7.17886968072811
2020-01-18,3.8,0.94,60.62,8.69,21.89,12.75,14.33,16.92,77.08,1.34,8.72628402750821
2020-01-19,11.84,1.31,78.06,11.12,21.08,10.46,17.26,15.33,77.11,1.89,10.2082299301357
2020-01-20,6.79,1.87,74.12,10.62,22.17,9.05,23.42,15.72,77.4,2.72,9.92504222297186
2020-01-21,6.23,1.64,70.81,10.11,22.51,10.98,25.36,16.1,77.39,2.35,9.70225109261564
2020-01-22,0.15,2.75,60.12,6.98,23.43,8.82,27.67,15.89,77.18,4.14,8.1336376517779
2020-01-23,0.99,1.89,55.56,6.24,23.65,8.7,26.94,16.24,77.22,2.78,7.67732199442202
2020-01-24,23.86,2.23,76.19,9.81,20.65,9.37,19.59,14.44,77.52,3.31,9.43738425529829
2020-01-25,3.04,2.73,75.56,10.08,20.94,10.21,24.94,14.98,77.41,4,9.67309406218619
2020-01-26,5.5,4.02,76,11.13,22.73,11.13,22.37,16.08,77.28,5.82,10.4008047937868
2020-01-27,0.04,1.73,54.25,3.43,21.93,7.33,32.86,14.26,77.46,2.51,6.64609262783086
2020-01-28,0,2.06,39.38,-0.1,21.66,6.8,32.97,14.26,77.52,2.94,4.82438945039593
2020-01-29,0.07,1.6,39.44,2.65,24.47,10.39,32.49,17.3,77.56,2.23,5.80813486117116
2020-01-30,0.15,1.83,54.94,7.09,24.49,10.05,30.14,17.2,77.77,2.68,8.04247364428335
2020-01-31,0.65,2.22,60.12,9.14,24.66,9.6,29.48,17.64,77.81,3.24,9.03523179034127
2020-02-01,5.96,0.89,56.75,8.99,25.81,12.34,25.16,18.51,77.86,1.34,8.98149978161615
2020-02-02,2.29,1.29,63.06,10,24.98,12.4,27.01,18.19,77.96,2.01,9.79248126727224
2020-02-03,8.01,1.38,69.75,10.08,21.43,10.55,16.16,16.05,77.91,2.06,9.52819343309545
2020-02-04,0.53,1.2,54.56,7.65,24.26,10.18,27.12,17.72,77.65,1.73,8.23885134282459
2020-02-05,0.48,1.56,55.56,7.91,22.26,12.41,22.68,17.23,77.48,2.19,8.14785107774415
2020-02-06,11.19,1.88,70.88,10.25,21.24,11.47,18.69,15.9,77.44,2.77,9.59516055277314
2020-02-07,11.01,1.82,79.31,11.83,21.32,11.89,15.35,15.8,77.47,2.67,10.6715785489411
2020-02-08,18.89,2.38,87.75,11.79,16.48,10.98,14.96,13.86,77.41,3.47,10.4894140938848
2020-02-09,5.59,1.93,80.12,10.45,19.91,7.62,26.31,14.03,77.43,2.8,9.67789264213866
2020-02-10,2.38,1.36,75.31,10.1,20.86,9.78,21.59,14.96,77.53,2,9.62934721848152
2020-02-11,1.95,1.18,73.31,9.58,20.83,9.04,24.56,14.92,77.64,1.66,9.35079725505335
2020-02-12,0.44,1.41,70.31,8.41,20.9,8.44,27.07,14.48,77.6,1.98,8.73038927516363
2020-02-13,0.06,1.97,64.62,8.58,21.5,9.79,28.04,15.58,77.48,2.78,8.57983815684418
2020-02-14,0.01,1.22,54.5,7.48,24.04,10.71,28.44,17.4,77.52,1.71,8.07407960259098
2020-02-15,0.3,1.24,62.75,9.23,24.14,9.85,24.13,17.25,77.69,2.04,9.21328224193325
2020-02-16,0.05,1.49,57.25,8.15,24.66,12.16,29.34,17.66,77.67,2.25,8.61417985202935
2020-02-17,2.01,1.31,62.75,9.68,24.4,11.72,24.48,17.51,77.56,1.87,9.35759611264114
2020-02-18,11.8,1.66,82.88,12.33,19.3,12.48,10.27,15.46,77.71,2.37,10.9244656796229
2020-02-19,9.22,1.59,83.38,12.4,21.18,11.49,13.87,15.53,77.67,2.34,11.0371522519966
2020-02-20,13.26,2.09,85.38,12.24,19.44,10.71,12.73,14.83,77.48,3.22,10.8307388504838
2020-02-21,1.35,1.43,73.25,10.83,23.01,9.36,25.6,16.18,77.53,2.2,10.0851638961774
2020-02-22,4.71,1.99,77.25,11.66,22.16,10.82,19.6,16.04,77.37,3,10.5463569522067
2020-02-23,1.19,2.23,70.31,7.15,21,7.62,26.06,13.65,77.49,3.33,8.29678190650334
2020-02-24,0.14,1.38,67.12,6.5,21.7,6.6,28.06,13.55,77.71,2.06,7.87170923851383
