"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,40.61,3,92,18.83,22.58,18.51,21.06,20.17,86.8,4.32,16.0548528386861
2020-01-02,11.03,3.11,88.44,18.8,25.69,17.98,17.04,20.87,86.82,4.46,16.0766991059717
2020-01-03,14.16,2.45,92.25,18.48,22.08,17.94,9.23,19.8,87.1,3.55,15.7533957268721
2020-01-04,12.06,1.66,87.44,18.03,24.02,17.81,21.73,20.27,87.05,2.43,15.348551797486
2020-01-05,8.08,1.3,78.12,17.05,27.26,15.71,25.12,21.48,86.92,1.96,14.7123372608853
2020-01-06,9.87,1.84,76.12,16.93,27.69,16.67,25.15,21.84,87.01,2.62,14.6371177263893
2020-01-07,19.39,1.22,90.06,18.01,22.2,18.08,23.42,19.73,87.16,1.8,15.3163851046967
2020-01-08,28.1,1.36,89.06,18.08,23.81,17.64,26.6,20.04,87.15,2.07,15.4240292521174
2020-01-09,26.22,1.84,88.06,18.11,24.82,16.53,24.37,20.28,87.1,2.66,15.4664165421858
2020-01-10,4.47,1.69,79.69,17.19,27.25,15.78,27.83,21.24,87.12,2.49,14.8007686098478
2020-01-11,1.71,1.56,73,15.67,28.15,15.44,29.76,21.57,87.12,2.29,13.8198716745891
2020-01-12,3.25,1.53,79.69,16.74,26.77,15.97,24.46,20.76,87.11,2.22,14.3936954415832
2020-01-13,7.09,1.77,84.62,16.79,23.46,16.91,20.21,19.62,87.09,2.6,14.2985756214611
2020-01-14,6.47,2.08,81.5,17.37,25.94,16.91,23.38,20.97,87.11,2.98,14.901523002869
2020-01-15,22.23,2.05,78.31,17.12,26.94,17.05,27.04,21.51,87.17,2.95,14.7737498695887
2020-01-16,17.5,2.88,83.94,18.08,25.98,17.46,22.55,21.17,87.14,4.15,15.5269410425531
2020-01-17,11.07,1.52,86.44,17.79,23.75,17.62,20.53,20.29,87.01,2.27,15.1907608187382
2020-01-18,10.4,1.55,87.5,18.45,24.83,17.56,19.16,20.73,86.9,2.2,15.7767676534528
2020-01-19,18.43,4.01,91.5,19.45,24.69,18.87,19.13,20.95,86.77,5.83,16.7104952272812
2020-01-20,21.88,3.62,92.06,19.58,23.34,18.73,9.94,20.95,86.61,5.24,16.8127671106394
2020-01-21,69.79,2.59,91,18.37,23.11,17.48,13.78,19.92,86.56,3.75,15.6496383794883
2020-01-22,32.87,5.6,90.25,18.01,21.79,16.31,8.62,19.67,86.38,8.1,15.2947391607841
2020-01-23,8.66,4.12,88.69,18.83,24.71,18.35,15.62,20.89,86.52,5.94,16.1409072542642
2020-01-24,2.68,1.38,83.44,18.03,26.51,16.65,25.54,21.23,86.88,2.11,15.4882684552692
2020-01-25,4.75,2.57,84.81,17.57,25.62,16.44,22.55,20.37,87.12,3.71,14.9741123022318
2020-01-26,2.86,2.2,81.75,17.07,26.4,15.05,16.3,20.58,87.25,3.12,14.6117603747491
2020-01-27,11.94,2.34,89.81,18.59,25.01,16.92,20.03,20.42,87.12,3.37,15.9032673076709
2020-01-28,2.52,1.98,84.69,18.4,27.29,15.9,25.25,21.34,86.98,2.88,15.8208639585934
2020-01-29,1.57,1.28,84.38,18.58,26.21,17.55,24.52,21.62,87.06,1.97,16.0205157609753
2020-01-30,4.11,1.68,81.19,18.31,27.27,17.54,19.77,22.02,87.16,2.44,15.7749690434949
2020-01-31,8.89,2.94,80.69,16.99,26,16.95,23.48,20.73,87.17,4.21,14.5488843652241
2020-02-01,0.18,3.52,79.69,15.66,25.89,14.4,28.41,19.65,87.27,5.08,13.4892780780678
2020-02-02,0.54,3.47,80.44,16.19,26.08,13.73,25.2,19.97,87.4,4.99,13.8741724915118
2020-02-03,0.25,3.81,79.69,15.59,25.98,13.72,28.9,19.5,87.33,5.54,13.3709196841044
2020-02-04,10.64,3.14,84.62,17.52,26,15.59,20.7,20.4,87.2,4.6,14.9667562929985
2020-02-05,0.09,2.49,76.62,16.01,26.7,16.03,27.65,20.83,87.22,3.62,13.8956793966329
2020-02-06,0.03,2.23,74.38,15.38,26.4,15.58,28.63,20.7,87.26,3.24,13.3877460960372
2020-02-07,0.04,1.59,80.75,16.98,26.27,15.99,23.1,20.76,87.31,2.38,14.5851538073515
2020-02-08,0.02,1.24,75.31,16.12,27.44,15.59,29.08,21.33,87.32,1.86,14.0604440659471
2020-02-09,0.2,1.26,80.19,17.62,26.71,16.41,26.86,21.55,87.28,1.86,15.1634805275439
2020-02-10,0.97,1.45,79.88,15.65,23.67,15.58,25.62,19.52,87.16,2.27,13.4185655932982
2020-02-11,0.17,1.31,74.94,15.43,28.13,13.85,27.93,20.79,86.98,2.12,13.5594008266771
2020-02-12,0.09,2.16,74.06,15.26,27.69,13.88,28.03,20.86,86.95,3.23,13.4548623465392
2020-02-13,3.83,1.34,78.81,17.73,28.01,16.84,22.14,22.08,87.08,1.98,15.3655801468714
2020-02-14,16.79,1.48,85.69,19.02,25.15,18.7,24.68,21.69,87.12,2.18,16.3351995900351
2020-02-15,8.93,1.28,87.81,18.95,25.5,18.62,23.92,21.23,87.03,1.87,16.2994349599375
2020-02-16,29.94,2.62,89.69,18.36,23.11,17.37,18.05,20.16,87.08,3.84,15.6425856321602
2020-02-17,1.74,3.3,85.38,17.65,26.32,16.59,23.47,20.34,87.19,4.78,15.0483662052931
2020-02-18,14.1,2.55,88.62,18.26,23.41,17.62,24.07,20.24,87.23,3.78,15.5284312466186
2020-02-19,38.92,1.58,89.06,19.26,25.01,18.7,18.05,21.26,87.13,2.31,16.5602471596661
2020-02-20,37.32,0.83,88.19,18.16,23.31,17.89,17.17,20.26,87.01,1.29,15.4711576613754
2020-02-21,29.85,1.6,86.69,17.98,24.93,17.43,18.31,20.47,87.06,2.42,15.3956422000558
2020-02-22,33.82,1.68,89.38,18.11,23.59,17.38,15.46,20.01,87.09,2.5,15.4522850114247
2020-02-23,30.86,2.32,89.56,18.54,24.79,17.05,22.99,20.42,87.05,3.39,15.8589981079502
2020-02-24,16.33,2.14,90.19,19.03,24.68,17.82,20.02,20.8,86.93,3.2,16.3281858022035
2020-02-25,40.9,1.84,89.75,18.26,23.34,18.05,18.13,20.06,86.81,2.78,15.5617356510631
2020-02-26,7.17,2.11,87.56,17.49,23.87,16.54,13.13,19.71,87.01,3.17,14.8737454315104
2020-02-27,1.08,1.49,81.06,17.48,27.03,15.29,22.61,21.2,87.08,2.19,15.0203289320407
2020-02-28,2.28,1.52,84.31,18.26,26.42,16.9,26.54,21.29,87.03,2.38,15.704300158783
2020-02-29,2.71,1.64,83.5,17.69,26.89,15.38,26.59,20.96,86.82,2.62,15.2583342046195
2020-03-01,4.49,1.8,85.19,17.94,25.86,17.3,23.79,20.72,86.75,2.75,15.3513198392936
2020-03-02,2.68,2.21,85.88,17.42,24.73,17.13,21.16,20.02,86.89,3.31,14.8558901211146
2020-03-03,5.59,2.04,85.25,18.3,26.16,16.07,21.19,21.07,87.06,2.98,15.6779893656047
2020-03-04,9.85,2.16,85,18.01,25.17,17.63,20.31,20.82,87.1,3.16,15.4064963799484
2020-03-05,3.02,2.8,81.81,17.23,26.97,15.82,24.47,20.75,87.07,4.12,14.768012779813
2020-03-06,0.14,1.34,80,17.02,27.62,13.75,25.95,21.05,86.94,2.05,14.6954042208109
2020-03-07,10.22,1.96,84.56,19.2,26.85,17.33,22.59,22.15,86.87,2.97,16.5532647518353
2020-03-08,4.6,3.24,86.75,18.71,25.69,17.9,20.33,21.14,86.96,4.87,16.0188133358231
2020-03-09,1.49,3.63,84.25,18.15,26.63,17.44,24.25,21.09,86.9,5.38,15.5120871848261
2020-03-10,1.21,3.48,83.38,17.91,26.41,16.8,24.47,21.05,86.94,5.19,15.3162850491402
2020-03-11,1.48,2.5,82.31,17.83,26.82,16.51,24.5,21.26,86.98,3.73,15.3051195117013
2020-03-12,0.71,2.71,82.31,17.69,26.95,16.44,26.18,21.1,87.02,4,15.1636961843751
2020-03-13,0.13,2.47,78.12,16.45,27.03,14.83,25.99,20.81,87.06,3.65,14.1512400523958
2020-03-14,0.14,2.2,79.12,16.56,27.39,13.89,21,20.68,87.05,3.23,14.2243255696259
2020-03-15,1.54,1.9,82.81,17.43,26.69,15.87,21.1,20.67,86.88,2.86,14.8790504553285
2020-03-16,2.21,1.37,84.12,17.59,25.69,15.67,23.98,20.61,86.75,2.2,15.0616807977826
2020-03-17,14.24,1.64,86.62,17.9,25.77,15.79,21.17,20.39,86.86,2.55,15.3115556613302
2020-03-18,18.38,2.3,91.56,18.15,22.82,16.65,18.86,19.6,86.96,3.45,15.4530907864772
2020-03-19,7.7,2.09,88.06,18.21,25.32,16.81,21.99,20.41,87.06,3.15,15.5842840456024
2020-03-20,21.36,1.08,85.25,18.35,25.83,17.3,20.18,21.15,87.16,1.64,15.7509695461739
2020-03-21,28.05,1.95,87.75,18.55,25.08,17.94,19.56,20.77,87.25,2.9,15.858729927366
2020-03-22,10.3,3.26,85.31,16.73,25.06,15.79,21.11,19.44,87.4,4.79,14.263468992949
2020-03-23,0.39,3.11,84.06,15.94,24.69,13.68,22.63,18.94,87.44,4.62,13.6463931852673
2020-03-24,0.26,2.27,77.75,14.55,25.05,13.58,24.29,19.03,87.26,3.4,12.6892517932224
2020-03-25,0.84,1.8,82.81,16.58,26.27,13.21,24.18,19.85,86.94,2.72,14.1828628330505
2020-03-26,1.27,2.84,82.81,16.69,25.33,15.66,21.66,19.94,86.95,4.3,14.2578684735544
2020-03-27,7.08,1.57,80.75,15.9,25.63,14.87,20.66,19.67,87.13,2.45,13.6847666175436
2020-03-28,7.21,2.03,89,18.21,26.16,16.12,20.74,20.2,87.12,3.1,15.5585938223171
2020-03-29,2.63,1.85,88.56,17.98,24.93,15.47,21.27,20.08,86.94,2.8,15.373385995097
2020-03-30,0.15,1.4,79.12,15.21,26.12,13.57,24.59,19.4,86.88,2.32,13.1974373616851
2020-03-31,0.83,1.42,84.19,17.64,25.94,15.41,22.88,20.55,86.98,2.29,15.0215834988604
2020-04-01,2.19,1.66,86.25,17.83,25.76,16.59,22.78,20.44,87.06,2.6,15.2907111110691
2020-04-02,1.95,1.47,83.62,16.73,25.3,15.38,20.98,19.81,86.93,2.45,14.288040514853
2020-04-03,1.48,1.7,84.19,16.66,24.87,15.34,18.66,19.62,87.01,2.59,14.225916823101
2020-04-04,0.8,1.77,83.25,15.73,24.8,13.75,13.14,18.88,87.11,2.59,13.4670895292959
2020-04-05,5.13,2.12,84.81,15.51,23.21,14.58,17.07,18.27,87.24,3.07,13.2327116728419
2020-04-06,2.87,2.13,85.62,16.11,23.69,15.23,19.54,18.76,87.3,3.16,13.7525923475921
2020-04-07,1.57,1.61,84.12,16.58,24.37,15.76,20.99,19.51,87.34,2.39,14.1225141746555
2020-04-08,2.62,0.98,84.06,16.77,25.29,15.3,20.69,19.79,87.41,1.72,14.3463846751378
2020-04-09,1.68,3,83.12,15.97,24.93,14.78,23.25,19.2,87.44,4.49,13.702335600654
2020-04-10,0.29,3.82,83.31,15.3,24.41,14.44,23.26,18.43,87.45,5.66,13.122634333043
2020-04-11,12.72,3.48,81.81,14.2,24.04,11.73,23.86,17.65,87.48,5.2,12.3022851216794
2020-04-12,149.48,3.44,88.5,15.73,23.19,13.55,22.55,17.75,87.4,5.13,13.3878929242763
2020-04-13,24.64,3.23,86.62,15.93,24.01,14.19,22.8,18.38,87.38,4.83,13.6036193834286
2020-04-14,37.21,3.47,87.44,15.83,23.45,14.48,21.76,18.09,87.43,5.17,13.4979665194753
2020-04-15,34.37,4.03,87.75,15.09,22.83,14.01,23.18,17.27,87.51,6.01,12.8993399505071
2020-04-16,7.72,4.34,86.94,15.31,22.87,13.41,22.52,17.69,87.41,6.5,13.1049419785469
2020-04-17,0.06,3.53,82.12,12.73,22.86,11.37,23.67,16.19,87.4,5.26,11.3132231970495
2020-04-18,0.22,3.33,83.38,13.32,22.52,10.61,23.23,16.36,87.41,5.05,11.6051708154556
2020-04-19,0.32,3.39,84.88,14.8,22.77,13.47,21.1,17.59,87.33,5.12,12.7183287173269
2020-04-20,1.25,4.43,84.81,15.01,23.05,14.5,15.75,17.73,87.3,6.54,12.8143999192367
2020-04-21,26.27,3.77,88.25,15.37,22.59,13.78,14.57,17.43,87.25,5.62,13.0975438118172
2020-04-22,1.95,3.16,87.38,15.03,22.16,13.65,15.14,17.29,87.29,4.73,12.8603278144111
2020-04-23,1.36,2.54,85.62,15.49,23.56,13.91,18.28,18.17,87.24,3.81,13.2799993034313
2020-04-24,4.08,1.63,82.88,15.65,24.27,14.61,18.57,18.88,87.18,2.46,13.4072357980546
2020-04-25,2.43,1.36,86.12,16.47,24.77,14.19,18.79,19.06,87.14,2.26,14.0801835692985
2020-04-26,1.66,1.26,87.06,16.42,24.06,15.11,19.19,18.83,87.24,2.17,14.0418756216177
2020-04-27,1.5,3.14,87.56,16.25,24.09,14.4,20.73,18.52,87.45,4.81,13.8658356292842
2020-04-28,0.65,3.3,84.62,15.35,24.16,13.56,20.23,18.18,87.58,4.91,13.1326943630191
2020-04-29,0.72,2.14,84.5,16.03,24.26,14.52,20.42,18.89,87.6,3.17,13.6773752642182
2020-04-30,0.89,2.17,83.69,15.81,24.79,14.49,21.01,18.86,87.65,3.21,13.5222797099495
2020-05-01,0.32,2.2,82.25,15.28,24.18,14.42,21.39,18.62,87.61,3.27,13.1023155995092
2020-05-02,0.4,1.02,85.5,16.07,25.05,13.23,20.21,18.8,87.38,1.7,13.7658332290833
2020-05-03,0.24,0.73,83.56,16.02,24.24,15.15,19.48,19.12,87.31,1.12,13.7100658258964
2020-05-04,0.21,1.06,80.44,14.83,23.82,13.74,18.42,18.58,87.41,1.72,12.783674751765
2020-05-05,0.12,1.73,81.81,15.21,24.24,13.86,19.58,18.69,87.49,2.62,13.0863230209674
2020-05-06,0.21,1.54,81.69,14.69,24.32,13.15,20.17,18.21,87.43,2.5,12.7005799282008
2020-05-07,0.47,1.45,83.44,15.69,24.17,14.23,16.64,18.76,87.33,2.41,13.4024329068335
2020-05-08,0.9,1.99,85.88,15.58,23.01,13.9,18.7,18.13,87.3,3.16,13.2887065701838
2020-05-09,0.4,1.87,83.62,14.96,22.76,14.27,17.93,17.96,87.42,2.77,12.8088622396658
2020-05-10,0.3,3.06,85.94,14.13,20.63,13.58,15.87,16.59,87.52,4.56,12.1282753163416
2020-05-11,0.12,3.1,84.81,14.15,22.68,13.36,16.69,16.93,87.54,4.6,12.2157749948383
2020-05-12,0.08,1.52,86.62,14.87,23,12.77,16.01,17.33,87.42,2.34,12.7790097756288
2020-05-13,0.19,1.87,90.19,15.65,22.51,13.88,13.58,17.3,87.32,2.93,13.2818378075311
2020-05-14,0.02,1.6,80.88,12.87,22.82,11.33,19.51,16.33,87.29,2.7,11.2368746886555
2020-05-15,0.03,1.5,79.81,11.58,21.76,10.58,18.01,15.33,87.19,2.53,10.4370846877291
2020-05-16,0.25,1.62,83.75,12.76,22.5,10.51,18.8,15.72,87.28,2.8,11.2145478436845
2020-05-17,0.45,2.29,85.06,14.22,23.23,11.79,19.74,16.88,87.51,3.64,12.2150820400193
2020-05-18,0.16,2.43,77.69,11.88,22.31,11.69,19.71,16.2,87.62,3.7,10.7093866495429
2020-05-19,0.15,1.76,79,11.11,22.01,10.36,20.08,15.2,87.56,2.77,10.2498348522136
