"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,4.05,20.69,-7.49,24.23,8.26,18.75,15.15,98.57,5.55,2.6762659814036
2020-01-02,0,4.66,21.94,-7.28,21.44,9.19,18.89,14.53,98.75,6.34,2.7326324019526
2020-01-03,0,4.33,24.06,-6.41,21.54,8.91,16.96,14.3,98.83,5.94,2.95479018501556
2020-01-04,0,3.5,26.38,-4.89,22.84,8.1,18.61,14.65,98.69,4.91,3.30982176861615
2020-01-05,0,3.02,25.75,-5.08,23.49,8.29,20.18,14.92,98.49,4.35,3.28444999751226
2020-01-06,0,2.88,24.94,-5.26,24.48,7.94,20.04,15.13,98.35,4.2,3.22208273053634
2020-01-07,0,2.67,22.19,-6.37,24.87,8.11,19.8,15.5,98.25,3.93,2.93198668363441
2020-01-08,0,2.12,21.94,-4.81,26.58,9.6,19,17.23,98.3,3.16,3.21749194826686
2020-01-09,0,2.86,20.75,-4.42,26.96,12.47,19.38,18.67,98.33,3.94,3.31524339800394
2020-01-10,0,3.45,21.38,-4.9,25.06,12.62,17.17,17.6,98.44,4.71,3.20546874663488
2020-01-11,0,3.11,24.56,-5.17,24.5,9.2,18.54,15.68,98.49,4.37,3.28074843921124
2020-01-12,0,3.76,21.38,-7.53,23.64,8.78,18.62,14.9,98.5,5.16,2.72372718960532
2020-01-13,0,5.06,29.12,-4.31,21.99,8.05,20.73,14.1,98.49,6.81,3.53262142965595
2020-01-14,0,3.88,24.94,-6.78,23.31,6.79,21.8,14.2,98.35,5.37,3.04414889902793
2020-01-15,0,3.29,16.75,-9.67,25.02,8.07,20.35,15.58,98.34,4.6,2.22395990602198
2020-01-16,0,3.17,19.75,-6.1,25.15,10.77,19.8,17.18,98.44,4.39,2.88767348766906
2020-01-17,0,4.02,21.88,-3.72,26.66,12.16,16.7,18.69,98.56,5.44,3.49992357534247
2020-01-18,0,4.29,24.62,-1.99,26.93,12.8,19.87,19.32,98.6,5.85,4.08739526261015
2020-01-19,0,2.97,25.62,-1.06,27.49,14.05,21.07,19.72,98.36,4.27,4.35460331067048
2020-01-20,0,1.92,21.94,-2.6,29.4,12.6,20.79,20.96,98.03,2.86,4.00919583771678
2020-01-21,0,2.22,21.31,-1.42,31.41,14.21,18.39,22.31,98.11,3.41,4.21018293215268
2020-01-22,5.03,2.23,29.62,3.38,31.15,16,15.97,22.66,98.25,3.43,5.97080251693484
2020-01-23,0,2.88,27.06,2.29,30.19,18.07,12.7,23.33,98.34,4.27,5.66789072809034
2020-01-24,0,2.76,19.5,-2.7,27.57,17.27,12.78,21.88,98.49,3.99,3.75832199057685
2020-01-25,0,3.36,18.31,-3.92,30.6,17.32,15.68,22.53,98.47,4.85,3.66349955966569
2020-01-26,0,2.57,12.88,-7.35,32.18,16.21,17.52,23.15,98.44,3.91,2.67021332177042
2020-01-27,0.26,2.79,12.44,-7.53,30.74,17.66,14.4,23.09,98.37,4.16,2.57016634347633
2020-01-28,0,2.86,12,-7.06,32.51,18.27,21.6,24.32,98.31,4.16,2.65897277705965
2020-01-29,0,3.42,14.19,-6.2,32.69,15.94,21.55,23.15,98.37,4.84,2.94179557732316
2020-01-30,0,3.56,19.94,-3.51,32.59,15.07,20.06,22.43,98.49,5.02,3.96678381757946
2020-01-31,0,3.08,19.06,-4.08,32.6,13.82,21.78,21.94,98.45,4.42,3.68625662786895
2020-02-01,0,2.93,18.31,-4.45,32.4,13.33,22.82,21.62,98.41,4.31,3.47636458382862
2020-02-02,0,2.82,15.94,-6.41,31.87,13.18,23.21,21.25,98.46,4.24,2.96224250799885
2020-02-03,0,2.77,13.69,-8.47,31.15,12.26,23.43,20.71,98.46,4.2,2.46551503671797
2020-02-04,0,2.95,14,-7.67,31.33,12.01,23.05,21.22,98.48,4.32,2.59719595677428
2020-02-05,0,2.99,15.69,-5.96,30.71,13.55,23.2,21.72,98.41,4.48,2.99619513308163
2020-02-06,0,2.76,17.38,-5.18,30.66,13.5,23.7,21.23,98.41,4.27,3.22610385609513
2020-02-07,0,3.02,19.31,-3.99,31.1,13.22,23.6,21.13,98.43,4.45,3.5636173472979
2020-02-08,0,3.29,18.62,-4.43,31.3,12.83,21.37,21.32,98.4,4.77,3.47435645054642
2020-02-09,0,3.2,16.25,-5.97,30.38,14.11,20.85,21.69,98.4,4.66,3.09775928740892
2020-02-10,0.11,3.87,29.56,1.3,26.73,17.37,10.63,21.17,98.58,5.33,5.46791014078948
2020-02-11,0,4.16,44.88,8.78,30.07,17.71,11.59,22.63,98.64,5.55,9.03135955720257
2020-02-12,0,4.73,14.44,-6.81,28.94,17.58,21.91,22.16,98.58,6.4,2.82836824516926
2020-02-13,0,3.94,19.88,-3.27,31.09,15.28,22.53,22.34,98.43,5.54,3.93444178720633
