"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,12.26,2.55,83.12,24.29,32.01,24.7,17.97,27.59,100.34,3.93,22.1131796455564
2020-01-02,3.76,2.07,79.56,23.8,32.84,23.95,23.06,27.95,100.4,3.19,21.5904853787229
2020-01-03,2.97,1.73,78.81,24.16,33.42,24.4,22.08,28.48,100.62,2.65,22.0190971235673
2020-01-04,0.28,1.79,75.19,23.03,34.18,23.7,22.35,28.26,100.59,2.71,20.7555039265188
2020-01-05,0.4,1.28,70.94,21.96,34.92,23.36,24.77,28.51,100.39,1.98,19.852897914561
2020-01-06,1.87,1.66,74.19,22.34,34.52,22.62,25.16,28.01,100.35,2.52,20.1998293904035
2020-01-07,1.95,1.67,74.88,22.7,34.44,22.99,21.61,28.18,100.44,2.5,20.5792522619306
2020-01-08,0.64,1.93,73.62,23.59,35.28,24.19,26.68,29.39,100.44,2.86,21.6180408385686
2020-01-09,0.07,1.82,70.44,22.95,36.76,24.2,28.21,29.85,100.3,2.73,21.208169434249
2020-01-10,0.49,1.91,71.25,23.89,36.01,25.56,24.28,30.32,100.34,2.77,22.0053980068094
2020-01-11,39.06,2.44,89.5,25.6,29.67,25.37,20.14,27.51,100.53,3.7,23.7055200567825
2020-01-12,10.97,1.18,86.5,24.72,30.54,25.07,21.89,27.28,100.53,1.88,22.6213392158426
2020-01-13,38.59,1.17,88.88,24.59,29.82,24.22,16.81,26.68,100.42,1.88,22.4827501931822
2020-01-14,12.63,1.16,85.25,23.98,30.44,23.74,23.27,26.8,100.44,1.84,21.7088313051322
2020-01-15,13.31,1.81,86.88,23.98,30.64,22.65,17.75,26.47,100.49,2.75,21.7214910339938
2020-01-16,19.98,2.31,90.62,24.9,29.79,24.11,18.12,26.62,100.42,3.54,22.84652310941
2020-01-17,4.03,1.99,87.06,24.9,30.47,24.65,12.35,27.35,100.24,3.05,22.8561557202288
2020-01-18,163.07,2.98,89.25,25.69,30.9,25.55,16.36,27.69,99.89,4.48,23.8754325656228
2020-01-19,31.18,1.3,91.62,26.09,29.52,25.91,19.83,27.59,99.71,2.09,24.3745129827463
2020-01-20,22.48,3.69,94.5,25.89,28.44,25.3,8.1,26.83,99.89,5.63,24.1044716409649
2020-01-21,7.98,4.32,84.19,21.94,27.08,22.2,14.8,24.83,100.34,6.56,19.2003991693871
2020-01-22,0.45,2.49,79.44,20.8,28.7,21.41,21.17,24.71,100.4,3.99,17.9948489428316
2020-01-23,2.3,1.72,81.31,21.73,30.18,21.45,24.73,25.27,100.5,2.76,19.0087413676491
2020-01-24,1.36,2.29,82.06,21.9,29.83,21.82,24.83,25.34,100.78,3.67,19.2596913354215
2020-01-25,0.77,1.73,79.44,21.83,30.6,21.85,26.48,25.86,100.8,2.85,19.1963817427248
2020-01-26,0.19,0.55,79.12,22.14,31.19,21.86,28.28,26.3,100.64,0.98,19.5948222752486
