"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,5.94,21.19,-9.52,19.7,6.68,15.94,12.78,97.09,7.82,2.36959832619061
2020-01-02,0,5.23,16.56,-11.13,20.36,7.92,11.26,13.45,97.08,6.94,1.93018884301208
2020-01-03,0,4.95,19.94,-9.36,19.39,8,14.81,12.78,97.23,6.65,2.22981550845875
2020-01-04,0,4.4,24.62,-6.94,21.3,7.47,16.96,13.15,97.16,6,2.81696676819797
2020-01-05,0,4.12,24.44,-7.06,21.79,7.01,16.72,13.29,97.02,5.67,2.82066813708004
2020-01-06,0,3.57,20.5,-9.81,21.34,6.69,18.04,12.79,96.91,5.05,2.29386019067438
2020-01-07,0,3.27,19.38,-10.69,20.84,5.58,19.18,12.13,96.8,4.66,2.08135461550263
2020-01-08,0,3.84,20.75,-10.7,20.01,4.39,16.97,11.29,96.92,5.24,2.11442233499732
2020-01-09,0,4.16,27.31,-7.45,19.8,4.86,18.08,11.3,97.04,5.68,2.78463257926878
2020-01-10,0,4.07,22.19,-9.56,20.74,4.7,19.78,11.77,97.07,5.7,2.33017821682217
2020-01-11,0,3.27,21.12,-9.89,21.48,5.62,19.13,12.27,97.03,4.8,2.28809636090642
2020-01-12,0,3.21,22.62,-8.41,21.95,5.84,19.66,12.82,96.98,4.69,2.53579108616601
2020-01-13,0,4.62,27.88,-5.74,20,6.78,17.33,13.01,96.96,6.21,3.16246042396884
2020-01-14,0,4.01,26.81,-5.85,20.46,7.63,17.8,13.23,96.83,5.48,3.08274732722447
2020-01-15,0.46,4.16,23.25,-6.56,20.9,9.9,9.02,14.57,96.88,5.58,2.90288364939
2020-01-16,0,4.59,25.25,-4.84,24.01,9.76,18.94,15.82,97.04,6.12,3.40163592537583
2020-01-17,0,5.22,25.94,-4.6,24.47,8.69,19.64,15.65,97.13,6.97,3.45879667091248
2020-01-18,0,5.08,29.69,-3.06,23.48,9.15,18.56,15.24,97.14,6.85,3.86150311996749
2020-01-19,0,3.63,26.38,-4.27,25.1,8.87,19.91,15.9,96.87,5.08,3.57111082649768
2020-01-20,0,1.58,20.56,-6.11,24.94,9.12,17.82,17.3,96.42,2.34,3.02777010004257
2020-01-21,0,1.66,29.62,-2.52,26.07,8.97,19.61,17,96.41,2.45,4.28432374912971
2020-01-22,0,1.84,38.19,0.62,26.16,8.69,19.52,16.77,96.65,2.62,5.44819139983183
2020-01-23,0,1.79,30.06,-0.64,27.01,10.23,17.49,18.14,96.76,2.8,4.65412154563732
2020-01-24,0,3.01,34.62,3.62,28.76,13.74,18.26,20.33,96.82,4.34,6.0982695597675
2020-01-25,0,1.72,41.12,6.3,29.58,15.44,15.53,21.33,96.87,2.69,7.67714061866612
2020-01-26,0,3.84,27.31,0.49,27.98,15.69,14.07,20.37,96.94,5.12,4.82187250293538
2020-01-27,0,3.98,30.38,1.39,28.99,13.57,19.19,20.19,96.82,5.45,5.30779548851443
2020-01-28,0,4.03,25.19,-0.42,29.92,14.98,19.48,20.98,96.81,5.54,4.60843639525207
2020-01-29,0,4.32,23.62,-1.74,29.19,14.11,19.25,20.58,96.95,5.84,4.2217710098052
2020-01-30,0,3.91,15.81,-7.74,28.18,13.55,18.16,19.12,97.07,5.34,2.59401795963884
2020-01-31,0,3.76,12.75,-11.6,26.74,10.4,20.19,17.2,97.01,5.24,1.86642772050624
2020-02-01,0,3.85,12.75,-11.32,27.83,10.19,21.96,17.75,96.88,5.48,1.92876423485337
2020-02-02,0,3.5,14.62,-9.15,29.17,11.21,22.06,18.88,96.86,4.98,2.36503121823791
2020-02-03,0,3.29,14.44,-8.99,29.33,11.83,20.61,19.15,96.92,4.71,2.37343004972656
2020-02-04,0,3.46,15.19,-9,28.56,11.2,20.8,18.35,96.93,5.03,2.38133921195406
2020-02-05,0,2.43,14.81,-9.58,29.18,10.67,20.96,18.65,96.86,3.88,2.3634061959867
2020-02-06,0,2.62,12.12,-10.96,29.49,10.9,21.28,19.17,96.86,4.11,1.99445321114319
2020-02-07,0,2.57,11.31,-11.36,29.83,11.37,22.12,19.76,96.97,4.07,1.92686551899916
2020-02-08,0,3.34,16.25,-6.67,27.84,13.86,19.79,19.88,96.98,4.78,2.78803505522176
2020-02-09,0,3.77,15.62,-7.6,28.48,12.58,22.01,19.63,96.93,5.36,2.64092365663261
2020-02-10,0,4.01,14.69,-8.67,26.82,12.61,19.84,19.02,96.97,5.55,2.39607907736359
2020-02-11,0,2.88,26.38,-0.38,28.1,12.67,19.98,19.93,96.85,4.1,4.5393343048008
2020-02-12,0,3.75,39.75,6.83,29.56,16.48,19.62,21.83,96.92,5.13,7.63911808935411
2020-02-13,0,3.7,32.31,3.48,29.84,14.76,21.7,21.54,96.9,5.08,6.10610657530361
2020-02-14,0,3.7,19.69,-4.29,29.3,14.29,22.83,21.15,96.82,5.12,3.63796586937437
2020-02-15,0,3.1,23.12,-1.39,27.33,15.71,17.15,20.6,96.7,4.33,4.13722264498579
2020-02-16,0,3.86,23.38,-1.04,29.25,16.41,18.3,21.44,96.71,5.27,4.39296991760307
2020-02-17,0,4.19,17.06,-5.52,27.86,16.94,13.99,20.95,96.77,5.73,3.11563987516303
2020-02-18,0,4.22,15.38,-6.2,30.13,15.33,16.87,22.04,96.75,5.74,2.99173375190865
2020-02-19,0,3.48,21.06,-3.12,30.57,15.51,18.79,21.9,96.54,4.82,4.06367453405279
2020-02-20,0,2.69,17.31,-5.19,31.15,14.36,21.84,21.84,96.35,3.94,3.32854056547291
2020-02-21,0,2.92,14.88,-6.76,31.74,14.12,23.09,22,96.34,4.25,2.88780720938638
2020-02-22,0,3.75,13.38,-5.42,33.93,15.94,21.73,24.72,96.33,5.39,3.03256593301229
2020-02-23,0.54,5.63,15,-3.59,33.35,20.73,13.39,26.41,96.65,7.55,3.73774285015562
2020-02-24,1.82,5.81,36.75,4.66,24.38,18.58,5.49,21.01,97.1,7.7,6.73503411860904
2020-02-25,0,4.59,16.38,-6.02,29.73,15.24,21.1,21.4,96.85,6.17,3.07058830494158
2020-02-26,0,3.79,14.38,-8.49,29.71,13.03,23.82,20.4,96.66,5.4,2.54339347073172
2020-02-27,0,3.12,12.69,-9.71,30.3,12.4,24.27,20.47,96.69,4.66,2.25367054468461
2020-02-28,0,3.05,9.69,-12.6,30.55,11.82,24.66,20.32,96.73,4.62,1.70588466101917
2020-02-29,0,2.89,10.81,-10.67,31.39,12.43,23.8,21.19,96.69,4.49,2.00191940512022
2020-03-01,0,3.5,15.94,-6.66,31.63,13.59,23.95,21.48,96.64,5.06,3.00197972271521
2020-03-02,0,3.6,21.69,-2.52,31.59,13.98,24.14,21.72,96.73,5.16,4.14196765051246
2020-03-03,0,3.29,17.94,-5.98,32.87,13.81,24.82,22.42,96.8,4.88,3.56686168779017
2020-03-04,0,3.19,9.38,-11.27,33.98,14.22,26.05,23.44,96.79,4.73,1.97706614526799
2020-03-05,0,2.52,9.12,-10.18,34.69,16.33,26.03,24.62,96.64,3.75,2.05540041792022
2020-03-06,0,3.09,16.44,-3.7,33.66,15.34,24.82,23.79,96.44,4.58,3.53487629464879
2020-03-07,0,2.87,22,-1.07,32.31,14.99,24.17,23.36,96.36,4.03,4.61593498484994
2020-03-08,0,2.52,17,-3.1,31.31,18.56,17.6,24.16,96.44,3.73,3.73288388357858
2020-03-09,0,5.1,16,-4.84,29.62,17.49,19.5,22.52,96.64,6.89,3.19947283460504
2020-03-10,0,4.08,11.94,-10.03,29.21,14.27,25.33,20.62,96.61,5.67,2.1391024952964
2020-03-11,0,3.13,9.19,-12.84,30.18,11.9,26.03,20.52,96.52,4.66,1.63685785371998
2020-03-12,0,2.21,10.81,-10.42,30.78,12.86,22.65,21.53,96.46,3.48,2.041746567957
2020-03-13,0,2.31,12.75,-8.53,30.72,13.78,25.19,21.9,96.43,3.47,2.46020181904905
2020-03-14,0,1.59,11.62,-8.6,31.91,15.69,25.77,23.26,96.28,2.41,2.42417912147958
2020-03-15,0,3.08,18.19,-3.7,30.73,14.31,25.72,22.16,96.27,4.46,3.56288215925407
2020-03-16,0,4.07,28.62,0.01,28.05,13.43,25.83,20.15,96.36,5.55,4.98861676587833
2020-03-17,0,2.87,28.69,1.21,28.07,15.01,20.1,20.83,96.3,3.98,5.20317204240928
2020-03-18,0,3.38,28.81,1.19,27.92,15.35,24.57,20.42,96.28,4.53,5.10158257581559
2020-03-19,0,3.86,31.44,0.52,26.68,12.21,25.7,18.73,96.4,5.2,5.04105446294546
2020-03-20,0,3.52,33.31,0.95,26.98,11.77,26.5,18.84,96.48,4.86,5.37573363303904
2020-03-21,0,3.27,37.06,3.31,27.76,12.6,25.56,19.4,96.47,4.56,6.18171168635046
2020-03-22,0,3.4,31.38,0.15,26.44,11.81,25.9,18.29,96.31,4.7,4.90196576020537
2020-03-23,0,4.26,33.62,1.32,26.19,10.74,26.95,18.44,96.15,5.75,5.29881870802198
2020-03-24,0,4.54,43.25,3.33,24.9,10.55,27.28,17.38,96.38,6.05,6.39975654038134
2020-03-25,0,2.59,37.06,1.69,25.83,10.88,26.46,18.05,96.41,3.64,5.70730140400428
2020-03-26,0.07,1.84,27,0.48,29.68,12.06,21.02,21.32,96.19,2.76,5.03800344601253
2020-03-27,24.3,1.57,43,8.23,27.52,16.74,25.85,21.87,96.14,2.37,8.28280070345322
2020-03-28,0,3.06,35.12,3.15,28.51,12.76,28.15,20.01,96.37,4.33,6.0716519310946
2020-03-29,0,2.8,32.31,2.48,29.33,12.7,25.1,20.77,96.5,3.91,5.8392656860763
2020-03-30,0,2.08,27.5,1.1,31.08,13.8,27.94,22.11,96.28,3.09,5.37094736282651
2020-03-31,0,2.12,25.06,2.89,33.94,15.37,23.87,24.94,96.27,3.11,5.75074542970836
2020-04-01,0,1.73,25.94,6.36,36.26,21.04,26.66,27.92,96.34,2.56,7.02780994112031
