"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,5.79,4.15,79.88,23.88,29.18,26.65,25.76,27.72,99.64,4.8,21.4042459801153
2020-01-02,0.55,1.57,76.69,23.05,29.09,26.18,15.47,27.52,100.18,1.77,20.3238113388462
2020-01-03,25.28,2.75,84.19,23.13,27.17,24.85,9.14,26.04,100.47,3.09,20.5500087221535
2020-01-04,17.02,3.18,85.38,23.6,26.92,25.59,17.7,26.25,100.26,3.64,21.0862792861108
2020-01-05,29.76,2.69,80.75,21.95,26.11,24.8,12.8,25.51,100.13,3.02,19.1339886629118
2020-01-06,8.81,3.91,83.81,23.76,28.09,24.91,24.9,26.74,100.09,4.52,21.2710973627211
2020-01-07,5.42,2.75,82.25,24.05,28.37,26.24,26.46,27.35,100.24,3.14,21.5933701813556
2020-01-08,3.79,2.84,84.06,23.6,27.1,25.48,24.44,26.51,100.27,3.2,21.0633095542913
2020-01-09,0.67,5.04,80.19,22.18,27.15,24.76,27.43,25.87,100.28,5.78,19.3884623371202
2020-01-10,0.49,4.37,74.5,20.87,27.31,23.92,28.54,25.76,100.29,4.98,17.9021533942968
2020-01-11,1.28,4.8,78.75,22.64,28.11,25.14,26.65,26.66,100.26,5.53,19.8981598448964
2020-01-12,0.74,5.34,77.5,22.62,28.3,25.62,28.82,26.94,100.28,6.17,19.889315985762
2020-01-13,0.97,4.48,78.12,23.16,28.67,25.87,25.49,27.33,100.27,5.14,20.4864254307593
2020-01-14,2.4,4.55,81.06,24.22,28.98,26.74,25.01,27.78,100.36,5.27,21.7924315278593
2020-01-15,2.3,6.04,82.06,24.11,28.12,26.8,22.11,27.44,100.48,7.08,21.650986923932
2020-01-16,8.33,6.9,82.69,24.07,28.19,26.55,21.85,27.26,100.4,8.12,21.6010254773357
2020-01-17,4.37,5.39,81.06,23.62,28.23,26.3,20.04,27.16,100.31,6.29,21.058272333005
2020-01-18,0.92,5.13,80.81,23.76,28.72,26.07,24.4,27.35,100.2,5.95,21.2153221198219
2020-01-19,4.7,3.99,83.75,24.34,28.06,26.44,16.47,27.33,100.07,4.6,21.9628536844097
2020-01-20,6.45,3.34,81.12,24.53,29.43,26.83,20.14,28.08,99.86,3.87,22.1719178018668
2020-01-21,4.93,3.48,80.81,23.68,28.63,26.24,8.09,27.3,99.69,3.96,21.1567067143373
2020-01-22,17.68,6.07,88,24.9,28.19,25.83,8.7,27.05,99.39,7.16,22.7222286864612
2020-01-23,14.66,6.97,85.56,25.18,28.99,26.69,20.13,27.83,99.6,8.23,23.065721447203
2020-01-24,20.01,5.95,86,25.21,28.94,27.06,6.92,27.76,99.81,6.98,23.0950306911667
2020-01-25,4.53,7.4,85.19,24.61,28.87,25.87,20.34,27.32,99.74,8.75,22.3281251622823
2020-01-26,0.88,7.43,79.19,22.36,27.44,25.26,22.97,26.25,100.2,8.73,19.5575363863565
2020-01-27,0.26,5.57,73.56,20.63,26.84,24.31,21.79,25.71,100.27,6.44,17.6268395702634
2020-01-28,0.09,2.74,66.12,18.75,27.19,23.98,23.49,25.58,100.16,3.11,15.7289991568523
2020-01-29,0.2,1.86,70.06,19.69,27.14,24.2,26.41,25.57,100.36,2.04,16.6569247725558
2020-01-30,0.24,3.58,73.25,21.12,28.23,24.44,26.77,26.36,100.5,4.05,18.2018513286487
