"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,10.9,2.45,79.5,22.46,28.56,24.48,12.61,26.33,94.79,2.9,19.7218978052377
2020-01-02,42.82,2.8,84.25,23.14,27.45,24.93,12.39,26.01,94.89,3.3,20.5302042270202
2020-01-03,11.32,2.36,78.62,21.62,27.71,24.51,16.06,25.73,95.12,2.86,18.8604623420293
2020-01-04,4.93,1.7,73.31,21.68,28.78,24.13,20,26.91,95.09,2.02,18.7827086056496
2020-01-05,4.72,1.62,70.5,21.73,30.65,25.19,7.52,27.69,94.9,1.95,18.8595853879709
2020-01-06,2.29,2.95,74.38,21.97,30.18,23.92,23.15,27.02,94.87,3.48,19.1735218203397
2020-01-07,11,2.55,79.44,22.72,28.19,25.26,19.57,26.59,94.92,3.09,19.9944922280571
2020-01-08,11.22,2.12,80.81,22.55,28.15,25.12,22.31,26.12,95.02,2.59,19.8133311796696
2020-01-09,3.17,2.55,78.75,22.22,28.62,24.62,14.52,26.23,94.91,3.06,19.4271788344134
2020-01-10,5.26,3.18,80.62,22.77,28.14,24.67,18.04,26.4,94.9,3.81,20.0779304683379
2020-01-11,8.71,1.97,75.69,22.28,29.04,25.08,13.37,26.99,94.96,2.39,19.4787696332944
2020-01-12,14.55,3.05,84.25,22.79,26.8,24.55,10.06,25.63,95.01,3.59,20.098129389936
2020-01-13,27.3,2.46,77.62,21.43,28.64,23.86,19.43,25.78,94.84,2.89,18.6727815764002
2020-01-14,36.84,1.98,76.69,21.62,28.51,24.01,16.54,26.15,94.8,2.41,18.8346978388452
2020-01-15,10.06,2.74,78.44,22.62,29.5,24.54,5.92,26.76,94.85,3.23,19.9303250001868
2020-01-16,3.94,2.46,78,22.19,29.15,24.48,19.01,26.44,94.8,2.87,19.468777273258
2020-01-17,10.96,2.09,73.81,22.48,31.04,24.7,21.15,27.76,94.7,2.55,19.8214443641281
2020-01-18,16.95,3.55,79,23.17,29.43,25.12,10.33,27.16,94.61,4.27,20.5231126857562
2020-01-19,20.86,5.74,75.75,22.83,31.75,24.63,17.74,27.69,94.52,6.83,20.2640225977134
2020-01-20,4.34,4.9,76.62,23.07,31.54,24.51,19.37,27.68,94.51,5.86,20.4854504182388
2020-01-21,0.03,4.33,79.62,21.95,27.51,23.69,15.95,25.78,94.73,5.12,19.153914830108
2020-01-22,0.02,4.3,72.75,19.83,29.4,21.45,20.83,25.29,94.82,4.99,17.0267048990054
2020-01-23,0,3.67,76.19,20.9,28.17,22.74,24.3,25.46,94.93,4.28,18.00289500469
2020-01-24,0.01,4.59,75.5,21.03,29.26,23.08,28,25.82,95.09,5.43,18.2034984566112
2020-01-25,0,4.18,74.25,20.96,29.62,22.58,25.07,26.08,95.17,4.92,18.1642952821643
2020-01-26,1.11,2.65,73.56,21.29,28.53,23.76,22.97,26.48,95.09,3.13,18.4015082328061
2020-01-27,2.01,2.78,76.94,22.13,27.46,25.46,22.98,26.5,95.02,3.3,19.2684856329525
2020-01-28,6.34,3.42,78.31,21.91,27.6,23.98,7.01,25.99,94.99,4.01,19.0614117908309
2020-01-29,4.35,5.55,80.62,21.13,27.49,22.89,11.1,24.75,95.07,6.48,18.3034233550371
2020-01-30,24.07,4.84,83.38,21.73,28.25,22.26,17.51,24.8,95.15,5.69,18.9835180259481
2020-01-31,0.8,5.42,76.12,20.59,28.62,22.4,21.14,25.24,95.2,6.33,17.7654299882717
2020-02-01,0.66,4.26,74.25,20.65,29.21,22.43,24.03,25.72,95.14,5.01,17.8021510052554
2020-02-02,1.08,3.13,70.31,20.98,30.96,23.44,20.68,27.13,95.16,3.76,18.2352325718281
2020-02-03,7.75,1.83,76.38,22.08,29.02,24.55,15.7,26.66,95.19,2.2,19.2993199867072
2020-02-04,8.29,1.72,76.69,21.72,28.08,24.44,16.61,26.2,95.15,2.08,18.8873414460612
2020-02-05,10.51,1.89,76.38,22.26,29.1,24.8,17.14,26.83,95.08,2.27,19.4825348564751
2020-02-06,13.95,2.8,76.81,22.55,28.26,25.23,19.32,26.98,95.04,3.29,19.7560375921366
2020-02-07,11.32,1.75,82.88,22.73,27.12,24.12,15.89,25.87,95.08,2.05,20.0388547013408
2020-02-08,10.47,2.66,81.56,22.62,27.04,24.69,15.13,26.01,95.17,3.17,19.8746997834512
2020-02-09,3.06,1.02,76.5,21.94,28.23,24.84,20.64,26.44,95.14,1.2,19.0943777103107
2020-02-10,7.14,1.52,78.12,21.81,27.05,24.9,17.56,25.93,95.12,1.83,18.9514771689084
2020-02-11,5.55,2.02,71.75,21.48,30.34,24.17,18.41,27.15,94.97,2.47,18.6293378545366
2020-02-12,57.88,2.77,78.75,22.56,28.51,25.26,13.58,26.56,94.79,3.33,19.7877595941508
2020-02-13,40.27,5.7,82.12,22.58,27.87,24.4,9.81,25.9,94.82,6.77,19.888453646467
2020-02-14,17.96,5.34,81.38,21.9,28.03,23.55,12.52,25.37,94.98,6.37,19.1323091459645
2020-02-15,5.82,2.81,77.12,22.06,28.9,23.57,17.31,26.47,95.07,3.37,19.2813235329374
2020-02-16,8.83,1.45,72.56,21.93,30.26,24.8,17.46,27.42,95.05,1.7,19.1233167304808
2020-02-17,2.74,2.27,78.12,22.63,28.61,25.23,16.38,26.81,95.01,2.73,19.9042381735826
2020-02-18,4.03,3.53,81,22.63,28.36,24.13,12.91,26.17,95.1,4.21,19.9154380711443
2020-02-19,0.58,3.32,77.19,22.26,29.16,24.06,23.75,26.63,95.09,3.99,19.4714682502155
