"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,1.49,2.1,51.25,15.55,31.67,22.73,23.82,26.9,86.18,2.88,13.1234429139835
2020-01-02,0.2,2.4,48.19,15.04,34.46,20.93,25.69,28.01,86.2,3.2,13.1207680054393
2020-01-03,0.08,2.91,40.94,13.7,37.04,21.5,29.94,29.86,86.2,3.91,12.3329626112639
2020-01-04,0.11,2.67,43.31,14.12,36.14,22.45,24.5,28.88,86.21,3.5,12.368592120662
2020-01-05,0.43,3.3,43.44,11.58,34.15,20.8,27.92,27.05,86.12,4.41,11.2165183424986
2020-01-06,4.94,2.92,57.62,14.26,30.72,19.68,21.09,23.56,86.04,3.84,12.2281668218342
2020-01-07,2.13,3.1,61.06,15.47,28.65,19.23,23.93,23.83,85.84,4.16,13.1588140755747
2020-01-08,0.01,3.02,43.44,10.98,34.7,18.53,31.36,26.61,85.92,4.09,10.9457180116453
2020-01-09,0,2.68,30.5,6.16,33.69,17.23,32.12,25.63,86.21,3.74,7.27588066935368
2020-01-10,0.01,2.3,33.25,8.72,35.98,18.51,30.76,27.61,86.19,3.19,8.85557831718691
2020-01-11,0.26,2.82,53.06,15.43,31.69,20.89,26.06,26.44,86.26,3.84,13.2437605399881
2020-01-12,0.94,2.9,51.75,14.65,31.98,20.37,25.88,26.15,86.33,3.91,12.7095529164199
2020-01-13,0.07,2.94,41.38,12.77,36.08,20.02,30.31,28.81,86.17,4,11.7722566572608
2020-01-14,0.07,3.51,33.75,10.76,36.91,22.96,30.59,29.71,86.1,4.78,10.0845236499055
2020-01-15,0.03,3.93,34.56,11.02,36.44,21.94,28.71,29.12,86.26,5.33,10.0000072564585
2020-01-16,0,3.85,34.25,9.92,35.93,20.46,29.71,28.35,86.27,5.2,9.50124479950149
2020-01-17,0.13,2.08,32.75,9.59,35.79,20.33,26.91,28.63,86.04,2.84,9.22572669105761
2020-01-18,0.03,1.84,31.81,9.67,35.99,22.11,30.26,29.15,85.85,2.56,9.21937189823993
2020-01-19,0,3.25,25.5,3.87,36.46,19.07,32.07,27.67,85.85,4.4,6.81402743181432
2020-01-20,0,2.33,18.56,0.02,36.39,16.57,31.83,27.1,86.06,3.23,4.80562729399972
2020-01-21,0,1.91,17.5,-0.21,36.45,17.48,32.67,27.44,86.2,2.79,4.6172589711042
2020-01-22,0,1.89,19.38,1.54,37.12,18.33,31.11,28.59,86.05,2.73,5.44742371641514
2020-01-23,0,2.02,25.38,6.04,36.51,21.15,29.28,28.72,85.93,2.77,7.18491453840645
2020-01-24,0.01,2.3,24.31,4.77,34.58,19.78,25.72,27.29,86.11,3.15,6.36103155301759
2020-01-25,0,2.82,19.44,1.89,37.37,17.83,29.98,27.86,86.13,3.88,5.24941145629394
2020-01-26,0,2.39,17.38,-0.68,36.46,18.52,31.16,27.15,86.23,3.35,4.51258385939854
2020-01-27,0,2.81,19.56,0.59,36.17,16.24,31.46,26.37,86.41,3.89,4.86316345222004
2020-01-28,0,2.87,12.38,-5.19,37.04,16.98,32.43,27.25,86.35,4.02,3.23222496702047
2020-01-29,0,2.5,11.19,-6.25,37.48,16.93,31.16,27.65,86.29,3.65,2.98685667865963
2020-01-30,0,3.34,29.44,7.94,37.35,21.19,27.31,29.3,86.36,4.58,8.60257496320103
2020-01-31,0,3.76,26.31,7.53,37.67,21.12,27.11,29.64,86.32,5.13,7.83159165975188
2020-02-01,0,4.01,25.38,5.88,36.5,21.45,30.71,28.79,86.33,5.45,7.21249610323174
2020-02-02,0,3.63,22.25,4.05,37.4,20.68,31.04,29.05,86.38,5,6.41352470669157
2020-02-03,0.01,4.22,25.94,7.07,37.19,21.24,27.15,29.37,86.35,5.74,7.60882008142246
2020-02-04,0.26,2.37,23.62,5.29,37.48,20.26,22.41,29.2,86.19,3.3,6.86439614629626
2020-02-05,0.23,3.13,44.31,12.22,34.17,20.58,23.51,26.26,86.13,4.27,10.9493374435006
2020-02-06,0.26,2.66,38.38,12.04,35.01,21.29,26.99,28.55,86.02,3.58,10.7644084871395
2020-02-07,0.11,1.7,33.19,10.9,37.07,21.83,28.13,29.8,86,2.35,9.96579902150894
2020-02-08,0,3.19,22.19,3.61,36.72,20.7,30.37,28.53,86.08,4.36,6.2167914811131
2020-02-09,0,2.81,22.38,2.25,35.85,17.01,30.09,26.37,86.15,3.91,5.5642943793806
2020-02-10,0.02,2.65,26.88,6.4,36.91,18.2,28.67,28.14,86.07,3.71,7.37119435977178
2020-02-11,2.88,3.24,32.31,10.59,37.05,22.53,25.46,29.66,86.15,4.43,9.6280504159994
2020-02-12,3.19,2.12,46.94,13.23,32.69,20.02,26.78,26.4,86.31,2.86,11.6901272163704
2020-02-13,0.17,2.09,37.12,11.51,35.01,20.37,28.37,28.31,86.18,2.92,10.2748141841683
2020-02-14,0.24,1.98,35.56,11.76,36.16,22.82,24.12,29.52,86.11,2.67,10.5161355301068
2020-02-15,0.99,1.91,43,13.54,34.72,21.43,22.21,28.37,86.12,2.59,11.9416748046254
2020-02-16,3.31,3.07,40.62,13.65,36.21,23.44,20.65,29.3,86.1,4.15,11.8694495586014
2020-02-17,22.87,1.75,75.75,18.83,26.51,20.93,16.41,23.49,86.22,2.44,16.011747206334
2020-02-18,11.93,2.51,80.5,18.65,26.09,18.93,14.93,22.35,86.28,3.45,15.9408813016889
2020-02-19,6.45,3.05,72.62,17.78,29.05,19.44,19.66,23.56,86.26,4.15,15.4114799479625
2020-02-20,2.02,1.41,68.25,17.31,29.65,19.31,14.37,24.19,86.23,1.95,15.0119389261
2020-02-21,4.95,2.63,70.88,17.69,28.76,20.32,19.05,23.77,86.27,3.61,15.2230694676081
2020-02-22,6.21,1.3,67.75,16.83,29.17,18.81,20.21,23.77,86.24,1.86,14.550831778082
