"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,5.32,21.81,-7.91,21.6,7.57,19.23,13.85,94.23,7.01,2.60551015067069
2020-01-02,0,6.52,31.38,-7.06,19.63,4.52,18.23,10.9,94.35,8.65,3.120178079089
2020-01-03,0,6.32,32.75,-4.9,21.21,5.93,20.32,12.06,94.39,8.4,3.50193404932794
2020-01-04,0,5.76,31.12,-4.53,21.94,7.24,20.51,13.24,94.32,7.68,3.58054418399029
2020-01-05,0,5.25,28.06,-5.23,23,7.68,19.13,14.24,94.15,7,3.43338098452724
2020-01-06,0,3.69,24.12,-4.92,25.11,9.85,18.96,16.26,94.01,4.96,3.33694246015101
2020-01-07,0,5.34,19.81,-6.08,25.42,11.18,19.26,17.4,94.01,7.02,2.93481682435463
2020-01-08,0,4.79,26.44,-1.75,27.32,13.8,17.21,18.8,94.15,6.27,4.25694304768379
2020-01-09,0,4.22,47.12,6.98,28.69,12.8,18.42,19.69,94.07,5.55,7.99484502280415
2020-01-10,0,3.34,26.94,1.19,28.75,15.59,18.85,21.47,94.04,4.47,5.07067329126047
2020-01-11,0,3.59,26.12,0.6,29.32,16.06,17.98,21.28,94.07,4.88,4.86251438138319
2020-01-12,0,3.63,21,-2.67,29.39,15.72,19.73,21.28,93.98,5.02,3.9093722055531
2020-01-13,0,2.48,18.62,-3.09,30,17.01,18.18,22.21,93.73,3.55,3.65761935858473
2020-01-14,0,2.89,17.44,-4.74,30.62,14.73,19.97,21.24,93.8,3.94,3.23911914362837
2020-01-15,0,4.88,20.75,-5.18,29.19,10.84,20.92,18.35,93.98,6.44,3.25298147781742
2020-01-16,0,5.8,26.38,-4.24,27.59,9.12,21,17.27,94.1,7.64,3.87788704153136
2020-01-17,0,5.79,30.31,-1.81,26.78,10.46,21.11,17.48,94.2,7.69,4.51188865820442
2020-01-18,0,5.46,32.75,-0.72,26.39,10.51,20.24,17.13,94.29,7.25,4.77410443821761
2020-01-19,0,5.46,26.75,-3.34,25.98,11.08,21.36,17.21,94.12,7.27,3.91818330340318
2020-01-20,0,5.98,24.94,-2.67,26.56,12.52,19.67,18.46,94,7.96,3.93543422655677
2020-01-21,0,5.52,18.25,-5.11,29.44,14.06,19.03,20.28,94.14,7.32,3.20533842715071
2020-01-22,0,5.94,13.56,-9.21,29.11,14.19,20.22,20.18,94.18,7.91,2.36772988672874
2020-01-23,0,4.84,13.94,-8.38,30.17,14.19,18.77,20.51,94.25,6.51,2.48144662866546
2020-01-24,0,5.76,13.25,-9.34,29.13,13.93,21.22,20.16,94.28,7.68,2.31089597085653
2020-01-25,0,5.98,11.94,-11.04,27.62,13.48,20.21,19.3,94.35,8.02,1.97993771838029
2020-01-26,0,5.73,12.56,-11.12,26.94,12.19,19.72,18.51,94.28,7.7,1.98779977545549
2020-01-27,0,5.16,10.25,-12.96,29.75,12.95,20.33,19.94,94.12,6.93,1.76480077108963
2020-01-28,0.01,3.85,7.75,-14.1,32.56,14.27,19.13,22.07,94.06,5.28,1.51014659978176
2020-01-29,0,4.86,6.75,-15.25,28.51,16.52,16.61,21.12,94.16,6.59,1.24497456016414
2020-01-30,0,4.97,9.94,-11.25,30.49,14.87,22.13,21.45,94.24,6.68,1.8687515460743
2020-01-31,0,4.54,13.62,-7.91,30.47,14.01,19.92,21.37,94.22,6.2,2.54876664190846
2020-02-01,0,4.33,17.75,-6.17,29.27,12.93,21.79,20.19,94.21,5.92,3.10116425020181
2020-02-02,0,4.21,16.69,-7.37,29.65,12.12,23.71,19.91,94.17,5.77,2.86856548431791
2020-02-03,0,4.41,14.69,-8.47,29.37,12.01,23.66,19.79,94.17,6.07,2.50711861620002
2020-02-04,0,4.42,18.19,-5.71,28.48,12.87,23.6,19.74,94.23,6.05,3.09536505724145
2020-02-05,0,3.05,20.94,-5.13,28.6,11.94,23.36,19.42,94.1,4.23,3.49696264432036
2020-02-06,0,3.08,15.75,-8.85,29.62,11.42,23.22,19.58,94.04,4.3,2.65509378803308
2020-02-07,0,5.05,20.69,-4.07,28.46,12.88,21,19.55,94.15,6.87,3.48172329855686
2020-02-08,0,5.47,15.88,-8.59,28.81,10.97,23.25,18.83,94.19,7.28,2.56127940352963
2020-02-09,0,6.03,18.12,-4.53,29.52,13.85,23.07,20.78,94.22,7.98,3.2766665478382
2020-02-10,0,6.66,12.81,-8.31,30.12,16.05,22,21.55,94.37,8.82,2.42229935849654
2020-02-11,0,5.93,14.94,-8.44,28.27,12.33,22.6,19.26,94.34,7.86,2.4715806488535
2020-02-12,0,4.69,15.38,-8.28,27.94,14.26,15.1,19.59,94.28,6.21,2.59424378969921
2020-02-13,0,4.27,12.38,-10.63,28.63,12.48,21.7,20.13,94.15,5.71,2.15537622712693
2020-02-14,0,4.02,11.56,-10.48,30.94,12.98,22.71,21.08,93.95,5.44,2.12718859863426
2020-02-15,0,4.6,10.69,-10.29,32.08,15.55,23.51,22.46,93.91,6.16,2.130294340473
2020-02-16,0,5.28,14.88,-6.7,30.74,14.96,24.36,21.7,94.01,7.1,2.83823402795342
2020-02-17,0,4.65,21.12,-3.18,30.05,13.79,23.22,20.78,93.98,6.24,3.81916100940082
2020-02-18,0,4.34,18.5,-5.38,29.77,13.58,24.43,20.57,94.01,5.79,3.30470986693881
2020-02-19,0,5.06,21,-4.02,29.13,13.45,24.37,20.04,93.95,6.7,3.6369258285927
2020-02-20,0,4.76,18.69,-4.95,29.15,13.23,24.81,20.51,93.89,6.34,3.32698977688361
2020-02-21,0,4.61,15.12,-6.63,32.29,14.52,23.6,22.4,93.89,6.11,3.00273126672706
2020-02-22,0,5.54,12.12,-8.45,31.69,16.63,23.27,22.83,93.97,7.34,2.46707343877882
2020-02-23,0,6.7,17,-3.51,32.13,17.17,22.56,23.15,94.11,8.81,3.52434988121872
2020-02-24,0,6.4,17.94,-6.28,27.6,12.98,21.69,19.25,94.12,8.41,2.96613438770742
2020-02-25,0,4.97,17.44,-7.63,27.9,10.18,24.64,18.09,94.06,6.62,2.69218362419543
2020-02-26,0,3.83,16.81,-6.38,29.62,12.57,24.12,20.23,93.89,5.17,2.94380952205148
2020-02-27,0,2.7,15.75,-5.21,32.08,14.62,24.47,22.76,93.87,3.77,3.19314164365879
2020-02-28,0,3.59,11.44,-7.42,33.69,18.32,20.51,24.78,93.91,4.84,2.60166142958554
2020-02-29,0,4.12,10.25,-8.56,33.95,17.91,24.83,24.83,93.83,5.62,2.33761838087918
2020-03-01,0,3.89,11.25,-7,34.28,18.28,23.93,25.36,93.77,5.27,2.64337197113588
2020-03-02,0,2.79,11.88,-5.88,34.87,19.44,22.6,26.21,93.85,3.85,2.92745962186063
2020-03-03,0,2.32,11.62,-6.75,35.32,18.22,26.39,25.85,93.97,3.48,2.80635908621371
2020-03-04,0,2.2,7.38,-11.87,35.47,17.36,26.98,25.67,93.97,3.31,1.76447594090864
2020-03-05,0,3.28,7.69,-11.92,35.43,16.76,25.93,25.47,93.85,4.62,1.81808621331988
2020-03-06,0,3.09,12.62,-6.36,34.86,17.74,25.93,25.49,93.74,4.27,2.98699812409364
2020-03-07,0,1.84,10.56,-8.31,35.15,16.78,27,25.76,93.66,2.71,2.5375401321312
2020-03-08,0,2.35,8.44,-10.04,36.21,18.51,27.69,26.37,93.72,3.48,2.09842022171458
2020-03-09,0,2.23,7.94,-10.55,36.26,17.59,27.14,26.47,93.63,3.39,1.98513626622825
2020-03-10,0,2.34,11.19,-8.2,33.58,16.79,19.65,25.07,93.53,3.59,2.58674280391309
2020-03-11,0,4.31,9.19,-10.05,33.19,17.23,26.94,24.43,93.63,5.93,2.0490477823377
2020-03-12,0,6.42,16.75,-6.01,28.92,13.33,25.06,20.48,93.86,8.38,2.97643900510125
2020-03-13,0,4.43,17.56,-6.02,31.33,13.04,25.28,21.05,93.91,5.84,3.225641226468
2020-03-14,0,3.59,13.31,-8.39,33.17,13.78,26.72,22.52,93.93,4.81,2.66156146428707
2020-03-15,0,2.15,13.12,-6.53,34.55,15.2,25.71,24.37,93.77,3.03,2.91538438395967
2020-03-16,0,3.37,9.44,-8.59,35.87,17.88,21.3,26.15,93.66,4.56,2.31841892813534
2020-03-17,0,4.58,7.12,-10.73,36.96,19.33,25.14,27.33,93.71,6.16,1.86717036696116
2020-03-18,0,4.91,6.25,-11.24,37.14,21,25.94,28.35,93.68,6.59,1.73380379552947
2020-03-19,0,4.75,7.25,-9.71,37.55,20.98,26.05,28.51,93.67,6.3,2.02894713674326
2020-03-20,0,4.63,9.12,-6.34,38.09,22.75,25.85,29.71,93.58,6.22,2.72506239073002
2020-03-21,0,3.38,12.38,-2.37,38.73,23.11,22.62,30.41,93.46,4.69,3.84218702960245
2020-03-22,0,2.73,15.19,1.19,39.03,24.53,24.82,31.19,93.39,3.7,4.91668809413633
2020-03-23,0,1.98,14.62,0.8,40.27,23.11,28.29,31.56,93.38,2.88,4.82708806138255
2020-03-24,0,2.84,16.75,2.44,39.85,24.36,21.63,31.7,93.26,4.02,5.57197494004321
2020-03-25,0,4.07,17.56,0.9,36.48,22,23.43,28.84,93.3,5.47,5.00387560576176
2020-03-26,0,4.09,16.12,-1.31,34.6,20.69,25.84,27.23,93.44,5.44,4.20402253932972
2020-03-27,0,2.95,10.19,-7.76,35.8,19.6,27.32,27.51,93.56,4.12,2.69898602657669
2020-03-28,0.07,3,13.94,-2.26,36.62,22.33,22.89,28.9,93.7,4.09,3.98538053631978
2020-03-29,0,2.58,15.69,0.38,37.22,22.82,22.11,29.71,93.66,3.63,4.68818299457829
2020-03-30,0.01,1.78,23,6.56,38.4,23.2,20.04,30.87,93.45,2.66,7.31754894718807
2020-03-31,0,2.07,17.19,2.82,40.58,24.21,23.12,32.15,93.46,2.96,5.85752789069356
2020-04-01,0,2.15,13.56,0.04,41.19,24.1,28.41,32.24,93.51,3.23,4.64282996570374
2020-04-02,0,2.13,11.44,-1.74,41.65,24.32,27.44,32.62,93.4,3.19,3.99701037229284
2020-04-03,0,2.68,9.38,-3.42,42.13,24.83,27.03,33.19,93.27,3.81,3.37788264387645
2020-04-04,0,2.33,7.56,-6.1,42.54,25.17,28.97,33.26,93.35,3.52,2.73257705906522
2020-04-05,0,3.07,7.5,-6.66,42.3,24.58,26.07,32.98,93.45,4.38,2.67098357289398
2020-04-06,0,2.05,7.38,-7.1,42.39,24.11,29.76,32.78,93.43,3.14,2.6005042907636
2020-04-07,0,2.4,7.81,-6.51,41.99,24.05,27.22,32.58,93.45,3.45,2.72293079088465
2020-04-08,0,5.45,13,-1.19,38.91,24.73,25.71,30.88,93.48,7.12,4.13823437694423
2020-04-09,0,5.71,13.56,-2.01,36,23.25,23.62,29.04,93.63,7.49,3.90651284457893
2020-04-10,0,4.41,14.88,-1.46,33.44,24.12,21.07,28.28,93.81,5.82,4.11200190923786
2020-04-11,0,2.54,16.88,0.76,38.21,23.04,24.65,30.09,93.77,3.53,5.14883663196065
2020-04-12,0,3.65,13.62,-1.05,39.21,22.4,26.05,30.49,93.8,4.88,4.24533947944976
2020-04-13,0,4.19,13.56,-1.68,38.56,22.4,27.12,30.02,93.79,5.56,4.12048820715851
2020-04-14,0,4.8,12,-3.21,38.62,22.65,27.11,30.03,93.73,6.45,3.6484270654002
2020-04-15,0,4.64,9.44,-6.14,38.4,23.14,27.15,30.15,93.78,6.26,2.8888185987386
2020-04-16,0,3.31,9.25,-5.81,38.21,24.26,22.02,30.29,93.73,4.62,2.85220852560027
2020-04-17,0,3.84,8.81,-5.96,40.12,23.16,28.07,31.2,93.53,5.23,2.85314708968719
2020-04-18,0,4.86,7.94,-7.02,39.45,23.3,26.79,30.9,93.58,6.49,2.53023025726747
2020-04-19,0,3.88,11.19,-3.19,39.5,23.54,27.76,31.12,93.64,5.28,3.60836862267815
2020-04-20,0,1.96,10.94,-3.25,40.47,23.42,26.27,31.84,93.5,3,3.66661014912377
2020-04-21,0,1.77,11.75,-1.38,40.58,23.39,26.1,32.28,93.43,2.52,4.03168872079949
2020-04-22,0,2.78,10.31,-3.1,40.8,25.43,27.36,32.47,93.38,3.93,3.57357319910467
2020-04-23,0,3.63,10.12,-2.75,41.75,25.58,28.45,33.25,93.4,4.93,3.65595922234135
2020-04-24,0,3.62,10.31,-2.31,42.22,25.29,28.53,33.59,93.42,4.89,3.79212636260593
2020-04-25,0,3.44,9.56,-3.14,42.52,25.95,27.9,33.93,93.39,4.71,3.57985601240934
2020-04-26,0,4.23,8.75,-4.2,42.67,25.74,24.07,33.76,93.42,5.76,3.24732997309524
2020-04-27,0,2.55,7.25,-6.33,42.48,24.97,27.01,33.62,93.56,3.72,2.6708513560223
2020-04-28,0,1.51,8.81,-3.31,43.45,26.51,28.03,34.8,93.58,2.27,3.4531125409784
2020-04-29,0,2.08,10.06,-1.91,43.88,26.24,28.84,35.15,93.56,3.02,4.01580984044135
2020-04-30,0,2.18,9.06,-2.76,43.54,26.6,29.92,35.07,93.55,3.08,3.60155658048777
2020-05-01,0,2.55,14.19,2.55,42.75,25.62,29.19,34.37,93.55,3.48,5.43793027497813
2020-05-02,0,3.45,11.25,-0.35,41.73,27.21,28.06,34.37,93.49,4.79,4.31125550341818
2020-05-03,0,3.66,11.19,-0.68,41.46,28.01,21.72,34.24,93.4,4.85,4.25909503876107
2020-05-04,0,4.03,12.88,0.51,40.48,27.83,24.92,33.43,93.59,5.28,4.69753822303493
2020-05-05,0,4.98,9.06,-5.2,40.28,25.75,28.52,32.26,93.74,6.53,3.10537706059478
2020-05-06,0,4.41,9.44,-6.67,37.85,22.01,29.34,29.66,93.69,5.92,2.81302370557209
2020-05-07,0,3.95,10.25,-4.42,39.58,23.05,26.87,31.15,93.62,5.3,3.31058771457395
2020-05-08,0,2.87,8.56,-5.72,40.25,23.52,28.81,32,93.6,3.93,2.89357530896394
2020-05-09,0,3.48,9.94,-3.28,40.71,25.28,29.3,32.67,93.58,4.7,3.48216902808144
2020-05-10,0,2.8,10.75,-2.75,40.52,25.08,28.08,32.62,93.55,3.88,3.75593194948846
2020-05-11,0,3.4,6.56,-8.1,40.89,25.05,29.25,32.66,93.62,4.55,2.2968704227779
2020-05-12,0,3.05,6.56,-8.56,40.79,24.37,29.69,32.28,93.66,4.21,2.25088323476125
2020-05-13,0,2.02,7.06,-7.7,40.81,23.22,29.21,32.4,93.67,2.98,2.43798077218275
2020-05-14,0,2.28,6.56,-7.88,41.61,24.84,29.12,33.2,93.6,3.23,2.3636080092192
2020-05-15,0,2.64,5.88,-9.31,41.69,24.3,30.23,33.02,93.51,3.75,2.0984962662904
2020-05-16,0,3.2,11.19,-1.51,41.2,24.93,29.12,33.23,93.46,4.45,4.03823214776351
2020-05-17,5.87,3.29,34.75,12.8,36.02,27.22,25.02,30.96,93.58,4.28,11.1095728299239
2020-05-18,3.31,1.97,40.62,15.26,38.49,25.26,27.59,31.48,93.52,2.68,13.3541231127406
2020-05-19,0,1.72,14.75,0.15,41.44,23.96,29.54,32.63,93.4,2.65,5.15622842059051
2020-05-20,0,2.85,15.94,2.85,41.07,24.09,28.19,33,93.37,4.01,5.6827528139313
2020-05-21,0,3.52,21.81,7.79,40.44,26.33,28.27,32.87,93.36,4.76,7.72203321137234
2020-05-22,0,4.22,26.62,9.05,38.71,24.28,25.39,31.67,93.41,5.56,8.84107067845184
2020-05-23,0.31,3.57,40.19,14.68,36.6,26.08,22.17,30.94,93.69,4.59,12.8349138631861
2020-05-24,0.08,1.09,31.81,13.15,37.96,27.32,21.2,32.49,93.73,1.52,11.0374803226086
2020-05-25,0,4.88,28.25,10.99,41.02,26.96,21.42,33.26,93.64,6.26,10.2110187723006
2020-05-26,0.02,3.82,31.06,12.57,36.49,27.61,18.31,32.12,93.75,4.91,10.5668309662277
2020-05-27,0,5.51,26.56,9.33,38.13,25.99,16.15,31.66,93.79,7.03,8.81642132784231
2020-05-28,0,5.55,25.75,8.19,39.83,25.26,24.57,32.08,93.72,7.09,8.74164956742356
2020-05-29,0,5.38,25.12,8.25,39.73,24.98,24.7,32.12,93.61,6.88,8.54600109052286
2020-05-30,0,3.02,19.56,5.9,41.73,26.51,26.27,33.97,93.5,3.95,7.33991330234869
2020-05-31,0,3.52,18.75,5.71,41.67,26.58,27.31,33.98,93.59,4.7,7.03966369945415
2020-06-01,0,3.94,15.81,3.75,42.26,27.69,26.8,34.52,93.66,5.24,6.10660096211422
2020-06-02,0,3.54,13.75,2.39,43.05,27.25,27.01,35.12,93.54,4.8,5.480220907516
2020-06-03,0,2.19,14.44,3.66,42.42,27.81,25.46,35.31,93.44,3.12,5.81253195586743
2020-06-04,23.86,2.21,25.38,11.48,43.15,27.76,24.52,35.48,93.45,2.93,10.3070529826476
2020-06-05,72.77,1.54,48.12,18.7,38.54,26.22,25.26,32.4,93.66,2.06,16.6169454330643
2020-06-06,0,1.01,41.88,17.09,40.05,28.03,23.95,33.14,93.66,1.52,15.041760148442
2020-06-07,0.01,1.52,39.25,15.57,39.69,27.2,22,32.68,93.6,2.27,13.7573224277558
2020-06-08,0,2.03,41.5,16.21,40.59,25.88,24.82,32.39,93.38,3,14.3232771837649
2020-06-09,0,4.21,30.94,10.9,41.5,25.01,28.61,32.28,93.35,5.87,10.6162084273648
2020-06-10,0,1.8,43.94,16.43,39.4,23.79,25.12,31.39,93.54,2.7,14.3760302638936
2020-06-11,0,2.45,32.81,12.16,41.38,26.04,25.85,32.18,93.5,3.46,11.197981408651
2020-06-12,0,2.97,31.88,11.75,40.16,24.28,27.5,31.76,93.5,4.33,10.6391577416113
2020-06-13,0,1.95,37.62,14.32,40.76,24.15,24.24,32.14,93.56,2.95,12.8122549046236
2020-06-14,0,1.61,35.06,14.61,41.27,27.03,24.31,33.7,93.59,2.31,12.9704907602749
2020-06-15,0,1.72,30.81,12.11,41.82,27.09,26.06,33.26,93.61,2.49,11.1363358716666
2020-06-16,0,3.77,27.31,9.62,41.14,25.11,27.37,32.39,93.52,5.3,9.42575180454505
2020-06-17,0,4.77,25.38,7.8,40.48,24.51,26.7,31.53,93.51,6.38,8.36625699199982
2020-06-18,0,3.86,22.81,6.58,40.22,23.09,25.73,31.48,93.62,5.25,7.4989549040279
2020-06-19,0,3.5,30.56,10.3,39.92,23.56,23.72,31.23,93.79,4.77,9.91292006364278
2020-06-20,0,2.77,28.75,9.4,40.37,24.03,27.32,31.57,93.77,3.91,9.49748067486804
