"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,3.55,31.56,5.13,32.58,16.39,22.28,23.63,94.36,5.19,6.72444075403199
2020-01-02,0,5,30.12,2.76,30.27,14.23,20.89,21.33,94.46,7.02,5.62343082281672
2020-01-03,0,5.38,28.44,1.66,30.61,13.49,21.38,21.19,94.52,7.55,5.26684439237918
2020-01-04,0,5.24,32.38,4.26,30.94,14.7,18.99,21.9,94.48,7.37,6.24794783535752
2020-01-05,0,4.72,36.44,6.8,31.22,16.94,18.9,23.08,94.41,6.68,7.52438390160499
2020-01-06,0,2.91,39.12,9.14,32.4,19.12,18.55,24.55,94.34,4.31,8.7817799079276
2020-01-07,0,4.09,34.19,7.45,33.01,18.75,19.76,24.9,94.32,5.86,7.82822047728809
2020-01-08,0,4.59,30.31,6.15,33.82,19.11,22.16,25.56,94.42,6.56,7.20223115900838
2020-01-09,0,4.73,28.69,4.73,33.32,18.21,22.3,25.01,94.43,6.8,6.60977040333624
2020-01-10,0,3.76,32.81,6.69,33.48,19.22,21.86,25.14,94.48,5.55,7.61448317351295
2020-01-11,0,1.76,35.75,7.9,33.15,18.79,21.77,25.17,94.5,2.8,8.31080834374484
2020-01-12,0,2.71,31.88,5.88,34.45,18.01,19.89,25.37,94.43,4.27,7.49493752240534
2020-01-13,0,2.18,34.62,8.11,34.86,18.93,23.15,26.21,94.24,3.49,8.53103132229082
2020-01-14,0,2.11,35.75,8.3,35.29,18.58,22.64,26.02,94.19,3.46,8.71650007937321
2020-01-15,0,3.58,27.12,3.78,35.44,18.89,22.51,25.9,94.26,5.37,6.56813033234516
2020-01-16,0,4.45,22.38,0.97,35.27,17.17,22.03,25.02,94.37,6.29,5.15894040816398
2020-01-17,0,4.17,23.81,2.44,35.08,17.56,21.77,25.4,94.44,5.89,5.60713258110086
2020-01-18,0,4.05,27.5,4.34,33.28,18.39,18.37,24.83,94.49,5.7,6.27165907065145
2020-01-19,0,4.77,30.19,5.14,32.94,17.65,18.65,24.35,94.4,6.7,6.70090438060621
2020-01-20,0,4.06,31.31,6.44,33.65,19.33,19.06,25.42,94.32,5.85,7.38162911733346
2020-01-21,0,3.76,27.06,4.79,34.86,19.59,22.39,26.38,94.38,5.43,6.73162434247947
2020-01-22,0,4.99,20.19,0.52,34.62,20.64,22.95,26.08,94.39,7.06,4.93922049490771
2020-01-23,0,5.32,17.62,-2.79,33.08,17.76,20.59,24.26,94.43,7.55,3.89101326464724
2020-01-24,0,6.09,16.5,-5.1,30.69,15.93,24.28,22.35,94.5,8.62,3.26738560842072
2020-01-25,0,6.23,15.19,-6.4,30.62,15.17,23.28,21.99,94.51,8.81,2.94627075632719
2020-01-26,0,4.78,15.44,-5.1,33.18,16.19,23.66,23.47,94.5,6.79,3.25993056926515
2020-01-27,0,3.88,17.44,-2.93,34.66,17.25,23.43,24.64,94.43,5.61,3.93494567676445
2020-01-28,0,3.79,17.44,-2.28,35.5,17.58,23.4,25.32,94.41,5.45,4.08861546888859
2020-01-29,0,4.18,14.5,-4.15,36.19,18.22,17.93,25.94,94.37,5.96,3.51958708495658
2020-01-30,0,4.31,14.25,-4.59,35.15,18.53,23.18,25.57,94.48,6.15,3.38796999727263
2020-01-31,0,4.7,15.25,-3.76,34.56,17.77,22.38,25.22,94.49,6.64,3.55515376406493
2020-02-01,0,4.41,16.56,-2.56,34.3,17.84,22.53,25.44,94.46,6.2,3.90856315721257
2020-02-02,0,3.7,18,-1.26,35.02,18.51,23.25,25.65,94.44,5.28,4.29877877807717
2020-02-03,0,2.98,21.5,1.16,35.29,18.59,21.33,26.01,94.46,4.38,5.23916190956598
2020-02-04,0,2.01,23.44,2.53,34.82,19.49,21.52,26.22,94.51,3.03,5.77928937913641
2020-02-05,0,2.45,21.81,1.69,34.8,19.11,21.59,26.15,94.43,3.56,5.35643186680421
2020-02-06,0,3.02,24,3.3,35.37,19.08,20.78,26.45,94.38,4.35,5.99373102944859
2020-02-07,0,3.98,22.06,3.25,36.48,20.09,23.2,27.59,94.38,5.62,5.86882510804829
2020-02-08,0,5.12,19.75,1.87,35.95,20.91,21.94,27.73,94.34,7.17,5.29503162459557
2020-02-09,0,4.57,22.5,3.09,35.8,19.93,20.38,27.31,94.42,6.46,5.89394157633038
2020-02-10,0,5.56,23.44,3.7,34.23,20.34,18.41,26.93,94.52,7.75,6.01221804742426
2020-02-11,0,6.07,20.94,1.49,34.01,19.2,20.36,25.85,94.43,8.35,5.05724262179993
2020-02-12,0,6.13,17,-2.45,32.14,18.19,19.49,24.42,94.44,8.43,3.7882600050695
2020-02-13,0,4.53,19.06,0.24,34.98,18.73,21.01,25.96,94.36,6.27,4.6316135513079
2020-02-14,0,4.38,18.69,0.63,36.48,19.36,22.13,27.15,94.22,6.05,4.85271532405977
2020-02-15,0,3.92,17,-0.33,37.16,20.55,24.78,27.87,94.19,5.55,4.59306510480639
2020-02-16,0,3.85,15.69,-1.01,38.02,20.35,23.97,28.41,94.22,5.44,4.36689969290766
2020-02-17,0,3.38,16.19,-0.6,38.11,21.07,23.37,28.54,94.25,4.85,4.53830789768271
2020-02-18,0,2.27,19.75,0.99,36.16,19.94,21.78,27.4,94.36,3.42,5.19939401258737
2020-02-19,0,3.68,19.94,2.52,36.54,21.05,20.53,28.12,94.24,5.16,5.46205494749449
2020-02-20,0,4.42,21.5,4.34,37.35,21.91,22.8,29.07,94.13,6.12,6.20411075491044
2020-02-21,0,4.98,22.5,5.37,37.65,22.21,20.59,29.55,94.12,6.88,6.66478084056431
2020-02-22,0,4.42,20.88,4.23,38.94,22.6,24.05,30.01,94.14,6.16,6.34138360923928
2020-02-23,0,5.59,15.81,0.33,38.16,22.03,23.52,29.55,94.24,7.68,4.68311933730319
2020-02-24,0,5.97,14.06,-2.02,36.79,21.12,24.6,28.3,94.22,8.18,3.8896704151135
2020-02-25,0,4.94,17.06,-0.33,36.11,20.3,20.62,27.4,94.26,6.78,4.49122338505015
2020-02-26,0,3.59,17.5,0.15,35.98,21.18,18.38,27.66,94.21,5.09,4.67371316216766
2020-02-27,0,2.17,19.88,2.36,37.4,22.44,18.62,28.78,94.29,3.26,5.64641371409386
2020-02-28,0,2.34,21,3.73,36.88,23.1,17.79,29.59,94.31,3.52,6.23401212588706
2020-02-29,0,3.32,19.5,3.3,39.12,23.96,21.68,30.66,94.16,4.71,6.13416948015382
2020-03-01,0,2.39,18.44,2.37,38.3,23.55,23.43,30.19,94.19,3.55,5.65522528026238
2020-03-02,0,1.45,39.06,12.23,36.33,23.28,17.24,29.2,94.35,2.13,11.351537403655
2020-03-03,0,1.51,42.56,12.59,35.73,24.31,19.34,29.44,94.43,2.2,12.5315493106809
2020-03-04,0,1.51,36.19,9.48,37.94,23.24,21.65,29.71,94.41,2.3,10.8135973597061
2020-03-05,0,1.6,40.12,12.84,38.51,23.41,25.11,30.35,94.31,2.22,12.4110904973423
2020-03-06,0,1.38,42.5,13.27,34.31,24.22,24.56,28.91,94.24,2.08,12.157195298706
2020-03-07,0,2.38,35.88,9.81,37.23,23.57,18.72,29.51,94.23,3.5,10.6049960236752
2020-03-08,0,1.38,27.88,7.7,38.27,22.69,20.85,30.17,94.25,2.1,8.54105346031747
2020-03-09,0,1.9,18.5,2.04,39.89,24.47,22.88,31.43,94.12,2.79,6.0657236576267
2020-03-10,0,2.38,44,15.48,36.91,24,22.94,30.11,94.09,3.25,13.4356893325978
2020-03-11,0,2.53,51.88,17.02,36.98,24.12,20.2,29.56,94.15,3.45,15.3758664211335
2020-03-12,0,2.55,38.5,8.91,35.72,23.36,20.96,28.89,94.24,3.56,11.0009525515214
2020-03-13,0,3.09,11.06,-5.59,36.37,21.62,18.77,28.23,94.26,4.34,3.04798215195652
2020-03-14,0,3.91,10.56,-5.29,38.17,21.76,20.99,29.18,94.26,5.44,3.06557895110821
2020-03-15,0,3.09,11.44,-4.55,39.15,21.57,23.68,29.33,94.14,4.41,3.34831878313224
2020-03-16,0,2.01,12.38,-4.08,38.44,21.98,25.6,29.03,94.16,3.1,3.56461806786374
2020-03-17,0,2.34,15.19,-0.74,39.09,22.63,25.72,30.19,94.14,3.53,4.65850715874108
2020-03-18,0.02,1.91,19.31,0.47,39.79,23.31,24.33,30.64,94.16,2.94,6.06784915471486
