"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,2.95,20.75,-2.77,30.87,12.57,20.61,21.22,94.69,4.17,3.84941543593331
2020-01-02,0.14,3.11,18.75,-2.19,30.83,17.55,20.79,23.12,94.71,4.27,3.88049235447796
2020-01-03,0,5.23,21.56,-2.64,27.62,15.55,21.83,20.45,94.95,7.01,3.82446565173503
2020-01-04,0,5.35,29.56,-0.27,25.33,12.41,20.27,18.21,94.97,7.15,4.59577846343023
2020-01-05,0,4.89,25.56,-3.35,24.24,11.24,20.86,17.15,94.98,6.58,3.73045385413244
2020-01-06,0,3.67,21.06,-4.88,26.59,11.05,21.39,18.08,94.9,5.02,3.24906495625368
2020-01-07,0,3.8,21.25,-3.29,30,12.37,18.75,20.21,94.87,5.2,3.71700526283282
2020-01-08,0,4.83,21,-3.57,28.3,13.19,22.08,19.79,94.9,6.51,3.58403614296804
2020-01-09,0,4.97,24.94,-3.66,25.74,10.84,22.7,17.39,94.94,6.7,3.69260958112757
2020-01-10,0,4.89,27.62,-3.63,23.87,9.85,23.21,15.73,95.05,6.62,3.70069821164928
2020-01-11,0,4.45,29.56,-3.98,24.41,7.69,23.61,15.07,95.07,6.07,3.80503386942564
2020-01-12,0,3.96,26,-4.53,26.12,7.33,23.61,16.04,95,5.55,3.54958292242555
2020-01-13,0,3.35,30.25,-0.41,28.83,9.8,22.61,18.46,94.84,4.79,4.77333140951653
2020-01-14,0,2.99,24.06,-1.5,31.9,11.26,22.6,20.5,94.67,4.46,4.28040120923691
2020-01-15,0,2.52,31.38,3.36,33.72,13.09,22.49,22.52,94.54,3.84,6.27496609686913
2020-01-16,0,2.7,26.12,1.66,33.79,14.55,22.64,23.21,94.57,4.05,5.43365198806041
2020-01-17,0,4.78,27.31,0.95,30.51,14.37,22.71,21.3,94.82,6.5,5.08994337072938
2020-01-18,0,4.85,30.06,0.5,28.12,12.03,23.08,19.18,94.95,6.54,4.94955521376578
2020-01-19,0,5.02,33.19,0.51,26.45,11.32,23.1,18.08,94.97,6.77,5.12043997616617
2020-01-20,0,4.93,24.69,-2.92,27.43,10.29,22.76,18.09,95,6.66,3.81135399549228
2020-01-21,0,5.15,21.62,-5.31,26.9,10.38,23.52,17.59,94.97,6.97,3.23951775292893
2020-01-22,0,5.1,23.56,-4.91,25.85,9.12,24.25,16.66,94.93,6.92,3.33892889015543
2020-01-23,0,4.95,21.31,-7.49,24.85,8.02,24.72,15.5,95.04,6.73,2.81571141181836
2020-01-24,0,4.24,18.19,-9.1,25.76,7.08,24.52,15.6,95.12,5.81,2.41808461614044
2020-01-25,0,4.66,22.62,-5.92,25.95,8.33,23.93,16.12,95.2,6.34,3.10309445371366
2020-01-26,0,4.54,24.75,-4.43,26.91,7.95,23.94,16.88,95.05,6.23,3.5542356041674
2020-01-27,0,3.52,24.81,-3.67,27.7,9.56,24.23,17.84,94.91,5,3.77332821663995
2020-01-28,0,3.23,19.44,-6.92,28.77,9.26,23.52,18.26,94.85,4.57,3.03137903610629
2020-01-29,0,4.1,19.81,-4.9,28.94,11.13,23.72,19.1,94.9,5.67,3.2464849487976
2020-01-30,0,3.55,18.62,-5.95,28.93,10.12,21.82,18.98,94.91,4.88,3.02993813157001
2020-01-31,0,3.95,24.25,-2.47,28.79,11.38,19.79,19.24,94.92,5.39,4.00704578154545
2020-02-01,0,4.12,20.06,-5.31,28.06,10.91,23.73,18.73,94.95,5.68,3.21639798112869
2020-02-02,0,3.84,18.69,-5.35,29.4,11.67,24,19.76,94.91,5.28,3.18418360301452
2020-02-03,0,3.59,20.19,-3.89,30.4,11.92,23.99,20.51,94.88,4.95,3.59400340263671
2020-02-04,0,3.84,15.44,-7.13,30.34,12.48,23.97,20.56,94.87,5.27,2.75648550828153
2020-02-05,0,3.15,16.56,-6.31,30.55,12.02,24,20.57,94.8,4.42,2.95816191332469
2020-02-06,0,3.25,16.25,-4.7,33.07,15.44,24.03,22.96,94.85,4.62,3.33246155177407
2020-02-07,0,3.05,18.75,-2.12,34.65,15.33,22.88,24.27,94.83,4.39,4.14289665298212
2020-02-08,0,5.08,18.31,-2.97,32.08,16.19,23.88,23.3,94.93,6.9,3.82858701894302
2020-02-09,0,5.79,19.81,-3.24,29.82,14.44,24.16,21.39,95.01,7.76,3.71142435623224
2020-02-10,0,6.26,18.62,-5.1,28.46,13.09,24.61,19.94,95.05,8.4,3.20591125440867
2020-02-11,0,5.65,21.38,-6.3,25.46,9.97,24.39,16.96,95.04,7.61,3.08505695175882
