"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,4.5,18.38,-2.95,32.39,15.45,18.21,23.26,100.82,6.21,3.83445888578268
2020-01-02,0,4.41,18.38,-3.33,30.48,15.9,17.57,22.4,100.85,6.09,3.65014554778065
2020-01-03,0,4.45,20.69,-1.85,31.44,16.13,15.69,22.99,100.95,6.11,4.25028185926597
2020-01-04,0,4.38,18.19,-3.74,31.48,15.36,17.51,22.5,100.95,6.01,3.63322568365791
2020-01-05,0,4.02,17.81,-4.59,30.82,14.04,19,21.58,100.88,5.55,3.37362085942354
2020-01-06,0,4.09,18.69,-4.51,30.56,13.37,19.18,21.01,100.86,5.66,3.42524592317831
2020-01-07,0,3.66,16.94,-5.87,30.33,12.69,17.25,20.77,100.77,5.06,3.0615029626163
2020-01-08,0,4.01,18.19,-3.97,31.57,13.23,20.44,21.8,100.82,5.45,3.48968788506441
2020-01-09,0,4.4,15.69,-5.23,31.69,14.83,18.81,22.44,100.95,5.98,3.12309972205287
2020-01-10,0,4.52,16.81,-4.33,32.24,14.03,19.39,22.54,100.98,6.14,3.36530823608848
2020-01-11,0,4.03,16.44,-3.2,33.98,15.97,19.76,24.16,100.91,5.52,3.6099182968254
2020-01-12,0,3.77,17.69,-1.44,34.8,17.72,19.22,25.47,100.85,5.16,4.18230755703883
2020-01-13,0,4.16,16.44,-3.16,33.73,17.57,19.11,24.75,100.77,5.67,3.73242718874733
2020-01-14,0,3.73,19,-1.95,31.98,15.75,19.74,23.62,100.69,5.15,4.04599683550582
2020-01-15,0,3.58,16.19,-4.76,30.95,16.69,19.09,22.94,100.8,5.01,3.31635918964076
2020-01-16,0,3.7,11.44,-7.85,34.41,17.14,21.09,24.8,100.87,5.13,2.60459877928576
2020-01-17,0,4.34,12.69,-6.37,32.96,18.38,19.99,24.5,100.93,5.94,2.84064972981087
2020-01-18,0,4.82,17.38,-1.68,34.45,17.48,19.6,25.39,100.84,6.55,4.09060280745349
2020-01-19,0,3.71,17.94,-0.7,35.38,18.46,21.13,26.18,100.68,5.16,4.41336369909476
2020-01-20,0,2.32,19.62,-0.59,33.58,17.11,18.35,24.93,100.48,3.52,4.49984262764934
2020-01-21,0,2,18.75,0.07,34.37,19.69,16.14,26.17,100.53,3.12,4.61005510906118
2020-01-22,0,2.49,18.88,0.09,33.07,20.12,13.58,25.98,100.7,3.79,4.59300630503026
