"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.03,4.52,56.31,18.6,36.62,23.81,20.26,29.48,98.49,6.08,16.6163050162753
2020-01-02,0,4.45,53.62,17.44,36.79,23.32,22.36,29.44,98.63,6,15.7881032433907
2020-01-03,0,4.68,50.62,16.54,36.26,24,22.41,29.23,98.71,6.32,14.735173001978
2020-01-04,0,3.91,53.06,16.44,35.71,21.79,23.12,28.33,98.64,5.28,14.7031454139215
2020-01-05,0,3.12,54.06,18.25,37.19,22.73,22.85,29.87,98.44,4.18,16.294136103022
2020-01-06,0,3.58,53.44,19.08,37.72,24.85,17,30.76,98.46,4.77,16.901678519156
2020-01-07,0,4.36,58.12,19.6,34.9,24.86,17.6,29.39,98.63,5.84,17.0665652477263
2020-01-08,0,4.37,54.06,17.02,35.25,24.05,22.92,28.32,98.63,5.89,14.9720255071899
2020-01-09,0,4,49.88,14.57,35.92,21.46,23.21,27.93,98.6,5.44,13.5212143499799
2020-01-10,0,3.26,55,16.4,36.34,20.6,22.79,28.23,98.51,4.41,15.157234932876
2020-01-11,0,2.78,54.88,18.54,37.47,23.12,23.5,30.01,98.46,3.7,16.6673914020619
2020-01-12,0.02,3.8,55.56,19.12,36.44,24.34,14.91,29.9,98.54,5.05,16.7735347752279
2020-01-13,0.03,5.88,56.12,18.57,35.51,24.2,15.96,28.96,98.6,7.91,16.0971527086218
2020-01-14,0.01,5.2,53.69,17.18,35.69,23.05,17.94,28.56,98.54,7,15.0666492102621
2020-01-15,0.01,5.38,48.12,13.32,34.83,22.61,23.32,27.4,98.65,7.26,12.6680931587698
2020-01-16,0,5.02,47.19,11.25,34.15,19.87,22.43,26.09,98.73,6.82,11.5508694309309
2020-01-17,0,4.88,43.12,9.49,34.35,19.47,23.44,25.8,98.7,6.66,10.3848549199294
2020-01-18,0,5,50.81,13.98,34.87,19.55,24.06,26.71,98.6,6.77,12.8741628962455
2020-01-19,0,4.53,51.62,15.2,35.23,21.92,23.54,27.66,98.6,6.1,13.7861184817768
2020-01-20,0,4.55,51.69,15.11,35.83,20.88,23.86,27.69,98.6,6.13,13.8276874993506
2020-01-21,0.02,4.82,53.69,16.24,36.01,21.73,22.02,28.12,98.46,6.46,14.7070075291364
2020-01-22,0.07,4.93,55.44,17.21,36.23,21.57,23.2,28.31,98.43,6.58,15.3457892879927
2020-01-23,0.04,4.81,56.88,18.87,37.48,22.71,23.86,29.58,98.45,6.4,16.8760853923998
2020-01-24,0.08,5.12,58.12,20.08,37.76,23.87,21.42,30.23,98.55,6.81,17.8630260265916
2020-01-25,0.06,5.34,56.5,19.18,36.95,24.65,18.82,30.04,98.64,7.13,17.187325013745
2020-01-26,0.09,4.98,53.88,17.69,35.37,24.23,16.18,29.41,98.64,6.66,15.8387612321095
2020-01-27,0.11,5.98,58.06,18.38,35.06,23.82,17.84,28.4,98.72,7.98,16.1506110923952
2020-01-28,0.01,6.11,53.56,16.69,34.84,23.46,16.66,28.18,98.68,8.17,14.719881826242
2020-01-29,0,5.44,50.69,15.05,35.54,21.35,22.17,27.51,98.71,7.25,13.4260649349531
2020-01-30,0,4.62,47.69,12.95,35.98,20.25,22.92,27.27,98.73,6.16,12.4649092955315
2020-01-31,0,4.38,50.5,14.81,36.16,20.86,23.11,27.69,98.63,5.8,13.5093483984756
2020-02-01,0,4.56,48.06,13.87,36.51,21.07,24.76,28.08,98.63,6.06,13.1358773367569
2020-02-02,0,4.48,54.38,16.33,33.84,21.98,24.04,27.32,98.72,5.96,14.252887032808
2020-02-03,0,4.75,51.94,14.85,36.04,20.96,25.22,27.55,98.73,6.31,13.7875832394318
2020-02-04,0,5.12,52.94,15.54,36.04,21.19,24.99,27.67,98.69,6.79,14.1464553819706
2020-02-05,0,5.33,51,14.74,36.21,21.12,24.76,27.58,98.68,7.09,13.560509232163
2020-02-06,0,4.99,48.5,13.78,36.23,21.11,24.57,27.77,98.8,6.62,13.0317079725899
2020-02-07,0,4.98,51.38,14.48,36.24,20.52,25.44,27.44,98.76,6.63,13.5562723391619
2020-02-08,0,4.7,51,14.22,35.47,21.37,25.77,27.4,98.83,6.26,13.4262832730104
2020-02-09,0,3.23,50.31,14.05,36.53,19.98,24.91,27.65,98.71,4.36,13.4288435659845
2020-02-10,0,3.14,52.75,16.47,37.98,21.33,22.8,29.04,98.53,4.18,15.1967959108804
2020-02-11,0,3.17,49.94,16.23,37.53,22.94,21.65,29.4,98.47,4.22,14.6725507151027
2020-02-12,0,5.02,49.56,16.03,37.65,22.27,25.11,29.37,98.54,6.61,14.5371288833962
2020-02-13,0,6.9,53.75,17.1,36.63,22.9,22.75,28.73,98.69,9.12,15.2246116631471
2020-02-14,0,6.93,54,17.63,35.58,23.19,15.03,28.53,98.7,9.18,15.1287399720643
2020-02-15,0,5.59,55.69,18.13,36.4,22.44,14.59,28.96,98.66,7.34,15.9738138692649
2020-02-16,0,4.8,51.31,16.51,37.4,22.56,23.46,29.3,98.61,6.29,14.9931427093018
2020-02-17,0,4.74,50.06,15.59,37.76,22.33,21.7,29.12,98.56,6.21,14.4849642146503
2020-02-18,0,4.6,52.94,16.6,37.69,21.86,24.9,29.04,98.6,6.02,15.2515331852514
2020-02-19,0,4.32,53.81,17.76,37.99,23.01,22.56,29.8,98.53,5.64,16.1572656025127
2020-02-20,0,3.62,51.81,17.22,38.75,23.16,23.02,30.41,98.43,4.73,16.079459612577
2020-02-21,0,4.67,51.94,17.79,38.73,24.59,22.68,30.57,98.46,6.1,16.2597397229617
2020-02-22,0,5.12,50.31,15.09,37.3,22.51,25.82,28.83,98.65,6.73,14.3284344993293
2020-02-23,0,5.35,49.88,14.05,36.9,21.5,26,28.18,98.61,7.04,13.7085083176429
2020-02-24,0,5.45,48.88,15.81,37.62,22.48,25.65,29.4,98.5,7.16,14.3611189217906
2020-02-25,0,5.24,50.62,17.71,38.35,23.62,21.69,30.4,98.45,6.86,15.7016479432421
2020-02-26,0,3.99,49.88,15.47,33.3,24.15,24.19,28.12,98.57,5.27,13.6633551043643
2020-02-27,0,5.17,50.56,15.92,38.08,22.75,24.24,29.48,98.56,6.8,14.9195592545352
2020-02-28,0,4.8,49.19,14.45,37.37,22.28,23.22,28.76,98.53,6.34,13.9558974088023
2020-02-29,0,4.09,48.44,12.99,38.22,20.65,25.83,28.45,98.43,5.41,13.5116256875048
2020-03-01,0,4.35,50,14.34,38.69,19.9,26.07,28.68,98.35,5.73,14.1237085739901
2020-03-02,0,4.3,51.5,15.62,37.72,21.46,25.31,28.78,98.53,5.62,14.627278987718
2020-03-03,0,4.56,54.56,16.77,37.65,21.15,24.88,28.78,98.62,5.98,15.4963949819397
2020-03-04,0,3.96,52.62,15.87,34.62,22.14,27.2,28.15,98.65,5.27,14.4377081459091
2020-03-05,0,2.41,50.62,15.05,38.08,21.15,25.91,29.21,98.59,3.28,14.7191078875072
2020-03-06,0,3.75,50.31,16.92,39.37,24.98,25.41,30.87,98.46,4.9,16.0063429362188
2020-03-07,0,3.35,50.88,16.69,36.55,23.44,25.58,29.66,98.46,4.42,15.1617209893547
2020-03-08,0,4.02,51.94,17.75,38.51,23.23,25.62,30.31,98.43,5.22,16.0328741234321
2020-03-09,0,4.12,52.19,18.54,38.26,24.07,21.93,30.73,98.34,5.35,16.4796582530832
2020-03-10,0,5.16,49.88,17.46,38.04,23.98,24.58,30.26,98.37,6.75,15.3553955364052
2020-03-11,0,5.77,48.38,15.23,37.9,23.01,26.55,29.3,98.43,7.61,14.1369761114017
2020-03-12,0.02,5.54,54.12,17.23,37.73,22.14,25.59,29.19,98.51,7.28,15.7196659665582
2020-03-13,0.08,4.85,54.19,17.9,38.02,22.9,26.4,29.89,98.57,6.37,16.351057250118
2020-03-14,0.08,4.6,54.56,19.16,39.31,23.79,25.71,31.16,98.5,6.01,17.6314907798992
2020-03-15,0.06,4.37,52.69,19.16,39.54,24.53,22.52,31.53,98.34,5.68,17.3687187119177
2020-03-16,0.03,4.59,53,19.31,40.03,24.98,23.38,31.87,98.27,5.96,17.7918015446985
2020-03-17,0.03,5,49.94,17.78,40.05,25.19,25.36,31.55,98.36,6.55,16.4798649866076
2020-03-18,0.04,4.76,54.56,18.78,39.27,23.64,25.47,30.69,98.51,6.21,17.190890535909
2020-03-19,0.07,3.99,57.62,20.26,36.96,24.98,23.05,30.63,98.53,5.21,18.0963672251555
2020-03-20,0.2,3.66,64.38,21.48,33.69,26.15,22.52,29.23,98.55,4.78,18.7406250072569
2020-03-21,0.04,3.62,55.69,19.69,38.3,24.43,22.78,31.05,98.43,4.7,17.8905253842189
2020-03-22,0.03,3.79,51.38,18.78,39.83,24.58,26.15,31.82,98.43,4.92,17.2019229903339
2020-03-23,0.06,3.27,57.38,20.26,35.64,26.08,21.79,30.25,98.43,4.29,17.6546892940692
2020-03-24,1.1,2.85,62,20.83,33.14,25.88,19.9,29.28,98.36,3.73,18.0970943338606
2020-03-25,1.17,2.47,54.88,19.99,37.63,25.05,21.32,31.31,98.13,3.23,17.8783837085189
2020-03-26,0.46,3.27,52.38,19.81,37.69,26.36,20.46,31.51,98.2,4.23,17.2480292170816
2020-03-27,0.03,3.62,52.62,19.52,36.52,26.3,20.19,31.01,98.46,4.74,16.8679414610576
2020-03-28,0.01,4.35,49.94,18.54,38.81,25.56,21,31.54,98.49,5.7,16.4710351516684
2020-03-29,0.01,3.74,50.62,18.94,39.41,26.11,23.94,32.07,98.36,4.9,17.1753845380213
2020-03-30,0.02,3.38,55.62,20.98,38.4,26.58,24.14,31.96,98.3,4.4,18.76134739118
2020-03-31,0.01,3.66,53.56,20.42,38.27,26.94,24.72,32.11,98.41,4.78,18.2117682798498
2020-04-01,0.02,3.88,52.06,19.23,38.71,26.37,22.31,31.66,98.5,5.09,17.2809824671487
2020-04-02,0.01,3.33,51.44,18.07,36.93,25.27,25.08,30.62,98.41,4.41,16.1467355967365
2020-04-03,0,4.05,50.88,16.93,39.27,23.49,26.33,30.66,98.4,5.34,16.0054637512937
2020-04-04,0,3.93,49.88,17.19,38.54,24.08,25.83,30.86,98.54,5.16,15.8609901548046
2020-04-05,0.01,3.87,48.81,17.76,38.96,24.76,26.25,31.58,98.62,5.08,16.1328865596359
2020-04-06,0,4.03,45,16.84,39.16,25.15,26.38,31.8,98.58,5.33,15.0498034498331
2020-04-07,0,3.94,48.88,17.6,39.73,25.2,25.4,31.64,98.52,5.2,16.2080332720903
2020-04-08,0,3.7,48.88,17.62,39.64,24.94,27.04,31.55,98.51,4.87,16.1300720974245
2020-04-09,0,2.84,49.56,17.45,39.68,24.48,27.18,31.44,98.44,3.77,16.2583001892015
2020-04-10,0,2.77,50.38,19.43,39.15,25.98,24.93,32.32,98.41,3.62,17.3233966866454
2020-04-11,0.9,3.48,52.25,20.26,39.28,26.62,22.48,32.29,98.4,4.55,17.9377054329449
2020-04-12,0.08,4.1,49.31,18.27,39.82,25.73,24.2,32.05,98.38,5.4,16.7130463274174
2020-04-13,0.51,3.82,51.25,19.51,40.05,25.86,23.4,32.43,98.34,5.04,17.7260988464704
2020-04-14,2.11,3.89,53.31,19.82,38.18,27.04,21.48,31.66,98.41,5.15,17.6959119347618
2020-04-15,1.2,2.96,52.88,20.15,37.71,25.93,23.56,31.72,98.44,3.89,17.6096499698152
2020-04-16,1.33,2.88,57.06,21.12,37.83,26.27,21.61,31.44,98.36,3.75,18.7186967069378
2020-04-17,0.65,2.95,61,21.38,35.06,26.46,21.43,30.29,98.31,3.88,18.8091589255801
2020-04-18,2.72,3.66,58.88,21.36,37.43,25.98,22.13,31.12,98.31,4.83,18.9866617071751
2020-04-19,3.41,2.37,63.94,21.72,34.19,25.93,18.03,29.71,98.38,3.14,19.1053168051839
2020-04-20,34.33,2.23,72.06,22.62,32.03,26.03,18.83,28.43,98.45,3.05,20.0780331011349
2020-04-21,27.64,2.04,84.06,22.89,27.96,23.99,18.17,25.85,98.51,2.77,20.3014238198903
2020-04-22,0.9,1.32,68.69,21.49,33.76,23.2,21.1,28.39,98.5,1.84,19.0970850103737
2020-04-23,0.73,1.68,64.88,21.33,32.65,25.44,22.3,28.88,98.5,2.3,18.5286136409271
2020-04-24,0.76,1.66,63.06,21.21,35.6,24.4,18.6,29.72,98.47,2.28,18.8526136381149
2020-04-25,15.06,2.52,68.5,21.71,34.23,24.33,19.33,28.65,98.48,3.43,19.3177121872315
2020-04-26,1.44,1.43,69,21.7,34.67,23.01,20.86,28.68,98.54,1.98,19.4907178321063
2020-04-27,6.25,2.25,70.69,21.44,31.72,25.07,20.62,27.65,98.66,3.16,18.8687130129088
2020-04-28,0.37,2.06,61.25,19.62,34.8,23.28,23.94,28.54,98.64,2.94,17.1693241959892
2020-04-29,0.52,2.44,62,20.81,34.31,24.27,24.45,29.25,98.54,3.36,18.0675167751407
2020-04-30,5.3,3.16,70.62,22.3,32.85,24.59,19.01,28.4,98.59,4.37,19.6444394651214
2020-05-01,0.05,2.62,68.44,22.2,33.19,24.62,23.79,28.89,98.55,3.6,19.55597902925
2020-05-02,0.04,3.67,60.19,20.88,36.1,25.15,25.45,30.21,98.47,5.05,18.4792179705534
2020-05-03,0,3.52,60.25,21.25,35.86,25.12,25.45,30.32,98.4,4.83,18.6080734022494
2020-05-04,0.02,3.2,58.94,20.96,36.13,24.77,21.41,30.43,98.5,4.4,18.3120708363394
2020-05-05,0.02,2.12,63.81,21.59,33.39,25.86,23,29.4,98.55,2.98,18.7476063502344
2020-05-06,8.87,1.88,70.19,22.61,32.83,25.12,23.82,28.82,98.49,2.66,19.9793834438005
2020-05-07,8.42,2.98,76.69,23,31.58,24.81,16.7,27.75,98.5,4.12,20.5835037925688
