"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0.01,2.98,44.06,12.98,35.48,20.36,22.12,27.15,96.22,4.27,11.4398414755524
2020-01-02,0,3.22,53.56,17,34.07,22.12,22.53,27.63,96.25,4.55,14.2805650838965
2020-01-03,0,3.26,42.19,11.43,32.03,21.91,17.8,26.77,96.38,4.66,10.7257498481033
2020-01-04,0,2.7,45.94,10.48,27.85,20.58,18.83,22.96,96.5,3.84,9.42112515006157
2020-01-05,0,3.09,43.69,10.63,32.31,18.48,21.02,24.82,96.4,4.42,9.95833728814226
2020-01-06,0,2.78,46.44,11.93,33.78,18.26,22.36,25.45,96.35,4.03,10.9671253854264
2020-01-07,0.02,3.67,41.5,11.77,35.31,19.36,21.76,26.96,96.3,5.23,10.6622348798589
2020-01-08,1.23,3.11,51.69,13.63,33.15,20.77,13.05,25.62,96.37,4.29,12.3239180301661
2020-01-09,0,2.97,44.69,11.16,32.15,18.51,20.62,25.1,96.36,4.24,10.3482504835413
2020-01-10,0,4.02,32.69,6.11,33.33,17.98,22.48,24.69,96.42,5.66,7.39662321921537
2020-01-11,0,3.83,30.25,3.96,33.41,15.86,23.17,23.48,96.47,5.43,6.39048705763536
2020-01-12,0,3,31.5,4.99,33.98,15.18,23.42,24.17,96.46,4.35,6.92073664710823
2020-01-13,0,2.21,34.75,7.83,35.26,17.6,22.03,26.01,96.33,3.26,8.46794773755432
2020-01-14,0,2.76,35.75,9.3,36.71,18.78,21.84,27.23,96.16,4.04,9.32343708319091
2020-01-15,0,2.25,34.94,9.52,37.53,18.96,22.32,27.97,96.13,3.44,9.4922427872639
2020-01-16,0,1.89,35.12,11.9,38.46,21.91,22.98,29.74,96.13,2.92,10.5109999248692
2020-01-17,0,2.98,33.44,10.55,38.6,22.07,22.88,29.58,96.19,4.35,9.9215241828736
