"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,8.35,2.34,77.88,23.05,27.79,26.67,16.13,27.24,100.75,2.58,20.3219986950197
2020-01-02,1.71,3.51,73.31,23.09,29.08,27.12,18.09,28.32,100.74,3.93,20.3033516450627
2020-01-03,1.41,3.95,73.75,23.52,29.13,28.17,16.24,28.68,100.81,4.49,20.8324701466353
2020-01-04,0.15,3.43,70.81,22.76,28.96,28.18,20.57,28.59,100.82,3.85,19.9036157564167
2020-01-05,3.89,2.85,77.25,23.91,28.58,28.11,18.04,28.27,100.78,3.15,21.3358664392783
2020-01-06,7.53,2.51,84.12,25.1,28.39,27.58,12.27,28.03,100.63,2.8,22.9287131817145
2020-01-07,15.31,3.66,89.25,25.33,27.47,27.05,4.35,27.23,100.68,4.18,23.2759932776165
2020-01-08,6.63,3.54,82.56,24.36,27.89,27.05,19.98,27.57,100.79,3.95,21.9399509184426
2020-01-09,7.18,4.03,85.62,24.61,27.44,26.91,9.43,27.22,100.87,4.54,22.3169440933564
2020-01-10,2.62,3.41,77.19,23.38,28.01,27.34,17.15,27.72,100.96,3.8,20.6834470105797
2020-01-11,0.91,3.31,81.81,23.97,27.51,27.11,20.89,27.33,100.95,3.69,21.4541022080186
2020-01-12,0.15,1.27,76.62,23.23,28.25,27.04,22.02,27.69,100.85,1.35,20.4967579067565
2020-01-13,0.25,2.52,81.94,24.46,28.02,27.44,20.97,27.8,100.69,2.76,22.05331981297
2020-01-14,0.49,2.65,82.75,24.77,28.23,27.58,22.08,27.97,100.62,2.91,22.4809127259899
2020-01-15,0.78,3.52,82.5,25.05,28.51,27.99,20.01,28.3,100.67,3.95,22.8234572721809
2020-01-16,11.09,3.86,85.81,25.3,28.25,27.53,7.03,27.89,100.79,4.34,23.2097348538731
2020-01-17,7.25,3.65,82.38,24.19,27.78,26.91,7.02,27.46,100.91,4.08,21.7594613604253
2020-01-18,1.83,1.52,74.56,23.15,28.49,27.54,14.52,28.08,100.91,1.66,20.3789224766665
2020-01-19,0.58,2.05,77.69,23.86,28.46,27.54,17.68,28.11,100.78,2.25,21.269494151064
2020-01-20,1.36,2.3,78.5,24.31,28.7,27.98,20.18,28.39,100.69,2.52,21.8244456735236
2020-01-21,1.32,2.04,80.69,23.93,28.33,26.55,20.1,27.53,100.76,2.22,21.3956792765401
2020-01-22,0.58,2.34,78.81,24.09,28.42,27.73,21.37,28.09,100.76,2.57,21.5523966335205
2020-01-23,1.43,2.27,82.12,25.01,28.53,28.06,19.8,28.34,100.71,2.48,22.7682902495315
2020-01-24,2.43,2.81,82.19,25.17,28.62,28.3,19.07,28.48,100.74,3.11,22.9634512445882
2020-01-25,0.72,3.25,81.44,25.06,28.85,28.33,18.64,28.54,100.8,3.62,22.8288940819814
2020-01-26,0.3,3.66,78.94,24.58,29.07,28.12,17.81,28.58,100.84,4.11,22.1766778376645
2020-01-27,0.54,1.96,79,24.43,28.62,28.14,21.31,28.4,100.81,2.12,21.9755128539308
2020-01-28,1.64,2.03,81.81,25.01,28.55,28.26,19.46,28.4,100.79,2.23,22.7571735010136
2020-01-29,0.67,2.88,83,25.23,28.48,28.21,19.75,28.37,100.79,3.19,23.0502095066025
2020-01-30,1.39,3.66,84.19,25.17,28.25,27.87,20.53,28.08,100.91,4.08,23.0110177482639
2020-01-31,9.42,2.99,83.25,24.85,28.48,27.65,13.12,27.94,100.93,3.31,22.5794153965878
2020-02-01,7.43,2.51,82.5,25.12,28.57,28.15,15.37,28.36,100.87,2.76,22.8987784888508
2020-02-02,9.04,4.29,85.31,25.38,28.32,27.6,9.7,28.05,100.94,4.85,23.2786812826433
2020-02-03,2.92,3.95,77.31,23.48,28.07,27.57,6.65,27.8,101.03,4.44,20.8072022789933
2020-02-04,1.11,1.14,73.12,22.85,28.37,27.69,20.62,28.09,100.96,1.21,19.9963360213554
2020-02-05,2.01,2.44,80.06,24.29,28.3,27.69,21.87,28.03,100.85,2.65,21.8220729592019
2020-02-06,2.51,1.55,78.62,23.82,28.28,27.44,22.85,27.85,100.79,1.66,21.2181760988231
2020-02-07,6.41,4.02,80.25,24.57,28.72,27.79,11.08,28.29,100.82,4.52,22.1888083892216
2020-02-08,3.32,4.73,80.88,24.3,28.35,27.26,15.58,27.87,100.85,5.35,21.8521826868671
2020-02-09,7.2,3.24,77.88,23.19,27.97,26.45,7.71,27.38,100.93,3.58,20.480058132516
2020-02-10,1,2.16,75.75,23.14,27.98,27.52,18.27,27.79,100.89,2.38,20.3761063932102
2020-02-11,1.07,3.34,81.25,24.4,28.08,27.71,19.81,27.9,100.87,3.71,21.9884652758449
2020-02-12,0.95,2.75,82.12,24.59,28.07,27.72,19.34,27.9,100.82,3.02,22.223910996337
2020-02-13,1.37,2.72,81.94,24.58,28.15,27.64,13.05,27.93,100.75,2.98,22.2118745757288
