"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,3.02,25.31,-2.55,26.26,12.01,20.57,18.1,97.71,4.2,3.90938545604524
2020-01-02,0,5.62,26.31,-3.81,22.65,10.87,19.26,15.73,97.96,7.39,3.52517631964129
2020-01-03,0,6.34,28.12,-3.02,22.48,9.9,20.48,15.43,98.13,8.33,3.69977136100178
2020-01-04,0,6.13,34.44,-0.06,22.95,10.43,18.07,15.97,98.09,8.07,4.68198385664262
2020-01-05,0,5.23,31.88,-1.58,23.44,9.87,18.87,15.75,97.97,6.91,4.27665614530938
2020-01-06,0,3.43,25.38,-3.19,25.73,10.48,17.3,17.16,97.79,4.65,3.7064019466237
2020-01-07,0,4.03,23,-2.73,27.65,12.34,19.56,19.06,97.78,5.39,3.76038344279918
2020-01-08,0,5.42,22,-3.34,26.76,12.88,19.64,19.13,97.88,7.12,3.61176807191548
2020-01-09,0,5.64,24.19,-2.98,26.24,12.44,20.27,18.57,97.9,7.44,3.8420440838223
2020-01-10,0,4.95,21.31,-4.76,26.73,11.67,21.11,18.43,97.9,6.57,3.35665991642235
2020-01-11,0,3.78,18.25,-5.18,28.83,13.66,20.53,20.24,97.85,5.08,3.19785455033614
2020-01-12,0,3.41,16.56,-5.55,30.19,14.5,19.67,21.21,97.79,4.67,3.0703303493531
2020-01-13,0,3.34,16.12,-5.12,32.19,15.19,21.97,22.71,97.53,4.59,3.25880157996425
2020-01-14,0,2.77,15.5,-5.45,33.63,14.08,21.48,22.93,97.46,4.02,3.17320294258364
2020-01-15,0,3.21,19.06,-3.88,31.25,13.97,21.37,21.3,97.52,4.62,3.55233689659839
2020-01-16,0,5.6,29.38,0.43,28.6,13.44,21.19,19.75,97.69,7.41,5.00248493988029
2020-01-17,0,6.36,31.38,0.34,25.48,12.51,18.94,18.15,97.92,8.38,4.86138181798384
2020-01-18,0,5.99,36.94,2.15,25.08,11.4,19.49,17.7,97.99,7.89,5.57148960208951
2020-01-19,0,5.46,29.94,-0.77,26.3,11.45,21.36,17.91,97.95,7.26,4.57256414074768
2020-01-20,0,4.6,23.38,-3.45,27.91,11.18,20.68,18.51,97.92,6.2,3.70021964571252
2020-01-21,0,5.01,19.12,-5.94,27.67,11.58,20.84,18.44,97.96,6.73,3.01348642764367
2020-01-22,0,5.12,20.25,-5.99,25.95,10.1,21.13,17.12,98,6.88,2.95015953568203
2020-01-23,0,4.82,20.31,-7.07,25.47,9.55,21.7,16.31,98.07,6.5,2.81832266842291
2020-01-24,0,5.06,18.81,-8.4,24.58,8.55,22.79,15.65,98.13,6.8,2.50809427061926
2020-01-25,0,5.16,19.38,-7.78,25.2,8.55,22.82,16.07,98.19,6.91,2.6506037828365
2020-01-26,0,4.66,20.75,-6.98,26.24,8.71,21.92,16.24,98.06,6.3,2.86725038488583
2020-01-27,0,3.05,19.19,-7.67,27.05,8.59,22.84,16.42,97.88,4.34,2.68061573561714
2020-01-28,0,3.64,16.12,-8.82,28.88,9.02,23.25,17.88,97.81,5.06,2.45752177096402
2020-01-29,0,4.66,13.44,-10.38,28.92,10.53,21.67,18.76,97.89,6.36,2.15878113935573
2020-01-30,0,4.65,19.69,-4.6,28.4,12.11,22.36,19.31,97.98,6.3,3.26699614248884
2020-01-31,0,4.78,13.44,-9.87,27.89,11.36,21.6,18.62,97.95,6.43,2.14097412349426
2020-02-01,0,4.4,15.12,-9.33,27.12,10.29,21.97,17.62,97.95,5.97,2.26962401647307
2020-02-02,0,3.69,17.69,-7.2,28.26,10.4,20.91,18.25,97.89,5.11,2.75685541953998
2020-02-03,0,4.03,18.56,-6.52,28.96,9.91,21.89,18.64,97.87,5.48,2.96008545868838
2020-02-04,0,4.41,18,-6.45,28.44,11.08,22.1,18.91,97.84,5.94,2.91696753593437
2020-02-05,0,3.2,19,-5.52,28.83,11.53,21.68,19.26,97.68,4.45,3.14324178903725
2020-02-06,0,2.53,18.38,-5.01,29.8,12.94,23.19,20.5,97.74,3.8,3.26989917812861
2020-02-07,0,4.09,16.38,-5.33,30.94,14.75,21.28,22.07,97.78,5.59,3.19176791024842
2020-02-08,0,6.26,23.31,-0.63,31.06,15.05,18.89,22.05,97.85,8.25,4.53689956862372
