"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,2.68,53.12,10.23,30.37,13.64,20.75,21.26,97.16,4.16,9.87738972739124
2020-01-02,0,3.36,53.06,9.22,28.71,13.73,22.21,19.94,97.25,5.05,9.13564184526983
2020-01-03,0,2.8,54.19,8.73,28.15,11.81,22.39,19.05,97.32,4.24,8.85456521314381
2020-01-04,0,2.27,57.12,10.98,28.87,12.98,17.67,20.43,97.27,3.43,10.120531701888
2020-01-05,0,1.6,57.88,13.33,29.65,15.44,18.13,22.65,97.15,2.33,11.6607657758764
2020-01-06,0,0.76,57.81,15.57,31.05,19.26,17.29,24.9,97.06,1.12,13.2363096166138
2020-01-07,0,1.28,64.12,17.11,30.95,19.05,15.28,24.78,97.04,2.02,14.5820394112784
2020-01-08,0,0.93,61.12,17.7,31.8,21.52,15.17,26.11,97.14,1.38,14.9772883565823
2020-01-09,0,1.67,67,18.52,32.57,20.05,17.43,25.66,97.11,2.7,16.0099802876566
2020-01-10,0,1.61,75.88,19.54,30.08,19.65,18.19,24.31,97.19,2.62,16.8040529611945
2020-01-11,0.1,0.98,77.75,20.82,29.96,20.74,14.95,25.26,97.25,1.64,18.1662658238131
2020-01-12,0.01,0.82,70.31,20.75,32.03,22.5,18.19,27.04,97.16,1.18,18.144479952937
2020-01-13,0.01,0.66,64.94,19.8,32.76,22.86,18.59,27.34,97.01,0.95,17.0394876262154
2020-01-14,0,1.78,55.81,15.21,31.82,19.69,20.43,25.77,97.02,2.6,13.4185077654536
2020-01-15,0,1.96,51.69,13.26,33.31,17.12,22.38,25.12,97.03,3.05,11.982624750536
2020-01-16,0,2.57,59.75,14.52,32.76,17.69,20.8,23.92,97.17,4.02,12.9425162505479
2020-01-17,0,2.26,55.81,12.81,32.21,16.33,21.03,23.32,97.26,3.58,11.6830943907899
2020-01-18,0,2.26,53.56,11.92,31.67,15.65,21.07,22.96,97.28,3.51,10.9837932746473
