"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,2.2,63.19,0.46,14.37,1.81,12.28,7.77,101.79,3.17,5.14623985106484
2020-01-02,0,1.91,66.62,1.58,15.96,2.77,12.61,8.15,101.92,3.14,5.56018016940271
2020-01-03,0,2.88,54.12,-1.65,15.86,2.15,12.97,7.7,101.82,4.34,4.38768421919712
2020-01-04,0,1.47,51.94,-1.96,16.04,2.64,12.35,7.68,101.59,2.46,4.20550491542575
2020-01-05,0.01,1.88,65.19,3.97,17.91,6.11,12.25,10.76,101.39,2.87,6.42505929524317
2020-01-06,0.03,2.5,68.62,3.22,16.15,5.26,12.68,9.69,101.41,3.62,6.32016386559488
2020-01-07,0.01,1.76,70.56,2.93,16.15,2.57,12.68,8.54,101.53,2.79,6.03852762818495
2020-01-08,0.18,2.27,66.5,2.4,15.17,4.09,12.37,8.84,101.38,3.45,5.80157760676728
2020-01-09,0.06,1.56,62.5,2.66,16.45,6.22,11.8,10.15,101.27,2.38,5.92701756265492
2020-01-10,1.55,2.53,82.25,7.09,14.65,6.17,8.41,9.9,101.04,3.72,7.67728143162206
2020-01-11,3.5,2.52,90.25,7.48,11.58,7.17,8.98,8.88,100.91,3.58,7.8937564360881
2020-01-12,2.44,2.5,81.56,6.16,13.19,5.69,7.15,9.37,100.97,3.57,7.36049332239236
2020-01-13,1.44,4.66,77.06,6.04,14.21,6.82,7.82,10.12,100.94,6.25,7.29389963493865
2020-01-14,0.07,2.96,74.69,5.48,16.04,5.53,11.84,10.13,101.27,4.06,7.07405447178385
2020-01-15,0,1.99,69.06,3.5,15.98,5.25,13.37,9.44,101.52,2.95,6.26027965161363
2020-01-16,0,1.76,68.44,3.01,15.82,4.67,13.58,8.94,101.65,2.72,6.00916193031847
2020-01-17,0,2.31,64.75,1.92,15.99,4.2,13.56,8.8,101.67,3.62,5.63445376515433
2020-01-18,0,1.79,57.56,1.52,17.32,4.48,12.91,9.93,101.65,2.7,5.38293624496277
2020-01-19,0.01,2.24,52.31,-0.06,15.5,4.22,11.88,9.7,100.91,3.42,4.82101486876649
2020-01-20,0.01,3.8,68.06,4.05,17.58,6.51,13.05,10.79,100.65,5.36,6.72061852467128
2020-01-21,0,5.69,63.5,3.92,19.98,6.78,10.75,11.9,101.01,7.68,6.72254082762464
2020-01-22,0.02,5.2,77.69,7.41,18.38,8.11,13.25,11.94,101.22,7.02,8.24535964956723
2020-01-23,0,3.12,73,5.55,19.59,6.14,13.28,11.45,100.96,4.38,7.51371749670868
2020-01-24,0,1.35,65.06,4.55,19.93,6.27,12.53,12.01,100.97,2.28,6.93515268180973
2020-01-25,0,1.63,43.19,0.15,18.84,8.8,11.35,12.66,100.99,2.44,4.79395135492783
2020-01-26,0.05,1.88,51,3.08,20.57,7.39,12.22,13.34,100.84,2.84,5.90420965716464
2020-01-27,0,2.09,72.56,5.67,18.55,5.65,14.27,11.12,101.13,3.2,7.31533063344433
2020-01-28,0,1.56,70.25,4.55,18.2,6.67,14.82,10.73,101.17,2.38,6.91068578321017
2020-01-29,0,2.24,49.81,1.18,20.26,6.75,14.64,11.89,101.07,3.5,5.26993210986446
2020-01-30,0,1.3,47.75,1.93,20.82,9.15,15.18,13.38,101.14,2.11,5.54162617493334
2020-01-31,0.02,2.12,41.5,0.49,21.27,8.12,15.08,13.87,101,3.28,4.96385609110191
2020-02-01,0,1.32,49.06,3.24,21.86,8.99,15.4,14.49,100.92,2.08,6.09550529725933
2020-02-02,0,1.34,64.19,6.98,22.36,8.91,15.67,14.6,101.34,2.09,8.02916505989832
2020-02-03,0,2.02,55.88,5.68,24.47,8.61,15.24,15.49,101.38,3.06,7.37900089381829
2020-02-04,0,2.16,48.5,4.34,25.1,11.19,16.05,16.33,100.85,3.42,6.73823469831591
2020-02-05,0,4.09,53.25,1.82,18.09,6.97,16.1,12.09,100.75,5.78,5.70464761898556
2020-02-06,0,2.91,53.25,-0.63,17.19,4.89,16.5,9.83,101.25,4.32,4.94835623118344
2020-02-07,0,2.08,51.5,-2.21,15.74,1.83,16.92,7.99,101.56,3.31,4.25416591290756
2020-02-08,0,2.91,39.94,-3.79,18.65,3.26,15.68,10.19,101.4,4.41,3.79720900517627
2020-02-09,0,1.05,34.69,-3.77,19.58,7.5,16.58,12.37,101.74,1.66,3.7817068251566
2020-02-10,0,2.05,46.44,-0.62,21.2,7.13,17.12,12.58,101.91,2.94,5.129149071168
2020-02-11,0,3.68,30.62,-4.65,22.48,7.15,17.4,13.72,101.36,5.42,3.62885255161997
2020-02-12,0,1.46,31.88,-3.43,21.01,8.15,15.12,13.44,101.1,2.28,3.71355534028627
2020-02-13,0,1.46,33.06,-4.02,14.98,8.9,8.36,11.69,101.05,2.3,3.45431418062392
2020-02-14,0,1.48,48.62,3.01,22.16,8.28,17.21,14.26,101.02,2.35,5.95636909797486
2020-02-15,0,1.62,73.06,7.62,20.44,7.08,17.56,12.94,101.35,2.59,8.25143982973178
2020-02-16,0,1.18,73.62,7.05,20.23,7.19,17.55,12.49,101.53,1.9,8.08574962897988
2020-02-17,0,1.61,76.12,6.98,18.41,6.99,16.7,11.5,101.43,2.41,7.8594402142437
2020-02-18,0,1.27,63.19,4.42,21.01,6.58,18.63,12.55,101.32,1.95,6.96613868977497
