"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,1.06,1.27,79.75,19.32,27.42,19.18,24.48,23.17,89.27,1.98,16.5522504021755
2020-01-02,0.03,1.8,81,19.4,27.88,19.71,26.61,23.07,89.3,2.79,16.7158822180417
2020-01-03,0.96,2.06,81.81,19.57,28.48,19.19,21.97,23.16,89.43,3.05,16.9701088460814
2020-01-04,0.3,2.26,81,19.54,28.58,19.33,24.26,23.34,89.41,3.34,16.975653026466
2020-01-05,0.44,1.82,79.94,19.29,28.46,19.08,25.87,23.29,89.28,2.77,16.7057681957462
2020-01-06,16.07,1.18,81.25,19.48,27.66,19.31,23.01,23.13,89.3,1.89,16.8250795905826
2020-01-07,4.85,1.9,83.12,19.65,27.37,19.62,23.3,22.89,89.33,2.88,16.9776368198237
2020-01-08,6.54,1.8,84.38,19.48,27.04,18.83,24.5,22.46,89.38,2.73,16.8151764685792
2020-01-09,5.09,1.47,82.06,19.37,28.1,18.32,20.74,22.91,89.3,2.3,16.7803292716893
2020-01-10,12.88,1.31,84.25,19.57,26.76,19.4,16.73,22.55,89.31,2.05,16.8762659489581
2020-01-11,12.22,1.17,83.56,19.38,26.37,19.83,20.49,22.51,89.36,1.8,16.6996550914451
2020-01-12,42.74,1.73,87.56,18.88,24.82,18.72,12.42,21.14,89.44,2.68,16.168383811927
2020-01-13,2.4,1.45,78.19,18.28,27.21,17.53,22.03,22.58,89.3,2.1,15.6893697050913
2020-01-14,29.84,1.15,82.75,19.56,26.97,18.3,21.36,22.8,89.21,1.88,16.815162802524
2020-01-15,4.4,1.23,85.44,19.52,25.74,19.26,19.8,22.18,89.33,2,16.754446532382
2020-01-16,5.44,0.92,86.44,19.58,25.49,19.61,19.6,22.05,89.34,1.51,16.8240926088303
2020-01-17,3.02,1.28,83.56,19.41,26.94,18.76,22.52,22.52,89.28,1.99,16.7092468787248
2020-01-18,6.81,1.7,85.62,19.99,26.28,19.27,12.1,22.65,89.24,2.66,17.2493912531191
2020-01-19,4.78,2.45,86.75,19.99,26.8,19.58,15.04,22.45,89.27,3.69,17.2775397726957
2020-01-20,0.33,2.41,81.69,19.29,28.68,17.78,23.1,22.9,89.26,3.63,16.6951083096903
2020-01-21,2.94,2.44,81.88,20.33,29.19,18.98,14.63,23.89,89.18,3.69,17.7059212646706
2020-01-22,4.61,2.32,85.06,20.03,27.26,19.77,14.04,22.84,89.19,3.55,17.3242160878726
2020-01-23,7.65,1.57,85.69,19.42,25.82,18.67,12.27,22.03,89.3,2.44,16.6589046517456
2020-01-24,11.46,1.15,86.19,19.74,26.72,18.78,16.79,22.3,89.36,1.87,17.0186307686614
2020-01-25,75.93,1.03,89.81,19.32,24.7,18.89,8.44,21.12,89.5,1.66,16.5646170738284
2020-01-26,4.87,1.83,87.44,19.83,26.65,18.62,17.43,22.16,89.44,2.79,17.126905772687
2020-01-27,4.06,1.25,87.75,19.48,25.2,18.86,10.41,21.71,89.44,1.97,16.7472439249605
2020-01-28,16.34,0.93,87.94,19.54,25.13,19.54,11.89,21.71,89.36,1.52,16.7835057636584
2020-01-29,24.96,1.11,85.44,19.69,26.71,19.05,17.18,22.44,89.39,1.72,17.0068604367239
2020-01-30,11.34,1.2,84.81,19.88,26.87,19.33,16.51,22.76,89.47,1.88,17.1943074792826
2020-01-31,8.6,1,84.5,19.31,26.37,18.74,17.25,22.26,89.45,1.59,16.6465839476154
2020-02-01,48.75,1.11,88.44,19.7,25.87,19.31,15.97,21.8,89.41,1.73,16.9669047034138
2020-02-02,39.77,1,90.5,19.3,23.5,18.99,15.66,20.95,89.54,1.59,16.5278668641415
2020-02-03,1.42,1.09,83.88,18.78,25.56,18.12,18.27,21.77,89.48,1.68,16.064230567744
2020-02-04,5.6,0.82,85.88,19.03,24.81,18.69,15.78,21.57,89.46,1.24,16.2582271152564
2020-02-05,4.77,0.51,85.12,19,25.32,18.51,14.76,21.69,89.45,0.91,16.2265397257998
2020-02-06,6.29,0.8,85.88,18.94,25.48,18.55,17.35,21.51,89.5,1.32,16.2018853122242
2020-02-07,1.67,1.44,81.31,19.1,27.91,18.35,25.38,22.76,89.48,2.27,16.4847204473585
2020-02-08,0.21,1.71,84.12,19.49,27.67,17.98,25.97,22.52,89.5,2.73,16.821228427936
