"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,0,3.4,29.31,4.5,38.48,18.13,32.88,28.64,88.56,4.5,8.2611979293992
2020-01-02,0,4.47,21.5,1.44,38.29,18.4,33.62,29.14,88.57,5.96,6.22786392715891
2020-01-03,0,4.07,29.31,5.04,37.91,18.32,33.03,28.62,88.65,5.41,8.25215072850156
2020-01-04,0,3.68,22.31,1.68,38.84,19.34,32.93,29.45,88.55,5.07,6.5726300834374
2020-01-05,0,3.91,17.12,-1.7,36.76,17.99,33.51,27.9,88.42,5.3,4.6331387756611
2020-01-06,0,4.46,29.88,5.26,37.3,17.51,32.57,27.83,88.49,5.9,8.05520987426865
2020-01-07,30.74,4.88,57.75,14.31,29.19,20.26,12.67,23.58,88.56,6.48,12.2697235666623
2020-01-08,6.54,2.97,63.75,16.11,29.83,18.22,17.99,24.12,88.55,3.82,13.9666007188207
2020-01-09,0.07,3.05,44.12,10.47,32.65,19.17,32.66,25.61,88.69,4.07,10.513184704249
2020-01-10,0,2.88,45.19,10.39,32.51,15.73,32.59,24.67,88.95,3.82,10.2134025097349
2020-01-11,0.24,2.16,32.88,8.56,35.51,20.07,33.37,27.97,88.84,3.05,8.93259710490089
2020-01-12,0,3.59,33.25,7.94,37.08,17.86,33.26,28.07,88.82,4.88,9.08297301314677
2020-01-13,0.68,2.66,42.44,12.7,36,20.65,31.18,28.76,88.78,3.55,12.0408271199343
2020-01-14,0.47,2.48,39.5,12.75,36.19,21.55,30.47,29.03,88.8,3.33,11.3733775186282
2020-01-15,0,2.19,30.38,9.77,37.64,20.88,30.29,29.92,88.94,2.88,9.18166427510865
2020-01-16,0,1.73,28.88,9.26,39.15,20.23,31.46,30.76,88.86,2.48,9.13399093625047
2020-01-17,0,2.8,29,10.12,40.23,23.58,28.83,31.92,88.41,3.75,9.76119019752215
2020-01-18,3.26,3.36,52.88,15.52,31.12,22.01,27.33,26.35,88.28,4.41,13.1327984540518
2020-01-19,0.06,3.93,43.56,10.53,33.76,18.15,31.55,25.94,88.24,5.18,10.5733250634972
2020-01-20,0,2.86,35.81,6.32,34.19,17.63,31.48,26.02,88.59,3.97,8.73112917041552
2020-01-21,0,2.25,29.94,4.39,34.68,16.23,32.14,25.73,88.64,3.3,7.18242486034542
2020-01-22,0,3.73,35.62,6.07,33.79,15.91,31.67,25.15,88.51,5.05,8.27127527700853
2020-01-23,0,3.05,42.94,9.24,32.92,16.48,31.67,25.05,88.5,4.03,9.91507870632579
2020-01-24,0.36,4.27,30.94,4.58,36.39,16.33,29.14,26.19,88.54,5.82,7.61570311449381
2020-01-25,0.35,3.56,37.75,8.86,33.9,17.93,31.77,25.62,88.54,4.87,9.00034640430974
2020-01-26,0,5.34,34.31,3.79,29.52,15.01,31.97,22.03,88.71,7.09,6.67017176568316
2020-01-27,0,2.62,32.81,-0.06,29.02,9.9,33.32,19.72,89.26,3.48,5.57667972767753
2020-01-28,0,2.04,21,-2.02,34.12,13.01,32.34,24.26,88.98,3.02,4.63741649021521
