"Date","PRECTOTCORR","WS2M","RH2M","T2MDEW","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","T2M","PS","WS10M","AH"
2020-01-01,6.54,1.03,83.5,19.18,27.53,18.36,16.73,22.36,87.59,1.62,16.5444604075789
2020-01-02,7.01,1.09,82.25,19.33,27.64,18.12,17.75,22.79,87.57,1.7,16.7039871594465
2020-01-03,4.48,1.15,85.38,19.48,25.88,19.13,21.76,22.21,87.72,1.77,16.7716187344771
2020-01-04,11.8,0.95,81.25,19.05,26.85,19.12,19.62,22.69,87.77,1.59,16.4065859210951
2020-01-05,4.46,1.57,83.31,18.42,25.61,18.51,18.26,21.57,87.73,2.52,15.7716919069866
2020-01-06,3.11,1.34,78.06,17.86,26.69,16.6,20.9,22.15,87.62,2.08,15.2808401907316
2020-01-07,17.62,1.62,85.62,18.95,25.52,18.65,18.82,21.6,87.68,2.58,16.237154600374
2020-01-08,15.09,1.21,83.12,18.86,26.75,18.07,18.48,22.04,87.75,1.98,16.1685896917196
2020-01-09,6.72,1.27,85.06,19.21,25.83,18.56,21.41,21.97,87.66,1.98,16.4793255605731
2020-01-10,5.97,1.63,89.12,19.65,25.33,19.05,20.66,21.59,87.59,2.51,16.8911304378554
2020-01-11,15.54,1.85,86.5,19.02,26.17,17.73,14.76,21.55,87.69,2.75,16.3566662380914
2020-01-12,12.88,2.08,87.31,18.43,24.68,18.72,11.36,20.75,87.81,3.22,15.7608507004702
2020-01-13,20.03,2.41,87.94,19.31,25.7,17.94,14.86,21.51,87.53,3.63,16.5905192635887
2020-01-14,17.59,1.34,86,18.84,24.93,18.44,15.16,21.41,87.49,2.15,16.1308659366923
2020-01-15,3.79,1.86,83,18.81,26.96,17.5,21.93,22.1,87.65,2.93,16.2011605183574
2020-01-16,9.03,1.3,81.19,19.1,27.17,18.35,20.06,22.69,87.64,2.03,16.394470288415
2020-01-17,37.18,2.24,86.5,19.84,27.21,18.09,15.75,22.37,87.51,3.48,17.1487276938471
2020-01-18,11.89,3.16,90.44,19.98,24.72,19.11,20.27,21.66,87.42,4.74,17.2108306773846
2020-01-19,11.38,3.45,84.69,19.32,26.9,18.02,22.44,22.2,87.47,5.15,16.6265057985049
2020-01-20,3.09,2.69,84,19.97,27.93,18.77,23.34,23.06,87.52,4.11,17.3250803151119
2020-01-21,0.79,2.34,88.69,19.89,25.08,19.69,14.9,21.9,87.52,3.6,17.1133568103106
2020-01-22,0.95,2.21,84.44,19.83,27.09,19.55,20.65,22.78,87.41,3.3,17.1389263702517
2020-01-23,0.83,1.12,84.75,19.28,25.84,19.3,25.64,22.12,87.53,1.78,16.5618199713004
2020-01-24,0.2,2.05,78.06,18.41,27.84,19.15,25.48,22.8,87.69,3.17,15.8621342400607
2020-01-25,0.18,1.98,85.75,17.98,23.91,17.29,23.39,20.58,87.81,3.09,15.3267088946145
2020-01-26,2.14,1.57,83.94,19.19,27.47,17.37,18.27,22.3,87.73,2.39,16.5743574280246
2020-01-27,0.17,1.38,76.5,18.66,29.11,19.24,27.05,23.53,87.7,2.21,16.2071764181644
2020-01-28,2.26,1.46,80.88,18.77,27.75,17.61,20.87,22.53,87.69,2.35,16.1826239424228
2020-01-29,1.8,1.77,74.62,17.04,28.09,16.82,17.69,22.4,87.73,2.77,14.8190348626438
2020-01-30,8.1,1.35,85.19,18.66,26.56,16.96,15.53,21.48,87.79,2.09,16.0438301491913
2020-01-31,9.21,1.8,90.31,19.14,24.08,18.44,11.49,20.83,87.74,2.73,16.3784756761932
2020-02-01,4.98,2.14,88.06,18.7,24.19,18.01,14.96,20.81,87.73,3.21,15.9518458655142
2020-02-02,9.23,1.15,85.25,18.73,25.66,18.23,19.66,21.48,87.83,1.81,16.0551299473947
2020-02-03,6.28,1.81,86.06,19.26,26.78,18.17,20.34,21.88,87.79,2.77,16.5867277184125
2020-02-04,11.41,2.04,88.31,18.87,24.33,18.53,19.73,20.98,87.78,3.14,16.1560547068166
2020-02-05,9.41,2.07,84.88,18.81,26.08,17.94,15.22,21.71,87.72,3.12,16.1994993088392
2020-02-06,10.68,2.36,84.81,18.98,26.09,18.14,20.01,21.83,87.67,3.58,16.2987070480031
2020-02-07,32.7,2.12,88.94,19.63,25.24,18.47,12.59,21.63,87.71,3.27,16.8960506748163
