Code_ISO,Pays,Nom,Latitude,Longitude,Regions,Pop
DZA,Algeria,Algérie,28.0339,1.6596,NAf,44616626
AGO,Angola,Angola,-11.2027,17.8739,CAf,33933611
BEN,Benin,Bénin,9.3077,2.3158,WAf,12451031
BWA,Botswana,Bostwana,-22.3285,24.6849,SAf,2397240
BFA,Burkina Faso,Burkina Faso,12.2383,-1.5616,WAf,21497097
BDI,Burundi,Burundi,-3.3731,29.9189,EAf,12255429
CPV,Cabo Verde,Cap-Vert,16.5388,-23.0418,WAf,561901
CMR,Cameroon,Cameroun,3.848,11.5021,CAf,27224262
CAF,Central African Republic,Rép. Centrafricaine,6.6111,20.9394,CAf,4919987
TCD,Chad,Tchad,15.4542,18.7322,CAf,16914985
COM,Comoros,Comores,-11.6455,43.3333,SAf,888456
COG,Congo (Brazzaville),Congo (Braz.),-0.228,15.8277,CAf,5657017
COD,Congo (Kinshasa),Rép. Dém. du Congo,-4.0383,21.7587,CAf,92377986
CIV,Cote d'Ivoire,Côte-d'Ivoire,7.54,-5.5471,WAf,27053629
DJI,Djibouti,Djibouti,11.8251,42.5903,EAf,1002197
EGY,Egypt,Egypte,26.820553,30.802498,NAf,104258327
GNQ,Equatorial Guinea,Guinée Equat.,1.6508,10.2679,CAf,1449891
ERI,Eritrea,Erithrée,15.1794,39.7823,EAf,3652584
SWZ,Eswatini,Swaziland,-26.5225,31.4659,SAf,1172369
ETH,Ethiopia,Ethiopie,9.145,40.4897,EAf,117876226
GAB,Gabon,Gabon,-0.8037,11.6094,CAf,2278829
GMB,Gambia,Gambie,13.4432,-15.3101,WAf,2486937
GHA,Ghana,Ghana,7.9465,-1.0232,WAf,31732128
GIN,Guinea,Guinée,9.9456,-9.6966,WAf,13497237
GNB,Guinea-Bissau,Guinée-Bissau,11.8037,-15.1804,WAf,2015490
KEN,Kenya,Kenya,-0.0236,37.9062,EAf,54985702
LSO,Lesotho,Lesotho,-29.61,28.2336,SAf,2159067
LBR,Liberia,Libéria,6.428055,-9.429499,WAf,5180208
LBY,Libya,Libye,26.3351,17.228331,NAf,6958538
MDG,Madagascar,Madagascar,-18.766947,46.869107,SAf,28427333
MWI,Malawi,Malawi,-13.2543,34.3015,SAf,19647681
MLI,Mali,Mali,17.570692,-3.996166,WAf,20855724
MRT,Mauritania,Mauritanie,21.0079,-10.9408,NAf,4775110
MUS,Mauritius,Iles Maurice,-20.348404,57.552152,SAf,1266060
MAR,Morocco,Maroc,31.7917,-7.0926,NAf,37344787
MOZ,Mozambique,Mozambique,-18.665695,35.529562,SAf,32163045
NAM,Namibia,Namibie,-22.9576,18.4904,SAf,2587344
NER,Niger,Niger,17.607789,8.081666,WAf,25130810
NGA,Nigeria,Nigéria,9.082,8.6753,WAf,211400704
RWA,Rwanda,Rwanda,-1.9403,29.8739,EAf,13276517
STP,Sao Tome and Principe,Sao Tome et P.,0.1864,6.6131,CAf,223364
SEN,Senegal,Sénégal,14.4974,-14.4524,WAf,17196308
SYC,Seychelles,Seychelles,-4.6796,55.492,EAf,99202
SLE,Sierra Leone,Sierra Léone,8.460555,-11.779889,WAf,8141343
SOM,Somalia,Somalie,5.152149,46.199616,EAf,16359500
ZAF,South Africa,Afrique du Sud,-30.5595,22.9375,SAf,60041996
SSD,South Sudan,Soudan du Sud,6.877,31.307,EAf,11381377
SDN,Sudan,Soudan,12.8628,30.2176,NAf,44909351
TZA,Tanzania,Tanzanie,-6.369028,34.888822,EAf,61498438
TGO,Togo,Togo,8.6195,0.8248,WAf,8478242
TUN,Tunisia,Tunisie,33.886917,9.537499,NAf,11935764
UGA,Uganda,Ouganda,1.373333,32.290275,EAf,47123533
ZMB,Zambia,Zambie,-13.133897,27.849332,SAf,18920657
ZWE,Zimbabwe,Zimbabwe,-19.015438,29.154857,SAf,15092171
