,1/31/2020,3/31/2020,6/30/2020,9/30/2020,12/31/2020,3/31/2021,6/30/2021,9/30/2021
DZA,NA,16.63064367,323.020058,1196.895347,2313.657006,2722.036862,3243.114879,4723.45121
AGO,NA,0.219950828,8.923719325,156.2279313,551.542413,701.0461333,1220.695676,1777.925389
BEN,NA,0.762637475,101.6002592,199.7262809,275.4816034,601.6362302,694.7627397,2024.378808
BWA,NA,1.736339458,98.53726423,1376.91719,6426.626418,17297.41368,30247.03336,77796.68941
BFA,NA,12.8436172,47.33930937,101.1742412,330.0465155,625.794176,663.2916331,700.8875087
BDI,NA,0.173451812,14.74340406,44.05676037,70.94179131,243.6997965,472.8296408,1537.476866
CPV,NA,10.91038032,2231.172775,10954.02184,21529.81716,31767.39069,59019.70233,68328.07514
CMR,NA,7.458539409,486.6213899,805.2903845,1015.482073,1842.181944,3124.780205,3567.075456
CAF,NA,0.632219819,789.2210736,1017.663168,1045.90232,1087.628828,1504.893908,2396.323852
TCD,NA,0.438957448,54.3053072,75.24984831,132.5024412,284.256302,310.4683325,315.9239465
COM,NA,NA,356.099407,562.9426269,967.2271021,4343.707618,4625.766554,4866.691895
COG,NA,3.531265078,202.0255336,945.8214726,1320.878995,1799.272485,2341.04289,2647.333672
COD,NA,1.129154969,81.10328395,122.8128859,203.4552903,324.251828,470.5119624,656.0275151
CIV,NA,6.960499825,369.3731164,766.9770868,874.5343076,1706.644563,1878.362816,2342.966458
DJI,NA,30.81474177,4809.154033,5563.088048,5989.358643,8219.318789,11917.0878,13158.92189
EGY,NA,7.07255333,680.4692824,1027.990646,1375.282898,2013.496165,2801.946403,3033.46793
GNQ,NA,8.84964889,1475.678952,3709.477826,3891.633099,5098.872702,6441.069451,9116.613298
ERI,NA,4.289390906,58.04975693,107.2347727,377.4663998,939.3766085,1718.329997,1922.219045
SWZ,NA,7.838833582,707.2369854,4774.720633,8150.644962,15100.20642,16621.81112,39998.95482
ETH,NA,0.231979788,52.15976305,672.455871,1108.720629,1843.248938,2464.10715,3084.206968
GAB,NA,7.364519311,2482.763573,4034.836017,4405.363395,8998.522033,11499.6969,13879.81749
GMB,NA,1.703790849,20.87143791,1524.466863,1617.323464,2325.248562,2589.336143,4231.364575
GHA,NA,5.292943724,583.2429478,1532.849653,1800.620004,2977.954791,3153.213691,4191.025166
GIN,NA,1.722619704,422.1201283,834.0611402,1074.44489,1558.81423,1861.212289,2381.208537
GNB,NA,4.164666759,861.0448524,1209.835693,1276.470362,1900.129209,2008.931128,3179.202487
KEN,NA,1.122228293,121.0865308,732.8531173,1834.710114,2549.892891,3502.892962,4744.43885
LSO,NA,NA,12.70428012,750.4935848,1455.816396,5037.482332,5337.679766,6773.263419
LBR,NA,0.607610442,155.9533469,271.1967941,364.5662654,415.8080794,789.893575,1174.510985
LBY,NA,1.475480756,121.5796143,5094.09731,14795.67838,23453.79945,28546.71638,50178.73974
MDG,NA,2.113513707,82.09332186,608.395314,656.8207333,905.696242,1565.334994,1590.623
MWI,NA,NA,65.70490221,309.897386,353.3785713,1801.033639,1939.260864,3305.643691
MLI,NA,1.42435425,110.9470221,158.6120197,360.666844,510.8344778,733.8476575,774.1874046
MRT,NA,1.325762932,964.0506123,1657.645586,3173.87646,3943.481842,4597.745849,7961.206409
MUS,NA,112.9799773,269.4137919,301.0165828,416.3667693,812.1917247,1499.552425,12400.14506
MAR,NA,16.91719423,343.6356487,3390.375718,12041.99884,13602.21929,14569.10412,25583.37656
MOZ,NA,0.263452233,29.27612942,287.4263865,613.9095666,2225.479809,2516.100554,4963.53887
NAM,NA,4.409648311,82.17980942,4515.880747,9597.399109,17694.31516,36045.66792,51147.51075
NER,NA,1.15826563,46.11613157,51.34977627,142.55247,214.536534,235.4711127,257.7355521
NGA,NA,0.671763447,127.8540001,292.8291506,435.9346689,810.5497752,834.0714479,1023.961558
RWA,NA,5.939676644,81.1755808,383.3071328,663.8974574,1725.119684,3092.354052,7722.925964
STP,NA,NA,3320.065471,4236.105944,4715.050963,10336.8425,11001.78558,16084.18272
SEN,NA,10.73859175,416.84145,919.3461805,1174.495121,2375.069678,2646.479914,4527.083465
SYC,NA,81.94622279,829.7055058,1444.302177,2314.980794,42140.84507,160522.4072,219953.9052
SLE,NA,0.127988287,187.1188749,285.5418672,334.1774161,509.3933803,713.5346973,818.357104
SOM,NA,0.32377328,189.342614,232.3397055,305.2534481,738.0735684,967.8230877,1293.798026
ZAF,NA,23.10519078,2582.197186,11515.69198,18053.14604,26437.88828,33709.55119,49568.9678
SSD,NA,NA,181.4300758,244.4379297,321.6383705,918.9022025,979.3788944,1085.687698
SDN,NA,0.163500831,218.9042557,318.7331918,595.6101709,743.5317086,856.2304958,894.1860459
TZA,NA,0.327555355,8.775035551,8.775035551,8.775035551,8.775035551,8.775035551,23.56674577
TGO,NA,4.206688982,80.42199524,220.7274454,449.4970903,1268.069276,1721.896781,3146.23218
TUN,NA,33.69042044,100.3871919,1574.471349,11897.67792,21720.74421,35922.45355,60470.88434
UGA,NA,0.993910177,20.08150335,183.6249052,795.4895633,923.1392545,1806.589868,2791.351554
ZMB,NA,1.95957344,89.24457324,826.3241258,1160.347416,4950.330412,8675.199583,11704.02827
ZWE,NA,0.546244067,40.35378043,535.1826244,946.8458092,2518.321709,3404.739268,8932.456102
