,6/30/2020,12/31/2020,6/30/2021,12/31/2021,6/30/2022,9/30/2022
DZA,311.6999479,2232.575812,3129.461201,4895.753435,5963.853026,6066.639822
AGO,8.369283187,517.2747457,1144.853107,2404.489166,2985.830185,3039.1991
BEN,96.29724639,261.1028757,658.4996857,2002.645403,2185.843084,2219.73586
BWA,94.6922294,6175.85223,29066.76011,91567.38583,134641.9215,136118.2026
BFA,44.75022837,311.995615,627.0148942,820.2037698,978.922875,1006.228888
BDI,13.87140344,66.7459295,444.864068,2232.969568,3480.743106,4095.572664
CPV,2183.658687,21071.32751,57762.84434,74269.31079,107744.9586,111005.3194
CMR,462.5286078,965.2052276,2970.071328,4017.262249,4410.330756,4468.514151
CAF,761.180873,1008.742503,1451.426599,2472.161004,2977.446892,3031.10557
TCD,51.19720768,124.918822,292.6990476,337.1566691,438.9598927,448.3007227
COM,341.041087,926.3261208,4430.157487,7332.946145,9160.836327,9534.51831
COG,192.1507395,1256.315829,2226.615193,3551.164863,4265.145394,4390.476465
COD,76.19780756,191.1494368,442.0533697,809.6409463,985.9708351,1005.575073
CIV,351.1174046,831.3117623,1785.527553,2624.564712,3085.094425,3223.523173
DJI,4671.736196,5818.217376,11576.56628,13626.06354,15655.60464,15655.60464
EGY,655.2090559,1324.229958,2697.933183,3698.265751,4945.839962,4945.839962
GNQ,1380.103746,3639.583941,6023.901107,9455.883235,11058.76235,11733.29581
ERI,55.57709282,361.3879927,1645.136703,2193.241826,2682.758288,2784.330217
SWZ,692.6146972,7982.128494,16278.15133,56389.24264,62360.05899,62599.74462
ETH,49.59439404,1054.19052,2342.915186,3565.96079,4146.077768,4179.222704
GAB,2367.005159,4199.964104,10963.52557,18341.87646,21036.68156,21366.6756
GMB,19.70295186,1526.777719,2444.372334,4089.367764,4826.016904,5029.480039
GHA,559.0863619,1726.042451,3022.614809,4506.032498,5235.482474,5328.983924
GIN,399.4150803,1016.652519,1761.101179,2374.634157,2727.743463,2789.607977
GNB,820.6441114,1216.577606,1914.670874,3217.083687,4141.920823,4364.199277
KEN,115.775552,1754.237856,3349.252502,5365.5403,6068.741288,6154.945517
LSO,12.50540164,1433.026395,5254.12134,13157.53518,15718.8267,15974.49269
LBR,148.64268,347.4763948,752.865522,1211.920448,1447.239184,1536.810877
LBY,118.4156787,14410.64201,27803.82891,55864.32092,72161.42241,72859.27015
MDG,77.88278978,623.1326731,1485.049618,1768.685089,2299.934362,2345.489111
MWI,62.29742838,335.0522639,1838.690276,3821.061631,4402.860572,4480.325184
MLI,104.5756072,339.9546331,691.7045891,1007.301401,1494.313983,1564.942075
MRT,913.696229,3008.098243,4357.595951,8685.244947,12526.20358,13154.67078
MUS,269.3395258,416.2519944,1499.139061,54089.06371,182484.2425,207453.0433
MAR,335.6023961,11760.49016,14228.5187,25789.19516,32585.77964,33872.06359
MOZ,27.64041775,579.6093001,2375.521348,5878.796613,7086.362625,7148.949983
NAM,79.23183002,9253.118256,34752.62663,57191.46739,65387.13059,65415.73134
NER,42.77617793,132.2281295,218.4171541,294.6582303,359.3596864,374.2418171
NGA,121.5416955,414.4120542,792.8923453,1142.441796,1217.072579,1255.350597
RWA,77.20398354,631.415604,2941.057508,8419.828785,9868.627442,9980.027141
STP,3196.575993,4539.675149,10592.57535,17446.85804,27054.49401,27891.69248
SEN,395.0266534,1113.029611,2507.980201,4364.599657,5019.972892,5140.522024
SYC,816.5157961,2278.179875,157970.6054,249873.9945,450283.2604,475202.1129
SLE,179.5772516,320.7087578,684.7764552,867.6701129,945.1757529,952.054225
SOM,178.7340689,288.1506159,913.5976038,1438.43027,1638.375256,1663.498273
ZAF,2518.387297,17607.02626,32876.53861,57597.80205,66517.49219,66669.68566
SSD,176.3407011,312.6159515,951.9059073,1339.205265,1557.105085,1565.979231
SDN,208.6870505,567.8104767,816.2665277,1035.819912,1394.453462,1409.172001
TZA,8.276632977,8.276632977,8.276632977,476.5324284,581.6082678,641.3171014
TGO,76.6668373,428.508646,1641.495961,3557.695098,4411.645716,4528.533156
TUN,98.35985363,11657.40207,35196.99284,60884.7494,88153.55263,95987.65525
UGA,18.86530876,747.3123885,1697.177502,2986.55451,3559.134668,3594.721983
ZMB,84.24654598,1095.363655,8189.356215,13438.96251,17222.28779,17627.87624
ZWE,39.15937608,918.8207581,3303.964685,14130.37263,16935.00557,17059.50721
