"dates","cases"
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,4
2020-03-27,4
2020-03-28,5
2020-03-29,7
2020-03-30,7
2020-03-31,7
2020-04-01,8
2020-04-02,8
2020-04-03,8
2020-04-04,10
2020-04-05,14
2020-04-06,16
2020-04-07,17
2020-04-08,19
2020-04-09,19
2020-04-10,19
2020-04-11,19
2020-04-12,19
2020-04-13,19
2020-04-14,19
2020-04-15,19
2020-04-16,19
2020-04-17,19
2020-04-18,24
2020-04-19,24
2020-04-20,24
2020-04-21,24
2020-04-22,25
2020-04-23,25
2020-04-24,25
2020-04-25,25
2020-04-26,26
2020-04-27,27
2020-04-28,27
2020-04-29,27
2020-04-30,27
2020-05-01,30
2020-05-02,35
2020-05-03,35
2020-05-04,35
2020-05-05,36
2020-05-06,36
2020-05-07,36
2020-05-08,43
2020-05-09,43
2020-05-10,45
2020-05-11,45
2020-05-12,45
2020-05-13,45
2020-05-14,48
2020-05-15,48
2020-05-16,48
2020-05-17,48
2020-05-18,50
2020-05-19,52
2020-05-20,52
2020-05-21,58
2020-05-22,60
2020-05-23,61
2020-05-24,69
2020-05-25,70
2020-05-26,70
2020-05-27,71
2020-05-28,74
2020-05-29,81
2020-05-30,84
2020-05-31,86
2020-06-01,86
2020-06-02,86
2020-06-03,86
2020-06-04,86
2020-06-05,86
2020-06-06,88
2020-06-07,91
2020-06-08,92
2020-06-09,96
2020-06-10,113
2020-06-11,118
2020-06-12,130
2020-06-13,138
2020-06-14,140
2020-06-15,142
2020-06-16,148
2020-06-17,155
2020-06-18,166
2020-06-19,172
2020-06-20,176
2020-06-21,183
2020-06-22,186
2020-06-23,189
2020-06-24,197
2020-06-25,212
2020-06-26,212
2020-06-27,259
2020-06-28,267
2020-06-29,276
2020-06-30,284
2020-07-01,291
2020-07-02,315
2020-07-03,328
2020-07-04,346
2020-07-05,346
2020-07-06,346
2020-07-07,386
2020-07-08,386
2020-07-09,396
2020-07-10,458
2020-07-11,462
2020-07-12,506
2020-07-13,525
2020-07-14,541
2020-07-15,576
2020-07-16,607
2020-07-17,638
2020-07-18,687
2020-07-19,705
2020-07-20,749
2020-07-21,779
2020-07-22,812
2020-07-23,851
2020-07-24,880
2020-07-25,916
2020-07-26,932
2020-07-27,950
2020-07-28,1000
2020-07-29,1078
2020-07-30,1109
2020-07-31,1148
2020-08-01,1164
2020-08-02,1199
2020-08-03,1280
2020-08-04,1344
2020-08-05,1395
2020-08-06,1483
2020-08-07,1538
2020-08-08,1572
2020-08-09,1672
2020-08-10,1679
2020-08-11,1735
2020-08-12,1762
2020-08-13,1815
2020-08-14,1852
2020-08-15,1879
2020-08-16,1906
2020-08-17,1935
2020-08-18,1966
2020-08-19,2015
2020-08-20,2044
2020-08-21,2068
2020-08-22,2134
2020-08-23,2171
2020-08-24,2222
2020-08-25,2283
2020-08-26,2332
2020-08-27,2415
2020-08-28,2471
2020-08-29,2551
2020-08-30,2624
2020-08-31,2654
2020-09-01,2729
2020-09-02,2777
2020-09-03,2805
2020-09-04,2876
2020-09-05,2935
2020-09-06,2965
2020-09-07,2981
2020-09-08,3033
2020-09-09,3092
2020-09-10,3217
2020-09-11,3279
2020-09-12,3335
2020-09-13,3388
2020-09-14,3439
2020-09-15,3569
2020-09-16,3675
2020-09-17,3789
2020-09-18,3848
2020-09-19,3901
2020-09-20,3991
2020-09-21,4117
2020-09-22,4236
2020-09-23,4363
2020-09-24,4475
2020-09-25,4590
2020-09-26,4672
2020-09-27,4718
2020-09-28,4797
2020-09-29,4905
2020-09-30,4972
2020-10-01,5114
2020-10-02,5211
2020-10-03,5370
2020-10-04,5402
2020-10-05,5530
2020-10-06,5725
2020-10-07,5725
2020-10-08,5958
2020-10-09,6031
2020-10-10,6246
2020-10-11,6366
2020-10-12,6488
2020-10-13,6680
2020-10-14,6846
2020-10-15,7096
2020-10-16,7222
2020-10-17,7462
2020-10-18,7622
2020-10-19,7829
2020-10-20,8049
2020-10-21,8338
2020-10-22,8582
2020-10-23,8829
2020-10-24,9026
2020-10-25,9381
2020-10-26,9644
2020-10-27,9871
2020-10-28,10074
2020-10-29,10269
2020-10-30,10558
2020-10-31,10805
2020-11-01,11035
2020-11-02,11228
2020-11-03,11577
2020-11-04,11813
2020-11-05,12102
2020-11-06,12223
2020-11-07,12335
2020-11-08,12433
2020-11-09,12680
2020-11-10,12816
2020-11-11,12953
2020-11-12,13053
2020-11-13,13228
2020-11-14,13374
2020-11-15,13451
2020-11-16,13615
2020-11-17,13818
2020-11-18,13922
2020-11-19,14134
2020-11-20,14267
2020-11-21,14413
2020-11-22,14493
2020-11-23,14634
2020-11-24,14742
2020-11-25,14821
2020-11-26,14920
2020-11-27,15008
2020-11-28,15087
2020-11-29,15103
2020-11-30,15139
2020-12-01,15251
2020-12-02,15319
2020-12-03,15361
2020-12-04,15493
2020-12-05,15536
2020-12-06,15591
2020-12-07,15648
2020-12-08,15729
2020-12-09,15804
2020-12-10,15925
2020-12-11,16061
2020-12-12,16161
2020-12-13,16188
2020-12-14,16277
2020-12-15,16362
2020-12-16,16407
2020-12-17,16484
2020-12-18,16562
2020-12-19,16626
2020-12-20,16644
2020-12-21,16686
2020-12-22,16802
2020-12-23,16931
2020-12-24,17029
2020-12-25,17099
2020-12-26,17149
2020-12-27,17240
2020-12-28,17296
2020-12-29,17371
2020-12-30,17433
2020-12-31,17553
2021-01-01,17568
2021-01-02,17608
2021-01-03,17642
2021-01-04,17684
2021-01-05,17756
2021-01-06,17864
2021-01-07,17974
2021-01-08,18066
2021-01-09,18156
2021-01-10,18193
2021-01-11,18254
2021-01-12,18343
2021-01-13,18425
2021-01-14,18613
2021-01-15,18679
2021-01-16,18765
2021-01-17,18875
2021-01-18,18926
2021-01-19,19011
2021-01-20,19093
2021-01-21,19177
2021-01-22,19269
2021-01-23,19367
2021-01-24,19399
2021-01-25,19476
2021-01-26,19553
2021-01-27,19580
2021-01-28,19672
2021-01-29,19723
2021-01-30,19782
2021-01-31,19796
2021-02-01,19829
2021-02-02,19900
2021-02-03,19937
2021-02-04,19996
2021-02-05,20030
2021-02-06,20062
2021-02-07,20086
2021-02-08,20112
2021-02-09,20163
2021-02-10,20210
2021-02-11,20261
2021-02-12,20294
2021-02-13,20329
2021-02-14,20366
2021-02-15,20381
2021-02-16,20389
2021-02-17,20400
2021-02-18,20452
2021-02-19,20478
2021-02-20,20499
2021-02-21,20519
2021-02-22,20548
2021-02-23,20584
2021-02-24,20640
2021-02-25,20695
2021-02-26,20759
2021-02-27,20782
2021-02-28,20807
2021-03-01,20854
2021-03-02,20882
2021-03-03,20923
2021-03-04,20981
2021-03-05,21026
2021-03-06,21055
2021-03-07,21086
2021-03-08,21108
2021-03-09,21114
2021-03-10,21161
2021-03-11,21205
2021-03-12,21265
2021-03-13,21323
2021-03-14,21380
2021-03-15,21407
2021-03-16,21446
2021-03-17,21489
2021-03-18,21558
2021-03-19,21642
