"dates","cases"
2020-03-31,2
2020-04-01,2
2020-04-02,3
2020-04-03,3
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-07,3
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,5
2020-04-12,5
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,5
2020-04-22,11
2020-04-23,11
2020-04-24,11
2020-04-25,11
2020-04-26,11
2020-04-27,11
2020-04-28,11
2020-04-29,11
2020-04-30,11
2020-05-01,11
2020-05-02,15
2020-05-03,15
2020-05-04,15
2020-05-05,15
2020-05-06,15
2020-05-07,15
2020-05-08,15
2020-05-09,15
2020-05-10,15
2020-05-11,15
2020-05-12,15
2020-05-13,15
2020-05-14,15
2020-05-15,15
2020-05-16,15
2020-05-17,23
2020-05-18,42
2020-05-19,42
2020-05-20,42
2020-05-21,42
2020-05-22,42
2020-05-23,42
2020-05-24,42
2020-05-25,42
2020-05-26,42
2020-05-27,42
2020-05-28,42
2020-05-29,42
2020-05-30,63
2020-05-31,63
2020-06-01,63
2020-06-02,63
2020-06-03,63
2020-06-04,63
2020-06-05,63
2020-06-06,83
2020-06-07,83
2020-06-08,83
2020-06-09,83
2020-06-10,83
2020-06-11,85
2020-06-12,85
2020-06-13,85
2020-06-14,85
2020-06-15,85
2020-06-16,104
2020-06-17,104
2020-06-18,104
2020-06-19,104
2020-06-20,104
2020-06-21,144
2020-06-22,144
2020-06-23,144
2020-06-24,144
2020-06-25,144
2020-06-26,144
2020-06-27,170
2020-06-28,170
2020-06-29,170
2020-06-30,170
2020-07-01,170
2020-07-02,170
2020-07-03,191
2020-07-04,191
2020-07-05,191
2020-07-06,191
2020-07-07,191
2020-07-08,191
2020-07-09,191
2020-07-10,191
2020-07-11,191
2020-07-12,191
2020-07-13,269
2020-07-14,269
2020-07-15,269
2020-07-16,303
2020-07-17,310
2020-07-18,310
2020-07-19,310
2020-07-20,322
2020-07-21,328
2020-07-22,328
2020-07-23,345
2020-07-24,345
2020-07-25,361
2020-07-26,361
2020-07-27,378
2020-07-28,378
2020-07-29,387
2020-07-30,387
2020-07-31,387
2020-08-01,395
2020-08-02,395
2020-08-03,395
2020-08-04,395
2020-08-05,395
2020-08-06,400
2020-08-07,400
2020-08-08,405
2020-08-09,408
2020-08-10,408
2020-08-11,408
2020-08-12,409
2020-08-13,410
2020-08-14,412
