"dates","cases"
2020-03-30,3
2020-03-31,4
2020-04-01,4
2020-04-02,4
2020-04-03,4
2020-04-04,4
2020-04-05,6
2020-04-06,6
2020-04-07,6
2020-04-08,6
2020-04-09,13
2020-04-10,13
2020-04-11,13
2020-04-12,13
2020-04-13,13
2020-04-14,13
2020-04-15,13
2020-04-16,15
2020-04-17,15
2020-04-18,15
2020-04-19,20
2020-04-20,20
2020-04-21,20
2020-04-22,22
2020-04-23,22
2020-04-24,22
2020-04-25,22
2020-04-26,22
2020-04-27,22
2020-04-28,23
2020-04-29,23
2020-04-30,23
2020-05-01,23
2020-05-02,23
2020-05-03,23
2020-05-04,23
2020-05-05,23
2020-05-06,23
2020-05-07,23
2020-05-08,23
2020-05-09,23
2020-05-10,23
2020-05-11,24
2020-05-12,24
2020-05-13,24
2020-05-14,24
2020-05-15,24
2020-05-16,24
2020-05-17,25
2020-05-18,25
2020-05-19,25
2020-05-20,25
2020-05-21,29
2020-05-22,30
2020-05-23,30
2020-05-24,35
2020-05-25,35
2020-05-26,35
2020-05-27,35
2020-05-28,35
2020-05-29,35
2020-05-30,35
2020-05-31,35
2020-06-01,38
2020-06-02,40
2020-06-03,40
2020-06-04,40
2020-06-05,40
2020-06-06,40
2020-06-07,40
2020-06-08,42
2020-06-09,42
2020-06-10,48
2020-06-11,48
2020-06-12,48
2020-06-13,60
2020-06-14,60
2020-06-15,60
2020-06-16,60
2020-06-17,79
2020-06-18,79
2020-06-19,89
2020-06-20,89
2020-06-21,89
2020-06-22,89
2020-06-23,89
2020-06-24,92
2020-06-25,92
2020-06-26,92
2020-06-27,92
2020-06-28,92
2020-06-29,175
2020-06-30,227
2020-07-01,227
2020-07-02,227
2020-07-03,277
2020-07-04,277
2020-07-05,277
2020-07-06,314
2020-07-07,314
2020-07-08,314
2020-07-09,314
2020-07-10,314
2020-07-11,314
2020-07-12,399
2020-07-13,399
2020-07-14,399
2020-07-15,399
2020-07-16,522
2020-07-17,522
2020-07-18,522
2020-07-19,522
2020-07-20,522
2020-07-21,522
2020-07-22,522
2020-07-23,592
2020-07-24,686
2020-07-25,686
2020-07-26,686
2020-07-27,739
2020-07-28,739
2020-07-29,804
2020-07-30,804
2020-07-31,804
2020-08-01,804
2020-08-02,804
2020-08-03,804
2020-08-04,804
2020-08-05,804
2020-08-06,804
2020-08-07,804
2020-08-08,804
2020-08-09,804
2020-08-10,1066
2020-08-11,1066
2020-08-12,1066
2020-08-13,1214
2020-08-14,1214
2020-08-15,1214
2020-08-16,1214
2020-08-17,1308
2020-08-18,1308
2020-08-19,1308
2020-08-20,1308
2020-08-21,1308
2020-08-22,1308
2020-08-23,1308
2020-08-24,1562
2020-08-25,1562
2020-08-26,1562
2020-08-27,1562
2020-08-28,1562
2020-08-29,1562
2020-08-30,1633
2020-08-31,1633
2020-09-01,1724
2020-09-02,1724
2020-09-03,1724
2020-09-04,2002
2020-09-05,2002
2020-09-06,2002
2020-09-07,2126
2020-09-08,2126
2020-09-09,2126
2020-09-10,2252
2020-09-11,2252
2020-09-12,2252
2020-09-13,2252
2020-09-14,2463
2020-09-15,2463
2020-09-16,2463
2020-09-17,2567
2020-09-18,2567
2020-09-19,2567
2020-09-20,2567
2020-09-21,2567
2020-09-22,2567
