"dates","cases"
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,3
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,8
2020-04-04,8
2020-04-05,8
2020-04-06,8
2020-04-07,8
2020-04-08,8
2020-04-09,8
2020-04-10,8
2020-04-11,8
2020-04-12,8
2020-04-13,11
2020-04-14,11
2020-04-15,12
2020-04-16,12
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,12
2020-04-21,14
2020-04-22,14
2020-04-23,16
2020-04-24,16
2020-04-25,16
2020-04-26,19
2020-04-27,19
2020-04-28,50
2020-04-29,50
2020-04-30,50
2020-05-01,72
2020-05-02,72
2020-05-03,72
2020-05-04,85
2020-05-05,85
2020-05-06,94
2020-05-07,94
2020-05-08,143
2020-05-09,143
2020-05-10,143
2020-05-11,143
2020-05-12,143
2020-05-13,143
2020-05-14,143
2020-05-15,301
2020-05-16,327
2020-05-17,327
2020-05-18,327
2020-05-19,366
2020-05-20,418
2020-05-21,436
2020-05-22,479
2020-05-23,552
2020-05-24,604
2020-05-25,652
2020-05-26,671
2020-05-27,702
2020-05-28,755
2020-05-29,874
2020-05-30,962
2020-05-31,1011
2020-06-01,1069
2020-06-02,1069
2020-06-03,1173
2020-06-04,1288
2020-06-05,1451
2020-06-06,1570
2020-06-07,1634
2020-06-08,1850
2020-06-09,1850
2020-06-10,1888
2020-06-11,1952
2020-06-12,2044
2020-06-13,2057
2020-06-14,2057
2020-06-15,2222
2020-06-16,2410
2020-06-17,2564
2020-06-18,2605
2020-06-19,2605
2020-06-20,2686
2020-06-21,2808
2020-06-22,2963
2020-06-23,3051
2020-06-24,3099
2020-06-25,3244
2020-06-26,3340
2020-06-27,3429
2020-06-28,3429
2020-06-29,3613
2020-06-30,3745
2020-07-01,3745
2020-07-02,3788
2020-07-03,3918
2020-07-04,3969
2020-07-05,3969
2020-07-06,4033
2020-07-07,4071
2020-07-08,4109
2020-07-09,4200
2020-07-10,4259
2020-07-11,4288
2020-07-12,4288
2020-07-13,4321
2020-07-14,4356
2020-07-15,4362
2020-07-16,4373
2020-07-17,4389
2020-07-18,4485
2020-07-19,4485
2020-07-20,4548
2020-07-21,4561
2020-07-22,4574
2020-07-23,4590
2020-07-24,4593
2020-07-25,4598
2020-07-26,4599
2020-07-27,4599
2020-07-28,4599
2020-07-29,4605
2020-07-30,4605
2020-07-31,4608
2020-08-01,4614
2020-08-02,4614
2020-08-03,4614
2020-08-04,4618
2020-08-05,4618
2020-08-06,4620
2020-08-07,4641
2020-08-08,4641
2020-08-09,4641
2020-08-10,4641
2020-08-11,4645
2020-08-12,4652
2020-08-13,4652
2020-08-14,4652
2020-08-15,4652
2020-08-16,4652
2020-08-17,4667
2020-08-18,4679
2020-08-19,4679
2020-08-20,4679
2020-08-21,4679
2020-08-22,4679
2020-08-23,4679
2020-08-24,4679
2020-08-25,4691
2020-08-26,4698
2020-08-27,4698
2020-08-28,4700
2020-08-29,4700
2020-08-30,4700
2020-08-31,4711
2020-09-01,4711
2020-09-02,4712
2020-09-03,4729
2020-09-04,4729
2020-09-05,4729
2020-09-06,4729
2020-09-07,4729
2020-09-08,4735
2020-09-09,4736
2020-09-10,4747
2020-09-11,4749
2020-09-12,4749
2020-09-13,4749
2020-09-14,4772
2020-09-15,4772
2020-09-16,4782
2020-09-17,4782
2020-09-18,4786
2020-09-19,4786
2020-09-20,4786
2020-09-21,4786
2020-09-22,4802
2020-09-23,4802
2020-09-24,4804
2020-09-25,4806
2020-09-26,4806
2020-09-27,4806
2020-09-28,4806
2020-09-29,4806
2020-09-30,4829
