"dates","cases"
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,4
2020-03-17,10
2020-03-18,10
2020-03-19,13
2020-03-20,20
2020-03-21,27
2020-03-22,40
2020-03-23,56
2020-03-24,66
2020-03-25,75
2020-03-26,75
2020-03-27,91
2020-03-28,91
2020-03-29,139
2020-03-30,139
2020-03-31,193
2020-04-01,233
2020-04-02,306
2020-04-03,509
2020-04-04,555
2020-04-05,650
2020-04-06,658
2020-04-07,658
2020-04-08,730
2020-04-09,730
2020-04-10,820
2020-04-11,820
2020-04-12,820
2020-04-13,820
2020-04-14,848
2020-04-15,848
2020-04-16,996
2020-04-17,996
2020-04-18,1017
2020-04-19,1017
2020-04-20,1163
2020-04-21,1163
2020-04-22,1163
2020-04-23,1334
2020-04-24,1430
2020-04-25,1518
2020-04-26,1621
2020-04-27,1705
2020-04-28,1705
2020-04-29,1832
2020-04-30,1832
2020-05-01,1832
2020-05-02,2077
2020-05-03,2077
2020-05-04,2104
2020-05-05,2104
2020-05-06,2265
2020-05-07,2267
2020-05-08,2267
2020-05-09,2274
2020-05-10,2579
2020-05-11,2689
2020-05-12,2689
2020-05-13,2800
2020-05-14,2954
2020-05-15,3105
2020-05-16,3105
2020-05-17,3105
2020-05-18,3529
2020-05-19,3529
2020-05-20,3733
2020-05-21,4288
2020-05-22,4400
2020-05-23,4400
2020-05-24,4890
2020-05-25,4890
2020-05-26,5436
2020-05-27,5436
2020-05-28,5436
2020-05-29,5436
2020-05-30,5904
2020-05-31,5904
2020-06-01,6397
2020-06-02,6585
2020-06-03,6585
2020-06-04,6789
2020-06-05,7392
2020-06-06,7599
2020-06-07,7908
2020-06-08,8060
2020-06-09,8312
2020-06-10,8681
2020-06-11,8681
2020-06-12,8681
2020-06-13,8681
2020-06-14,8681
2020-06-15,9864
2020-06-16,9864
2020-06-17,9864
2020-06-18,9864
2020-06-19,10638
2020-06-20,11610
2020-06-21,11892
2020-06-22,12041
2020-06-23,12270
2020-06-24,12592
2020-06-25,12592
2020-06-26,12592
2020-06-27,12592
2020-06-28,12592
2020-06-29,12592
2020-06-30,12592
2020-07-01,12592
