"dates","cases"
2020-04-30,1
2020-05-01,1
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,8
2020-05-07,8
2020-05-08,8
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,11
2020-05-13,11
2020-05-14,11
2020-05-15,11
2020-05-16,11
2020-05-17,11
2020-05-18,11
2020-05-19,11
2020-05-20,34
2020-05-21,34
2020-05-22,78
2020-05-23,78
2020-05-24,87
2020-05-25,87
2020-05-26,87
2020-05-27,87
2020-05-28,87
2020-05-29,87
2020-05-30,106
2020-05-31,106
2020-06-01,106
2020-06-02,132
2020-06-03,132
2020-06-04,132
2020-06-05,132
2020-06-06,141
2020-06-07,141
2020-06-08,141
2020-06-09,141
2020-06-10,162
2020-06-11,162
2020-06-12,163
2020-06-13,176
2020-06-14,176
2020-06-15,176
2020-06-16,197
2020-06-17,197
2020-06-18,210
2020-06-19,210
2020-06-20,247
2020-06-21,247
2020-06-22,247
2020-06-23,265
2020-06-24,265
2020-06-25,272
2020-06-26,272
2020-06-27,272
2020-06-28,272
2020-06-29,272
2020-06-30,303
2020-07-01,303
2020-07-02,303
2020-07-03,309
2020-07-04,309
2020-07-05,311
2020-07-06,311
2020-07-07,311
2020-07-08,313
2020-07-09,314
2020-07-10,314
2020-07-11,317
2020-07-12,317
2020-07-13,317
2020-07-14,321
2020-07-15,321
2020-07-16,328
2020-07-17,328
2020-07-18,328
2020-07-19,334
2020-07-20,334
2020-07-21,337
2020-07-22,337
2020-07-23,340
2020-07-24,340
2020-07-25,340
2020-07-26,354
2020-07-27,354
2020-07-28,354
2020-07-29,378
2020-07-30,378
2020-07-31,378
2020-08-01,386
2020-08-02,386
2020-08-03,386
2020-08-04,388
2020-08-05,388
2020-08-06,396
2020-08-07,396
2020-08-08,399
2020-08-09,399
2020-08-10,399
2020-08-11,399
2020-08-12,399
2020-08-13,399
2020-08-14,403
2020-08-15,403
2020-08-16,405
2020-08-17,405
2020-08-18,406
2020-08-19,406
2020-08-20,417
2020-08-21,417
2020-08-22,417
2020-08-23,417
2020-08-24,417
2020-08-25,417
2020-08-26,417
2020-08-27,422
2020-08-28,422
2020-08-29,423
2020-08-30,423
2020-08-31,423
2020-09-01,427
2020-09-02,427
2020-09-03,448
2020-09-04,448
2020-09-05,452
2020-09-06,452
2020-09-07,452
2020-09-08,456
2020-09-09,456
2020-09-10,456
2020-09-11,456
2020-09-12,456
2020-09-13,456
2020-09-14,457
2020-09-15,467
2020-09-16,467
2020-09-17,470
2020-09-18,470
2020-09-19,470
2020-09-20,470
2020-09-21,470
2020-09-22,470
2020-09-23,470
2020-09-24,474
2020-09-25,474
2020-09-26,478
2020-09-27,478
2020-09-28,478
2020-09-29,479
2020-09-30,479
2020-10-01,484
2020-10-02,484
2020-10-03,487
2020-10-04,487
2020-10-05,487
2020-10-06,491
2020-10-07,491
2020-10-08,495
2020-10-09,495
2020-10-10,495
2020-10-11,495
2020-10-12,495
2020-10-13,496
2020-10-14,496
2020-10-15,496
2020-10-16,502
2020-10-17,502
2020-10-18,502
2020-10-19,502
2020-10-20,504
2020-10-21,504
2020-10-22,517
2020-10-23,517
2020-10-24,517
2020-10-25,517
2020-10-26,517
2020-10-27,517
2020-10-28,517
2020-10-29,517
2020-10-30,537
2020-10-31,545
2020-11-01,545
2020-11-02,545
2020-11-03,545
2020-11-04,554
2020-11-05,557
2020-11-06,557
2020-11-07,563
2020-11-08,563
2020-11-09,563
2020-11-10,569
2020-11-11,569
2020-11-12,574
2020-11-13,574
2020-11-14,579
2020-11-15,579
2020-11-16,579
2020-11-17,591
2020-11-18,591
2020-11-19,592
2020-11-20,592
2020-11-21,596
2020-11-22,596
2020-11-23,596
2020-11-24,607
2020-11-25,607
2020-11-26,610
2020-11-27,610
2020-11-28,611
2020-11-29,611
2020-11-30,611
2020-12-01,613
2020-12-02,613
2020-12-03,615
2020-12-04,615
2020-12-05,616
2020-12-06,616
2020-12-07,616
2020-12-08,617
2020-12-09,617
2020-12-10,617
2020-12-11,617
2020-12-12,628
2020-12-13,628
2020-12-14,628
2020-12-15,633
2020-12-16,633
2020-12-17,643
2020-12-18,643
2020-12-19,643
2020-12-20,666
2020-12-21,666
2020-12-22,693
2020-12-23,693
2020-12-24,715
2020-12-25,715
2020-12-26,715
2020-12-27,715
2020-12-28,715
2020-12-29,765
2020-12-30,765
2020-12-31,823
2021-01-01,823
2021-01-02,864
2021-01-03,864
2021-01-04,864
2021-01-05,995
2021-01-06,995
2021-01-07,1050
2021-01-08,1050
2021-01-09,1150
2021-01-10,1150
2021-01-11,1160
2021-01-12,1166
2021-01-13,1169
2021-01-14,1403
2021-01-15,1469
2021-01-16,1577
2021-01-17,1592
2021-01-18,1769
2021-01-19,1864
2021-01-20,1933
2021-01-21,1935
2021-01-22,2160
2021-01-23,2260
2021-01-24,2268
2021-01-25,2350
2021-01-26,2425
2021-01-27,2492
2021-01-28,2598
2021-01-29,2646
2021-01-30,2718
2021-01-31,2726
2021-02-01,2811
2021-02-02,2848
2021-02-03,2892
2021-02-04,2975
2021-02-05,3001
2021-02-06,3086
2021-02-07,3086
2021-02-08,3088
2021-02-09,3179
2021-02-10,3209
2021-02-11,3276
2021-02-12,3290
2021-02-13,3332
2021-02-14,3334
2021-02-15,3358
2021-02-16,3393
2021-02-17,3413
2021-02-18,3458
2021-02-19,3473
2021-02-20,3490
2021-02-21,3502
2021-02-22,3518
2021-02-23,3522
2021-02-24,3539
2021-02-25,3552
2021-02-26,3558
2021-02-27,3571
2021-02-28,3571
2021-03-01,3578
2021-03-02,3578
2021-03-03,3580
2021-03-04,3580
2021-03-05,3587
2021-03-06,3596
2021-03-07,3596
2021-03-08,3606
2021-03-09,3606
2021-03-10,3611
2021-03-11,3615
2021-03-12,3618
2021-03-13,3626
2021-03-14,3635
2021-03-15,3646
2021-03-16,3647
2021-03-17,3652
2021-03-18,3657
2021-03-19,3665
2021-03-20,3666
2021-03-21,3666
2021-03-22,3666
2021-03-23,3681
2021-03-24,3682
2021-03-25,3687
2021-03-26,3689
2021-03-27,3690
2021-03-28,3690
2021-03-29,3696
2021-03-30,3696
2021-03-31,3696
2021-04-01,3704
2021-04-02,3712
2021-04-03,3712
2021-04-04,3719
2021-04-05,3725
2021-04-06,3738
2021-04-07,3758
2021-04-08,3758
2021-04-09,3758
2021-04-10,3789
2021-04-11,3789
2021-04-12,3789
2021-04-13,3796
2021-04-14,3803
2021-04-15,3809
2021-04-16,3815
2021-04-17,3815
2021-04-18,3819
2021-04-19,3819
2021-04-20,3820
2021-04-21,3822
2021-04-22,3824
2021-04-23,3826
2021-04-24,3829
2021-04-25,3829
2021-04-26,3829
2021-04-27,3829
2021-04-28,3833
2021-04-29,3834
2021-04-30,3834
2021-05-01,3838
2021-05-02,3839
2021-05-03,3845
2021-05-04,3846
2021-05-05,3847
2021-05-06,3847
2021-05-07,3854
2021-05-08,3854
2021-05-09,3854
2021-05-10,3860
2021-05-11,3860
2021-05-12,3860
2021-05-13,3860
2021-05-14,3860
2021-05-15,3863
2021-05-16,3863
2021-05-17,3863
2021-05-18,3864
2021-05-19,3864
2021-05-20,3864
2021-05-21,3868
2021-05-22,3870
2021-05-23,3872
2021-05-24,3872
2021-05-25,3875
2021-05-26,3879
2021-05-27,3879
2021-05-28,3879
2021-05-29,3881
2021-05-30,3881
2021-05-31,3881
2021-06-01,3881
2021-06-02,3882
2021-06-03,3882
2021-06-04,3886
2021-06-05,3886
2021-06-06,3888
2021-06-07,3890
2021-06-08,3890
2021-06-09,3890
2021-06-10,3894
2021-06-11,3894
2021-06-12,3899
2021-06-13,3899
2021-06-14,3901
2021-06-15,3901
2021-06-16,3905
2021-06-17,3905
2021-06-18,3905
2021-06-19,3908
2021-06-20,3908
2021-06-21,3912
2021-06-22,3912
2021-06-23,3912
2021-06-24,3912
2021-06-25,3912
2021-06-26,3912
2021-06-27,3912
2021-06-28,3912
2021-06-29,3912
2021-06-30,3936
2021-07-01,3943
2021-07-02,3957
2021-07-03,3957
2021-07-04,3958
2021-07-05,3958
2021-07-06,3958
2021-07-07,3966
2021-07-08,3976
2021-07-09,3979
2021-07-10,3983
2021-07-11,3996
2021-07-12,3996
2021-07-13,3996
2021-07-14,3996
2021-07-15,4002
2021-07-16,4009
2021-07-17,4009
2021-07-18,4011
2021-07-19,4011
2021-07-20,4011
2021-07-21,4011
2021-07-22,4014
2021-07-23,4014
2021-07-24,4014
2021-07-25,4021
2021-07-26,4024
2021-07-27,4024
2021-07-28,4024
2021-07-29,4025
2021-07-30,4026
2021-07-31,4028
2021-08-01,4028
2021-08-02,4028
2021-08-03,4028
2021-08-04,4029
2021-08-05,4030
2021-08-06,4030
2021-08-07,4031
2021-08-08,4031
2021-08-09,4031
2021-08-10,4031
2021-08-11,4031
2021-08-12,4035
2021-08-13,4035
2021-08-14,4038
2021-08-15,4038
2021-08-16,4038
2021-08-17,4039
2021-08-18,4039
2021-08-19,4044
2021-08-20,4044
2021-08-21,4044
2021-08-22,4050
