"dates","cases"
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,4
2020-03-26,6
2020-03-27,6
2020-03-28,6
2020-03-29,12
2020-03-30,12
2020-03-31,15
2020-04-01,15
2020-04-02,22
2020-04-03,22
2020-04-04,29
2020-04-05,29
2020-04-06,31
2020-04-07,31
2020-04-08,33
2020-04-09,33
2020-04-10,34
2020-04-11,34
2020-04-12,34
2020-04-13,34
2020-04-14,34
2020-04-15,35
2020-04-16,35
2020-04-17,35
2020-04-18,39
2020-04-19,39
2020-04-20,39
2020-04-21,39
2020-04-22,39
2020-04-23,39
2020-04-24,39
2020-04-25,39
2020-04-26,39
2020-04-27,39
2020-04-28,39
2020-04-29,39
2020-04-30,39
2020-05-01,39
2020-05-02,39
2020-05-03,39
2020-05-04,39
2020-05-05,39
2020-05-06,39
2020-05-07,39
2020-05-08,39
2020-05-09,39
2020-05-10,39
2020-05-11,39
2020-05-12,39
2020-05-13,39
2020-05-14,39
2020-05-15,39
2020-05-16,39
2020-05-17,39
2020-05-18,39
2020-05-19,39
2020-05-20,39
2020-05-21,39
2020-05-22,39
2020-05-23,39
2020-05-24,39
2020-05-25,39
2020-05-26,39
2020-05-27,39
2020-05-28,39
2020-05-29,39
2020-05-30,39
2020-05-31,39
2020-06-01,39
2020-06-02,39
2020-06-03,39
2020-06-04,39
2020-06-05,39
2020-06-06,39
2020-06-07,39
2020-06-08,39
2020-06-09,39
2020-06-10,41
2020-06-11,41
2020-06-12,41
2020-06-13,65
2020-06-14,96
2020-06-15,109
2020-06-16,121
2020-06-17,131
2020-06-18,142
2020-06-19,142
2020-06-20,143
2020-06-21,143
2020-06-22,143
2020-06-23,143
2020-06-24,144
2020-06-25,144
2020-06-26,167
2020-06-27,191
2020-06-28,191
2020-06-29,191
2020-06-30,203
2020-07-01,203
2020-07-02,215
2020-07-03,215
2020-07-04,215
2020-07-05,215
2020-07-06,215
2020-07-07,215
2020-07-08,215
2020-07-09,232
2020-07-10,232
2020-07-11,232
2020-07-12,232
2020-07-13,232
2020-07-14,232
2020-07-15,232
2020-07-16,251
2020-07-17,251
2020-07-18,251
2020-07-19,251
2020-07-20,251
2020-07-21,251
2020-07-22,251
2020-07-23,261
2020-07-24,261
2020-07-25,263
2020-07-26,263
2020-07-27,265
2020-07-28,265
2020-07-29,265
2020-07-30,279
2020-07-31,279
2020-08-01,279
2020-08-02,279
2020-08-03,282
2020-08-04,282
2020-08-05,282
2020-08-06,282
2020-08-07,285
2020-08-08,285
2020-08-09,285
2020-08-10,285
2020-08-11,285
2020-08-12,285
2020-08-13,285
2020-08-14,285
2020-08-15,285
2020-08-16,285
2020-08-17,285
2020-08-18,304
2020-08-19,304
2020-08-20,306
2020-08-21,306
2020-08-22,306
2020-08-23,306
2020-08-24,306
2020-08-25,315
2020-08-26,315
2020-08-27,317
2020-08-28,317
2020-08-29,318
2020-08-30,318
2020-08-31,319
2020-09-01,319
2020-09-02,319
2020-09-03,330
2020-09-04,330
2020-09-05,330
2020-09-06,330
2020-09-07,330
2020-09-08,341
2020-09-09,341
2020-09-10,361
2020-09-11,361
2020-09-12,361
2020-09-13,361
2020-09-14,361
2020-09-15,364
2020-09-16,364
2020-09-17,364
2020-09-18,364
2020-09-19,364
2020-09-20,364
2020-09-21,364
2020-09-22,364
2020-09-23,364
2020-09-24,369
2020-09-25,369
2020-09-26,375
2020-09-27,375
2020-09-28,375
2020-09-29,375
2020-09-30,375
2020-10-01,381
2020-10-02,381
2020-10-03,398
2020-10-04,398
2020-10-05,398
2020-10-06,398
2020-10-07,398
2020-10-08,405
2020-10-09,405
2020-10-10,414
2020-10-11,414
2020-10-12,414
2020-10-13,414
2020-10-14,414
2020-10-15,422
2020-10-16,422
2020-10-17,452
2020-10-18,452
2020-10-19,452
2020-10-20,452
2020-10-21,452
2020-10-22,457
2020-10-23,461
2020-10-24,461
2020-10-25,461
2020-10-26,461
2020-10-27,461
