"dates","cases"
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,4
2020-03-27,8
2020-03-28,8
2020-03-29,16
2020-03-30,22
2020-03-31,22
2020-04-01,30
2020-04-02,52
2020-04-03,73
2020-04-04,111
2020-04-05,121
2020-04-06,128
2020-04-07,144
2020-04-08,164
2020-04-09,194
2020-04-10,212
2020-04-11,250
2020-04-12,250
2020-04-13,319
2020-04-14,363
2020-04-15,404
2020-04-16,438
2020-04-17,477
2020-04-18,518
2020-04-19,579
2020-04-20,622
2020-04-21,688
2020-04-22,761
2020-04-23,862
2020-04-24,954
2020-04-25,996
2020-04-26,996
2020-04-27,1163
2020-04-28,1240
2020-04-29,1351
2020-04-30,1495
2020-05-01,1537
2020-05-02,1586
2020-05-03,1586
2020-05-04,1710
2020-05-05,1811
2020-05-06,1856
2020-05-07,1927
2020-05-08,2009
2020-05-09,2042
2020-05-10,2146
2020-05-11,2146
2020-05-12,2298
2020-05-13,2374
2020-05-14,2473
2020-05-15,2473
2020-05-16,2658
2020-05-17,2658
2020-05-18,2796
2020-05-19,2863
2020-05-20,2863
2020-05-21,3067
2020-05-22,3067
2020-05-23,3176
2020-05-24,3275
2020-05-25,3275
2020-05-26,3275
2020-05-27,3275
2020-05-28,3553
2020-05-29,3656
2020-05-30,3706
2020-05-31,3706
2020-06-01,3844
2020-06-02,3886
2020-06-03,3933
2020-06-04,3991
2020-06-05,4060
2020-06-06,4117
2020-06-07,4117
2020-06-08,4216
2020-06-09,4258
2020-06-10,4258
2020-06-11,4372
2020-06-12,4426
2020-06-13,4484
2020-06-14,4532
2020-06-15,4572
2020-06-16,4639
2020-06-17,4668
2020-06-18,4841
2020-06-19,4904
2020-06-20,4960
2020-06-21,4988
2020-06-22,4988
2020-06-23,5040
2020-06-24,5174
2020-06-25,5174
2020-06-26,5260
2020-06-27,5291
2020-06-28,5342
2020-06-29,5351
2020-06-30,5391
2020-07-01,5404
2020-07-02,5450
2020-07-03,5521
2020-07-04,5570
2020-07-05,5610
2020-07-06,5610
2020-07-07,5636
2020-07-08,5697
2020-07-09,5881
2020-07-10,5969
2020-07-11,6044
2020-07-12,6141
2020-07-13,6141
2020-07-14,6200
2020-07-15,6276
2020-07-16,6359
2020-07-17,6430
2020-07-18,6491
2020-07-19,6544
2020-07-20,6590
2020-07-21,6652
2020-07-22,6747
2020-07-23,6806
2020-07-24,6867
2020-07-25,6927
2020-07-26,7008
2020-07-27,7055
2020-07-28,7126
2020-07-29,7183
2020-07-30,7242
2020-07-31,7308
2020-08-01,7308
2020-08-02,7317
2020-08-03,7364
2020-08-04,7489
2020-08-05,7575
2020-08-06,7664
2020-08-07,7777
2020-08-08,7875
2020-08-09,7930
2020-08-10,7930
2020-08-11,8018
2020-08-12,8116
2020-08-13,8198
2020-08-14,8260
2020-08-15,8343
2020-08-16,8482
2020-08-17,8620
2020-08-18,8715
2020-08-19,8792
