"dates","cases"
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,4
2020-04-03,4
2020-04-04,4
2020-04-05,4
2020-04-06,4
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,4
2020-04-11,9
2020-04-12,9
2020-04-13,9
2020-04-14,9
2020-04-15,9
2020-04-16,9
2020-04-17,9
2020-04-18,9
2020-04-19,10
2020-04-20,10
2020-04-21,10
2020-04-22,10
2020-04-23,10
2020-04-24,10
2020-04-25,10
2020-04-26,10
2020-04-27,10
2020-04-28,10
2020-04-29,10
2020-04-30,11
2020-05-01,12
2020-05-02,17
2020-05-03,17
2020-05-04,17
2020-05-05,17
2020-05-06,17
2020-05-07,18
2020-05-08,20
2020-05-09,20
2020-05-10,20
2020-05-11,22
2020-05-12,22
2020-05-13,23
2020-05-14,23
2020-05-15,23
2020-05-16,23
2020-05-17,23
2020-05-18,24
2020-05-19,24
2020-05-20,24
2020-05-21,24
2020-05-22,25
2020-05-23,25
2020-05-24,25
2020-05-25,25
2020-05-26,25
2020-05-27,25
2020-05-28,25
2020-05-29,25
2020-05-30,25
2020-05-31,25
2020-06-01,25
2020-06-02,25
2020-06-03,26
2020-06-04,26
2020-06-05,26
2020-06-06,26
2020-06-07,26
2020-06-08,28
2020-06-09,28
2020-06-10,28
2020-06-11,28
2020-06-12,28
2020-06-13,28
2020-06-14,28
2020-06-15,30
2020-06-16,34
2020-06-17,34
2020-06-18,36
2020-06-19,36
2020-06-20,37
2020-06-21,37
2020-06-22,41
2020-06-23,42
2020-06-24,42
2020-06-25,43
2020-06-26,43
2020-06-27,44
2020-06-28,45
2020-06-29,47
2020-06-30,49
2020-07-01,49
2020-07-02,55
2020-07-03,55
2020-07-04,57
2020-07-05,57
2020-07-06,61
2020-07-07,61
2020-07-08,61
2020-07-09,63
2020-07-10,64
2020-07-11,64
2020-07-12,64
2020-07-13,64
2020-07-14,64
2020-07-15,64
2020-07-16,78
2020-07-17,78
2020-07-18,93
2020-07-19,93
2020-07-20,112
2020-07-21,112
2020-07-22,146
2020-07-23,170
2020-07-24,216
2020-07-25,277
2020-07-26,277
2020-07-27,326
2020-07-28,326
2020-07-29,326
2020-07-30,403
2020-07-31,498
2020-08-01,498
2020-08-02,498
2020-08-03,498
2020-08-04,671
2020-08-05,799
2020-08-06,935
2020-08-07,1090
2020-08-08,1090
2020-08-09,1235
2020-08-10,1235
2020-08-11,1346
2020-08-12,1477
2020-08-13,1556
2020-08-14,1623
2020-08-15,1689
2020-08-16,1872
2020-08-17,1872
2020-08-18,2116
2020-08-19,2288
2020-08-20,2401
2020-08-21,2437
2020-08-22,2437
2020-08-23,2685
2020-08-24,2585
2020-08-25,2686
2020-08-26,2708
2020-08-27,2743
2020-08-28,2797
2020-08-29,2895
2020-08-30,2963
2020-08-31,2963
2020-09-01,3029
2020-09-02,3067
2020-09-03,3101
2020-09-04,3120
2020-09-05,3150
2020-09-06,3197
2020-09-07,3197
2020-09-08,3275
2020-09-09,3293
2020-09-10,3330
2020-09-11,3362
2020-09-12,3376
2020-09-13,3405
2020-09-14,3405
2020-09-15,3428
2020-09-16,3440
2020-09-17,3473
2020-09-18,3485
2020-09-19,3504
2020-09-20,3526
2020-09-21,3526
2020-09-22,3540
2020-09-23,3542
2020-09-24,3552
2020-09-25,3555
2020-09-26,3555
2020-09-27,3569
2020-09-28,3569
2020-09-29,3579
2020-09-30,3579
2020-10-01,3584
2020-10-02,3585
2020-10-03,3590
2020-10-04,3594
2020-10-05,3594
2020-10-06,3613
2020-10-07,3613
2020-10-08,3617
2020-10-09,3621
2020-10-10,3628
2020-10-11,3632
2020-10-12,3636
2020-10-13,3636
2020-10-14,3642
2020-10-15,3644
2020-10-16,3649
2020-10-17,3649
2020-10-18,3649
2020-10-19,3649
2020-10-20,3655
2020-10-21,3657
2020-10-22,3659
2020-10-23,3659
2020-10-24,3659
2020-10-25,3660
2020-10-26,3665
2020-10-27,3666
2020-10-28,3666
2020-10-29,3666
2020-10-30,3670
2020-10-31,3672
2020-11-01,3672
2020-11-02,3672
2020-11-03,3679
2020-11-04,3680
2020-11-05,3681
2020-11-06,3684
2020-11-07,3684
2020-11-08,3684
2020-11-09,3696
2020-11-10,3696
2020-11-11,3697
2020-11-12,3697
2020-11-13,3698
2020-11-14,3702
2020-11-15,3702
2020-11-16,3705
2020-11-17,3705
2020-11-18,3705
2020-11-19,3705
2020-11-20,3706
2020-11-21,3726
2020-11-22,3726
2020-11-23,3726
2020-11-24,3726
2020-11-25,3727
2020-11-26,3728
2020-11-27,3731
2020-11-28,3731
2020-11-29,3734
2020-11-30,3742
2020-12-01,3743
2020-12-02,3765
2020-12-03,3767
2020-12-04,3768
2020-12-05,3770
2020-12-06,3770
2020-12-07,3770
2020-12-08,3776
2020-12-09,3776
2020-12-10,3777
2020-12-11,3779
2020-12-12,3779
2020-12-13,3782
2020-12-14,3782
2020-12-15,3785
2020-12-16,3786
2020-12-17,3786
2020-12-18,3786
2020-12-19,3786
2020-12-20,3786
2020-12-21,3786
2020-12-22,3791
2020-12-23,3791
2020-12-24,3791
2020-12-25,3791
2020-12-26,3791
2020-12-27,3793
2020-12-28,3793
2020-12-29,3797
2020-12-30,3797
2020-12-31,3797
2021-01-01,3800
2021-01-02,3800
2021-01-03,3800
2021-01-04,3800
2021-01-05,3812
2021-01-06,3812
2021-01-07,3833
2021-01-08,3838
2021-01-09,3841
2021-01-10,3857
2021-01-11,3857
2021-01-12,3876
2021-01-13,3885
2021-01-14,3893
2021-01-15,3897
2021-01-16,3897
2021-01-17,3910
2021-01-18,3933
2021-01-19,3938
2021-01-20,3938
2021-01-21,3950
2021-01-22,3958
2021-01-23,3958
2021-01-24,3972
2021-01-25,4008
2021-01-26,4012
2021-01-27,4019
2021-01-28,4019
2021-01-29,4019
2021-01-30,4090
2021-01-31,4090
2021-02-01,4139
2021-02-02,4139
2021-02-03,4184
2021-02-04,4184
2021-02-05,4184
2021-02-06,4237
2021-02-07,4237
2021-02-08,4302
2021-02-09,4302
2021-02-10,4302
2021-02-11,4302
2021-02-12,4302
2021-02-13,4302
2021-02-14,4414
2021-02-15,4414
2021-02-16,4469
2021-02-17,4469
2021-02-18,4510
2021-02-19,4543
2021-02-20,4554
2021-02-21,4554
2021-02-22,4554
2021-02-23,4612
2021-02-24,4640
2021-02-25,4671
2021-02-26,4691
2021-02-27,4691
2021-02-28,4712
2021-03-01,4712
2021-03-02,4712
2021-03-03,4735
2021-03-04,4759
2021-03-05,4759
2021-03-06,4759
2021-03-07,4759
2021-03-08,4792
2021-03-09,4792
2021-03-10,4792
2021-03-11,4792
2021-03-12,4939
2021-03-13,4985
2021-03-14,4985
2021-03-15,5019
2021-03-16,5019
2021-03-17,5085
2021-03-18,5122
2021-03-19,5153
2021-03-20,5153
2021-03-21,5255
2021-03-22,5255
2021-03-23,5255
2021-03-24,5303
2021-03-25,5303
2021-03-26,5365
2021-03-27,5365
2021-03-28,5401
2021-03-29,5420
2021-03-30,5447
2021-03-31,5459
2021-04-01,5459
2021-04-02,5459
2021-04-03,5505
2021-04-04,5505
2021-04-05,5505
2021-04-06,5564
2021-04-07,5564
2021-04-08,5564
2021-04-09,5564
2021-04-10,5602
2021-04-11,5602
2021-04-12,5602
2021-04-13,5602
2021-04-14,5682
2021-04-15,5694
2021-04-16,5720
2021-04-17,5720
2021-04-18,5720
2021-04-19,5720
2021-04-20,5784
2021-04-21,5788
2021-04-22,5820
2021-04-23,5820
2021-04-24,5857
2021-04-25,5857
2021-04-26,5857
2021-04-27,5882
2021-04-28,5885
2021-04-29,5887
2021-04-30,5898
2021-05-01,5898
2021-05-02,5901
2021-05-03,5901
2021-05-04,5914
2021-05-05,5914
2021-05-06,5925
2021-05-07,5925
2021-05-08,5925
2021-05-09,5929
2021-05-10,5929
2021-05-11,5934
2021-05-12,5934
2021-05-13,5934
2021-05-14,5940
2021-05-15,5940
2021-05-16,5940
2021-05-17,5957
2021-05-18,5957
2021-05-19,5966
2021-05-20,5968
2021-05-21,5968
2021-05-22,5968
2021-05-23,5968
2021-05-24,5978
2021-05-25,5978
2021-05-26,5978
2021-05-27,5990
2021-05-28,5990
2021-05-29,5990
2021-05-30,5990
2021-05-31,5993
2021-06-01,5993
2021-06-02,5993
2021-06-03,5995
2021-06-04,5999
2021-06-05,5999
2021-06-06,5999
2021-06-07,6002
2021-06-08,6002
2021-06-09,6002
2021-06-10,6002
2021-06-11,6008
2021-06-12,6008
2021-06-13,6008
2021-06-14,6016
2021-06-15,6016
2021-06-16,6024
2021-06-17,6024
2021-06-18,6024
2021-06-19,6024
2021-06-20,6024
2021-06-21,6045
2021-06-22,6045
2021-06-23,6045
2021-06-24,6054
2021-06-25,6065
2021-06-26,6069
2021-06-27,6069
2021-06-28,6069
2021-06-29,6079
2021-06-30,6079
2021-07-01,6079
2021-07-02,6079
2021-07-03,6079
2021-07-04,6079
2021-07-05,6116
2021-07-06,6116
2021-07-07,6116
2021-07-08,6183
2021-07-09,6183
2021-07-10,6282
2021-07-11,6282
2021-07-12,6328
2021-07-13,6414
2021-07-14,6521
2021-07-15,6610
2021-07-16,6610
2021-07-17,6610
2021-07-18,6920
2021-07-19,6920
2021-07-20,6920
2021-07-21,6920
2021-07-22,7161
2021-07-23,7161
2021-07-24,7333
2021-07-25,7333
2021-07-26,7333
2021-07-27,7333
2021-07-28,7709
2021-07-29,7709
2021-07-30,7709
2021-07-31,7709
2021-08-01,7709
2021-08-02,7709
2021-08-03,8296
2021-08-04,8392
