"dates","cases"
2020-03-13,1
2020-03-14,1
2020-03-15,3
2020-03-16,3
2020-03-17,3
2020-03-18,3
2020-03-19,7
2020-03-20,7
2020-03-21,7
2020-03-22,15
2020-03-23,16
2020-03-24,25
2020-03-25,28
2020-03-26,31
2020-03-27,31
2020-03-28,38
2020-03-29,42
2020-03-30,50
2020-03-31,59
2020-04-01,81
2020-04-02,110
2020-04-03,122
2020-04-04,126
2020-04-05,142
2020-04-06,158
2020-04-07,172
2020-04-08,179
2020-04-09,184
2020-04-10,189
2020-04-11,191
2020-04-12,197
2020-04-13,208
2020-04-14,216
2020-04-15,225
2020-04-16,234
2020-04-17,246
2020-04-18,262
2020-04-19,270
2020-04-20,281
2020-04-21,296
2020-04-22,303
2020-04-23,320
2020-04-24,336
2020-04-25,343
2020-04-26,355
2020-04-27,363
2020-04-28,374
2020-04-29,384
2020-04-30,396
2020-05-01,411
2020-05-02,435
2020-05-03,465
2020-05-04,490
2020-05-05,535
2020-05-06,582
2020-05-07,607
2020-05-08,621
2020-05-09,649
2020-05-10,672
2020-05-11,700
2020-05-12,715
2020-05-13,737
2020-05-14,758
2020-05-15,781
2020-05-16,830
2020-05-17,887
2020-05-18,912
2020-05-19,963
2020-05-20,1029
2020-05-21,1109
2020-05-22,1161
2020-05-23,1192
2020-05-24,1214
2020-05-25,1286
2020-05-26,1348
2020-05-27,1471
2020-05-28,1618
2020-05-29,1745
2020-05-30,1888
2020-05-31,1962
2020-06-01,2021
2020-06-02,2093
2020-06-03,2216
2020-06-04,2340
2020-06-05,2474
2020-06-06,2600
2020-06-07,2767
2020-06-08,2872
2020-06-09,2989
2020-06-10,3094
2020-06-11,3215
2020-06-12,3305
2020-06-13,3457
2020-06-14,3594
2020-06-15,3727
2020-06-16,3860
2020-06-17,4044
2020-06-18,4257
2020-06-19,4374
2020-06-20,4478
2020-06-21,4738
2020-06-22,4797
2020-06-23,4952
2020-06-24,5206
2020-06-25,5384
2020-06-26,5533
2020-06-27,5811
2020-06-28,6070
2020-06-29,6190
2020-06-30,6366
2020-07-01,6673
2020-07-02,6941
2020-07-03,7188
2020-07-04,7577
2020-07-05,7886
2020-07-06,8067
2020-07-07,8250
2020-07-08,8528
2020-07-09,8975
2020-07-10,9448
2020-07-11,9726
2020-07-12,10105
2020-07-13,10294
2020-07-14,10791
2020-07-15,11252
2020-07-16,11673
2020-07-17,12062
2020-07-18,12750
2020-07-19,13353
2020-07-20,13771
2020-07-21,14168
2020-07-22,14805
2020-07-23,15601
2020-07-24,16268
2020-07-25,16643
2020-07-26,17603
2020-07-27,17975
2020-07-28,18581
2020-07-29,19125
2020-07-30,19913
2020-07-31,20636
2020-08-01,21363
2020-08-02,22053
2020-08-03,22597
2020-08-04,23202
2020-08-05,23873
2020-08-06,24411
2020-08-07,25138
2020-08-08,25837
2020-08-09,26436
2020-08-10,26928
2020-08-11,27425
2020-08-12,28104
2020-08-13,28754
2020-08-14,29334
2020-08-15,29849
2020-08-16,30120
2020-08-17,30365
2020-08-18,30636
2020-08-19,31015
2020-08-20,31441
2020-08-21,31763
