"dates","cases"
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,3
2020-03-29,8
2020-03-30,8
2020-03-31,10
2020-04-01,10
2020-04-02,11
2020-04-03,11
2020-04-04,18
2020-04-05,18
2020-04-06,19
2020-04-07,20
2020-04-08,21
2020-04-09,24
2020-04-10,24
2020-04-11,24
2020-04-12,25
2020-04-13,26
2020-04-14,35
2020-04-15,48
2020-04-16,49
2020-04-17,49
2020-04-18,49
2020-04-19,51
2020-04-20,51
2020-04-21,51
2020-04-22,59
2020-04-23,60
2020-04-24,61
2020-04-25,61
2020-04-26,61
2020-04-27,61
2020-04-28,61
2020-04-29,61
2020-04-30,61
2020-05-01,63
2020-05-02,63
2020-05-03,63
2020-05-04,63
2020-05-05,63
2020-05-06,64
2020-05-07,64
2020-05-08,64
2020-05-09,64
2020-05-10,64
2020-05-11,64
2020-05-12,64
2020-05-13,64
2020-05-14,64
2020-05-15,64
2020-05-16,65
2020-05-17,65
2020-05-18,65
2020-05-19,68
2020-05-20,69
2020-05-21,71
2020-05-22,72
2020-05-23,75
2020-05-24,75
2020-05-25,75
2020-05-26,77
2020-05-27,99
2020-05-28,105
2020-05-29,118
2020-05-30,130
2020-05-31,156
2020-06-01,168
2020-06-02,182
2020-06-03,196
2020-06-04,209
2020-06-05,239
2020-06-06,256
2020-06-07,256
2020-06-08,332
2020-06-09,359
2020-06-10,378
2020-06-11,393
2020-06-12,409
2020-06-13,418
2020-06-14,454
2020-06-15,467
2020-06-16,484
2020-06-17,500
2020-06-18,510
2020-06-19,520
2020-06-20,544
2020-06-21,571
2020-06-22,595
2020-06-23,639
2020-06-24,670
2020-06-25,698
2020-06-26,713
2020-06-27,727
2020-06-28,762
2020-06-29,802
2020-06-30,824
2020-07-01,874
2020-07-02,891
2020-07-03,918
2020-07-04,989
2020-07-05,1046
2020-07-06,1117
2020-07-07,1182
2020-07-08,1268
2020-07-09,1342
2020-07-10,1342
2020-07-11,1389
2020-07-12,1433
2020-07-13,1512
2020-07-14,1563
2020-07-15,1589
2020-07-16,1652
2020-07-17,1704
2020-07-18,1791
2020-07-19,1866
2020-07-20,1980
2020-07-21,2088
2020-07-22,2176
2020-07-23,2314
2020-07-24,2424
2020-07-25,2547
2020-07-26,2669
2020-07-27,2827
2020-07-28,3017
2020-07-29,3222
2020-07-30,3438
2020-07-31,3621
2020-08-01,3691
2020-08-02,3837
2020-08-03,4063
2020-08-04,4224
2020-08-05,4475
2020-08-06,4879
2020-08-07,5079
2020-08-08,5232
2020-08-09,5451
2020-08-10,5929
2020-08-11,6302
2020-08-12,6611
2020-08-13,7050
2020-08-14,7327
2020-08-15,7738
2020-08-16,8172
2020-08-17,8579
2020-08-18,9068
2020-08-19,9463
2020-08-20,9707
2020-08-21,10121
2020-08-22,10437
2020-08-23,10437
2020-08-24,11009
2020-08-25,11281
2020-08-26,11834
2020-08-27,12274
2020-08-28,12629
2020-08-29,12958
2020-08-30,13423
2020-08-31,13966
2020-09-01,14624
2020-09-02,15156
2020-09-03,15773
2020-09-04,16445
2020-09-05,17094
2020-09-06,17749
2020-09-07,18834
2020-09-08,19583
2020-09-09,20462
2020-09-10,20939
2020-09-11,21908
2020-09-12,22348
2020-09-13,22781
2020-09-14,23515
2020-09-15,24144
2020-09-16,24936
2020-09-17,25822
2020-09-18,26438
2020-09-19,27234
2020-09-20,27949
2020-09-21,28796
2020-09-22,29446
2020-09-23,30097
2020-09-24,30632
2020-09-25,31290
2020-09-26,31828
2020-09-27,32364
2020-09-28,33213
2020-09-29,34014
2020-09-30,34525
2020-10-01,35208
2020-10-02,35717
2020-10-03,36087
2020-10-04,36809
2020-10-05,37437
2020-10-06,38468
2020-10-07,39513
2020-10-08,40292
2020-10-09,41368
2020-10-10,41686
2020-10-11,42712
2020-10-12,43821
2020-10-13,44985
2020-10-14,45821
2020-10-15,46676
2020-10-16,47845
2020-10-17,47845
2020-10-18,48790
