"dates","cases"
2020-05-13,1
2020-05-14,1
2020-05-15,1
2020-05-16,1
2020-05-17,1
2020-05-18,1
2020-05-19,1
2020-05-20,1
2020-05-21,1
2020-05-22,2
2020-05-23,2
2020-05-24,2
2020-05-25,2
2020-05-26,2
2020-05-27,2
2020-05-28,2
2020-05-29,2
2020-05-30,2
2020-05-31,2
2020-06-01,2
2020-06-02,2
2020-06-03,4
2020-06-04,4
2020-06-05,4
2020-06-06,4
2020-06-07,4
2020-06-08,4
2020-06-09,4
2020-06-10,4
2020-06-11,4
2020-06-12,4
2020-06-13,4
2020-06-14,4
2020-06-15,4
2020-06-16,4
2020-06-17,4
2020-06-18,4
2020-06-19,4
2020-06-20,4
2020-06-21,4
2020-06-22,12
2020-06-23,17
2020-06-24,17
2020-06-25,17
2020-06-26,24
2020-06-27,24
2020-06-28,27
2020-06-29,27
2020-06-30,27
2020-07-01,35
2020-07-02,35
2020-07-03,35
2020-07-04,35
2020-07-05,79
2020-07-06,91
2020-07-07,91
2020-07-08,91
2020-07-09,134
2020-07-10,184
2020-07-11,184
2020-07-12,233
2020-07-13,245
2020-07-14,256
2020-07-15,256
2020-07-16,256
2020-07-17,311
2020-07-18,359
2020-07-19,359
2020-07-20,359
2020-07-21,359
2020-07-22,359
2020-07-23,359
2020-07-24,359
2020-07-25,419
2020-07-26,505
2020-07-27,505
2020-07-28,505
2020-07-29,576
2020-07-30,604
2020-07-31,604
2020-08-01,702
2020-08-02,718
2020-08-03,718
2020-08-04,726
2020-08-05,726
2020-08-06,742
2020-08-07,742
2020-08-08,742
2020-08-09,742
2020-08-10,781
2020-08-11,781
2020-08-12,798
2020-08-13,884
2020-08-14,884
2020-08-15,903
2020-08-16,903
2020-08-17,946
2020-08-18,946
2020-08-19,946
2020-08-20,996
2020-08-21,1015
2020-08-22,1015
2020-08-23,1015
2020-08-24,1015
2020-08-25,1049
2020-08-26,1051
2020-08-27,1051
2020-08-28,1051
2020-08-29,1051
2020-08-30,1085
2020-08-31,1085
2020-09-01,1085
2020-09-02,1085
2020-09-03,1085
2020-09-04,1148
2020-09-05,1148
2020-09-06,1148
2020-09-07,1148
2020-09-08,1148
2020-09-09,1164
2020-09-10,1164
2020-09-11,1245
2020-09-12,1245
2020-09-13,1245
2020-09-14,1245
2020-09-15,1327
2020-09-16,1327
2020-09-17,1327
2020-09-18,1390
2020-09-19,1390
2020-09-20,1424
2020-09-21,1424
2020-09-22,1424
2020-09-23,1507
2020-09-24,1554
2020-09-25,1558
2020-09-26,1558
2020-09-27,1558
2020-09-28,1565
2020-09-29,1576
2020-09-30,1595
2020-10-01,1639
2020-10-02,1680
2020-10-03,1680
2020-10-04,1683
2020-10-05,1683
2020-10-06,1683
2020-10-07,1767
2020-10-08,1786
2020-10-09,1800
2020-10-10,1800
2020-10-11,1805
2020-10-12,1805
2020-10-13,1822
2020-10-14,1833
2020-10-15,1833
2020-10-16,1833
2020-10-17,1833
2020-10-18,1833
2020-10-19,1833
2020-10-20,1918
2020-10-21,1918
2020-10-22,1923
2020-10-23,1934
2020-10-24,1940
2020-10-25,1940
2020-10-26,1943
2020-10-27,1947
2020-10-28,1947
2020-10-29,1947
2020-10-30,1953
2020-10-31,1953
2020-11-01,1953
2020-11-02,1961
2020-11-03,1961
2020-11-04,1963
2020-11-05,1963
2020-11-06,1967
2020-11-07,1967
2020-11-08,1967
2020-11-09,1967
2020-11-10,2026
2020-11-11,2026
2020-11-12,2026
2020-11-13,2041
2020-11-14,2041
2020-11-15,2041
2020-11-16,2041
2020-11-17,2052
2020-11-18,2058
2020-11-19,2065
2020-11-20,2066
2020-11-21,2085
2020-11-22,2086
2020-11-23,2086
2020-11-24,2092
2020-11-25,2092
2020-11-26,2109
2020-11-27,2109
2020-11-28,2109
2020-11-29,2109
2020-11-30,2109
2020-12-01,2137
2020-12-02,2142
2020-12-03,2145
2020-12-04,2150
2020-12-05,2150
2020-12-06,2150
2020-12-07,2150
2020-12-08,2150
2020-12-09,2164
2020-12-10,2178
2020-12-11,2214
2020-12-12,2250
2020-12-13,2250
2020-12-14,2277
2020-12-15,2307
2020-12-16,2365
2020-12-17,2400
2020-12-18,2546
2020-12-19,2546
2020-12-20,2546
2020-12-21,2546
2020-12-22,2546
2020-12-23,2725
2020-12-24,2725
2020-12-25,2725
2020-12-26,2725
2020-12-27,2725
2020-12-28,2956
2020-12-29,3005
2020-12-30,3094
2020-12-31,3094
2021-01-01,3206
2021-01-02,3206
2021-01-03,3206
2021-01-04,3206
2021-01-05,3206
2021-01-06,4137
2021-01-07,4351
2021-01-08,5170
2021-01-09,5203
2021-01-10,5937
2021-01-11,5937
2021-01-12,5937
2021-01-13,6241
2021-01-14,6356
2021-01-15,6371
2021-01-16,6371
2021-01-17,6371
2021-01-18,7018
2021-01-19,7018
2021-01-20,7035
