"dates","cases"
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,3
2020-03-11,5
2020-03-12,6
2020-03-13,7
2020-03-14,17
2020-03-15,28
2020-03-16,29
2020-03-17,38
2020-03-18,49
2020-03-19,63
2020-03-20,77
2020-03-21,96
2020-03-22,115
2020-03-23,143
2020-03-24,170
2020-03-25,225
2020-03-26,275
2020-03-27,345
2020-03-28,402
2020-03-29,479
2020-03-30,556
2020-03-31,617
2020-04-01,654
2020-04-02,708
2020-04-03,791
2020-04-04,919
2020-04-05,1021
2020-04-06,1120
2020-04-07,1184
2020-04-08,1275
2020-04-09,1374
2020-04-10,1448
2020-04-11,1545
2020-04-12,1661
2020-04-13,1763
2020-04-14,1888
2020-04-15,2024
2020-04-16,2283
2020-04-17,2564
2020-04-18,2685
2020-04-19,2855
2020-04-20,3046
2020-04-21,3209
2020-04-22,3446
2020-04-23,3568
2020-04-24,3758
2020-04-25,3897
2020-04-26,4065
2020-04-27,4120
2020-04-28,4252
2020-04-29,4321
2020-04-30,4423
2020-05-01,4569
2020-05-02,4729
2020-05-03,4903
2020-05-04,5053
2020-05-05,5219
2020-05-06,5408
2020-05-07,5548
2020-05-08,5711
2020-05-09,5910
2020-05-10,6063
2020-05-11,6281
2020-05-12,6418
2020-05-13,6512
2020-05-14,6607
2020-05-15,6652
2020-05-16,6741
2020-05-17,6870
2020-05-18,6952
2020-05-19,7023
2020-05-20,7133
2020-05-21,7211
2020-05-22,7332
2020-05-23,7406
2020-05-24,7433
2020-05-25,7532
2020-05-26,7577
2020-05-27,7601
2020-05-28,7643
2020-05-29,7714
2020-05-30,7780
2020-05-31,7807
2020-06-01,7833
2020-06-02,7866
2020-06-03,7922
2020-06-04,8003
2020-06-05,8071
2020-06-06,8151
2020-06-07,8224
2020-06-08,8302
2020-06-09,8437
2020-06-10,8508
2020-06-11,8537
2020-06-12,8610
2020-06-13,8692
2020-06-14,8793
2020-06-15,8885
2020-06-16,8931
2020-06-17,8997
2020-06-18,9074
2020-06-19,9613
2020-06-20,9839
2020-06-21,9977
2020-06-22,10172
2020-06-23,10344
2020-06-24,10907
2020-06-25,11338
2020-06-26,11633
2020-06-27,11877
2020-06-28,12052
2020-06-29,12290
2020-06-30,12533
2020-07-01,12636
2020-07-02,12969
2020-07-03,13288
2020-07-04,13822
2020-07-05,14215
2020-07-06,14379
2020-07-07,14607
2020-07-08,14771
2020-07-09,15079
2020-07-10,15328
2020-07-11,15542
2020-07-12,15745
2020-07-13,15936
2020-07-14,16097
2020-07-15,16262
2020-07-16,16545
2020-07-17,16726
2020-07-18,17015
2020-07-19,17236
2020-07-20,17562
2020-07-21,17742
2020-07-22,17962
2020-07-23,18264
2020-07-24,18834
2020-07-25,19645
2020-07-26,20278
2020-07-27,20887
2020-07-28,21387
2020-07-29,22213
2020-07-30,23259
2020-07-31,24322
2020-08-01,25015
2020-08-02,25537
2020-08-03,26196
2020-08-04,27217
2020-08-05,28500
2020-08-06,29644
2020-08-07,30662
2020-08-08,32007
2020-08-09,33237
2020-08-10,34063
2020-08-11,35195
2020-08-12,36694
2020-08-13,37935
2020-08-14,39241
2020-08-15,41017
2020-08-16,42489
2020-08-17,43558
2020-08-18,44803
2020-08-19,46313
2020-08-20,47638
2020-08-21,49247
2020-08-22,50812
2020-08-23,52349
2020-08-24,53252
2020-08-25,54528
2020-08-26,55864
2020-08-27,57085
2020-08-28,58489
2020-08-29,60056
2020-08-30,61399
2020-08-31,62590
2020-09-01,63781
2020-09-02,65453
2020-09-03,66855
2020-09-04,68605
2020-09-05,70160
2020-09-06,72394
2020-09-07,73780
2020-09-08,75721
2020-09-09,77878
2020-09-10,79767
2020-09-11,82197
2020-09-12,84435
2020-09-13,86686
2020-09-14,88203
2020-09-15,90324
2020-09-16,92016
2020-09-17,94504
2020-09-18,97264
2020-09-19,99816
2020-09-20,101743
2020-09-21,103119
2020-09-22,105346
2020-09-23,107743
2020-09-24,110099
2020-09-25,112522
2020-09-26,115241
2020-09-27,117685
2020-09-28,119107
2020-09-29,121183
2020-09-30,123653
2020-10-01,126044
2020-10-02,128565
2020-10-03,131228
2020-10-04,133272
2020-10-05,134695
2020-10-06,137248
2020-10-07,140024
2020-10-08,142953
2020-10-09,146398
2020-10-10,149841
2020-10-11,152404
2020-10-12,153761
2020-10-13,156946
2020-10-14,160333
2020-10-15,163650
2020-10-16,167148
2020-10-17,170911
2020-10-18,173632
2020-10-19,175749
2020-10-20,179003
2020-10-21,182580
2020-10-22,186731
2020-10-23,190416
2020-10-24,194461
2020-10-25,197481
2020-10-26,199745
2020-10-27,203733
2020-10-28,207718
2020-10-29,212038
2020-10-30,215294
2020-10-31,219084
2020-11-01,222544
2020-11-02,225070
2020-11-03,229565
2020-11-04,235310
2020-11-05,240951
2020-11-06,246349
2020-11-07,252185
2020-11-08,256781
2020-11-09,259951
2020-11-10,265165
2020-11-11,270626
2020-11-12,276821
2020-11-13,282336
2020-11-14,288211
2020-11-15,293177
2020-11-16,296189
2020-11-17,301604
2020-11-18,306995
2020-11-19,311554
2020-11-20,316260
2020-11-21,320962
2020-11-22,324941
2020-11-23,327528
2020-11-24,331527
2020-11-25,336506
2020-11-26,340684
2020-11-27,345276
2020-11-28,349688
2020-11-29,353803
2020-11-30,356336
2020-12-01,359844
2020-12-02,364190
2020-12-03,368624
2020-12-04,372620
2020-12-05,376738
2020-12-06,379657
2020-12-07,381188
2020-12-08,384088
2020-12-09,388184
2020-12-10,391529
2020-12-11,394564
2020-12-12,397597
2020-12-13,399609
2020-12-14,400826
2020-12-15,403619
2020-12-16,406970
2020-12-17,409746
2020-12-18,412393
2020-12-19,415226
2020-12-20,417125
2020-12-21,418002
2020-12-22,420648
2020-12-23,423214
2020-12-24,425864
2020-12-25,428193
2020-12-26,430562
2020-12-27,432079
2020-12-28,433029
2020-12-29,435189
2020-12-30,437332
2020-12-31,439193
2021-01-01,440970
2021-01-02,442141
2021-01-03,443146
2021-01-04,443802
2021-01-05,445439
2021-01-06,447081
2021-01-07,448678
2021-01-08,450221
2021-01-09,451637
2021-01-10,452532
2021-01-11,452988
2021-01-12,453789
2021-01-13,455055
2021-01-14,456334
2021-01-15,457625
2021-01-16,458865
2021-01-17,459671
2021-01-18,460144
2021-01-19,461390
2021-01-20,462542
2021-01-21,463706
2021-01-22,464844
2021-01-23,465769
2021-01-24,466289
2021-01-25,466626
2021-01-26,467493
2021-01-27,468383
2021-01-28,469139
2021-01-29,469990
2021-01-30,470691
2021-01-31,471157
2021-02-01,471438
2021-02-02,472273
2021-02-03,473047
2021-02-04,473667
2021-02-05,474379
2021-02-06,474966
2021-02-07,475355
2021-02-08,475589
2021-02-09,476125
2021-02-10,476689
2021-02-11,477160
2021-02-12,477656
2021-02-13,478135
2021-02-14,478474
2021-02-15,478595
2021-02-16,479071
2021-02-17,479579
2021-02-18,480056
2021-02-19,480504
2021-02-20,480948
2021-02-21,481155
2021-02-22,481263
2021-02-23,481709
2021-02-24,482128
2021-02-25,482514
2021-02-26,482994
2021-02-27,483410
2021-02-28,483654
2021-03-01,483766
2021-03-02,484159
2021-03-03,484753
2021-03-04,485147
2021-03-05,485567
2021-03-06,485974
2021-03-07,486223
2021-03-08,486325
2021-03-09,486833
2021-03-10,487286
2021-03-11,487750
2021-03-12,488181
2021-03-13,488632
2021-03-14,488937
2021-03-15,489096
2021-03-16,489622
2021-03-17,490088
2021-03-18,490575
2021-03-19,491019
2021-03-20,491463
2021-03-21,491709
2021-03-22,491834
2021-03-23,492403
2021-03-24,492842
2021-03-25,493353
2021-03-26,493867
2021-03-27,494358
2021-03-28,494659
2021-03-29,494756
2021-03-30,495421
2021-03-31,496097
2021-04-01,496676
2021-04-02,497257
2021-04-03,497832
2021-04-04,498197
2021-04-05,498329
2021-04-06,499025
2021-04-07,499688
2021-04-08,500323
2021-04-09,500948
2021-04-10,501688
2021-04-11,502102
2021-04-12,502277
2021-04-13,502961
2021-04-14,503664
2021-04-15,504260
2021-04-16,504847
2021-04-17,505447
2021-04-18,505811
2021-04-19,505949
2021-04-20,506669
2021-04-21,507338
2021-04-22,507938
2021-04-23,508530
2021-04-24,509037
2021-04-25,509363
2021-04-26,509465
2021-04-27,509972
2021-04-28,510465
2021-04-29,510886
2021-04-30,511249
2021-05-01,511562
2021-05-02,511856
2021-05-03,511912
2021-05-04,512285
2021-05-05,512656
2021-05-06,513016
2021-05-07,513314
2021-05-08,513628
2021-05-09,513864
2021-05-10,513922
2021-05-11,514164
2021-05-12,514432
2021-05-13,514670
2021-05-14,514705
2021-05-15,514817
2021-05-16,514944
2021-05-17,515023
2021-05-18,515420
2021-05-19,515758
2021-05-20,516091
2021-05-21,516449
2021-05-22,516812
2021-05-23,517023
2021-05-24,517113
2021-05-25,517423
2021-05-26,517808
2021-05-27,518122
2021-05-28,518458
2021-05-29,518868
2021-05-30,519108
2021-05-31,519216
2021-06-01,519610
2021-06-02,520028
2021-06-03,520423
2021-06-04,520769
2021-06-05,521195
2021-06-06,521426
2021-06-07,521530
2021-06-08,522003
2021-06-09,522389
2021-06-10,522765
2021-06-11,523165
2021-06-12,523620
2021-06-13,523890
2021-06-14,523999
2021-06-15,524475
2021-06-16,524975
2021-06-17,525443
2021-06-18,525924
2021-06-19,526363
2021-06-20,526651
2021-06-21,526737
2021-06-22,527174
2021-06-23,527696
2021-06-24,528180
2021-06-25,528731
2021-06-26,529224
2021-06-27,529676
2021-06-28,529895
2021-06-29,530585
2021-06-30,531361
2021-07-01,532150
2021-07-02,532994
2021-07-03,533945
2021-07-04,534550
2021-07-05,534797
2021-07-06,535974
2021-07-07,537253
2021-07-08,538589
2021-07-09,539839
2021-07-10,541405
2021-07-11,542462
2021-07-12,543119
2021-07-13,545016
2021-07-14,547273
2021-07-15,549844
2021-07-16,552635
2021-07-17,555488
2021-07-18,557632
2021-07-19,558785
2021-07-20,562416
2021-07-21,566356
2021-07-22,567758
2021-07-23,569668
2021-07-24,575162
2021-07-25,579272
2021-07-26,581477
2021-07-27,588448
2021-07-28,597876
2021-07-29,606871
2021-07-30,615999
2021-07-31,623528
2021-08-01,629717
2021-08-02,633923
2021-08-03,642683
2021-08-04,653286
2021-08-05,665325
2021-08-06,676683
2021-08-07,687292
2021-08-08,696282
2021-08-09,701325
2021-08-10,711103
2021-08-11,720256
2021-08-12,731084
2021-08-13,741836
2021-08-14,752076
2021-08-15,759456
2021-08-16,763353
2021-08-17,772394
2021-08-18,782097
2021-08-19,791559
2021-08-20,799775
2021-08-21,806288
2021-08-22,810949
2021-08-23,813945
2021-08-24,821129
2021-08-25,829137
2021-08-26,836494
2021-08-27,843357
2021-08-28,849532
2021-08-29,853373
2021-08-30,856049
2021-08-31,860948
2021-09-01,866968
2021-09-02,872351
2021-09-03,876732
2021-09-04,881042
2021-09-05,884085
2021-09-06,886008
2021-09-07,889532
2021-09-08,893462
2021-09-09,896913
2021-09-10,899581
2021-09-11,902694
2021-09-12,904647
