"dates","cases"
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,3
2020-03-27,3
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,6
2020-04-01,6
2020-04-02,6
2020-04-03,6
2020-04-04,6
2020-04-05,6
2020-04-06,6
2020-04-07,6
2020-04-08,6
2020-04-09,7
2020-04-10,7
2020-04-11,7
2020-04-12,7
2020-04-13,7
2020-04-14,7
2020-04-15,7
2020-04-16,7
2020-04-17,7
2020-04-18,7
2020-04-19,7
2020-04-20,7
2020-04-21,7
2020-04-22,7
2020-04-23,7
2020-04-24,7
2020-04-25,7
2020-04-26,7
2020-04-27,7
2020-04-28,7
2020-04-29,8
2020-04-30,8
2020-05-01,8
2020-05-02,8
2020-05-03,8
2020-05-04,8
2020-05-05,8
2020-05-06,8
2020-05-07,8
2020-05-08,8
2020-05-09,8
2020-05-10,8
2020-05-11,8
2020-05-12,9
2020-05-13,15
2020-05-14,20
2020-05-15,29
2020-05-16,40
2020-05-17,62
2020-05-18,81
2020-05-19,131
2020-05-20,141
2020-05-21,173
2020-05-22,200
2020-05-23,227
2020-05-24,237
2020-05-25,262
2020-05-26,268
2020-05-27,292
2020-05-28,346
2020-05-29,423
2020-05-30,483
2020-05-31,530
2020-06-01,588
2020-06-02,668
2020-06-03,745
2020-06-04,784
2020-06-05,883
2020-06-06,947
2020-06-07,1049
2020-06-08,1104
2020-06-09,1162
2020-06-10,1283
2020-06-11,1439
2020-06-12,1572
2020-06-13,1682
2020-06-14,1783
2020-06-15,1887
2020-06-16,2057
2020-06-17,2223
2020-06-18,2424
2020-06-19,2621
2020-06-20,2813
2020-06-21,2984
2020-06-22,3121
2020-06-23,3292
2020-06-24,3519
2020-06-25,3739
2020-06-26,3907
2020-06-27,4025
2020-06-28,4149
2020-06-29,4237
2020-06-30,4363
2020-07-01,4472
2020-07-02,4606
2020-07-03,4705
2020-07-04,4827
2020-07-05,4879
2020-07-06,4948
2020-07-07,5024
2020-07-08,5087
2020-07-09,5126
2020-07-10,5203
2020-07-11,5275
2020-07-12,5355
2020-07-13,5446
2020-07-14,5518
2020-07-15,5564
2020-07-16,5659
2020-07-17,5710
2020-07-18,5813
2020-07-19,5873
2020-07-20,5923
2020-07-21,5985
2020-07-22,6027
2020-07-23,6067
2020-07-24,6116
2020-07-25,6151
2020-07-26,6171
2020-07-27,6208
2020-07-28,6249
2020-07-29,6273
2020-07-30,6295
2020-07-31,6310
2020-08-01,6319
2020-08-02,6323
2020-08-03,6382
2020-08-04,6418
2020-08-05,6444
2020-08-06,6444
2020-08-07,6498
2020-08-08,6510
2020-08-09,6523
2020-08-10,6555
2020-08-11,6598
2020-08-12,6622
2020-08-13,6653
2020-08-14,6676
2020-08-15,6693
2020-08-16,6701
2020-08-17,6762
2020-08-18,6789
2020-08-19,6829
2020-08-20,6848
2020-08-21,6885
2020-08-22,6894
2020-08-23,6905
2020-08-24,6928
2020-08-25,6960
2020-08-26,6977
2020-08-27,6993
2020-08-28,7012
2020-08-29,7012
2020-08-30,7016
2020-08-31,7048
2020-09-01,7075
2020-09-02,7089
2020-09-03,7106
2020-09-04,7126
2020-09-05,7134
2020-09-06,7142
2020-09-07,7165
2020-09-08,7165
2020-09-09,7191
2020-09-10,7222
2020-09-11,7266
2020-09-12,7274
2020-09-13,7276
2020-09-14,7295
2020-09-15,7319
2020-09-16,7332
2020-09-17,7346
2020-09-18,7361
2020-09-19,7365
2020-09-20,7368
2020-09-21,7384
2020-09-22,7403
2020-09-23,7425
2020-09-24,7433
2020-09-25,7457
2020-09-26,7462
2020-09-27,7464
2020-09-28,7474
2020-09-29,7488
2020-09-30,7502
2020-10-01,7505
2020-10-02,7511
2020-10-03,7517
2020-10-04,7520
2020-10-05,7523
2020-10-06,7529
2020-10-07,7535
2020-10-08,7540
2020-10-09,7548
2020-10-10,7550
2020-10-11,7550
2020-10-12,7554
2020-10-13,7565
2020-10-14,7572
2020-10-15,7585
2020-10-16,7603
2020-10-17,7607
2020-10-18,7608
2020-10-19,7621
2020-10-20,7634
2020-10-21,7638
2020-10-22,7650
2020-10-23,7662
2020-10-24,7663
2020-10-25,7664
2020-10-26,7677
2020-10-27,7680
