"dates","cases"
2020-03-18,3
2020-03-19,3
2020-03-20,7
2020-03-21,12
2020-03-22,14
2020-03-23,24
2020-03-24,36
2020-03-25,42
2020-03-26,48
2020-03-27,82
2020-03-28,94
2020-03-29,102
2020-03-30,107
2020-03-31,125
2020-04-01,143
2020-04-02,154
2020-04-03,171
2020-04-04,186
2020-04-05,196
2020-04-06,227
2020-04-07,244
2020-04-08,268
2020-04-09,273
2020-04-10,314
2020-04-11,318
2020-04-12,319
2020-04-13,324
2020-04-14,324
2020-04-15,324
2020-04-16,324
2020-04-17,324
2020-04-18,324
2020-04-19,325
2020-04-20,328
2020-04-21,328
2020-04-22,328
2020-04-23,329
2020-04-24,331
2020-04-25,331
2020-04-26,331
2020-04-27,332
2020-04-28,332
2020-04-29,332
2020-04-30,332
2020-05-01,332
2020-05-02,332
2020-05-03,332
2020-05-04,332
2020-05-05,332
2020-05-06,332
2020-05-07,332
2020-05-08,332
2020-05-09,332
2020-05-10,332
2020-05-11,332
2020-05-12,332
2020-05-13,332
2020-05-14,332
2020-05-15,332
2020-05-16,332
2020-05-17,332
2020-05-18,332
2020-05-19,332
2020-05-20,332
2020-05-21,332
2020-05-22,332
2020-05-23,332
2020-05-24,332
2020-05-25,334
2020-05-26,334
2020-05-27,334
2020-05-28,334
2020-05-29,334
2020-05-30,335
2020-05-31,335
2020-06-01,335
2020-06-02,335
2020-06-03,335
2020-06-04,335
2020-06-05,335
2020-06-06,337
2020-06-07,337
2020-06-08,337
2020-06-09,337
2020-06-10,337
2020-06-11,337
2020-06-12,337
2020-06-13,337
2020-06-14,337
2020-06-15,337
2020-06-16,337
2020-06-17,337
2020-06-18,337
2020-06-19,337
2020-06-20,337
2020-06-21,337
2020-06-22,337
2020-06-23,340
2020-06-24,340
2020-06-25,341
2020-06-26,341
2020-06-27,341
2020-06-28,341
2020-06-29,341
2020-06-30,341
2020-07-01,341
2020-07-02,341
2020-07-03,341
2020-07-04,341
2020-07-05,341
2020-07-06,341
2020-07-07,342
2020-07-08,342
2020-07-09,342
2020-07-10,342
2020-07-11,342
2020-07-12,342
2020-07-13,342
2020-07-14,343
2020-07-15,343
2020-07-16,343
2020-07-17,343
2020-07-18,343
2020-07-19,343
2020-07-20,343
2020-07-21,343
2020-07-22,343
2020-07-23,343
2020-07-24,343
2020-07-25,344
2020-07-26,344
2020-07-27,344
2020-07-28,344
2020-07-29,344
2020-07-30,344
2020-07-31,344
2020-08-01,344
2020-08-02,344
2020-08-03,344
2020-08-04,344
2020-08-05,344
2020-08-06,344
