"dates","cases"
2020-04-02,3
2020-04-03,3
2020-04-04,4
2020-04-05,4
2020-04-06,5
2020-04-07,8
2020-04-08,8
2020-04-09,8
2020-04-10,9
2020-04-11,12
2020-04-12,13
2020-04-13,16
2020-04-14,16
2020-04-15,16
2020-04-16,16
2020-04-17,17
2020-04-18,17
2020-04-19,17
2020-04-20,17
2020-04-21,18
2020-04-22,23
2020-04-23,33
2020-04-24,33
2020-04-25,33
2020-04-26,34
2020-04-27,36
2020-04-28,36
2020-04-29,36
2020-04-30,37
2020-05-01,37
2020-05-02,38
2020-05-03,39
2020-05-04,41
2020-05-05,41
2020-05-06,43
2020-05-07,43
2020-05-08,43
2020-05-09,56
2020-05-10,56
2020-05-11,57
2020-05-12,57
2020-05-13,63
2020-05-14,63
2020-05-15,63
2020-05-16,65
2020-05-17,70
2020-05-18,70
2020-05-19,70
2020-05-20,71
2020-05-21,72
2020-05-22,82
2020-05-23,82
2020-05-24,83
2020-05-25,101
2020-05-26,101
2020-05-27,101
2020-05-28,203
2020-05-29,273
2020-05-30,279
2020-05-31,284
2020-06-01,336
2020-06-02,358
2020-06-03,369
2020-06-04,393
2020-06-05,409
2020-06-06,409
2020-06-07,438
2020-06-08,443
2020-06-09,455
2020-06-10,455
2020-06-11,481
2020-06-12,481
2020-06-13,529
2020-06-14,547
2020-06-15,555
2020-06-16,564
2020-06-17,572
2020-06-18,592
2020-06-19,620
2020-06-20,620
2020-06-21,730
2020-06-22,749
2020-06-23,803
2020-06-24,941
2020-06-25,960
2020-06-26,1005
2020-06-27,1038
2020-06-28,1146
2020-06-29,1152
2020-06-30,1224
2020-07-01,1265
2020-07-02,1342
2020-07-03,1498
2020-07-04,1613
2020-07-05,1613
2020-07-06,1742
2020-07-07,1818
2020-07-08,1864
2020-07-09,1942
2020-07-10,2069
2020-07-11,2261
2020-07-12,2364
2020-07-13,2430
2020-07-14,2497
2020-07-15,2614
2020-07-16,2712
2020-07-17,2805
2020-07-18,2810
2020-07-19,2907
2020-07-20,2992
2020-07-21,3045
2020-07-22,3302
2020-07-23,3302
2020-07-24,3453
2020-07-25,3453
2020-07-26,3640
2020-07-27,3664
2020-07-28,3709
2020-07-29,3738
2020-07-30,3858
2020-07-31,4078
2020-08-01,4186
2020-08-02,4231
2020-08-03,4272
2020-08-04,4361
2020-08-05,4426
2020-08-06,4491
2020-08-07,4575
2020-08-08,4624
2020-08-09,4658
2020-08-10,4674
2020-08-11,4714
2020-08-12,4752
2020-08-13,4912
2020-08-14,4988
2020-08-15,5026
2020-08-16,5072
2020-08-17,5125
2020-08-18,5193
2020-08-19,5240
2020-08-20,5282
2020-08-21,5322
2020-08-22,5382
2020-08-23,5414
2020-08-24,5419
2020-08-25,5423
2020-08-26,5474
2020-08-27,5496
2020-08-28,5523
2020-08-29,5528
2020-08-30,5536
2020-08-31,5566
2020-09-01,5576
2020-09-02,5579
2020-09-03,5593
2020-09-04,5608
2020-09-05,5611
2020-09-06,5614
2020-09-07,5621
2020-09-08,5630
2020-09-09,5653
2020-09-10,5655
2020-09-11,5669
2020-09-12,5678
2020-09-13,5690
2020-09-14,5697
2020-09-15,5701
2020-09-16,5704
2020-09-17,5711
2020-09-18,5716
2020-09-19,5718
2020-09-20,5731
2020-09-21,5733
2020-09-22,5739
2020-09-23,5746
2020-09-24,5747
2020-09-25,5764
2020-09-26,5766
2020-09-27,5768
2020-09-28,5770
2020-09-29,5772
2020-09-30,5773
2020-10-01,5779
2020-10-02,5783
2020-10-03,5783
2020-10-04,5786
2020-10-05,5794
2020-10-06,5796
2020-10-07,5803
2020-10-08,5809
2020-10-09,5813
2020-10-10,5821
2020-10-11,5821
2020-10-12,5824
2020-10-13,5827
2020-10-14,5829
2020-10-15,5836
2020-10-16,5842
2020-10-17,5852
2020-10-18,5857
2020-10-19,5860
2020-10-20,5861
2020-10-21,5864
2020-10-22,5874
2020-10-23,5885
2020-10-24,5887
2020-10-25,5890
2020-10-26,5894
2020-10-27,5897
2020-10-28,5904
2020-10-29,5916
2020-10-30,5923
