"dates","cases"
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,5
2020-03-29,5
2020-03-30,6
2020-03-31,7
2020-04-01,7
2020-04-02,7
2020-04-03,10
2020-04-04,10
2020-04-05,12
2020-04-06,12
2020-04-07,14
2020-04-08,14
2020-04-09,14
2020-04-10,15
2020-04-11,19
2020-04-12,19
2020-04-13,19
2020-04-14,29
2020-04-15,32
2020-04-16,32
2020-04-17,32
2020-04-18,66
2020-04-19,66
2020-04-20,92
2020-04-21,107
2020-04-22,140
2020-04-23,162
2020-04-24,174
2020-04-25,213
2020-04-26,237
2020-04-27,275
2020-04-28,318
2020-04-29,375
2020-04-30,375
2020-05-01,442
2020-05-02,533
2020-05-03,592
2020-05-04,678
2020-05-05,778
2020-05-06,852
2020-05-07,930
2020-05-08,930
2020-05-09,1111
2020-05-10,1164
2020-05-11,1365
2020-05-12,1526
2020-05-13,1660
2020-05-14,1818
2020-05-15,1964
2020-05-16,1964
2020-05-17,2289
2020-05-18,2591
2020-05-19,2591
2020-05-20,2728
2020-05-21,3138
2020-05-22,3138
2020-05-23,3378
2020-05-24,3634
2020-05-25,3826
2020-05-26,3976
2020-05-27,4146
2020-05-28,4346
2020-05-29,4346
2020-05-30,4521
2020-05-31,4800
2020-06-01,5026
2020-06-02,5173
2020-06-03,5310
2020-06-04,5499
2020-06-05,5714
2020-06-06,5866
2020-06-07,6081
2020-06-08,6081
2020-06-09,6242
2020-06-10,6427
2020-06-11,6582
2020-06-12,6730
2020-06-13,6879
2020-06-14,7007
2020-06-15,7220
2020-06-16,7435
2020-06-17,7740
2020-06-18,8020
2020-06-19,8020
2020-06-20,8416
2020-06-21,8580
2020-06-22,8698
2020-06-23,8796
2020-06-24,8887
2020-06-25,8887
2020-06-26,8982
2020-06-27,9257
2020-06-28,9314
2020-06-29,9320
2020-06-30,9372
2020-07-01,9500
2020-07-02,9573
2020-07-03,9689
2020-07-04,9689
2020-07-05,9767
2020-07-06,9767
2020-07-07,9894
2020-07-08,9997
2020-07-09,10084
2020-07-10,10204
2020-07-11,10204
2020-07-12,10250
2020-07-13,10250
2020-07-14,10316
2020-07-15,10417
2020-07-16,10527
2020-07-17,10527
2020-07-18,10527
2020-07-19,10762
2020-07-20,10992
2020-07-21,10992
2020-07-22,11127
2020-07-23,11237
2020-07-24,11302
2020-07-25,11302
2020-07-26,11385
2020-07-27,11424
2020-07-28,11496
2020-07-29,11579
2020-07-30,11579
2020-07-31,11579
2020-08-01,11644
2020-08-02,11738
2020-08-03,11738
2020-08-04,11780
2020-08-05,11780
2020-08-06,11850
2020-08-07,11894
2020-08-08,11894
2020-08-09,11956
2020-08-10,12033
2020-08-11,12033
2020-08-12,12115
2020-08-13,12162
2020-08-14,12211
2020-08-15,12314
2020-08-16,12410
2020-08-17,12485
2020-08-18,12546
2020-08-19,12582
2020-08-20,12623
2020-08-21,12682
2020-08-22,12836
2020-08-23,12903
2020-08-24,12974
2020-08-25,12974
2020-08-26,13045
2020-08-27,13082
2020-08-28,13189
2020-08-29,13189
2020-08-30,13189
2020-08-31,13189
2020-09-01,13189
2020-09-02,13189
2020-09-03,13189
2020-09-04,13189
2020-09-05,13407
2020-09-06,13437
2020-09-07,13437
2020-09-08,13470
2020-09-09,13470
2020-09-10,13470
2020-09-11,13516
2020-09-12,13532
2020-09-13,13532
2020-09-14,13532
2020-09-15,13535
2020-09-16,13535
2020-09-17,13535
2020-09-18,13555
2020-09-19,13555
2020-09-20,13555
2020-09-21,13576
2020-09-22,13578
2020-09-23,13578
2020-09-24,13592
2020-09-25,13604
2020-09-26,13606
2020-09-27,13610
2020-09-28,13613
2020-09-29,13640
2020-09-30,13646
2020-10-01,13653
2020-10-02,13657
2020-10-03,13658
2020-10-04,13660
2020-10-05,13660
2020-10-06,13668
2020-10-07,13668
2020-10-08,13670
2020-10-09,13673
2020-10-10,13682
2020-10-11,13685
2020-10-12,13691
2020-10-13,13691
2020-10-14,13697
2020-10-15,13697
2020-10-16,13700
2020-10-17,13700
2020-10-18,13711
2020-10-19,13724
2020-10-20,13724
2020-10-21,13728
2020-10-22,13728
2020-10-23,13733
2020-10-24,13733
