"dates","cases"
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,4
2020-04-05,6
2020-04-06,6
2020-04-07,6
2020-04-08,7
2020-04-09,7
2020-04-10,8
2020-04-11,8
2020-04-12,10
2020-04-13,10
2020-04-14,11
2020-04-15,13
2020-04-16,15
2020-04-17,26
2020-04-18,30
2020-04-19,35
2020-04-20,43
2020-04-21,50
2020-04-22,61
2020-04-23,64
2020-04-24,82
2020-04-25,82
2020-04-26,93
2020-04-27,93
2020-04-28,104
2020-04-29,104
2020-04-30,124
2020-05-01,136
2020-05-02,155
2020-05-03,166
2020-05-04,178
2020-05-05,199
2020-05-06,225
2020-05-07,231
2020-05-08,257
2020-05-09,291
2020-05-10,307
2020-05-11,338
2020-05-12,338
2020-05-13,387
2020-05-14,408
2020-05-15,447
2020-05-16,462
2020-05-17,505
2020-05-18,519
2020-05-19,534
2020-05-20,570
2020-05-21,585
2020-05-22,606
2020-05-23,621
2020-05-24,707
2020-05-25,735
2020-05-26,754
2020-05-27,782
2020-05-28,812
2020-05-29,829
2020-05-30,852
2020-05-31,861
2020-06-01,865
2020-06-02,896
2020-06-03,909
2020-06-04,914
2020-06-05,929
2020-06-06,946
2020-06-07,969
2020-06-08,1001
2020-06-09,1025
2020-06-10,1062
2020-06-11,1085
2020-06-12,1103
2020-06-13,1132
2020-06-14,1169
2020-06-15,1176
2020-06-16,1225
2020-06-17,1249
2020-06-18,1272
2020-06-19,1298
2020-06-20,1309
2020-06-21,1327
2020-06-22,1340
2020-06-23,1347
2020-06-24,1354
2020-06-25,1354
2020-06-26,1394
2020-06-27,1410
2020-06-28,1427
2020-06-29,1450
2020-06-30,1462
2020-07-01,1498
2020-07-02,1518
2020-07-03,1524
2020-07-04,1533
2020-07-05,1542
2020-07-06,1547
2020-07-07,1572
2020-07-08,1584
2020-07-09,1598
2020-07-10,1613
2020-07-11,1618
2020-07-12,1635
2020-07-13,1642
2020-07-14,1651
2020-07-15,1668
2020-07-16,1678
2020-07-17,1688
2020-07-18,1701
2020-07-19,1711
2020-07-20,1711
2020-07-21,1727
2020-07-22,1731
2020-07-23,1752
2020-07-24,1765
2020-07-25,1768
2020-07-26,1783
2020-07-27,1783
2020-07-28,1786
2020-07-29,1803
2020-07-30,1818
2020-07-31,1823
