"dates","cases"
2020-04-05,1
2020-04-06,1
2020-04-07,2
2020-04-08,2
2020-04-09,3
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,4
2020-04-14,4
2020-04-15,4
2020-04-16,4
2020-04-17,4
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,4
2020-04-22,4
2020-04-23,5
2020-04-24,5
2020-04-25,5
2020-04-26,6
2020-04-27,6
2020-04-28,34
2020-04-29,34
2020-04-30,35
2020-05-01,45
2020-05-02,45
2020-05-03,46
2020-05-04,46
2020-05-05,52
2020-05-06,58
2020-05-07,74
2020-05-08,120
2020-05-09,120
2020-05-10,120
2020-05-11,156
2020-05-12,194
2020-05-13,203
2020-05-14,203
2020-05-15,236
2020-05-16,236
2020-05-17,290
2020-05-18,290
2020-05-19,290
2020-05-20,290
2020-05-21,481
2020-05-22,563
2020-05-23,655
2020-05-24,655
2020-05-25,806
2020-05-26,806
2020-05-27,994
2020-05-28,994
2020-05-29,994
2020-05-30,994
2020-05-31,994
2020-06-01,994
2020-06-02,994
2020-06-03,994
2020-06-04,994
2020-06-05,994
2020-06-06,994
2020-06-07,1317
2020-06-08,1604
2020-06-09,1604
2020-06-10,1604
2020-06-11,1670
2020-06-12,1670
2020-06-13,1693
2020-06-14,1693
2020-06-15,1693
2020-06-16,1776
2020-06-17,1813
2020-06-18,1830
2020-06-19,1864
2020-06-20,1882
2020-06-21,1892
2020-06-22,1916
2020-06-23,1930
2020-06-24,1942
2020-06-25,1942
2020-06-26,1942
2020-06-27,1942
2020-06-28,1989
2020-06-29,1989
2020-06-30,2007
2020-07-01,2021
2020-07-02,2021
2020-07-03,2021
2020-07-04,2021
2020-07-05,2021
2020-07-06,2021
2020-07-07,2021
2020-07-08,2021
2020-07-09,2021
2020-07-10,2021
2020-07-11,2021
2020-07-12,2021
2020-07-13,2148
2020-07-14,2148
2020-07-15,2153
2020-07-16,2171
2020-07-17,2191
2020-07-18,2191
2020-07-19,2200
2020-07-20,2211
2020-07-21,2211
2020-07-22,2211
2020-07-23,2239
2020-07-24,2258
2020-07-25,2258
2020-07-26,2262
2020-07-27,2305
2020-07-28,2305
2020-07-29,2322
2020-07-30,2322
2020-07-31,2322
2020-08-01,2352
2020-08-02,2429
2020-08-03,2429
2020-08-04,2437
2020-08-05,2437
2020-08-06,2450
2020-08-07,2450
2020-08-08,2463
2020-08-09,2470
2020-08-10,2470
2020-08-11,2472
2020-08-12,2477
2020-08-13,2478
2020-08-14,2482
2020-08-15,2488
2020-08-16,2489
2020-08-17,2490
2020-08-18,2490
2020-08-19,2494
2020-08-20,2494
2020-08-21,2497
2020-08-22,2497
2020-08-23,2499
2020-08-24,2504
2020-08-25,2507
2020-08-26,2510
2020-08-27,2514
2020-08-28,2518
2020-08-29,2519
2020-08-30,2519
2020-08-31,2527
2020-09-01,2527
2020-09-02,2532
2020-09-03,2533
2020-09-04,2536
2020-09-05,2544
2020-09-06,2544
2020-09-07,2545
2020-09-08,2552
2020-09-09,2555
2020-09-10,2555
2020-09-11,2568
2020-09-12,2578
2020-09-13,2578
2020-09-14,2587
2020-09-15,2592
2020-09-16,2594
2020-09-17,2599
2020-09-18,2609
2020-09-19,2642
2020-09-20,2642
2020-09-21,2649
2020-09-22,2660
2020-09-23,2664
2020-09-24,2669
2020-09-25,2676
2020-09-26,2676
2020-09-27,2686
2020-09-28,2692
2020-09-29,2700
2020-09-30,2704
2020-10-01,2704
2020-10-02,2715
2020-10-03,2715
2020-10-04,2726
2020-10-05,2726
2020-10-06,2734
2020-10-07,2748
2020-10-08,2749
2020-10-09,2761
2020-10-10,2761
2020-10-11,2777
2020-10-12,2787
2020-10-13,2798
2020-10-14,2798
2020-10-15,2807
2020-10-16,2817
2020-10-17,2817
2020-10-18,2842
2020-10-19,2847
2020-10-20,2847
2020-10-21,2870
2020-10-22,2872
2020-10-23,2876
2020-10-24,2878
2020-10-25,2883
2020-10-26,2883
2020-10-27,2890
2020-10-28,2890
2020-10-29,2903
2020-10-30,2903
2020-10-31,2905
2020-11-01,2926
2020-11-02,2926
2020-11-03,2940
2020-11-04,2943
2020-11-05,2943
2020-11-06,2943
2020-11-07,2943
2020-11-08,2943
2020-11-09,2960
2020-11-10,2960
2020-11-11,2960
2020-11-12,2960
2020-11-13,2980
2020-11-14,3003
2020-11-15,3003
2020-11-16,3012
2020-11-17,3016
2020-11-18,3016
2020-11-19,3016
2020-11-20,3016
2020-11-21,3047
2020-11-22,3047
2020-11-23,3047
2020-11-24,3047
2020-11-25,3073
2020-11-26,3092
2020-11-27,3104
2020-11-28,3104
2020-11-29,3109
2020-11-30,3109
