"dates","cases"
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,9
2020-03-21,16
2020-03-22,16
2020-03-23,18
2020-03-24,20
2020-03-25,23
2020-03-26,23
2020-03-27,25
2020-03-28,25
2020-03-29,25
2020-03-30,30
2020-03-31,34
2020-04-01,36
2020-04-02,39
2020-04-03,40
2020-04-04,41
2020-04-05,44
2020-04-06,58
2020-04-07,65
2020-04-08,70
2020-04-09,73
2020-04-10,76
2020-04-11,76
2020-04-12,76
2020-04-13,77
2020-04-14,77
2020-04-15,81
2020-04-16,81
2020-04-17,83
2020-04-18,84
2020-04-19,84
2020-04-20,84
2020-04-21,86
2020-04-22,88
2020-04-23,88
2020-04-24,90
2020-04-25,96
2020-04-26,98
2020-04-27,98
2020-04-28,99
2020-04-29,109
2020-04-30,116
2020-05-01,123
2020-05-02,123
2020-05-03,124
2020-05-04,126
2020-05-05,128
2020-05-06,128
2020-05-07,135
2020-05-08,145
2020-05-09,153
2020-05-10,174
2020-05-11,181
2020-05-12,199
2020-05-13,219
2020-05-14,238
2020-05-15,263
2020-05-16,298
2020-05-17,301
2020-05-18,330
2020-05-19,338
2020-05-20,340
2020-05-21,354
2020-05-22,363
2020-05-23,373
2020-05-24,381
2020-05-25,386
2020-05-26,391
2020-05-27,395
2020-05-28,422
2020-05-29,428
2020-05-30,433
2020-05-31,442
2020-06-01,443
2020-06-02,445
2020-06-03,452
2020-06-04,465
2020-06-05,485
2020-06-06,487
2020-06-07,495
2020-06-08,497
2020-06-09,501
2020-06-10,522
2020-06-11,524
2020-06-12,525
2020-06-13,530
2020-06-14,530
2020-06-15,531
2020-06-16,537
2020-06-17,544
2020-06-18,547
2020-06-19,555
2020-06-20,561
2020-06-21,569
2020-06-22,569
2020-06-23,576
2020-06-24,583
2020-06-25,588
2020-06-26,591
2020-06-27,615
2020-06-28,642
2020-06-29,643
2020-06-30,650
2020-07-01,661
2020-07-02,667
2020-07-03,671
2020-07-04,676
2020-07-05,680
2020-07-06,680
2020-07-07,689
2020-07-08,695
2020-07-09,704
2020-07-10,710
