"dates","cases"
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,2
2020-03-10,5
2020-03-11,7
2020-03-12,7
2020-03-13,16
2020-03-14,18
2020-03-15,18
2020-03-16,20
2020-03-17,24
2020-03-18,29
2020-03-19,39
2020-03-20,54
2020-03-21,60
2020-03-22,75
2020-03-23,89
2020-03-24,114
2020-03-25,173
2020-03-26,197
2020-03-27,227
2020-03-28,278
2020-03-29,312
2020-03-30,312
2020-03-31,394
2020-04-01,423
2020-04-02,455
2020-04-03,495
2020-04-04,553
2020-04-05,574
2020-04-06,596
2020-04-07,623
2020-04-08,628
2020-04-09,643
2020-04-10,671
2020-04-11,685
2020-04-12,707
2020-04-13,726
2020-04-14,747
2020-04-15,780
2020-04-16,822
2020-04-17,864
2020-04-18,864
2020-04-19,879
2020-04-20,884
2020-04-21,884
2020-04-22,909
2020-04-23,918
2020-04-24,922
2020-04-25,939
2020-04-26,949
2020-04-27,967
2020-04-28,975
2020-04-29,980
2020-04-30,994
2020-05-01,998
2020-05-02,1009
2020-05-03,1013
2020-05-04,1018
2020-05-05,1022
2020-05-06,1025
2020-05-07,1026
2020-05-08,1030
2020-05-09,1032
2020-05-10,1032
2020-05-11,1032
2020-05-12,1032
2020-05-13,1032
2020-05-14,1032
2020-05-15,1035
2020-05-16,1037
2020-05-17,1037
2020-05-18,1043
2020-05-19,1044
2020-05-20,1045
2020-05-21,1046
2020-05-22,1048
2020-05-23,1048
2020-05-24,1051
2020-05-25,1051
2020-05-26,1051
2020-05-27,1051
2020-05-28,1068
2020-05-29,1071
2020-05-30,1076
2020-05-31,1077
2020-06-01,1084
2020-06-02,1086
2020-06-03,1087
2020-06-04,1087
2020-06-05,1087
2020-06-06,1087
2020-06-07,1087
2020-06-08,1087
2020-06-09,1087
2020-06-10,1087
2020-06-11,1087
2020-06-12,1093
2020-06-13,1094
2020-06-14,1096
2020-06-15,1110
2020-06-16,1125
2020-06-17,1128
2020-06-18,1132
2020-06-19,1146
2020-06-20,1156
2020-06-21,1157
2020-06-22,1159
2020-06-23,1159
2020-06-24,1160
2020-06-25,1162
2020-06-26,1164
2020-06-27,1168
2020-06-28,1169
2020-06-29,1172
2020-06-30,1174
2020-07-01,1175
2020-07-02,1178
2020-07-03,1181
2020-07-04,1186
2020-07-05,1188
2020-07-06,1199
2020-07-07,1205
2020-07-08,1221
2020-07-09,1231
2020-07-10,1240
2020-07-11,1245
2020-07-12,1263
2020-07-13,1302
2020-07-14,1306
2020-07-15,1319
2020-07-16,1327
2020-07-17,1336
2020-07-18,1348
2020-07-19,1374
2020-07-20,1381
2020-07-21,1389
2020-07-22,1394
2020-07-23,1406
2020-07-24,1425
2020-07-25,1443
2020-07-26,1452
2020-07-27,1455
2020-07-28,1468
2020-07-29,1488
2020-07-30,1514
2020-07-31,1535
2020-08-01,1552
2020-08-02,1561
2020-08-03,1565
2020-08-04,1584
2020-08-05,1601
2020-08-06,1642
2020-08-07,1656
2020-08-08,1678
2020-08-09,1697
2020-08-10,1717
2020-08-11,1738
2020-08-12,1780
2020-08-13,1847
2020-08-14,1903
2020-08-15,2023
2020-08-16,2107
2020-08-17,2185
2020-08-18,2314
2020-08-19,2427
2020-08-20,2543
2020-08-21,2607
2020-08-22,2738
2020-08-23,2818
2020-08-24,2893
2020-08-25,3069
2020-08-26,3206
2020-08-27,3323
2020-08-28,3461
2020-08-29,3572
2020-08-30,3685
2020-08-31,3803
2020-09-01,3963
2020-09-02,4196
2020-09-03,4394
2020-09-04,4542
2020-09-05,4776
2020-09-06,5041
2020-09-07,5124
2020-09-08,5417
2020-09-09,5417
2020-09-10,5882
2020-09-11,6259
2020-09-12,6635
2020-09-13,6635
2020-09-14,7382
2020-09-15,7623
2020-09-16,8100
2020-09-17,8570
2020-09-18,8570
2020-09-19,9110
2020-09-20,10732
2020-09-21,11260
2020-09-22,11260
2020-09-23,12479
2020-09-24,13305
2020-09-25,14392
2020-09-26,14392
2020-09-27,16114
2020-09-28,16114
2020-09-29,17405
2020-09-30,18413
2020-10-01,18413
2020-10-02,19721
2020-10-03,20944
2020-10-04,22230
2020-10-05,22230
2020-10-06,22230
2020-10-07,24542
2020-10-08,26899
2020-10-09,26899
2020-10-10,31259
2020-10-11,32556
2020-10-12,32556
2020-10-13,32556
2020-10-14,34790
2020-10-15,34790
2020-10-16,34790
2020-10-17,40542
2020-10-18,40542
2020-10-19,42727
2020-10-20,44450
2020-10-21,45892
2020-10-22,45892
2020-10-23,47214
2020-10-24,48799
2020-10-25,48799
2020-10-26,52399
2020-10-27,52399
2020-10-28,54278
2020-10-29,54278
2020-10-30,58029
2020-10-31,59813
2020-11-01,61115
2020-11-02,61906
2020-11-03,63126
2020-11-04,64363
2020-11-05,66334
2020-11-06,66334
2020-11-07,69543
2020-11-08,71119
2020-11-09,71569
2020-11-10,72993
2020-11-11,74522
2020-11-12,76106
2020-11-13,77668
2020-11-14,79339
2020-11-15,80404
2020-11-16,81003
2020-11-17,81723
2020-11-18,83772
2020-11-19,83772
2020-11-20,86265
2020-11-21,87471
2020-11-22,88711
2020-11-23,89196
2020-11-24,90213
2020-11-25,91307
2020-11-26,92475
2020-11-27,93770
2020-11-28,94980
2020-11-29,96251
2020-11-30,96769
2020-12-01,96769
2020-12-02,99280
2020-12-03,99280
2020-12-04,101900
2020-12-05,102991
2020-12-06,104002
2020-12-07,104329
2020-12-08,105445
